,Rank,"Player (yrs, age)",Manager Ejections
0,1.,"Ron Gardenhire (16, 62)",84
1,2.,"Joe Maddon (17, 66)",55
2,3.,"Bob Melvin (17, 58)",44
3,4.,"Terry Francona (20, 61)",43
4,5.,"Joe Girardi (12, 55)",38
5,6.,"Don Mattingly (10, 59)",32
6,7.,"Bud Black (13, 63)",31
7,8.,"Rick Renteria (5, 58)",30
8,9.,"Lloyd McClendon (8, 61)",28
9,10.,"Dusty Baker (23, 71)",22
10,11.,"Craig Counsell (6, 49)",18
11,12.,"Mike Matheny (8, 49)",16
12,13.,"Brian Snitker (5, 64)",14
13,14.,"Scott Servais (5, 53)",12
14,15.,"David Bell (2, 47)",11
15,15.,"Aaron Boone (3, 47)",11
16,15.,"Kevin Cash (6, 42)",11
17,18.,"Ron Roenicke (6, 63)",10
18,19.,"Torey Lovullo (4, 54)",7
19,20.,"Dave Roberts (6, 48)",6
20,21.,"Dave Martinez (3, 55)",5
21,21.,"Mike Shildt (3, 51)",5
22,23.,"Brandon Hyde (3, 46)",4
23,23.,"Gabe Kapler (3, 44)",4
24,23.,"Chris Woodward (2, 44)",4
25,26.,"Rocco Baldelli (2, 38)",3
26,26.,"Charlie Montoyo (2, 54)",3
27,28.,"Derek Shelton (1, 49)",2
28,29.,"David Ross (1, 43)",1
29,29.,"Jayce Tingler (1, 39)",1
