,Rank,"Player (yrs, age)",On-Base%,Bats
0,1.,Ted Williams+ (19),.4817,L
1,2.,Babe Ruth+ (22),.4739,L
2,3.,John McGraw+ (17),.4657,L
3,4.,Billy Hamilton+ (14),.4552,L
4,5.,Lou Gehrig+ (17),.4474,L
5,6.,Barry Bonds (22),.4443,L
6,7.,Bill Joyce (8),.4349,L
7,8.,Rogers Hornsby+ (23),.4337,R
8,9.,Ty Cobb+ (24),.4328,L
9,10.,Jimmie Foxx+ (20),.4283,R
10,11.,Tris Speaker+ (22),.4279,L
11,12.,Eddie Collins+ (25),.4244,L
12,13.,Ferris Fain (9),.4241,L
13,14.,Dan Brouthers+ (19),.4234,L
14,15.,Max Bishop (12),.4230,L
15,16.,Shoeless Joe Jackson (13),.4227,L
16,17.,Mickey Mantle+ (18),.4205,B
17,18.,"Joey Votto (14, 36)",.4194,L
18,19.,Mickey Cochrane+ (13),.4192,L
19,20.,Frank Thomas+ (19),.4191,R
20,21.,Edgar Martinez+ (18),.4178,R
21,22.,"Mike Trout (10, 28)",.4176,R
22,23.,Stan Musial+ (22),.4167,L
23,24.,Cupid Childs (13),.4157,L
24,25.,Wade Boggs+ (18),.4150,L
25,26.,Jesse Burkett+ (16),.4149,L
26,27.,Todd Helton (17),.4140,L
27,27.,Mel Ott+ (22),.4140,L
28,29.,Roy Thomas (13),.4135,L
29,30.,Lefty O'Doul (11),.4133,L
30,31.,Hank Greenberg+ (13),.4118,R
31,32.,Ed Delahanty+ (16),.4113,R
32,33.,Manny Ramirez (19),.4106,R
33,34.,Charlie Keller (13),.4099,L
34,35.,Eddie Stanky (11),.4098,R
35,36.,Harry Heilmann+ (17),.4095,R
36,37.,Jackie Robinson+ (10),.4089,R
37,38.,Roy Cullenbine (10),.4082,B
38,39.,Jake Stenzel (9),.4078,R
39,40.,Jeff Bagwell+ (15),.4076,R
40,41.,Denny Lyons (13),.4074,R
41,42.,Riggs Stephenson (14),.4065,R
42,43.,Lance Berkman (15),.4060,B
43,44.,Arky Vaughan+ (14),.4058,L
44,45.,Joe Harris (10),.4044,R
45,46.,Paul Waner+ (20),.4043,L
46,47.,Charlie Gehringer+ (19),.4036,L
47,48.,Joe Cunningham (12),.4035,L
48,49.,Pete Browning (13),.4028,R
49,50.,Lu Blue (13),.4022,B
50,51.,Jim Thome+ (22),.4019,L
51,52.,Joe Kelley+ (17),.4017,R
52,53.,Rickey Henderson+ (25),.4012,R
53,54.,Chipper Jones+ (19),.4011,B
54,55.,Larry Walker+ (17),.4002,L
55,56.,Bill Lange (7),.4001,R
56,57.,Brian Giles (15),.3998,L
57,57.,George Selkirk (9),.3998,L
58,59.,Luke Appling+ (20),.3994,R
59,60.,Jason Giambi (20),.3993,L
60,61.,Nick Johnson (10),.3989,L
61,62.,Ross Youngs+ (10),.3985,L
62,63.,Joe DiMaggio+ (13),.3983,R
63,63.,Elmer Valo (20),.3983,L
64,65.,Ralph Kiner+ (10),.3980,R
65,65.,John Olerud (17),.3980,L
66,67.,Mike Smith (14),.3977,L
67,68.,Ed Morgan (7),.3975,R
68,69.,Johnny Mize+ (15),.3971,L
69,70.,Earle Combs+ (12),.3969,L
70,70.,Roger Connor+ (18),.3969,B
71,72.,John Kruk (10),.3966,L
72,73.,Richie Ashburn+ (15),.3964,L
73,74.,Mike Hargrove (12),.3958,L
74,75.,Hack Wilson+ (12),.3951,R
75,76.,Bobby Abreu (18),.3950,L
76,77.,Earl Averill+ (13),.3947,L
77,78.,Johnny Pesky (10),.3943,L
78,79.,Mark McGwire (16),.3941,R
79,80.,Cap Anson+ (27),.3940,R
80,80.,Frank Chance+ (17),.3940,R
81,80.,Stan Hack (16),.3940,L
82,80.,Eddie Yost (18),.3940,R
83,84.,Ken Williams (14),.3933,L
84,85.,Wally Schang (19),.3931,B
85,86.,Rod Carew+ (19),.3930,L
86,86.,Gary Sheffield (22),.3930,R
87,88.,Bob Johnson (13),.3928,R
