,Rank,"Player (yrs, age)",Games Played,Bats
0,1.,Pete Rose (24),3562,B
1,2.,Carl Yastrzemski+ (23),3308,L
2,3.,Hank Aaron+ (23),3298,R
3,4.,Rickey Henderson+ (25),3081,R
4,5.,Ty Cobb+ (24),3034,L
5,6.,Eddie Murray+ (21),3026,B
6,6.,Stan Musial+ (22),3026,L
7,8.,Cal Ripken Jr.+ (21),3001,R
8,9.,Willie Mays+ (22),2992,R
9,10.,Barry Bonds (22),2986,L
10,11.,Dave Winfield+ (22),2973,R
11,12.,Omar Vizquel (24),2968,B
12,13.,Rusty Staub (23),2951,L
13,14.,Adrian Beltre (21),2933,R
14,15.,Brooks Robinson+ (23),2896,R
15,16.,"Albert Pujols (20, 40)",2862,R
16,17.,Robin Yount+ (20),2856,R
17,18.,Craig Biggio+ (20),2850,R
18,19.,Al Kaline+ (22),2834,R
19,20.,Rafael Palmeiro (20),2831,L
20,21.,Harold Baines+ (22),2830,L
21,22.,Eddie Collins+ (25),2826,L
22,23.,Reggie Jackson+ (21),2820,L
23,24.,Frank Robinson+ (21),2808,R
24,25.,Honus Wagner+ (21),2794,R
25,26.,Tris Speaker+ (22),2789,L
26,27.,Alex Rodriguez (22),2784,R
27,28.,Tony Perez+ (23),2777,R
28,29.,Derek Jeter+ (20),2747,R
29,30.,Mel Ott+ (22),2730,L
30,31.,George Brett+ (21),2707,L
31,32.,Graig Nettles (22),2700,L
32,33.,Darrell Evans (21),2687,L
33,34.,Paul Molitor+ (21),2683,R
34,35.,Ken Griffey Jr.+ (22),2671,L
35,36.,Rabbit Maranville+ (23),2670,R
36,37.,Ichiro Suzuki (19),2653,L
37,38.,Joe Morgan+ (22),2649,L
38,39.,Andre Dawson+ (21),2627,R
39,40.,Lou Brock+ (19),2616,L
40,41.,Dwight Evans (20),2606,R
41,42.,Luis Aparicio+ (18),2599,R
42,43.,Luis Gonzalez (19),2591,L
43,44.,Willie McCovey+ (22),2588,L
44,45.,Carlos Beltran (20),2586,B
45,46.,Steve Finley (19),2583,L
46,47.,Gary Sheffield (22),2576,R
47,48.,Ozzie Smith+ (19),2573,B
48,49.,Paul Waner+ (20),2549,L
49,50.,Ivan Rodriguez+ (21),2543,R
50,50.,Jim Thome+ (22),2543,L
51,52.,Ernie Banks+ (19),2528,R
52,53.,Julio Franco (23),2527,R
53,54.,Cap Anson+ (27),2524,R
54,55.,Bill Buckner (22),2517,L
55,55.,Sam Crawford+ (19),2517,L
56,57.,Gary Gaetti (20),2507,R
57,58.,Babe Ruth+ (22),2503,L
58,59.,Tim Raines+ (23),2502,B
59,60.,Carlton Fisk+ (24),2499,R
60,60.,Chipper Jones+ (19),2499,B
61,62.,Johnny Damon (18),2490,L
62,63.,Dave Concepcion (19),2488,R
63,63.,Billy Williams+ (18),2488,L
64,65.,Nap Lajoie+ (21),2480,R
65,66.,Max Carey+ (20),2476,B
66,67.,Rod Carew+ (19),2469,L
67,67.,Vada Pinson (18),2469,L
68,69.,Dave Parker (19),2466,L
69,70.,Fred McGriff (19),2460,L
70,71.,"Miguel Cabrera (18, 37)",2457,R
71,72.,Ted Simmons+ (21),2456,B
72,73.,Bill Dahlen (21),2444,R
73,74.,Ron Fairly (21),2442,L
74,75.,Tony Gwynn+ (20),2440,L
75,76.,Wade Boggs+ (18),2439,L
76,77.,Chili Davis (19),2435,B
77,77.,Harmon Killebrew+ (22),2435,R
78,79.,Roberto Clemente+ (18),2433,R
79,80.,Willie Davis (18),2429,L
80,81.,Bobby Abreu (18),2425,L
81,82.,Luke Appling+ (20),2422,R
82,83.,Zack Wheat+ (19),2410,L
83,84.,Mickey Vernon (20),2409,L
84,85.,David Ortiz (20),2408,L
85,86.,Buddy Bell (18),2405,R
86,87.,Sam Rice+ (20),2404,L
87,87.,Mike Schmidt+ (18),2404,R
88,89.,Mickey Mantle+ (18),2401,B
89,90.,Jake Beckley+ (20),2392,L
90,91.,Eddie Mathews+ (17),2391,L
91,92.,Lou Whitaker (19),2390,L
92,93.,Bobby Wallace+ (25),2383,R
93,94.,Enos Slaughter+ (19),2380,L
94,95.,Roberto Alomar+ (17),2379,B
95,96.,George Davis+ (20),2372,B
96,96.,Torii Hunter (19),2372,R
97,98.,Al Oliver (18),2368,L
98,99.,Nellie Fox+ (19),2367,L
99,100.,Willie Stargell+ (21),2360,L
100,101.,Sammy Sosa (18),2354,R
101,102.,Jose Cruz (19),2353,L
102,103.,Paul Konerko (18),2349,R
103,104.,Brian Downing (20),2344,R
104,105.,Steve Garvey (19),2332,R
105,106.,Bert Campaneris (19),2328,R
106,107.,Frank White (18),2324,R
107,108.,Charlie Gehringer+ (19),2323,L
108,109.,Frank Thomas+ (19),2322,R
109,110.,Jimmie Foxx+ (20),2317,R
110,111.,B.J. Surhoff (19),2313,L
111,112.,Frankie Frisch+ (19),2311,B
112,113.,Harry Hooper+ (17),2309,L
113,114.,Manny Ramirez (19),2302,R
114,115.,Jeff Kent (17),2298,R
115,116.,Gary Carter+ (19),2296,R
116,117.,Alan Trammell+ (20),2293,R
117,118.,Don Baylor (19),2292,R
118,118.,Ted Williams+ (19),2292,L
119,120.,Goose Goslin+ (18),2287,L
120,121.,Jimmy Dykes (22),2282,R
121,122.,Lave Cross (21),2277,R
122,123.,Jimmy Rollins (17),2275,B
123,124.,Bob Boone (19),2264,R
124,125.,Jason Giambi (20),2260,L
125,125.,Chris Speier (19),2260,R
126,127.,Rogers Hornsby+ (23),2259,R
127,128.,Andres Galarraga (19),2257,R
128,129.,Larry Bowa (16),2247,B
129,129.,Todd Helton (17),2247,L
130,131.,Fred Clarke+ (21),2246,L
131,132.,Mark Grace (16),2245,L
132,133.,Ron Santo+ (15),2243,R
133,134.,Doc Cramer (20),2239,L
134,135.,"Robinson Cano (16, 37)",2234,L
