,Rank,"Player (yrs, age)",At Bats,Bats
0,1.,Pete Rose (24),14053,B
1,2.,Hank Aaron+ (23),12364,R
2,3.,Carl Yastrzemski+ (23),11988,L
3,4.,Cal Ripken Jr.+ (21),11551,R
4,5.,Ty Cobb+ (24),11440,L
5,6.,Eddie Murray+ (21),11336,B
6,7.,Derek Jeter+ (20),11195,R
7,8.,Adrian Beltre (21),11068,R
8,9.,Robin Yount+ (20),11008,R
9,10.,Dave Winfield+ (22),11003,R
10,11.,Stan Musial+ (22),10972,L
11,12.,Rickey Henderson+ (25),10961,R
12,13.,Willie Mays+ (22),10881,R
13,14.,Craig Biggio+ (20),10876,R
14,15.,"Albert Pujols (20, 40)",10839,R
15,16.,Paul Molitor+ (21),10835,R
16,17.,Brooks Robinson+ (23),10654,R
17,18.,Omar Vizquel (24),10586,B
18,19.,Alex Rodriguez (22),10566,R
19,20.,Rafael Palmeiro (20),10472,L
20,21.,Honus Wagner+ (21),10439,R
21,22.,George Brett+ (21),10349,L
22,23.,Lou Brock+ (19),10332,L
23,24.,Cap Anson+ (27),10281,R
24,25.,Luis Aparicio+ (18),10230,R
25,26.,Tris Speaker+ (22),10195,L
26,27.,Al Kaline+ (22),10116,R
27,28.,Rabbit Maranville+ (23),10078,R
28,29.,Frank Robinson+ (21),10006,R
29,30.,Eddie Collins+ (25),9949,L
30,31.,Ichiro Suzuki (19),9934,L
31,32.,Andre Dawson+ (21),9927,R
32,33.,Harold Baines+ (22),9908,L
33,34.,Reggie Jackson+ (21),9864,L
34,35.,Barry Bonds (22),9847,L
35,36.,Ken Griffey Jr.+ (22),9801,L
36,37.,Tony Perez+ (23),9778,R
37,38.,Carlos Beltran (20),9768,B
38,39.,Johnny Damon (18),9736,L
39,40.,Rusty Staub (23),9720,L
40,41.,Vada Pinson (18),9645,L
41,42.,Ivan Rodriguez+ (21),9592,R
42,43.,Nap Lajoie+ (21),9590,R
43,44.,Sam Crawford+ (19),9570,L
44,45.,Jake Beckley+ (20),9551,L
45,46.,Paul Waner+ (20),9459,L
46,47.,Mel Ott+ (22),9456,L
47,48.,Roberto Clemente+ (18),9454,R
48,49.,Ernie Banks+ (19),9421,R
49,50.,Bill Buckner (22),9397,L
50,50.,Steve Finley (19),9397,L
51,52.,Ozzie Smith+ (19),9396,B
52,53.,Max Carey+ (20),9363,B
53,54.,Dave Parker (19),9358,L
54,55.,Billy Williams+ (18),9350,L
55,56.,Rod Carew+ (19),9315,L
56,57.,Jimmy Rollins (17),9294,B
57,58.,Tony Gwynn+ (20),9288,L
58,59.,Joe Morgan+ (22),9277,L
59,60.,Sam Rice+ (20),9269,L
60,61.,Nellie Fox+ (19),9232,L
61,62.,Gary Sheffield (22),9217,R
62,63.,Wade Boggs+ (18),9180,L
63,64.,Willie Davis (18),9174,L
64,65.,Luis Gonzalez (19),9157,L
65,66.,"Miguel Cabrera (18, 37)",9153,R
66,67.,Doc Cramer (20),9140,L
67,68.,Frankie Frisch+ (19),9112,B
68,69.,Zack Wheat+ (19),9106,L
69,70.,Lave Cross (21),9084,R
70,71.,Roberto Alomar+ (17),9073,B
71,72.,Al Oliver (18),9049,L
72,73.,George Davis+ (20),9045,B
73,74.,Bill Dahlen (21),9036,R
74,75.,Dwight Evans (20),8996,R
75,76.,Buddy Bell (18),8995,R
76,77.,Graig Nettles (22),8986,L
77,78.,Chipper Jones+ (19),8984,B
78,79.,Darrell Evans (21),8973,L
79,80.,Gary Gaetti (20),8951,R
80,81.,Tim Raines+ (23),8872,B
81,82.,Charlie Gehringer+ (19),8860,L
82,83.,Torii Hunter (19),8857,R
83,84.,Luke Appling+ (20),8856,R
84,85.,Steve Garvey (19),8835,R
85,86.,Tommy Corcoran (18),8824,R
86,87.,Sammy Sosa (18),8813,R
87,88.,Harry Hooper+ (17),8785,L
88,89.,Al Simmons+ (20),8759,R
89,90.,Fred McGriff (19),8757,L
90,91.,Carlton Fisk+ (24),8756,R
91,92.,Mickey Vernon (20),8731,L
92,93.,Dave Concepcion (19),8723,R
93,94.,Bert Campaneris (19),8684,R
94,95.,Ted Simmons+ (21),8680,B
95,96.,Julio Franco (23),8677,R
96,97.,"Robinson Cano (16, 37)",8673,L
97,97.,Chili Davis (19),8673,B
98,99.,Goose Goslin+ (18),8656,L
99,100.,Garret Anderson (17),8640,L
100,100.,David Ortiz (20),8640,L
101,102.,Bobby Wallace+ (25),8618,R
102,103.,Willie Keeler+ (19),8591,L
103,104.,Fred Clarke+ (21),8584,L
104,105.,Lou Whitaker (19),8570,L
105,106.,Eddie Mathews+ (17),8537,L
106,107.,Jim O'Rourke+ (23),8503,R
107,108.,Jeff Kent (17),8498,R
108,109.,Bobby Abreu (18),8480,L
109,110.,Red Schoendienst+ (19),8479,B
110,111.,Miguel Tejada (16),8434,R
111,112.,Jesse Burkett+ (16),8426,L
112,113.,Joe Carter (16),8422,R
113,113.,Jim Thome+ (22),8422,L
114,115.,Larry Bowa (16),8418,B
115,116.,Babe Ruth+ (22),8399,L
116,117.,Paul Konerko (18),8393,R
117,118.,Ryne Sandberg+ (16),8385,R
118,119.,Richie Ashburn+ (15),8365,L
119,120.,Mike Schmidt+ (18),8352,R
120,121.,Bid McPhee+ (18),8304,R
121,122.,"Nick Markakis (15, 36)",8302,L
122,123.,Alan Trammell+ (20),8288,R
123,124.,Marquis Grissom (17),8275,R
124,125.,George Sisler+ (15),8267,L
125,126.,B.J. Surhoff (19),8258,L
126,127.,Manny Ramirez (19),8244,R
127,128.,Jim Rice+ (16),8225,R
128,129.,Frank Thomas+ (19),8199,R
129,130.,Don Baylor (19),8198,R
130,131.,Willie McCovey+ (22),8197,L
131,132.,Brett Butler (17),8180,L
132,133.,Rogers Hornsby+ (23),8173,R
133,134.,Jimmy Ryan (18),8172,R
134,135.,Vladimir Guerrero+ (16),8155,R
135,136.,Harmon Killebrew+ (22),8147,R
136,137.,Ron Santo+ (15),8143,R
137,138.,Edgar Renteria (16),8142,R
138,139.,Aramis Ramirez (18),8136,R
139,140.,Jimmie Foxx+ (20),8134,R
140,141.,Kenny Lofton (17),8120,L
141,142.,Mickey Mantle+ (18),8102,B
142,143.,Tim Wallach (17),8099,R
143,144.,Andres Galarraga (19),8096,R
144,145.,Mark Grace (16),8065,L
145,146.,Pee Wee Reese+ (16),8058,R
146,147.,Jimmy Dykes (22),8046,R
147,148.,Ruben Sierra (20),8044,B
148,149.,George Van Haltren (17),8043,L
149,150.,Willie Randolph (18),8018,R
150,151.,Lou Gehrig+ (17),8001,L
151,152.,Joe Kuhel (18),7984,L
152,153.,Carlos Lee (14),7983,R
153,154.,Gary Carter+ (19),7971,R
154,155.,Todd Helton (17),7962,L
155,156.,Dale Murphy (18),7960,R
156,157.,Tommy Leach (19),7959,R
157,158.,Enos Slaughter+ (19),7946,L
158,159.,Barry Larkin+ (19),7937,R
159,160.,Orlando Cepeda+ (17),7927,R
160,160.,Willie Stargell+ (21),7927,L
161,162.,Michael Young (14),7918,R
162,163.,Jose Cruz (19),7917,L
163,163.,Charlie Grimm (20),7917,L
164,165.,Tony Fernandez (17),7911,B
165,166.,Joe Judge (20),7898,L
166,167.,Joe Torre+ (18),7874,R
167,168.,Bernie Williams (16),7869,B
168,169.,Frank White (18),7859,R
169,170.,Brian Downing (20),7853,R
170,171.,Stuffy McInnis (19),7822,R
171,172.,Jeff Bagwell+ (15),7797,R
172,172.,Roger Connor+ (18),7797,B
173,174.,Harry Heilmann+ (17),7787,R
174,175.,Lloyd Waner+ (18),7772,L
175,176.,Bill Mazeroski+ (17),7755,R
176,177.,Alfonso Soriano (16),7750,R
177,178.,Willie Wilson (19),7731,B
178,179.,Garry Templeton (16),7721,B
179,180.,Billy Herman+ (15),7707,R
180,181.,Ted Williams+ (19),7706,L
181,182.,Tony Taylor (19),7680,R
182,183.,Herman Long (16),7678,L
183,184.,Jake Daubert (15),7673,L
184,185.,Johnny Bench+ (17),7658,R
185,186.,John Ward+ (17),7656,L
186,187.,Heinie Manush+ (17),7654,L
187,188.,Don Kessinger (16),7651,B
188,189.,Ed Konetchy (15),7649,R
189,189.,Willie McGee (18),7649,B
190,191.,Joe Medwick+ (17),7635,R
191,192.,Dick Bartell (18),7629,R
192,193.,Jason Kendall (15),7627,R
193,194.,Tony Phillips (18),7617,B
194,195.,Lee May (18),7609,R
195,196.,Jimmy Sheckard (17),7605,L
196,197.,Andruw Jones (17),7599,R
197,198.,Fred Tenney (17),7595,L
198,199.,John Olerud (17),7592,L
199,200.,Maury Wills (14),7588,B
200,201.,Joe Cronin+ (20),7579,R
201,202.,Todd Zeile (16),7573,R
202,203.,Chris Chambliss (17),7571,L
203,204.,Orlando Cabrera (15),7562,R
204,205.,Pie Traynor+ (17),7559,R
205,206.,Yogi Berra+ (19),7555,L
206,207.,Jose Reyes (16),7552,B
207,208.,Juan Pierre (14),7525,L
208,209.,Ed Delahanty+ (16),7510,R
209,210.,Patsy Donovan (17),7505,L
210,211.,Dick Groat (14),7484,R
211,212.,Jim Bottomley+ (16),7471,L
212,212.,Raul Ibanez (19),7471,L
213,214.,Kid Gleason (22),7459,B
214,215.,Ken Boyer (15),7455,R
215,216.,Sherry Magee (16),7441,R
216,217.,George Scott (14),7433,R
217,218.,Ian Kinsler (14),7423,R
218,219.,Hal Chase (15),7417,R
219,220.,Ray Durham (14),7408,B
220,221.,Toby Harrah (17),7402,R
221,222.,Jay Bell (18),7398,R
222,222.,Scott Rolen (17),7398,R
223,224.,Tom Brown (17),7387,L
224,225.,Royce Clayton (17),7379,R
225,226.,Brandon Phillips (17),7378,R
226,227.,Keith Hernandez (17),7370,L
227,228.,Edd Roush+ (18),7363,L
228,229.,Clyde Milan (16),7359,L
229,230.,Wally Moses (17),7356,L
230,231.,Cecil Cooper (17),7349,L
231,232.,Eddie Yost (18),7346,R
232,233.,Devon White (17),7344,B
233,234.,Felipe Alou (17),7339,R
234,235.,Paul O'Neill (17),7318,L
235,235.,Bill Russell (18),7318,R
236,237.,Cesar Cedeno (17),7310,R
237,238.,Amos Otis (17),7299,R
238,239.,Willie Horton (18),7298,R
239,240.,Victor Martinez (16),7297,B
240,241.,A.J. Pierzynski (19),7290,L
241,242.,Carlos Delgado (17),7283,L
242,243.,Stan Hack (16),7278,L
243,244.,Jason Giambi (20),7267,L
244,245.,Del Ennis (14),7254,R
245,246.,Bob Boone (19),7245,R
246,247.,Kirby Puckett+ (12),7244,R
247,248.,George Burns (15),7241,R
248,249.,Curtis Granderson (16),7236,L
249,250.,Roger Peckinpaugh (17),7233,R
250,251.,Ellis Burks (18),7232,R
251,252.,Ken Griffey (19),7229,L
252,253.,Tommy Davis (18),7223,R
253,254.,Al Dark (14),7219,R
254,255.,Hal McRae (19),7218,R
255,256.,Placido Polanco (16),7214,R
256,257.,Bobby Bonilla (16),7213,B
257,257.,Edgar Martinez+ (18),7213,R
258,259.,Donie Bush (16),7210,B
259,260.,Ken Singleton (15),7189,B
260,261.,Ron Fairly (21),7184,L
261,262.,Dave Bancroft+ (16),7182,B
262,263.,Will Clark (15),7173,L
263,264.,Ron Cey (17),7162,R
264,265.,Kiki Cuyler+ (18),7161,R
265,265.,Duke Snider+ (18),7161,L
266,267.,Carney Lansford (15),7158,R
267,268.,Chris Speier (19),7156,R
268,269.,Gary Matthews (16),7147,R
269,270.,Bob Elliott (15),7141,R
270,271.,Adrian Gonzalez (15),7139,L
271,272.,Joe Sewell+ (14),7132,L
272,273.,George Hendrick (18),7129,R
273,274.,Wally Joyner (16),7127,L
274,275.,Jim Gilliam (14),7119,B
275,276.,Dusty Baker (19),7117,R
276,277.,Dummy Hoy (14),7115,L
277,277.,"Yadier Molina (17, 37)",7115,R
278,279.,Tino Martinez (16),7111,L
279,280.,Bobby Doerr+ (14),7093,R
280,281.,Shawn Green (15),7082,L
281,282.,Bobby Lowe (18),7078,R
282,283.,Lance Parrish (19),7067,R
283,284.,Robin Ventura (16),7064,L
284,285.,Paul Hines (20),7062,R
285,286.,Sal Bando (16),7060,R
286,287.,Jose Canseco (17),7057,R
287,288.,Mark Grudzielanek (15),7052,R
288,289.,Hugh Duffy+ (17),7044,R
289,290.,Bobby Bonds (14),7043,R
290,291.,"Edwin Encarnacion (16, 37)",7040,R
291,292.,Buddy Myer (17),7038,L
292,293.,Moises Alou (17),7037,R
293,294.,Jack Glasscock (17),7033,R
294,294.,Reggie Smith (17),7033,B
295,296.,Terry Pendleton (15),7032,B
296,297.,Gil Hodges (18),7030,R
297,298.,George Foster (18),7023,R
298,299.,Matt Holliday (15),7009,R
299,299.,Adam Jones (14),7009,R
300,301.,Joe Kelley+ (17),7006,R
301,302.,Don Mattingly (14),7003,L
302,303.,Matt Williams (17),7000,R
303,304.,Magglio Ordonez (15),6978,R
304,305.,Jose Cardenal (18),6964,R
305,306.,Derrek Lee (15),6962,R
306,307.,Jeff Conine (17),6957,R
307,308.,Benito Santiago (20),6951,R
308,309.,Steve Sax (14),6940,R
309,310.,Mark Teixeira (14),6936,B
310,311.,Joe Mauer (15),6930,L
311,312.,Fred Lynn (17),6925,L
312,313.,Bob Johnson (13),6920,R
313,314.,Wally Pipp (15),6914,L
314,315.,Harvey Kuenn (15),6913,R
315,316.,Mike Piazza+ (16),6911,R
316,317.,Larry Walker+ (17),6907,L
317,318.,Joe Quinn (17),6897,R
318,319.,Ed McKean (13),6894,R
319,320.,Bobby Grich (17),6890,R
320,321.,Adam Dunn (14),6883,L
321,322.,Melky Cabrera (15),6878,B
322,323.,Chet Lemon (16),6868,R
323,324.,Jim Edmonds (17),6858,L
324,325.,Chase Utley (16),6857,L
325,326.,Jack Clark (18),6847,R
326,327.,Mike Cameron (17),6839,R
327,328.,Arlie Latham (17),6832,R
328,329.,Del Pratt (13),6826,R
329,330.,Vinny Castilla (16),6822,R
330,331.,Joe DiMaggio+ (13),6821,R
331,332.,Jimmy Collins+ (14),6795,R
332,333.,Larry Parrish (15),6792,R
333,334.,Claudell Washington (17),6787,L
334,335.,Alfredo Griffin (18),6780,B
335,335.,Cy Williams (19),6780,L
336,337.,Gee Walker (15),6771,R
337,338.,Phil Cavarretta (22),6754,L
338,339.,Roy McMillan (16),6752,R
339,340.,Fielder Jones (15),6747,L
340,341.,Dixie Walker (18),6740,L
341,342.,Bobby Murcer (17),6730,L
342,343.,Dan Brouthers+ (19),6726,L
343,344.,Leo Cardenas (16),6707,R
344,345.,Norm Cash (17),6705,L
345,346.,George Kell+ (15),6702,R
346,347.,Larry Gardner (17),6688,L
347,348.,Ozzie Guillen (16),6686,L
348,349.,Bret Boone (14),6683,R
349,350.,Boog Powell (17),6681,L
350,351.,Dave Kingman (16),6677,R
351,352.,Marty McManus (15),6660,R
352,353.,Bobby Veach (14),6656,L
353,354.,Carl Crawford (15),6655,L
354,355.,Harry Davis (22),6653,R
355,355.,Jim Wynn (15),6653,R
356,357.,Johnny Callison (16),6652,L
357,358.,Roy White (15),6650,B
358,359.,Vernon Wells (15),6642,R
359,360.,Pinky Higgins (14),6636,R
360,361.,Deacon White+ (20),6624,L
361,362.,"Ryan Braun (14, 36)",6622,R
362,362.,Arky Vaughan+ (14),6622,L
363,364.,Aurelio Rodriguez (17),6611,R
364,365.,Joe Adcock (17),6606,R
365,366.,Jhonny Peralta (15),6599,R
366,367.,Bill Madlock (15),6594,R
367,368.,Minnie Minoso (17),6579,R
368,369.,"Evan Longoria (13, 34)",6576,R
369,370.,George Burns (16),6573,R
370,371.,Germany Smith (15),6562,R
371,372.,Charlie Jamieson (18),6560,L
372,372.,Fred Pfeffer (16),6560,R
373,374.,Juan Gonzalez (17),6556,R
374,375.,Frank Schulte (15),6533,L
375,376.,Brian Giles (15),6527,L
376,377.,Jim Fregosi (18),6523,R
377,378.,Luis Castillo (15),6510,B
378,379.,Larry Doyle (14),6509,L
379,380.,Greg Luzinski (15),6505,R
380,381.,Rocky Colavito (14),6503,R
381,382.,Brady Anderson (15),6499,L
382,383.,Vern Stephens (15),6497,R
383,384.,Lance Berkman (15),6491,B
384,385.,Tony Pena (18),6489,R
385,386.,Frank Howard (16),6488,R
386,387.,Jermaine Dye (14),6487,R
387,388.,Chuck Klein+ (17),6486,L
388,389.,Tommy Tucker (13),6482,B
389,390.,Travis Fryman (13),6481,R
390,391.,Gus Bell (15),6478,L
391,391.,Ben Chapman (15),6478,R
392,393.,Rafael Furcal (14),6477,B
393,394.,Mark Kotsay (17),6464,L
394,395.,Ron Gant (16),6449,R
395,396.,Johnny Mize+ (15),6443,L
