,Rank,"Player (yrs, age)",Runs Scored,Bats
0,1.,Rickey Henderson+ (25),2295,R
1,2.,Ty Cobb+ (24),2245,L
2,3.,Barry Bonds (22),2227,L
3,4.,Hank Aaron+ (23),2174,R
4,4.,Babe Ruth+ (22),2174,L
5,6.,Pete Rose (24),2165,B
6,7.,Willie Mays+ (22),2062,R
7,8.,Alex Rodriguez (22),2021,R
8,9.,Cap Anson+ (27),1999,R
9,10.,Stan Musial+ (22),1949,L
10,11.,Derek Jeter+ (20),1923,R
11,12.,Lou Gehrig+ (17),1888,L
12,13.,Tris Speaker+ (22),1882,L
13,14.,Mel Ott+ (22),1859,L
14,15.,Craig Biggio+ (20),1844,R
15,16.,"Albert Pujols (20, 40)",1843,R
16,17.,Frank Robinson+ (21),1829,R
17,18.,Eddie Collins+ (25),1821,L
18,19.,Carl Yastrzemski+ (23),1816,L
19,20.,Ted Williams+ (19),1798,L
20,21.,Paul Molitor+ (21),1782,R
21,22.,Charlie Gehringer+ (19),1775,L
22,23.,Jimmie Foxx+ (20),1751,R
23,24.,Honus Wagner+ (21),1739,R
24,25.,Jim O'Rourke+ (23),1729,R
25,26.,Jesse Burkett+ (16),1720,L
26,27.,Willie Keeler+ (19),1719,L
27,28.,Billy Hamilton+ (14),1697,L
28,29.,Bid McPhee+ (18),1684,R
29,30.,Mickey Mantle+ (18),1676,B
30,31.,Dave Winfield+ (22),1669,R
31,32.,Johnny Damon (18),1668,L
32,33.,Rafael Palmeiro (20),1663,L
33,34.,Ken Griffey Jr.+ (22),1662,L
34,35.,Joe Morgan+ (22),1650,L
35,36.,Cal Ripken Jr.+ (21),1647,R
36,37.,Jimmy Ryan (18),1643,R
37,38.,George Van Haltren (17),1642,L
38,39.,Gary Sheffield (22),1636,R
39,40.,Robin Yount+ (20),1632,R
40,41.,Eddie Murray+ (21),1627,B
41,41.,Paul Waner+ (20),1627,L
42,43.,Fred Clarke+ (21),1622,L
43,43.,Al Kaline+ (22),1622,R
44,45.,Roger Connor+ (18),1620,B
45,46.,Chipper Jones+ (19),1619,B
46,47.,Lou Brock+ (19),1610,L
47,48.,Jake Beckley+ (20),1603,L
48,49.,Ed Delahanty+ (16),1600,R
49,50.,Bill Dahlen (21),1590,R
50,51.,George Brett+ (21),1583,L
51,51.,Jim Thome+ (22),1583,L
52,53.,Carlos Beltran (20),1582,B
53,54.,Rogers Hornsby+ (23),1579,R
54,55.,Tim Raines+ (23),1571,B
55,56.,Hugh Duffy+ (17),1554,R
56,57.,Reggie Jackson+ (21),1551,L
57,58.,Max Carey+ (20),1545,B
58,58.,George Davis+ (20),1545,B
59,60.,Manny Ramirez (19),1544,R
60,61.,Frankie Frisch+ (19),1532,B
61,62.,Dan Brouthers+ (19),1529,L
62,63.,Kenny Lofton (17),1528,L
63,64.,Adrian Beltre (21),1524,R
64,64.,Tom Brown (17),1524,L
65,66.,Jeff Bagwell+ (15),1517,R
66,67.,Sam Rice+ (20),1514,L
67,68.,Wade Boggs+ (18),1513,L
68,69.,Eddie Mathews+ (17),1509,L
69,70.,Roberto Alomar+ (17),1508,B
70,71.,Al Simmons+ (20),1507,R
71,72.,Mike Schmidt+ (18),1506,R
72,73.,Nap Lajoie+ (21),1504,R
73,74.,Harry Stovey (14),1495,R
74,75.,Frank Thomas+ (19),1494,R
75,76.,Goose Goslin+ (18),1482,L
76,77.,Arlie Latham (17),1481,R
77,78.,Sammy Sosa (18),1475,R
78,79.,Dwight Evans (20),1470,R
79,80.,"Miguel Cabrera (18, 37)",1457,R
80,81.,Herman Long (16),1456,L
81,82.,Bobby Abreu (18),1453,L
82,83.,Omar Vizquel (24),1445,B
83,84.,Steve Finley (19),1443,L
84,85.,Harry Hooper+ (17),1429,L
85,85.,Dummy Hoy (14),1429,L
86,87.,Rod Carew+ (19),1424,L
87,88.,Joe Kelley+ (17),1421,R
88,88.,Jimmy Rollins (17),1421,B
89,90.,Ichiro Suzuki (19),1420,L
90,91.,David Ortiz (20),1419,L
