,Rank,"Player (yrs, age)",Hits,Bats
0,1.,Pete Rose (24),4256,B
1,2.,Ty Cobb+ (24),4189,L
2,3.,Hank Aaron+ (23),3771,R
3,4.,Stan Musial+ (22),3630,L
4,5.,Tris Speaker+ (22),3514,L
5,6.,Derek Jeter+ (20),3465,R
6,7.,Cap Anson+ (27),3435,R
7,8.,Honus Wagner+ (21),3420,R
8,9.,Carl Yastrzemski+ (23),3419,L
9,10.,Paul Molitor+ (21),3319,R
10,11.,Eddie Collins+ (25),3315,L
11,12.,Willie Mays+ (22),3283,R
12,13.,Eddie Murray+ (21),3255,B
13,14.,Nap Lajoie+ (21),3243,R
14,15.,"Albert Pujols (20, 40)",3236,R
15,16.,Cal Ripken Jr.+ (21),3184,R
16,17.,Adrian Beltre (21),3166,R
17,18.,George Brett+ (21),3154,L
18,19.,Paul Waner+ (20),3152,L
19,20.,Robin Yount+ (20),3142,R
20,21.,Tony Gwynn+ (20),3141,L
21,22.,Alex Rodriguez (22),3115,R
22,23.,Dave Winfield+ (22),3110,R
23,24.,Ichiro Suzuki (19),3089,L
24,25.,Craig Biggio+ (20),3060,R
25,26.,Rickey Henderson+ (25),3055,R
26,27.,Rod Carew+ (19),3053,L
27,28.,Lou Brock+ (19),3023,L
28,29.,Rafael Palmeiro (20),3020,L
29,30.,Wade Boggs+ (18),3010,L
30,31.,Al Kaline+ (22),3007,R
31,32.,Roberto Clemente+ (18),3000,R
32,33.,Sam Rice+ (20),2987,L
33,34.,Sam Crawford+ (19),2961,L
34,35.,Frank Robinson+ (21),2943,R
35,36.,Jake Beckley+ (20),2938,L
36,37.,Barry Bonds (22),2935,L
37,38.,Willie Keeler+ (19),2932,L
38,39.,Rogers Hornsby+ (23),2930,R
39,40.,Al Simmons+ (20),2927,R
40,41.,Zack Wheat+ (19),2884,L
41,42.,Frankie Frisch+ (19),2880,B
42,43.,Omar Vizquel (24),2877,B
43,44.,Mel Ott+ (22),2876,L
44,45.,Babe Ruth+ (22),2873,L
45,46.,Harold Baines+ (22),2866,L
46,46.,"Miguel Cabrera (18, 37)",2866,R
47,48.,Jesse Burkett+ (16),2850,L
48,49.,Brooks Robinson+ (23),2848,R
49,50.,Ivan Rodriguez+ (21),2844,R
50,51.,Charlie Gehringer+ (19),2839,L
51,52.,George Sisler+ (15),2812,L
52,53.,Ken Griffey Jr.+ (22),2781,L
53,54.,Andre Dawson+ (21),2774,R
54,55.,Johnny Damon (18),2769,L
55,56.,Vada Pinson (18),2757,L
56,57.,Luke Appling+ (20),2749,R
57,58.,Al Oliver (18),2743,L
58,59.,Goose Goslin+ (18),2735,L
59,60.,Tony Perez+ (23),2732,R
60,61.,Chipper Jones+ (19),2726,B
61,62.,Carlos Beltran (20),2725,B
62,63.,Roberto Alomar+ (17),2724,B
63,64.,Lou Gehrig+ (17),2721,L
64,65.,Rusty Staub (23),2716,L
65,66.,Bill Buckner (22),2715,L
66,67.,Dave Parker (19),2712,L
67,68.,Billy Williams+ (18),2711,L
68,69.,Doc Cramer (20),2705,L
69,70.,Gary Sheffield (22),2689,R
70,71.,Fred Clarke+ (21),2678,L
71,72.,Luis Aparicio+ (18),2677,R
72,73.,Max Carey+ (20),2665,B
73,73.,George Davis+ (20),2665,B
74,75.,Nellie Fox+ (19),2663,L
75,76.,Harry Heilmann+ (17),2660,R
76,77.,Ted Williams+ (19),2654,L
77,78.,Lave Cross (21),2651,R
78,79.,Jimmie Foxx+ (20),2646,R
79,80.,Jim O'Rourke+ (23),2639,R
80,81.,"Robinson Cano (16, 37)",2624,L
81,82.,Rabbit Maranville+ (23),2605,R
82,82.,Tim Raines+ (23),2605,B
83,84.,Steve Garvey (19),2599,R
84,85.,Ed Delahanty+ (16),2597,R
85,86.,Luis Gonzalez (19),2591,L
86,87.,Vladimir Guerrero+ (16),2590,R
87,88.,Julio Franco (23),2586,R
88,89.,Reggie Jackson+ (21),2584,L
89,90.,Ernie Banks+ (19),2583,R
90,91.,Richie Ashburn+ (15),2574,L
91,91.,Manny Ramirez (19),2574,R
92,93.,Willie Davis (18),2561,L
93,94.,Steve Finley (19),2548,L
94,95.,George Van Haltren (17),2544,L
95,96.,Garret Anderson (17),2529,L
96,97.,Heinie Manush+ (17),2524,L
97,98.,Todd Helton (17),2519,L
98,99.,Joe Morgan+ (22),2517,L
99,100.,Buddy Bell (18),2514,R
100,101.,Jimmy Ryan (18),2513,R
101,102.,Mickey Vernon (20),2495,L
102,103.,Fred McGriff (19),2490,L
103,104.,David Ortiz (20),2472,L
104,104.,Ted Simmons+ (21),2472,B
105,106.,Joe Medwick+ (17),2471,R
106,107.,Bobby Abreu (18),2470,L
107,108.,Frank Thomas+ (19),2468,R
108,109.,Roger Connor+ (18),2467,B
109,110.,Harry Hooper+ (17),2466,L
110,111.,Bill Dahlen (21),2461,R
111,111.,Jeff Kent (17),2461,R
112,113.,Ozzie Smith+ (19),2460,B
113,114.,Lloyd Waner+ (18),2459,L
114,115.,Jimmy Rollins (17),2455,B
115,116.,Torii Hunter (19),2452,R
116,116.,Jim Rice+ (16),2452,R
117,118.,Red Schoendienst+ (19),2449,B
118,119.,Dwight Evans (20),2446,R
119,120.,Mark Grace (16),2445,L
120,121.,Kenny Lofton (17),2428,L
121,122.,Pie Traynor+ (17),2416,R
122,123.,Mickey Mantle+ (18),2415,B
123,124.,Sammy Sosa (18),2408,R
124,125.,Miguel Tejada (16),2407,R
125,126.,Stuffy McInnis (19),2405,R
126,127.,"Nick Markakis (15, 36)",2388,L
127,128.,Ryne Sandberg+ (16),2386,R
128,129.,Enos Slaughter+ (19),2383,L
129,130.,Chili Davis (19),2380,B
130,131.,Edd Roush+ (18),2376,L
131,132.,Brett Butler (17),2375,L
132,132.,Michael Young (14),2375,R
133,134.,Lou Whitaker (19),2369,L
134,135.,Alan Trammell+ (20),2365,R
135,136.,Carlton Fisk+ (24),2356,R
136,137.,Joe Judge (20),2352,L
137,138.,Orlando Cepeda+ (17),2351,R
138,139.,Billy Herman+ (15),2345,R
139,140.,Joe Torre+ (18),2342,R
140,141.,Paul Konerko (18),2340,R
141,141.,Barry Larkin+ (19),2340,R
142,143.,Bernie Williams (16),2336,B
143,144.,Andres Galarraga (19),2333,R
144,145.,Jim Thome+ (22),2328,L
145,146.,Edgar Renteria (16),2327,R
146,147.,Dave Concepcion (19),2326,R
147,147.,Jake Daubert (15),2326,L
148,147.,B.J. Surhoff (19),2326,L
149,150.,Eddie Mathews+ (17),2315,L
150,151.,Jeff Bagwell+ (15),2314,R
151,152.,Jim Bottomley+ (16),2313,L
152,153.,Bobby Wallace+ (25),2309,R
153,154.,Kirby Puckett+ (12),2304,R
154,155.,Dan Brouthers+ (19),2303,L
155,155.,Aramis Ramirez (18),2303,R
156,157.,Kiki Cuyler+ (18),2299,R
157,157.,Charlie Grimm (20),2299,L
158,159.,Hugh Duffy+ (17),2293,R
159,160.,Joe Cronin+ (20),2285,R
160,161.,Gary Gaetti (20),2280,R
161,162.,Tony Fernandez (17),2276,B
162,163.,Carlos Lee (14),2273,R
163,164.,Tommy Corcoran (18),2259,R
164,165.,Bid McPhee+ (18),2258,R
165,166.,Patsy Donovan (17),2256,L
166,166.,Jimmy Dykes (22),2256,R
167,168.,Willie McGee (18),2254,B
168,168.,Ron Santo+ (15),2254,R
169,170.,Jose Cruz (19),2251,L
170,170.,Marquis Grissom (17),2251,R
171,172.,Bert Campaneris (19),2249,R
172,173.,Edgar Martinez+ (18),2247,R
173,174.,John Olerud (17),2239,L
174,175.,Mike Schmidt+ (18),2234,R
175,176.,Willie Stargell+ (21),2232,L
176,177.,Fred Tenney (17),2231,L
177,178.,Joe Sewell+ (14),2226,L
178,179.,Graig Nettles (22),2225,L
179,180.,Darrell Evans (21),2223,L
180,181.,Joe Kelley+ (17),2220,R
181,182.,Juan Pierre (14),2217,L
182,183.,Joe DiMaggio+ (13),2214,R
183,184.,Joe Kuhel (18),2212,L
184,185.,Willie McCovey+ (22),2211,L
185,186.,Willie Randolph (18),2210,R
186,187.,Willie Wilson (19),2207,B
187,188.,Jason Kendall (15),2195,R
188,189.,Stan Hack (16),2193,L
189,189.,Bill Terry+ (14),2193,L
190,191.,Cecil Cooper (17),2192,L
191,192.,Larry Bowa (16),2191,B
192,193.,Joe Carter (16),2184,R
193,194.,Keith Hernandez (17),2182,L
194,195.,Will Clark (15),2176,L
195,196.,Pee Wee Reese+ (16),2170,R
196,197.,Sherry Magee (16),2169,R
197,198.,Dick Bartell (18),2165,R
198,199.,Billy Hamilton+ (14),2164,L
199,200.,Larry Walker+ (17),2160,L
200,201.,Hal Chase (15),2158,R
201,202.,Magglio Ordonez (15),2156,R
202,203.,Victor Martinez (16),2153,B
203,203.,Don Mattingly (14),2153,L
204,205.,Ruben Sierra (20),2152,B
205,206.,Yogi Berra+ (19),2150,L
206,206.,Ed Konetchy (15),2150,R
207,208.,Ken Boyer (15),2143,R
208,208.,Ken Griffey (19),2143,L
209,208.,Tommy Leach (19),2143,R
210,211.,Placido Polanco (16),2142,R
211,212.,Dick Groat (14),2138,R
212,212.,Wally Moses (17),2138,L
213,212.,Jose Reyes (16),2138,B
214,215.,Don Baylor (19),2135,R
215,216.,Moises Alou (17),2134,R
216,216.,Maury Wills (14),2134,B
217,218.,Paul Hines (20),2133,R
218,219.,Buddy Myer (17),2131,L
219,220.,Herman Long (16),2129,L
220,221.,Mike Piazza+ (16),2127,R
221,222.,Joe Mauer (15),2123,L
222,223.,Tommy Davis (18),2121,R
223,224.,Duke Snider+ (18),2116,L
224,225.,Dale Murphy (18),2111,R
225,226.,Chris Chambliss (17),2109,L
226,227.,Ellis Burks (18),2107,R
227,227.,John Ward+ (17),2107,L
228,229.,Paul O'Neill (17),2105,L
229,230.,Arky Vaughan+ (14),2103,L
230,231.,Felipe Alou (17),2101,R
231,232.,Clyde Milan (16),2100,L
232,233.,Brian Downing (20),2099,R
233,234.,Matt Holliday (15),2096,R
234,234.,Garry Templeton (16),2096,B
235,236.,Alfonso Soriano (16),2095,R
236,237.,Gary Carter+ (19),2092,R
237,237.,Harvey Kuenn (15),2092,R
238,239.,Hal McRae (19),2091,R
239,240.,Al Dark (14),2089,R
240,241.,Cesar Cedeno (17),2087,R
241,242.,Harmon Killebrew+ (22),2086,R
242,243.,Tim Wallach (17),2085,R
243,244.,Ed McKean (13),2084,R
244,244.,Jimmy Sheckard (17),2084,L
245,246.,George Burns (15),2077,R
246,246.,Scott Rolen (17),2077,R
247,248.,Chuck Klein+ (17),2076,L
248,249.,Carney Lansford (15),2074,R
249,250.,Deacon White+ (20),2067,L
250,251.,Dixie Walker (18),2064,L
251,252.,Del Ennis (14),2063,R
252,252.,Bobby Veach (14),2063,L
253,254.,Bob Elliott (15),2061,R
254,255.,Wally Joyner (16),2060,L
255,256.,Orlando Cabrera (15),2055,R
256,257.,Ray Durham (14),2054,B
257,257.,George Kell+ (15),2054,R
258,259.,Bob Johnson (13),2051,R
259,260.,Adrian Gonzalez (15),2050,L
260,261.,Johnny Bench+ (17),2048,R
261,261.,Dummy Hoy (14),2048,L
262,263.,A.J. Pierzynski (19),2043,L
263,264.,Bobby Doerr+ (14),2042,R
264,265.,Jack Glasscock (17),2041,R
265,266.,Mark Grudzielanek (15),2040,R
266,267.,Carlos Delgado (17),2038,L
267,268.,Raul Ibanez (19),2034,L
268,269.,Lee May (18),2031,R
269,270.,Brandon Phillips (17),2029,R
270,270.,Ken Singleton (15),2029,B
271,272.,Tony Phillips (18),2023,B
272,273.,Amos Otis (17),2020,R
273,273.,Reggie Smith (17),2020,B
274,275.,Earl Averill+ (13),2019,L
275,276.,George Burns (16),2018,R
276,277.,Bill Mazeroski+ (17),2016,R
277,278.,Gary Matthews (16),2011,R
278,278.,Johnny Mize+ (15),2011,L
279,280.,Bobby Bonilla (16),2010,B
280,280.,Jason Giambi (20),2010,L
281,282.,Bill Madlock (15),2008,R
282,283.,Tony Taylor (19),2007,R
283,284.,Frank White (18),2006,R
284,285.,Dave Bancroft+ (16),2004,B
285,285.,Todd Zeile (16),2004,R
286,287.,Shawn Green (15),2003,L
287,288.,"Yadier Molina (17, 37)",2001,R
288,289.,Jimmy Collins+ (14),1999,R
289,289.,Ian Kinsler (14),1999,R
290,291.,Del Pratt (13),1996,R
291,292.,Willie Horton (18),1993,R
292,293.,George Scott (14),1992,R
293,294.,Gee Walker (15),1991,R
294,295.,Charlie Jamieson (18),1990,L
295,296.,Sam Thompson+ (15),1988,L
296,297.,Jeff Conine (17),1982,R
297,298.,Dusty Baker (19),1981,R
298,298.,Cy Williams (19),1981,L
299,300.,George Hendrick (18),1980,R
300,301.,Phil Cavarretta (22),1977,L
301,302.,Bill Dickey+ (17),1969,L
302,303.,Jay Bell (18),1963,R
303,303.,"Ryan Braun (14, 36)",1963,R
304,303.,Minnie Minoso (17),1963,R
305,306.,Melky Cabrera (15),1962,B
306,307.,Fred Lynn (17),1960,L
307,308.,Derrek Lee (15),1959,R
308,309.,Tom Brown (17),1958,L
309,309.,Ben Chapman (15),1958,R
310,311.,Toby Harrah (17),1954,R
311,312.,Jim Edmonds (17),1949,L
312,312.,Steve Sax (14),1949,R
313,314.,Kid Gleason (22),1946,B
314,315.,Pinky Higgins (14),1941,R
315,315.,Wally Pipp (15),1941,L
316,317.,Adam Jones (14),1939,R
317,318.,Juan Gonzalez (17),1936,R
318,319.,Bobby Lowe (18),1934,R
319,319.,Bing Miller (16),1934,R
320,319.,Devon White (17),1934,B
321,322.,Andruw Jones (17),1933,R
322,323.,Carl Crawford (15),1931,L
323,323.,Larry Gardner (17),1931,L
324,323.,Don Kessinger (16),1931,B
325,326.,Marty McManus (15),1926,R
326,326.,Bill Russell (18),1926,R
327,328.,George Foster (18),1925,R
328,328.,Tino Martinez (16),1925,L
329,330.,Gil Hodges (18),1921,R
330,331.,Fielder Jones (15),1920,L
331,332.,Tony Oliva (15),1917,L
332,333.,Jose Cardenal (18),1913,R
333,333.,Ron Fairly (21),1913,L
334,335.,Gabby Hartnett+ (20),1912,R
335,336.,Carl Furillo (15),1910,R
336,337.,"Joey Votto (14, 36)",1908,L
337,338.,Dante Bichette (14),1906,R
338,338.,Jack Tobin (13),1906,L
339,340.,Lance Berkman (15),1905,B
340,341.,Royce Clayton (17),1904,R
341,342.,Brian Giles (15),1897,L
342,342.,Terry Pendleton (15),1897,B
343,344.,Luis Castillo (15),1889,B
344,344.,Jim Gilliam (14),1889,B
345,346.,Larry Doyle (14),1887,L
346,347.,Bobby Bonds (14),1886,R
347,348.,Chase Utley (16),1885,L
348,348.,Robin Ventura (16),1885,L
349,350.,Vinny Castilla (16),1884,R
350,350.,Claudell Washington (17),1884,L
351,352.,Tommy Tucker (13),1882,B
352,353.,Matt Williams (17),1878,R
353,354.,Jose Canseco (17),1877,R
354,355.,Roger Peckinpaugh (17),1876,R
355,356.,Chet Lemon (16),1875,R
356,357.,Ron Cey (17),1868,R
357,358.,Earle Combs+ (12),1866,L
358,359.,Eddie Yost (18),1863,R
359,360.,Bobby Murcer (17),1862,L
360,360.,Mark Teixeira (14),1862,B
361,362.,Curt Flood (15),1861,R
362,363.,Vern Stephens (15),1859,R
363,364.,Pete Runnels (14),1854,L
364,365.,Dick Allen (15),1848,R
365,366.,John Anderson (14),1843,B
366,367.,Harry Davis (22),1841,R
367,368.,Tony Lazzeri+ (14),1840,R
368,369.,Chuck Knoblauch (12),1839,R
369,370.,Home Run Baker+ (13),1838,L
370,370.,Bob Boone (19),1838,R
371,370.,Mike Tiernan (13),1838,L
372,370.,Sam West (16),1838,L
373,374.,Arlie Latham (17),1836,R
374,375.,Hanley Ramirez (15),1834,R
375,376.,Bobby Grich (17),1833,R
376,377.,Joe Adcock (17),1832,R
377,377.,"Edwin Encarnacion (16, 37)",1832,R
378,379.,Benito Santiago (20),1830,R
379,380.,Jack Clark (18),1826,R
380,380.,Bob Watson (19),1826,R
381,382.,Gus Bell (15),1823,L
382,383.,Norm Cash (17),1820,L
383,384.,Babe Herman (13),1818,L
384,385.,Rafael Furcal (14),1817,B
385,386.,King Kelly+ (16),1813,R
386,387.,Jack Doyle (17),1811,R
387,388.,"Matt Kemp (15, 35)",1808,R
388,389.,Kip Selbach (13),1807,R
389,390.,Milt Stock (14),1806,R
390,391.,"Dustin Pedroia (14, 36)",1805,R
391,392.,Donie Bush (16),1804,B
392,392.,Joe Quinn (17),1804,R
393,394.,Roy White (15),1803,B
394,395.,Garry Maddox (15),1802,R
395,396.,Curtis Granderson (16),1800,L
396,397.,Andy Pafko (17),1796,R
397,398.,Greg Luzinski (15),1795,R
398,399.,Vernon Wells (15),1794,R
399,400.,Ernie Lombardi+ (17),1792,R
400,401.,Hunter Pence (14),1791,R
401,402.,Sal Bando (16),1790,R
402,403.,Larry Parrish (15),1789,R
403,404.,Mark Kotsay (17),1784,L
404,404.,"Ryan Zimmerman (15, 35)",1784,R
405,406.,Lance Parrish (19),1782,R
406,407.,Lou Boudreau+ (15),1779,R
407,407.,Jermaine Dye (14),1779,R
408,409.,High Pockets Kelly+ (16),1778,R
409,409.,Alex Rios (12),1778,R
410,411.,Matty Alou (15),1777,L
411,411.,"Nelson Cruz (16, 39)",1777,R
412,411.,David Wright (14),1777,R
413,414.,Travis Fryman (13),1776,R
414,414.,Boog Powell (17),1776,L
415,416.,Bret Boone (14),1775,R
416,416.,Harry Stovey (14),1775,R
417,418.,Heinie Groh (16),1774,R
418,418.,Frank Howard (16),1774,R
419,420.,Shoeless Joe Jackson (13),1772,L
420,421.,Travis Jackson+ (15),1768,R
421,422.,Ted Kluszewski (15),1766,L
422,422.,Frank Schulte (15),1766,L
423,424.,Ozzie Guillen (16),1764,L
424,425.,Jhonny Peralta (15),1761,R
425,426.,Ginger Beaumont (12),1759,L
426,426.,Chris Speier (19),1759,R
427,426.,Randy Winn (13),1759,B
428,429.,Johnny Callison (16),1757,L
429,430.,Mike Griffin (12),1755,L
430,431.,Elmer Flick+ (13),1752,L
431,431.,"Evan Longoria (13, 34)",1752,R
432,433.,Ossie Bluege (18),1751,R
433,434.,Deacon McGuire (26),1750,R
434,435.,Kent Hrbek (14),1749,L
435,436.,Nomar Garciaparra (14),1747,R
436,436.,Howie Kendrick (15),1747,R
437,436.,Freddie Lindstrom+ (13),1747,R
438,439.,"Elvis Andrus (12, 31)",1743,R
439,440.,Eric Young Sr. (15),1731,R
440,441.,Rocky Colavito (14),1730,R
441,442.,Tony Cuccinello (15),1729,R
442,443.,Steve Brodie (12),1728,L
443,444.,Albert Belle (12),1726,R
444,444.,Jim Fregosi (18),1726,R
445,446.,Leo Cardenas (16),1725,R
446,447.,Eric Karros (14),1724,R
447,447.,Cy Seymour (16),1724,L
448,449.,Cupid Childs (13),1721,L
449,450.,"Andrew McCutchen (12, 33)",1719,R
450,451.,Vic Power (12),1716,R
451,452.,Baby Doll Jacobson (11),1714,R
452,453.,Mark Loretta (15),1713,R
453,454.,Frank McCormick (13),1711,R
454,455.,Ken Caminiti (15),1710,B
455,456.,Augie Galan (16),1706,B
456,456.,Bill White (13),1706,L
457,458.,Lou Piniella (18),1705,R
458,458.,Bobby Thomson (15),1705,R
459,460.,Roy Sievers (17),1703,R
460,461.,George Bell (12),1702,R
461,462.,Pinky Whitney (12),1701,R
462,463.,Mike Cameron (17),1700,R
463,463.,Dave Philley (18),1700,B
464,465.,Aubrey Huff (13),1699,L
465,466.,Darin Erstad (14),1697,L
466,467.,Lu Blue (13),1696,B
467,467.,Jim Gantner (17),1696,L
468,469.,Richie Hebner (18),1694,L
469,469.,Hardy Richardson (14),1694,R
470,471.,Bob Meusel (11),1693,R
471,472.,"Asdrubal Cabrera (14, 34)",1692,B
472,472.,Rick Ferrell+ (18),1692,R
473,472.,Vic Wertz (17),1692,L
474,475.,Billy Goodman (16),1691,L
475,476.,Joe Tinker+ (15),1690,R
476,477.,Alfredo Griffin (18),1688,B
477,478.,Shano Collins (16),1687,R
478,478.,Tony Pena (18),1687,R
479,480.,Joe Vosmik (13),1682,R
480,481.,"Justin Upton (14, 32)",1681,R
481,482.,Dom DiMaggio (11),1680,R
482,482.,Fred Pfeffer (16),1680,R
483,484.,Pete Fox (13),1678,R
484,485.,Rico Carty (15),1677,R
485,486.,Tim Salmon (14),1674,R
486,487.,"Shin-Soo Choo (16, 37)",1671,L
487,487.,Davey Lopes (16),1671,R
488,487.,Frank Thomas (16),1671,R
489,490.,Reggie Sanders (17),1666,R
490,491.,Jim Wynn (15),1665,R
491,492.,Jorge Posada (17),1664,B
492,493.,Brady Anderson (15),1661,L
493,494.,Mickey Rivers (15),1660,L
494,494.,Cookie Rojas (16),1660,R
495,496.,Johnny Evers+ (18),1659,L
496,497.,Whitey Lockman (15),1658,L
497,498.,Shannon Stewart (14),1653,R
498,499.,Mickey Cochrane+ (13),1652,L
499,500.,Bill Bruton (12),1651,L
500,500.,Ron Gant (16),1651,R
501,502.,Enos Cabell (15),1647,R
502,503.,Pete Browning (13),1646,R
503,504.,Prince Fielder (12),1645,L
504,505.,"Alex Gordon (14, 36)",1643,L
505,505.,Willie Kamm (13),1643,R
506,507.,Bill Hallman (14),1641,R
507,508.,Roy McMillan (16),1639,R
508,509.,"Starlin Castro (11, 30)",1633,R
509,510.,Adam Dunn (14),1631,L
510,510.,Jack Fournier (15),1631,L
511,512.,Hank Greenberg+ (13),1628,R
512,513.,Mark McGwire (16),1626,R
513,514.,Buck Ewing+ (18),1625,R
514,515.,Don Money (16),1623,R
515,516.,Rudy York (13),1621,R
516,517.,Mo Vaughn (12),1620,L
517,518.,Mike Lowell (13),1619,R
518,518.,Rick Monday (19),1619,L
519,518.,Jorge Orta (16),1619,L
520,518.,Claude Ritchey (13),1619,B
521,522.,Pedro Guerrero (15),1618,R
522,523.,Felix Millan (12),1617,R
523,524.,Billy Nash (15),1616,R
524,525.,Jo-Jo Moore (12),1615,L
525,525.,Ben Oglivie (16),1615,L
526,527.,Mike Hargrove (12),1614,L
527,528.,Billy Jurges (17),1613,R
528,528.,Dode Paskert (15),1613,R
529,530.,George Gore (14),1612,L
530,531.,"Jose Altuve (10, 30)",1610,R
531,532.,Tommy Harper (15),1609,R
532,533.,Hubie Brooks (15),1608,R
533,534.,Willie Montanez (14),1604,L
534,534.,Jim Piersall (17),1604,R
535,536.,Justin Morneau (14),1603,L
536,537.,Mark McLemore (19),1602,B
537,538.,Dave Martinez (16),1599,L
538,539.,Jeff Cirillo (14),1598,R
539,540.,Shawon Dunston (18),1597,R
540,540.,Germany Smith (15),1597,R
541,542.,Bill Virdon (12),1596,L
542,543.,Phil Garner (16),1594,R
543,544.,Gregg Jefferies (14),1593,B
544,545.,Hughie Critz (12),1591,R
545,545.,Bill Freehan (15),1591,R
546,545.,Jose Guillen (14),1591,R
547,548.,Brian McCann (15),1590,L
548,549.,Raul Mondesi (13),1589,R
549,550.,Sparky Adams (13),1588,R
550,550.,George McQuinn (12),1588,L
551,550.,Phil Rizzuto+ (13),1588,R
552,553.,Gene Woodling (17),1585,L
553,554.,Carlos Baerga (14),1583,B
554,554.,Tom Daly (17),1583,B
555,556.,Fred Merkle (16),1580,R
556,557.,Brad Ausmus (18),1579,R
557,557.,Duff Cooley (13),1579,L
558,559.,Juan Samuel (16),1578,R
559,559.,Harry Steinfeldt (14),1578,R
560,561.,Rich Aurilia (15),1576,R
561,562.,Dave Kingman (16),1575,R
562,562.,Ivy Olson (14),1575,R
563,564.,Ezra Sutton (18),1574,R
564,565.,Coco Crisp (15),1572,B
565,565.,Duke Farrell (18),1572,B
566,565.,"Daniel Murphy (12, 35)",1572,L
567,568.,Dave Cash (12),1571,R
568,568.,David Justice (14),1571,L
569,570.,Ken Keltner (13),1570,R
570,570.,Aurelio Rodriguez (17),1570,R
571,572.,Juan Uribe (16),1568,R
572,573.,Bill Skowron (14),1566,R
