,Rank,"Player (yrs, age)",Total Bases,Bats
0,1.,Hank Aaron+ (23),6856,R
1,2.,Stan Musial+ (22),6134,L
2,3.,Willie Mays+ (22),6066,R
3,4.,Barry Bonds (22),5976,L
4,5.,"Albert Pujols (20, 40)",5923,R
5,6.,Ty Cobb+ (24),5854,L
6,7.,Alex Rodriguez (22),5813,R
7,8.,Babe Ruth+ (22),5793,L
8,9.,Pete Rose (24),5752,B
9,10.,Carl Yastrzemski+ (23),5539,L
10,11.,Eddie Murray+ (21),5397,B
11,12.,Rafael Palmeiro (20),5388,L
12,13.,Frank Robinson+ (21),5373,R
13,14.,Adrian Beltre (21),5309,R
14,15.,Ken Griffey Jr.+ (22),5271,L
15,16.,Dave Winfield+ (22),5221,R
16,17.,Cal Ripken Jr.+ (21),5168,R
17,18.,Tris Speaker+ (22),5101,L
18,19.,Lou Gehrig+ (17),5060,L
19,20.,George Brett+ (21),5044,L
20,21.,Mel Ott+ (22),5041,L
21,22.,Jimmie Foxx+ (20),4956,R
22,23.,"Miguel Cabrera (18, 37)",4942,R
23,24.,Derek Jeter+ (20),4921,R
24,25.,Ted Williams+ (19),4884,L
25,26.,Honus Wagner+ (21),4870,R
26,27.,Paul Molitor+ (21),4854,R
27,28.,Al Kaline+ (22),4852,R
28,29.,Reggie Jackson+ (21),4834,L
29,30.,Manny Ramirez (19),4826,R
30,31.,Andre Dawson+ (21),4787,R
31,32.,David Ortiz (20),4765,L
32,33.,Chipper Jones+ (19),4755,B
33,34.,Carlos Beltran (20),4751,B
34,35.,Gary Sheffield (22),4737,R
35,36.,Robin Yount+ (20),4730,R
36,37.,Rogers Hornsby+ (23),4712,R
37,38.,Craig Biggio+ (20),4711,R
38,39.,Ernie Banks+ (19),4706,R
39,40.,Sammy Sosa (18),4704,R
40,41.,Al Simmons+ (20),4685,R
41,42.,Jim Thome+ (22),4667,L
42,43.,Harold Baines+ (22),4604,L
43,44.,Billy Williams+ (18),4599,L
44,45.,Cap Anson+ (27),4592,R
45,46.,Rickey Henderson+ (25),4588,R
46,47.,Frank Thomas+ (19),4550,R
47,48.,Tony Perez+ (23),4532,R
48,49.,Mickey Mantle+ (18),4511,B
49,50.,Vladimir Guerrero+ (16),4506,R
50,51.,Roberto Clemente+ (18),4492,R
51,52.,Paul Waner+ (20),4478,L
52,53.,Nap Lajoie+ (21),4472,R
53,54.,Fred McGriff (19),4458,L
54,55.,Ivan Rodriguez+ (21),4451,R
55,56.,Dave Parker (19),4405,L
56,57.,Mike Schmidt+ (18),4404,R
57,58.,Luis Gonzalez (19),4385,L
58,59.,Eddie Mathews+ (17),4349,L
59,60.,Sam Crawford+ (19),4328,L
60,61.,Goose Goslin+ (18),4325,L
61,62.,Todd Helton (17),4292,L
62,63.,Brooks Robinson+ (23),4270,R
63,64.,Eddie Collins+ (25),4268,L
64,65.,Vada Pinson (18),4264,L
65,66.,"Robinson Cano (16, 37)",4263,L
66,67.,Tony Gwynn+ (20),4259,L
67,68.,Charlie Gehringer+ (19),4257,L
68,69.,Jeff Kent (17),4246,R
69,70.,Lou Brock+ (19),4238,L
70,71.,Dwight Evans (20),4230,R
71,72.,Willie McCovey+ (22),4219,L
72,73.,Johnny Damon (18),4214,L
73,74.,Jeff Bagwell+ (15),4213,R
74,75.,Willie Stargell+ (21),4190,L
75,76.,Rusty Staub (23),4185,L
76,77.,Jake Beckley+ (20),4160,L
77,78.,Steve Finley (19),4157,L
78,79.,Harmon Killebrew+ (22),4143,R
79,80.,Jim Rice+ (16),4129,R
80,81.,Zack Wheat+ (19),4100,L
81,82.,Torii Hunter (19),4087,R
82,83.,Paul Konerko (18),4083,R
83,83.,Al Oliver (18),4083,L
84,85.,Wade Boggs+ (18),4064,L
85,86.,Harry Heilmann+ (17),4053,R
86,87.,Andres Galarraga (19),4038,R
87,88.,Bobby Abreu (18),4026,L
88,89.,Roberto Alomar+ (17),4018,B
89,90.,Aramis Ramirez (18),4004,R
90,91.,Carlton Fisk+ (24),3999,R
91,92.,Rod Carew+ (19),3998,L
92,93.,Ichiro Suzuki (19),3994,L
93,94.,Garret Anderson (17),3984,L
94,95.,Carlos Delgado (17),3976,L
95,96.,Joe Morgan+ (22),3962,L
96,97.,Orlando Cepeda+ (17),3959,R
97,98.,Sam Rice+ (20),3955,L
98,99.,Joe DiMaggio+ (13),3948,R
99,100.,Steve Garvey (19),3941,R
100,101.,Frankie Frisch+ (19),3937,B
101,102.,Chili Davis (19),3914,B
102,103.,Joe Carter (16),3910,R
103,104.,Larry Walker+ (17),3904,L
104,105.,Jimmy Rollins (17),3889,B
105,106.,Gary Gaetti (20),3881,R
106,107.,Alfonso Soriano (16),3874,R
107,108.,George Sisler+ (15),3871,L
108,109.,Darrell Evans (21),3866,L
109,110.,Duke Snider+ (18),3865,L
110,111.,Carlos Lee (14),3854,R
111,112.,Joe Medwick+ (17),3852,R
112,113.,Miguel Tejada (16),3842,R
113,114.,Bill Buckner (22),3833,L
114,115.,Ed Delahanty+ (16),3794,R
115,116.,Ted Simmons+ (21),3793,B
116,117.,Roger Connor+ (18),3788,B
117,118.,Ryne Sandberg+ (16),3787,R
118,119.,Graig Nettles (22),3779,L
119,119.,Ron Santo+ (15),3779,R
120,121.,Willie Davis (18),3778,L
121,122.,Tim Raines+ (23),3771,B
122,123.,Mike Piazza+ (16),3768,R
123,124.,Jesse Burkett+ (16),3759,L
124,125.,Bernie Williams (16),3756,B
125,126.,Jason Giambi (20),3753,L
126,127.,Mickey Vernon (20),3741,L
127,128.,Jim Bottomley+ (16),3737,L
128,129.,Dale Murphy (18),3733,R
129,130.,Omar Vizquel (24),3727,B
130,131.,Edgar Martinez+ (18),3718,R
131,132.,Ellis Burks (18),3691,R
132,133.,Andruw Jones (17),3690,R
133,134.,Fred Clarke+ (21),3680,L
134,135.,Juan Gonzalez (17),3676,R
135,136.,Heinie Manush+ (17),3665,L
136,137.,George Davis+ (20),3663,B
137,138.,Buddy Bell (18),3654,R
138,139.,Lou Whitaker (19),3651,L
139,140.,Johnny Bench+ (17),3644,R
140,141.,Yogi Berra+ (19),3643,L
141,142.,Mark McGwire (16),3639,R
142,143.,Jimmy Ryan (18),3632,R
143,144.,Jose Canseco (17),3631,R
144,145.,Moises Alou (17),3629,R
