,Rank,"Player (yrs, age)",Bases on Balls,Bats
0,1.,Barry Bonds (22),2558,L
1,2.,Rickey Henderson+ (25),2190,R
2,3.,Babe Ruth+ (22),2062,L
3,4.,Ted Williams+ (19),2021,L
4,5.,Joe Morgan+ (22),1865,L
5,6.,Carl Yastrzemski+ (23),1845,L
6,7.,Jim Thome+ (22),1747,L
7,8.,Mickey Mantle+ (18),1733,B
8,9.,Mel Ott+ (22),1708,L
9,10.,Frank Thomas+ (19),1667,R
10,11.,Eddie Yost (18),1614,R
11,12.,Darrell Evans (21),1605,L
12,13.,Stan Musial+ (22),1599,L
13,14.,Pete Rose (24),1566,B
14,15.,Harmon Killebrew+ (22),1559,R
15,16.,Chipper Jones+ (19),1512,B
16,17.,Lou Gehrig+ (17),1508,L
17,18.,Mike Schmidt+ (18),1507,R
18,19.,Eddie Collins+ (25),1499,L
19,20.,Bobby Abreu (18),1476,L
20,21.,Gary Sheffield (22),1475,R
21,22.,Willie Mays+ (22),1464,R
22,23.,Jimmie Foxx+ (20),1452,R
23,24.,Eddie Mathews+ (17),1444,L
24,25.,Frank Robinson+ (21),1420,R
25,26.,Wade Boggs+ (18),1412,L
26,27.,Hank Aaron+ (23),1402,R
27,28.,Jeff Bagwell+ (15),1401,R
28,29.,Dwight Evans (20),1391,R
29,30.,Tris Speaker+ (22),1381,L
30,31.,Reggie Jackson+ (21),1375,L
31,32.,Jason Giambi (20),1366,L
32,33.,Rafael Palmeiro (20),1353,L
33,34.,Willie McCovey+ (22),1345,L
34,35.,Alex Rodriguez (22),1338,R
35,36.,Todd Helton (17),1335,L
36,37.,Eddie Murray+ (21),1333,B
37,38.,"Albert Pujols (20, 40)",1331,R
38,39.,Tim Raines+ (23),1330,B
39,40.,Manny Ramirez (19),1329,R
40,41.,David Ortiz (20),1319,L
41,41.,Tony Phillips (18),1319,B
42,43.,Adam Dunn (14),1317,L
43,43.,Mark McGwire (16),1317,R
44,45.,Ken Griffey Jr.+ (22),1312,L
45,46.,Fred McGriff (19),1305,L
46,47.,Luke Appling+ (20),1302,R
47,48.,Edgar Martinez+ (18),1283,R
48,49.,Al Kaline+ (22),1277,R
49,50.,John Olerud (17),1275,L
50,51.,Ken Singleton (15),1263,B
51,52.,Jack Clark (18),1262,R
52,53.,Rusty Staub (23),1255,L
53,54.,Ty Cobb+ (24),1249,L
54,55.,Willie Randolph (18),1243,R
55,56.,Jim Wynn (15),1224,R
56,57.,"Joey Votto (14, 36)",1217,L
57,58.,Dave Winfield+ (22),1216,R
58,59.,Pee Wee Reese+ (16),1210,R
59,60.,Lance Berkman (15),1201,B
60,61.,Richie Ashburn+ (15),1198,L
61,62.,Brian Downing (20),1197,R
62,62.,Lou Whitaker (19),1197,L
63,64.,Chili Davis (19),1194,B
64,65.,Billy Hamilton+ (14),1189,L
65,66.,Charlie Gehringer+ (19),1186,L
66,67.,Brian Giles (15),1183,L
67,68.,Craig Biggio+ (20),1160,R
68,69.,"Miguel Cabrera (18, 37)",1159,R
69,70.,Donie Bush (16),1158,B
70,71.,Max Bishop (12),1156,L
71,72.,Luis Gonzalez (19),1155,L
72,73.,Toby Harrah (17),1153,R
73,74.,Harry Hooper+ (17),1136,L
74,75.,Jimmy Sheckard (17),1135,L
75,76.,Brett Butler (17),1129,L
76,76.,Cal Ripken Jr.+ (21),1129,R
77,78.,Carlos Delgado (17),1109,L
78,79.,Ron Santo+ (15),1108,R
79,80.,George Brett+ (21),1096,L
80,81.,Paul Molitor+ (21),1094,R
81,82.,Lu Blue (13),1092,B
82,82.,Stan Hack (16),1092,L
83,84.,Paul Waner+ (20),1091,L
84,85.,Graig Nettles (22),1088,L
85,86.,Bobby Grich (17),1087,R
86,87.,Carlos Beltran (20),1084,B
87,88.,Derek Jeter+ (20),1082,R
88,89.,Mark Grace (16),1075,L
89,89.,Bob Johnson (13),1075,R
90,89.,Robin Ventura (16),1075,L
