,Rank,"Player (yrs, age)",Adjusted OPS+,Bats
0,1.,Babe Ruth+ (22),206,L
1,2.,Ted Williams+ (19),191,L
2,3.,Barry Bonds (22),182,L
3,4.,Lou Gehrig+ (17),179,L
4,5.,"Mike Trout (10, 28)",176,R
5,6.,Rogers Hornsby+ (23),175,R
6,7.,Mickey Mantle+ (18),172,B
7,8.,Dan Brouthers+ (19),171,L
8,9.,Shoeless Joe Jackson (13),170,L
9,10.,Ty Cobb+ (24),168,L
10,11.,Pete Browning (13),163,R
11,11.,Jimmie Foxx+ (20),163,R
12,11.,Mark McGwire (16),163,R
13,14.,Dave Orr (8),162,R
14,15.,Hank Greenberg+ (13),159,R
15,15.,Stan Musial+ (22),159,L
16,17.,Johnny Mize+ (15),158,L
17,17.,Tris Speaker+ (22),158,L
18,19.,Dick Allen (15),156,R
19,19.,Willie Mays+ (22),156,R
20,19.,Frank Thomas+ (19),156,R
21,22.,Hank Aaron+ (23),155,R
22,22.,Joe DiMaggio+ (13),155,R
23,22.,Mel Ott+ (22),155,L
24,25.,Manny Ramirez (19),154,R
25,25.,Frank Robinson+ (21),154,R
26,27.,Roger Connor+ (18),153,B
27,28.,Ed Delahanty+ (16),152,R
28,28.,Charlie Keller (13),152,L
29,30.,Gavvy Cravath (11),151,R
30,30.,Honus Wagner+ (21),151,R
31,32.,Charley Jones (12),150,R
32,32.,Nap Lajoie+ (21),150,R
33,34.,Jeff Bagwell+ (15),149,R
34,34.,Benny Kauff (8),149,L
35,34.,Ralph Kiner+ (10),149,R
36,34.,"Joey Votto (14, 36)",149,L
37,38.,Elmer Flick+ (13),148,L
38,38.,Harry Heilmann+ (17),148,R
39,38.,Mike Schmidt+ (18),148,R
40,41.,"Miguel Cabrera (18, 37)",147,R
41,41.,Edgar Martinez+ (18),147,R
42,41.,Willie McCovey+ (22),147,L
43,41.,Willie Stargell+ (21),147,L
44,41.,Jim Thome+ (22),147,L
45,41.,Sam Thompson+ (15),147,L
46,47.,"Albert Pujols (20, 40)",146,R
47,48.,Albert Belle (12),144,R
48,48.,Lance Berkman (15),144,B
49,48.,Sam Crawford+ (19),144,L
50,48.,Mike Donlin (12),144,L
51,48.,Tip O'Neill (10),144,R
52,48.,"Giancarlo Stanton (11, 30)",144,R
53,48.,George Stone (7),144,L
54,48.,Harry Stovey (14),144,R
55,48.,Hack Wilson+ (12),144,R
56,57.,Bill Joyce (8),143,L
57,57.,Harmon Killebrew+ (22),143,R
58,57.,Eddie Mathews+ (17),143,L
59,57.,Lefty O'Doul (11),143,L
60,57.,Mike Piazza+ (16),143,R
61,62.,Cap Anson+ (27),142,R
62,62.,Eddie Collins+ (25),142,L
63,62.,Jack Fournier (15),142,L
64,62.,Frank Howard (16),142,R
65,62.,Henry Larkin (10),142,R
66,62.,Kevin Mitchell (13),142,R
67,62.,Ed Swartwood (9),142,L
68,69.,"Paul Goldschmidt (10, 32)",141,R
69,69.,Billy Hamilton+ (14),141,L
70,69.,Babe Herman (13),141,L
71,69.,Chipper Jones+ (19),141,B
72,69.,David Ortiz (20),141,L
73,69.,Larry Walker+ (17),141,L
74,75.,Jesse Burkett+ (16),140,L
75,75.,Vladimir Guerrero+ (16),140,R
76,75.,Denny Lyons (13),140,R
77,75.,Alex Rodriguez (22),140,R
78,75.,Gary Sheffield (22),140,R
79,75.,Duke Snider+ (18),140,L
80,81.,Norm Cash (17),139,L
81,81.,"Freddie Freeman (11, 30)",139,L
82,81.,Jason Giambi (20),139,L
83,81.,Jeff Heath (14),139,L
84,81.,Reggie Jackson+ (21),139,L
85,81.,Bob Johnson (13),139,R
86,87.,Wally Berger (11),138,R
87,87.,Carlos Delgado (17),138,L
88,87.,"Bryce Harper (9, 27)",138,L
89,87.,King Kelly+ (16),138,R
90,87.,Darryl Strawberry (17),138,L
91,87.,Mike Tiernan (13),138,L
92,87.,Ken Williams (14),138,L
93,94.,Jack Clark (18),137,R
94,94.,Will Clark (15),137,L
95,94.,Brian Giles (15),137,L
96,94.,Pedro Guerrero (15),137,R
97,94.,Chuck Klein+ (17),137,L
98,94.,Sherry Magee (16),137,R
99,94.,Al Rosen (10),137,R
100,94.,Reggie Smith (17),137,B
101,102.,"José Abreu (7, 33)",136,R
102,102.,Dolph Camilli (12),136,L
103,102.,Fred Carroll (8),136,R
104,102.,Larry Doby+ (13),136,L
105,102.,"Josh Donaldson (10, 34)",136,R
106,102.,Jim Gentile (9),136,L
107,102.,George Gore (14),136,L
108,102.,Ken Griffey Jr.+ (22),136,L
109,102.,Gene Tenace (15),136,R
110,102.,Bill Terry+ (14),136,L
111,102.,Arky Vaughan+ (14),136,L
112,113.,Home Run Baker+ (13),135,L
113,113.,"Mookie Betts (7, 27)",135,R
114,113.,George Brett+ (21),135,L
115,113.,Oyster Burns (11),135,R
116,113.,Frank Chance+ (17),135,R
117,113.,"J.D. Martinez (10, 32)",135,R
118,113.,John McGraw+ (17),135,L
119,113.,"Christian Yelich (8, 28)",135,L
120,121.,"Ryan Braun (14, 36)",134,R
121,121.,"Kris Bryant (6, 28)",134,R
122,121.,Fred Dunlap (12),134,R
123,121.,Prince Fielder (12),134,L
124,121.,Travis Hafner (12),134,L
125,121.,Al Kaline+ (22),134,R
126,121.,John Kruk (10),134,L
127,121.,Fred McGriff (19),134,L
128,121.,Joe Medwick+ (17),134,R
129,121.,Jim O'Rourke+ (23),134,R
130,121.,Boog Powell (17),134,L
131,121.,Jake Stenzel (9),134,R
132,121.,Paul Waner+ (20),134,L
133,134.,Earl Averill+ (13),133,L
134,134.,Orlando Cepeda+ (17),133,R
135,134.,Fred Clarke+ (21),133,L
136,134.,"Nelson Cruz (16, 39)",133,R
137,134.,Chick Hafey+ (13),133,R
138,134.,Todd Helton (17),133,L
139,134.,Joe Kelley+ (17),133,R
140,134.,"Andrew McCutchen (12, 33)",133,R
141,134.,Al Simmons+ (20),133,R
142,134.,Danny Tartabull (14),133,R
143,134.,Billy Williams+ (18),133,L
144,134.,David Wright (14),133,R
145,146.,Jose Canseco (17),132,R
146,146.,Rico Carty (15),132,R
147,146.,Rocky Colavito (14),132,R
148,146.,Roy Cullenbine (10),132,B
149,146.,Jim Edmonds (17),132,L
150,146.,Buck Freeman (11),132,L
151,146.,Juan Gonzalez (17),132,R
152,146.,Tony Gwynn+ (20),132,L
153,146.,Joe Harris (10),132,R
154,146.,Tommy Henrich (11),132,L
155,146.,Charlie Hickman (12),132,R
156,146.,Paul Hines (20),132,R
157,146.,Matt Holliday (15),132,R
158,146.,Joe Morgan+ (22),132,L
159,146.,Bill Nicholson (16),132,L
160,146.,Bob Nieman (12),132,R
161,146.,Rafael Palmeiro (20),132,L
162,146.,Jackie Robinson+ (10),132,R
163,146.,Ken Singleton (15),132,B
164,146.,Mo Vaughn (12),132,L
165,166.,Wade Boggs+ (18),131,L
166,166.,Rod Carew+ (19),131,L
167,166.,Tony Oliva (15),131,L
168,166.,Hardy Richardson (14),131,R
169,166.,"George Springer (7, 30)",131,R
170,171.,Roberto Clemente+ (18),130,R
171,171.,Mike Epstein (9),130,L
172,171.,Greg Luzinski (15),130,R
173,171.,Minnie Minoso (17),130,R
174,171.,Socks Seybold (9),130,R
175,171.,Hal Trosky (11),130,L
176,171.,Dave Winfield+ (22),130,R
177,171.,Carl Yastrzemski+ (23),130,L
178,171.,Ross Youngs+ (10),130,L
179,180.,Bobby Bonds (14),129,R
180,180.,Mickey Cochrane+ (13),129,L
181,180.,Buck Ewing+ (18),129,R
182,180.,Adrian Gonzalez (15),129,L
183,180.,Sid Gordon (13),129,R
184,180.,Josh Hamilton (9),129,L
185,180.,David Justice (14),129,L
186,180.,Fred Lynn (17),129,L
187,180.,Eddie Murray+ (21),129,B
188,180.,John Olerud (17),129,L
189,180.,John Reilly (10),129,R
190,180.,"Anthony Rizzo (10, 30)",129,L
191,180.,Riggs Stephenson (14),129,R
192,180.,Joe Torre+ (18),129,R
193,180.,Bob Watson (19),129,R
194,180.,Zack Wheat+ (19),129,L
195,180.,Jim Wynn (15),129,R
196,197.,Bobby Abreu (18),128,L
197,197.,Moises Alou (17),128,R
198,197.,Steve Evans (8),128,L
199,197.,Doc Gessler (8),128,L
200,197.,Goose Goslin+ (18),128,L
201,197.,Topsy Hartsel (14),128,L
202,197.,Keith Hernandez (17),128,L
203,197.,Kent Hrbek (14),128,L
204,197.,Ryan Klesko (16),128,L
205,197.,"Buster Posey (11, 33)",128,R
206,197.,Pete Reiser (10),128,L
207,197.,Jim Rice+ (16),128,R
208,197.,Tim Salmon (14),128,R
209,197.,Sammy Sosa (18),128,R
210,197.,John Titus (11),128,L
211,197.,"Justin Turner (12, 35)",128,R
212,213.,Bob Allison (13),127,R
213,213.,Alvin Davis (9),127,L
214,213.,Bill Dickey+ (17),127,L
215,213.,Dwight Evans (20),127,R
216,213.,Oscar Gamble (17),127,L
