,Rank,"Player (yrs, age)",Adj. Batting Runs,Bats
0,1.,Babe Ruth+ (22),1384,L
1,2.,Barry Bonds (22),1303,L
2,3.,Ted Williams+ (19),1137,L
3,4.,Ty Cobb+ (24),1037,L
4,5.,Lou Gehrig+ (17),979,L
5,6.,Stan Musial+ (22),958,L
6,7.,Hank Aaron+ (23),924,R
7,8.,Rogers Hornsby+ (23),882,R
8,9.,Mickey Mantle+ (18),860,B
9,10.,Willie Mays+ (22),847,R
10,11.,Tris Speaker+ (22),846,L
11,12.,Mel Ott+ (22),794,L
12,13.,Jimmie Foxx+ (20),784,R
13,14.,Frank Robinson+ (21),779,R
14,15.,Frank Thomas+ (19),757,R
15,16.,"Albert Pujols (20, 40)",738,R
16,17.,Manny Ramirez (19),711,R
17,18.,Honus Wagner+ (21),669,R
18,19.,Dan Brouthers+ (19),644,L
19,20.,"Miguel Cabrera (18, 37)",643,R
20,21.,Alex Rodriguez (22),637,R
21,22.,Jim Thome+ (22),636,L
22,23.,Eddie Collins+ (25),630,L
23,24.,Jeff Bagwell+ (15),624,R
24,25.,Chipper Jones+ (19),591,B
25,26.,Mark McGwire (16),590,R
26,26.,Gary Sheffield (22),590,R
27,28.,Cap Anson+ (27),587,R
28,29.,Mike Schmidt+ (18),578,R
29,30.,Nap Lajoie+ (21),575,R
30,31.,Edgar Martinez+ (18),569,R
31,32.,Roger Connor+ (18),555,B
32,33.,Ed Delahanty+ (16),551,R
33,33.,Willie McCovey+ (22),551,L
34,35.,Eddie Mathews+ (17),550,L
35,36.,Rickey Henderson+ (25),549,R
36,37.,Harry Heilmann+ (17),543,R
37,38.,David Ortiz (20),542,L
38,39.,Carl Yastrzemski+ (23),541,L
39,40.,Joe DiMaggio+ (13),522,R
40,41.,Reggie Jackson+ (21),520,L
41,42.,Johnny Mize+ (15),517,L
42,43.,"Mike Trout (10, 28)",516,R
43,44.,Ken Griffey Jr.+ (22),511,L
44,45.,Harmon Killebrew+ (22),509,R
45,46.,George Brett+ (21),507,L
46,47.,"Joey Votto (14, 36)",502,L
47,48.,Rafael Palmeiro (20),500,L
48,49.,Joe Morgan+ (22),498,L
49,49.,Willie Stargell+ (21),498,L
50,51.,Jesse Burkett+ (16),495,L
51,52.,Al Kaline+ (22),491,R
52,52.,Paul Waner+ (20),491,L
53,54.,Jason Giambi (20),487,L
54,55.,Wade Boggs+ (18),480,L
55,56.,Dick Allen (15),478,R
56,57.,Sam Crawford+ (19),475,L
57,58.,Vladimir Guerrero+ (16),472,R
58,59.,Lance Berkman (15),468,B
59,60.,Eddie Murray+ (21),466,B
60,61.,Billy Hamilton+ (14),458,L
61,62.,Todd Helton (17),457,L
62,63.,Hank Greenberg+ (13),456,R
63,64.,Fred McGriff (19),449,L
64,65.,Carlos Delgado (17),447,L
65,66.,Shoeless Joe Jackson (13),446,L
66,67.,Larry Walker+ (17),443,L
67,68.,Dave Winfield+ (22),442,R
68,69.,Tony Gwynn+ (20),438,L
69,70.,Mike Piazza+ (16),426,R
70,71.,Rod Carew+ (19),419,L
71,72.,Bobby Abreu (18),418,L
72,73.,Billy Williams+ (18),415,L
73,74.,Duke Snider+ (18),411,L
74,75.,Brian Giles (15),409,L
75,76.,Will Clark (15),406,L
76,77.,Bob Johnson (13),398,R
77,78.,Pete Rose (24),395,B
78,79.,Jack Clark (18),389,R
79,79.,John Olerud (17),389,L
80,81.,Ralph Kiner+ (10),384,R
81,82.,Pete Browning (13),383,R
82,82.,Al Simmons+ (20),383,R
83,84.,Fred Clarke+ (21),377,L
84,85.,Albert Belle (12),376,R
