,Rank,"Player (yrs, age)",Sacrifice Flies,Bats
0,1.,Eddie Murray+ (21),128,B
1,2.,Cal Ripken Jr.+ (21),127,R
2,3.,Robin Yount+ (20),123,R
3,4.,Hank Aaron+ (23),121,R
4,4.,Frank Thomas+ (19),121,R
5,6.,George Brett+ (21),120,L
6,6.,Ruben Sierra (20),120,B
7,8.,Rafael Palmeiro (20),119,L
8,8.,Rusty Staub (23),119,L
9,10.,Andre Dawson+ (21),118,R
10,11.,Don Baylor (19),115,R
11,11.,"Albert Pujols (20, 40)",115,R
12,13.,Brooks Robinson+ (23),114,R
13,14.,Alex Rodriguez (22),111,R
14,14.,Gary Sheffield (22),111,R
15,16.,Carlos Beltran (20),110,B
16,17.,Paul Molitor+ (21),109,R
17,18.,Mike Schmidt+ (18),108,R
18,19.,Tony Perez+ (23),106,R
19,20.,Joe Carter (16),105,R
20,20.,Carl Yastrzemski+ (23),105,L
21,22.,Gary Gaetti (20),104,R
22,22.,Al Kaline+ (22),104,R
23,22.,B.J. Surhoff (19),104,L
24,25.,Adrian Beltre (21),103,R
25,25.,Jeff Conine (17),103,R
26,25.,Jeff Kent (17),103,R
27,25.,Amos Otis (17),103,R
28,29.,Jeff Bagwell+ (15),102,R
29,29.,Ken Griffey Jr.+ (22),102,L
30,29.,Frank Robinson+ (21),102,R
31,32.,Will Clark (15),101,L
32,33.,Ted Simmons+ (21),100,B
33,34.,Harold Baines+ (22),99,L
34,34.,Gary Carter+ (19),99,R
35,34.,Mark Grace (16),99,L
36,37.,Luis Gonzalez (19),98,L
37,37.,Carlos Lee (14),98,R
38,39.,Roberto Alomar+ (17),97,B
39,39.,Bobby Bonilla (16),97,B
40,39.,Bill Buckner (22),97,L
41,39.,Chipper Jones+ (19),97,B
42,43.,Ernie Banks+ (19),96,R
43,43.,Wade Boggs+ (18),96,L
44,43.,Willie Davis (18),96,L
45,43.,Don Mattingly (14),96,L
46,43.,Joe Morgan+ (22),96,L
47,43.,John Olerud (17),96,L
48,49.,Al Oliver (18),95,L
49,49.,Dave Winfield+ (22),95,R
50,51.,Chili Davis (19),94,B
51,51.,Jim Rice+ (16),94,R
52,51.,Ron Santo+ (15),94,R
53,51.,Omar Vizquel (24),94,B
54,55.,Carlos Delgado (17),93,L
55,55.,Jason Giambi (20),93,L
56,55.,Todd Helton (17),93,L
57,55.,Scott Rolen (17),93,R
58,59.,David Ortiz (20),92,L
59,60.,Barry Bonds (22),91,L
60,60.,Wally Joyner (16),91,L
61,60.,Willie Mays+ (22),91,R
62,60.,Lou Whitaker (19),91,L
63,64.,Johnny Bench+ (17),90,R
64,64.,Orlando Cabrera (15),90,R
65,64.,Darrell Evans (21),90,L
66,64.,Steve Garvey (19),90,R
67,64.,Graig Nettles (22),90,L
68,64.,Paul O'Neill (17),90,L
69,64.,Manny Ramirez (19),90,R
70,71.,"Evan Longoria (13, 34)",89,R
71,72.,Garret Anderson (17),87,L
72,72.,Aramis Ramirez (18),87,R
73,74.,"Miguel Cabrera (18, 37)",86,R
74,74.,Dave Concepcion (19),86,R
75,74.,George Hendrick (18),86,R
76,74.,Paul Konerko (18),86,R
77,74.,Fred Lynn (17),86,L
78,74.,Victor Martinez (16),86,B
79,74.,Dave Parker (19),86,L
80,74.,Reggie Smith (17),86,B
81,82.,Bobby Abreu (18),85,L
82,82.,Dusty Baker (19),85,R
83,82.,Tony Gwynn+ (20),85,L
84,82.,Hal McRae (19),85,R
85,86.,Mike Lowell (13),84,R
86,87.,George Bell (12),83,R
87,87.,Jack Clark (18),83,R
88,89.,Moises Alou (17),82,R
89,89.,Ron Cey (17),82,R
90,89.,Jose Cruz (19),82,L
91,92.,Craig Biggio+ (20),81,R
92,92.,Jose Canseco (17),81,R
93,92.,Bobby Murcer (17),81,L
94,92.,Todd Zeile (16),81,R
95,96.,Buddy Bell (18),80,R
96,96.,Julio Franco (23),80,R
97,96.,Tino Martinez (16),80,L
98,99.,Cecil Cooper (17),79,L
99,99.,Carlton Fisk+ (24),79,R
100,99.,Greg Luzinski (15),79,R
101,99.,Pete Rose (24),79,B
102,103.,Albert Belle (12),78,R
103,103.,Bob Boone (19),78,R
104,103.,Travis Fryman (13),78,R
105,103.,Juan Gonzalez (17),78,R
106,103.,Mark McGwire (16),78,R
107,103.,Vada Pinson (18),78,L
108,103.,Sammy Sosa (18),78,R
109,110.,Dwight Evans (20),77,R
110,110.,Harmon Killebrew+ (22),77,R
111,110.,Carney Lansford (15),77,R
112,110.,Edgar Martinez+ (18),77,R
113,110.,Tim Wallach (17),77,R
114,115.,Luis Aparicio+ (18),76,R
115,115.,Eric Karros (14),76,R
116,115.,Tim Raines+ (23),76,B
117,115.,Edgar Renteria (16),76,R
118,115.,Ivan Rodriguez+ (21),76,R
119,115.,Alan Trammell+ (20),76,R
120,115.,Robin Ventura (16),76,L
121,122.,Steve Finley (19),75,L
122,122.,Dave Kingman (16),75,R
123,122.,Willie Stargell+ (21),75,L
124,125.,Orlando Cepeda+ (17),74,R
125,125.,Justin Morneau (14),74,L
126,125.,Jim Thome+ (22),74,L
127,125.,Jim Wynn (15),74,R
128,129.,Dante Bichette (14),73,R
129,129.,Bret Boone (14),73,R
130,129.,Adrian Gonzalez (15),73,L
131,129.,Pedro Guerrero (15),73,R
132,129.,"Nick Markakis (15, 36)",73,L
133,129.,Billy Williams+ (18),73,L
134,135.,Tom Brunansky (14),72,R
135,135.,Toby Harrah (17),72,R
136,135.,"Matt Kemp (15, 35)",72,R
137,135.,Boog Powell (17),72,L
138,135.,Chase Utley (16),72,L
139,135.,Michael Young (14),72,R
140,141.,Vinny Castilla (16),71,R
141,141.,Cesar Cedeno (17),71,R
142,141.,Johnny Damon (18),71,L
143,141.,Keith Hernandez (17),71,L
144,141.,Torii Hunter (19),71,R
145,141.,Andruw Jones (17),71,R
146,141.,Jeff King (11),71,R
147,141.,Fred McGriff (19),71,L
148,141.,"Yadier Molina (17, 37)",71,R
149,141.,Ryne Sandberg+ (16),71,R
150,141.,Miguel Tejada (16),71,R
151,141.,Andre Thornton (14),71,R
152,153.,Brian Downing (20),70,R
