,Rank,"Player (yrs, age)",Double Plays Grounded Into,Bats
0,1.,"Albert Pujols (20, 40)",399,R
1,2.,Cal Ripken Jr.+ (21),350,R
2,3.,Ivan Rodriguez+ (21),337,R
3,4.,Hank Aaron+ (23),328,R
4,5.,Carl Yastrzemski+ (23),323,L
5,6.,"Miguel Cabrera (18, 37)",321,R
6,7.,Dave Winfield+ (22),319,R
7,8.,Eddie Murray+ (21),315,B
8,8.,Jim Rice+ (16),315,R
9,10.,Julio Franco (23),312,R
10,11.,Harold Baines+ (22),298,L
11,12.,Brooks Robinson+ (23),297,R
12,12.,Rusty Staub (23),297,L
13,14.,Derek Jeter+ (20),287,R
14,14.,Ted Simmons+ (21),287,B
15,16.,"Robinson Cano (16, 37)",284,L
16,16.,Joe Torre+ (18),284,R
17,18.,Paul Konerko (18),282,R
18,19.,Adrian Beltre (21),279,R
19,20.,Vladimir Guerrero+ (16),277,R
20,20.,George Scott (14),277,R
21,20.,Miguel Tejada (16),277,R
22,23.,Roberto Clemente+ (18),275,R
23,24.,Al Kaline+ (22),271,R
24,25.,Frank Robinson+ (21),270,R
25,26.,Tony Perez+ (23),268,R
26,27.,Dave Concepcion (19),266,R
27,28.,Victor Martinez (16),264,B
28,29.,Torii Hunter (19),262,R
29,30.,Ernie Lombardi+ (17),261,R
30,30.,"Yadier Molina (17, 37)",261,R
31,30.,Alex Rodriguez (22),261,R
32,33.,Tony Gwynn+ (20),259,L
33,34.,Ron Santo+ (15),256,R
34,35.,Buddy Bell (18),255,R
35,36.,Al Oliver (18),254,L
36,37.,Chipper Jones+ (19),253,B
37,38.,Steve Garvey (19),251,R
38,38.,Willie Mays+ (22),251,R
39,40.,Ken Singleton (15),248,B
40,41.,Bill Buckner (22),247,L
41,41.,Pete Rose (24),247,B
42,43.,Harmon Killebrew+ (22),243,R
43,43.,Stan Musial+ (22),243,L
44,43.,Manny Ramirez (19),243,R
45,46.,Magglio Ordonez (15),242,R
46,47.,A.J. Pierzynski (19),241,L
47,47.,Edgar Renteria (16),241,R
48,49.,Wade Boggs+ (18),236,L
49,49.,Gary Gaetti (20),236,R
50,49.,David Ortiz (20),236,L
51,49.,Michael Young (14),236,R
52,53.,George Brett+ (21),235,L
53,53.,Gary Sheffield (22),235,R
54,55.,Tony Pena (18),234,R
55,56.,Aramis Ramirez (18),233,R
56,57.,Chili Davis (19),232,B
57,57.,John Olerud (17),232,L
58,57.,Rafael Palmeiro (20),232,L
59,60.,Ernie Banks+ (19),229,R
60,60.,Mike Piazza+ (16),229,R
61,62.,Dwight Evans (20),227,R
62,63.,Fred McGriff (19),226,L
63,63.,Frank Thomas+ (19),226,R
64,65.,Vinny Castilla (16),224,R
65,65.,Jeff Kent (17),224,R
66,65.,Brandon Phillips (17),224,R
67,68.,Joe Adcock (17),223,R
68,68.,Bernie Williams (16),223,B
69,68.,Todd Zeile (16),223,R
70,71.,Jeff Bagwell+ (15),221,R
71,71.,Paul O'Neill (17),221,L
72,73.,Dick Groat (14),220,R
73,73.,Matt Holliday (15),220,R
74,75.,Tommy Davis (18),219,R
75,75.,Frank Howard (16),219,R
76,75.,Lee May (18),219,R
