,Rank,"Player (yrs, age)",SB %,Bats
0,1.,Alexi Casilla (9),87.912,B
1,2.,Chase Utley (16),87.500,L
2,3.,Carlos Beltran (20),86.427,B
3,4.,Jack Perconte (7),85.714,L
4,5.,"Jarrod Dyson (11, 35)",85.333,L
5,6.,Jayson Werth (15),85.161,R
6,7.,Kazuo Matsui (7),85.000,B
7,8.,Eric Byrnes (11),84.868,R
8,9.,Jason Bay (11),84.821,R
9,10.,Nate McLouth (10),84.713,L
10,11.,Pokey Reese (8),84.706,R
11,12.,Tim Raines+ (23),84.696,B
12,13.,"Mike Trout (10, 28)",84.454,R
13,14.,Eric Davis (17),84.096,R
14,15.,"Chris Owings (8, 28)",83.516,R
15,16.,"Mookie Betts (7, 27)",83.436,R
16,17.,"Trea Turner (6, 27)",83.415,R
17,18.,Shane Victorino (12),83.394,R
18,19.,Henry Cotto (10),83.333,R
19,20.,Willie Wilson (19),83.292,B
20,21.,Chris Getz (7),83.178,L
21,22.,"Christian Yelich (8, 28)",83.117,L
22,23.,Barry Larkin+ (19),83.114,R
23,24.,Tony Womack (13),83.066,L
24,25.,Davey Lopes (16),83.010,R
25,26.,Jacoby Ellsbury (11),82.850,L
26,27.,Stan Javier (17),82.828,B
27,28.,Drew Stubbs (9),82.564,R
28,29.,Craig Gentry (10),82.456,R
29,30.,Doug Glanville (9),82.353,R
30,31.,"Adalberto Mondesi (6, 24)",81.884,B
31,32.,Jimmy Rollins (17),81.739,B
32,33.,Willy Taveras (7),81.590,R
33,34.,Carl Crawford (15),81.494,L
34,35.,Julio Cruz (10),81.473,B
35,36.,"Lorenzo Cain (11, 34)",81.395,R
36,37.,Will Venable (9),81.325,L
37,38.,Ichiro Suzuki (19),81.310,L
38,39.,Alex Rodriguez (22),81.235,R
39,40.,David Hulse (5),81.176,L
40,40.,"Hernan Perez (9, 29)",81.176,R
41,42.,"Billy Hamilton (8, 29)",81.117,B
42,43.,Brian Hunter (10),80.997,R
43,44.,Joe Morgan+ (22),80.964,L
44,45.,Vince Coleman (13),80.947,B
45,46.,"AJ Pollock (9, 32)",80.882,R
46,47.,"Brett Gardner (13, 36)",80.838,L
47,48.,Rickey Henderson+ (25),80.758,R
48,49.,Dave Roberts (10),80.731,L
49,50.,Roberto Alomar+ (17),80.612,B
50,51.,Eric Young Jr. (10),80.597,B
51,52.,Andy Van Slyke (13),80.592,L
52,53.,Rickie Weeks (14),80.488,R
53,54.,"Jason Kipnis (10, 33)",80.473,L
54,55.,Franklin Gutierrez (12),80.412,R
55,56.,"Jose Ramirez (8, 27)",80.380,B
56,57.,Jose Reyes (16),80.280,B
57,58.,"Tim Anderson (5, 27)",80.220,R
58,59.,Mickey Mantle+ (18),80.105,B
59,60.,Ben Revere (8),79.924,L
60,61.,Johnny Damon (18),79.843,L
61,62.,Lenny Dykstra (12),79.832,L
62,63.,Alcides Escobar (11),79.817,R
63,64.,Ozzie Smith+ (19),79.670,B
64,65.,Coco Crisp (15),79.639,B
65,66.,Enzo Hernandez (8),79.630,R
66,67.,Brian Roberts (14),79.609,B
67,68.,Kenny Lofton (17),79.540,L
68,69.,Gary Redus (13),79.506,R
69,70.,"Paul Goldschmidt (10, 32)",79.503,R
70,71.,Paul Molitor+ (21),79.370,R
71,72.,"Michael Brantley (12, 33)",79.355,L
72,73.,Rajai Davis (14),79.350,R
73,74.,Orlando Cabrera (15),79.121,R
