,Rank,"Player (yrs, age)",AB per SO,Bats
0,1.,Willie Keeler+ (19),63.17,L
1,2.,Joe Sewell+ (14),62.56,L
2,3.,Lloyd Waner+ (18),44.92,L
3,4.,Joe Start (16),43.51,L
4,5.,Nellie Fox+ (19),42.74,L
5,6.,Lave Cross (21),41.86,R
6,7.,Tommy Holmes (11),40.92,L
7,8.,Emil Verban (7),39.34,R
8,9.,Homer Summa (10),34.10,L
9,10.,Andy High (13),33.85,L
10,11.,Sam Rice+ (20),33.71,L
11,12.,Doggie Miller (13),33.65,R
12,13.,Frankie Frisch+ (19),33.50,B
13,14.,Dale Mitchell (11),33.48,L
14,15.,Lou Bierbauer (13),32.44,L
15,16.,Jack Glasscock (17),32.36,R
16,17.,Jimmy Brown (8),31.93,B
17,18.,Johnny Cooney (20),31.51,R
18,19.,Charlie Hollocher (7),31.23,L
19,20.,Stuffy McInnis (19),31.16,R
20,21.,Cap Anson+ (27),31.15,R
21,22.,Buddy Hassett (7),30.32,L
22,23.,Frank McCormick (13),30.28,R
23,24.,Deacon White+ (20),29.97,L
24,25.,Don Mueller (12),29.89,L
25,26.,Billy Southworth+ (13),29.45,L
26,26.,Ezra Sutton (18),29.45,R
27,28.,Rip Radcliff (10),28.89,L
28,29.,Edd Roush+ (18),28.32,L
29,30.,Dan Brouthers+ (19),28.26,L
30,31.,Charlie Comiskey+ (13),27.94,R
31,32.,Nap Lajoie+ (21),27.64,R
32,33.,Jake Stenzel (9),27.55,R
33,34.,Kid Elberfeld (14),27.48,R
34,35.,Buck Jordan (10),27.34,L
35,36.,Harry Wolverton (9),27.28,B
36,37.,Pie Traynor+ (17),27.19,R
37,38.,Ed McKean (13),26.82,R
38,39.,Lefty O'Doul (11),26.75,L
39,40.,Eddie Brown (7),26.62,R
40,41.,Jack McCarthy (12),26.58,L
41,42.,Doc Cramer (20),26.49,L
42,43.,Ossie Vitt (10),26.29,R
43,44.,Hugh Duffy+ (17),26.28,R
44,45.,Carson Bigbee (11),26.04,L
45,46.,Bill Lange (7),26.03,R
