,Rank,"Player (yrs, age)",AB per HR,Bats
0,1.,Mark McGwire (16),10.61,R
1,2.,Babe Ruth+ (22),11.76,L
2,3.,Barry Bonds (22),12.92,L
3,4.,Jim Thome+ (22),13.76,L
4,5.,"Giancarlo Stanton (11, 30)",13.88,R
5,6.,Ralph Kiner+ (10),14.11,R
6,7.,Harmon Killebrew+ (22),14.22,R
7,8.,Sammy Sosa (18),14.47,R
8,9.,Ted Williams+ (19),14.79,L
9,10.,Manny Ramirez (19),14.85,R
10,11.,Adam Dunn (14),14.90,L
11,12.,Ryan Howard (13),14.94,L
12,13.,"Mike Trout (10, 28)",15.03,R
13,14.,"Khris Davis (8, 32)",15.10,R
14,15.,Juan Gonzalez (17),15.11,R
15,15.,Dave Kingman (16),15.11,R
16,17.,Russell Branyan (14),15.12,L
17,17.,Mickey Mantle+ (18),15.12,B
18,19.,Alex Rodriguez (22),15.18,R
19,20.,Jimmie Foxx+ (20),15.23,R
20,21.,Mike Schmidt+ (18),15.24,R
21,22.,Jose Canseco (17),15.27,R
22,23.,"Nelson Cruz (16, 39)",15.34,R
23,24.,Albert Belle (12),15.36,R
24,25.,Ron Kittle (10),15.39,R
25,26.,Carlos Delgado (17),15.40,L
26,27.,Ken Griffey Jr.+ (22),15.56,L
27,28.,Hank Greenberg+ (13),15.69,R
28,29.,Willie McCovey+ (22),15.73,L
29,30.,Frank Thomas+ (19),15.74,R
30,31.,David Ortiz (20),15.97,L
31,32.,Richie Sexson (12),16.10,R
32,33.,Jay Buhner (15),16.17,R
33,33.,Cecil Fielder (13),16.17,R
34,33.,Darryl Strawberry (17),16.17,L
35,36.,Mike Piazza+ (16),16.19,R
36,37.,Lou Gehrig+ (17),16.23,L
37,38.,Jim Gentile (9),16.32,L
38,39.,"Albert Pujols (20, 40)",16.37,R
39,40.,Hank Aaron+ (23),16.38,R
40,41.,Willie Mays+ (22),16.49,R
41,42.,Jason Giambi (20),16.52,L
42,43.,"Edwin Encarnacion (16, 37)",16.60,R
43,44.,Hank Sauer (15),16.65,R
44,45.,Eddie Mathews+ (17),16.67,L
45,46.,Willie Stargell+ (21),16.69,L
46,47.,"Chris Davis (13, 34)",16.87,L
47,47.,Rob Deer (11),16.87,R
48,47.,Mo Vaughn (12),16.87,L
49,50.,Troy Glaus (13),16.91,R
50,51.,Mark Teixeira (14),16.96,B
51,52.,Frank Howard (16),16.98,R
52,53.,Frank Robinson+ (21),17.08,R
53,54.,Mike Napoli (12),17.12,R
54,55.,Greg Vaughn (15),17.19,R
55,56.,Steve Balboni (11),17.24,R
56,57.,Carlos Pena (14),17.30,L
57,58.,Bob Horner (10),17.33,R
58,59.,Jeff Bagwell+ (15),17.37,R
59,60.,Roy Campanella+ (10),17.38,R
60,61.,Rocky Colavito (14),17.39,R
61,62.,"Josh Donaldson (10, 34)",17.43,R
62,62.,Gus Zernial (11),17.43,R
63,64.,Jim Edmonds (17),17.45,L
64,64.,Gorman Thomas (13),17.45,R
65,66.,Andruw Jones (17),17.51,R
66,67.,"Nolan Arenado (8, 29)",17.52,R
67,67.,Reggie Jackson+ (21),17.52,L
68,69.,Dick Stuart (10),17.53,R
69,70.,"Bryce Harper (9, 27)",17.54,L
70,71.,"J.D. Martinez (10, 32)",17.58,R
71,72.,Jose Bautista (15),17.59,R
72,72.,Duke Snider+ (18),17.59,L
73,74.,Kevin Mitchell (13),17.67,R
74,75.,Lance Berkman (15),17.74,B
75,75.,"George Springer (7, 30)",17.74,R
76,77.,Fred McGriff (19),17.76,L
77,78.,Norm Cash (17),17.79,L
78,79.,Dean Palmer (14),17.83,R
79,80.,Johnny Mize+ (15),17.95,L
80,81.,Larry Walker+ (17),18.03,L
81,82.,Dick Allen (15),18.04,R
82,83.,Tony Clark (15),18.06,B
83,84.,Gary Sheffield (22),18.11,R
84,85.,Carlos Quentin (9),18.12,R
85,86.,Jeromy Burnitz (14),18.13,L
86,87.,Vladimir Guerrero+ (16),18.16,R
87,88.,Mark Reynolds (13),18.23,R
88,89.,Prince Fielder (12),18.25,L
89,90.,Pedro Alvarez (9),18.40,L
90,90.,Ernie Banks+ (19),18.40,R
91,90.,Rafael Palmeiro (20),18.40,L
92,93.,David Justice (14),18.44,L
93,94.,Mel Ott+ (22),18.50,L
94,95.,Matt Williams (17),18.52,R
95,96.,Roger Maris (12),18.55,L
96,97.,"Eugenio Suarez (7, 28)",18.61,R
97,98.,"Jay Bruce (13, 33)",18.65,L
98,99.,Todd Hundley (14),18.66,B
99,100.,Chris Hoiles (10),18.68,R
100,101.,Mark Trumbo (10),18.74,R
101,102.,"Miguel Cabrera (18, 37)",18.79,R
102,103.,"Ryan Braun (14, 36)",18.81,R
103,103.,Alfonso Soriano (16),18.81,R
104,105.,Pat Burrell (12),18.85,R
105,106.,Eric Davis (17),18.87,R
106,107.,Joe DiMaggio+ (13),18.89,R
107,108.,Henry Rodriguez (11),18.94,L
108,109.,Gil Hodges (18),19.00,R
109,110.,Travis Hafner (12),19.05,L
110,111.,Wally Post (15),19.08,R
111,112.,Paul Konerko (18),19.12,R
112,113.,"José Abreu (7, 33)",19.13,R
113,113.,"Paul Goldschmidt (10, 32)",19.13,R
114,113.,Danny Tartabull (14),19.13,R
115,116.,Mickey Tettleton (14),19.18,B
116,117.,Chipper Jones+ (19),19.20,B
117,118.,"Yoenis Céspedes (8, 34)",19.34,R
118,119.,Tony Conigliaro (8),19.40,R
119,119.,Al Rosen (10),19.40,R
120,121.,Hack Wilson+ (12),19.51,R
121,122.,"Kris Bryant (6, 28)",19.54,R
122,123.,Josh Hamilton (9),19.55,L
123,124.,Glenn Davis (10),19.57,R
124,125.,Brandon Moss (11),19.58,L
125,126.,Matt Stairs (19),19.64,L
126,127.,Joe Adcock (17),19.66,R
127,127.,Bob Allison (13),19.66,R
128,129.,John Jaha (10),19.68,R
129,130.,Johnny Bench+ (17),19.69,R
130,131.,Boog Powell (17),19.71,L
131,132.,Jesse Barfield (12),19.75,R
132,133.,Nate Colbert (10),19.78,R
133,134.,"Yasmani Grandal (9, 31)",19.83,B
134,135.,Tim Salmon (14),19.85,R
135,136.,Lucas Duda (10),19.86,L
136,137.,Jermaine Dye (14),19.96,R
137,138.,Glenallen Hill (13),19.97,R
138,139.,"Todd Frazier (10, 34)",19.99,R
139,140.,Dale Murphy (18),20.00,R
140,141.,Charlie Keller (13),20.05,L
141,142.,Josh Willingham (11),20.06,R
142,143.,Roy Sievers (17),20.08,R
143,144.,Ron Gant (16),20.09,R
144,145.,Cliff Johnson (15),20.13,R
145,145.,Don Mincher (13),20.13,L
146,145.,Phil Nevin (12),20.13,R
147,148.,Jack Clark (18),20.14,R
148,149.,"Anthony Rizzo (10, 30)",20.16,L
149,150.,George Foster (18),20.18,R
150,150.,Ryan Klesko (16),20.18,L
151,152.,Richard Hidalgo (9),20.23,R
152,153.,Dan Uggla (10),20.25,R
153,154.,Jason Bay (11),20.29,R
154,154.,Andres Galarraga (19),20.29,R
155,156.,"Manny Machado (9, 27)",20.32,R
156,157.,Javy Lopez (15),20.46,R
157,157.,Reggie Sanders (17),20.46,R
158,159.,Ellis Burks (18),20.55,R
159,159.,Pete Incaviglia (12),20.55,R
160,159.,Paul Sorrento (11),20.55,L
161,162.,Tony Armas (14),20.57,R
162,163.,Tony Batista (11),20.67,R
163,164.,"Justin Upton (14, 32)",20.70,R
164,165.,Luke Scott (9),20.81,L
165,166.,Andre Thornton (14),20.91,R
166,167.,Orlando Cepeda+ (17),20.92,R
167,168.,Tino Martinez (16),20.98,L
168,168.,Leon Wagner (12),20.98,L
169,170.,Jim Lemon (12),21.01,R
170,171.,Curtis Granderson (16),21.03,L
171,171.,Derrek Lee (15),21.03,R
172,173.,Aramis Ramirez (18),21.08,R
173,174.,Yogi Berra+ (19),21.10,L
174,175.,Don Demeter (11),21.12,R
175,176.,Kent Hrbek (14),21.13,L
176,177.,Larry Doby+ (13),21.14,L
177,178.,Preston Wilson (10),21.18,R
178,179.,Greg Luzinski (15),21.19,R
179,179.,"Justin Smoak (11, 33)",21.19,B
180,181.,Moises Alou (17),21.20,R
181,182.,Bobby Bonds (14),21.21,R
182,183.,Eric Chavez (17),21.22,L
183,184.,Ted Kluszewski (15),21.25,L
184,185.,Joe Carter (16),21.27,R
185,185.,Geoff Jenkins (11),21.27,L
186,185.,"Joey Votto (14, 36)",21.27,L
187,185.,Rudy York (13),21.27,R
188,189.,Vinny Castilla (16),21.32,R
189,190.,Wally Berger (11),21.33,R
190,190.,Jonny Gomes (13),21.33,R
191,192.,Troy Tulowitzki (13),21.35,R
192,193.,John Mayberry (15),21.36,L
193,194.,J.D. Drew (14),21.38,L
194,195.,Raul Mondesi (13),21.45,R
195,195.,John Romano (10),21.45,R
196,197.,Lee May (18),21.49,R
197,198.,"Carlos Gonzalez (12, 34)",21.51,L
198,198.,Brian McCann (15),21.51,L
199,200.,"Freddie Freeman (11, 30)",21.53,L
200,200.,Jim Rice+ (16),21.53,R
201,202.,Todd Helton (17),21.58,L
202,203.,Shawn Green (15),21.59,L
203,204.,Chuck Klein+ (17),21.62,L
204,205.,"Evan Longoria (13, 34)",21.63,R
205,205.,"Rougned Odor (7, 26)",21.63,L
206,207.,Darrell Evans (21),21.67,L
207,207.,Howard Johnson (14),21.67,B
208,209.,Lance Parrish (19),21.81,R
209,210.,"Mitch Moreland (11, 34)",21.83,L
210,211.,"Jonathan Schoop (8, 28)",21.84,R
211,211.,Gene Tenace (15),21.84,R
212,213.,Nick Swisher (12),21.91,B
213,214.,Adam LaRoche (12),21.93,L
214,214.,Charlie Maxwell (14),21.93,L
215,216.,Mike Epstein (9),21.95,L
216,216.,Billy Williams+ (18),21.95,L
217,218.,Frank Thomas (16),21.98,R
218,219.,"Mookie Betts (7, 27)",22.08,R
219,220.,Don Lock (8),22.09,R
220,221.,Joe Crede (10),22.15,R
221,221.,Jorge Posada (17),22.15,B
222,223.,Nick Esasky (8),22.16,R
223,223.,Earl Williams (8),22.16,R
224,225.,Matt Holliday (15),22.18,R
225,225.,"Matt Kemp (15, 35)",22.18,R
226,227.,"Carlos Santana (11, 34)",22.22,B
227,228.,Jim Ray Hart (12),22.25,R
228,228.,Jose Valentin (16),22.25,B
229,230.,Carlos Lee (14),22.30,R
230,231.,Colby Rasmus (10),22.31,L
231,232.,Gary Roenicke (12),22.38,R
232,233.,Dan Pasqua (10),22.39,L
233,234.,Dolph Camilli (12),22.40,L
234,234.,Reggie Smith (17),22.40,B
235,236.,Stan Lopata (13),22.42,R
