,Rank,"Player (yrs, age)",Outs Made,Bats
0,1.,Pete Rose (24),10328,B
1,2.,Hank Aaron+ (23),9136,R
2,3.,Carl Yastrzemski+ (23),9126,L
3,4.,Cal Ripken Jr.+ (21),8893,R
4,5.,Eddie Murray+ (21),8569,B
5,6.,Rickey Henderson+ (25),8510,R
6,7.,Omar Vizquel (24),8433,B
7,8.,Dave Winfield+ (22),8422,R
8,9.,Robin Yount+ (20),8415,R
9,10.,Adrian Beltre (21),8340,R
10,10.,Brooks Robinson+ (23),8340,R
11,12.,Craig Biggio+ (20),8272,R
12,13.,Derek Jeter+ (20),8269,R
13,14.,"Albert Pujols (20, 40)",8159,R
14,15.,Luis Aparicio+ (18),8110,R
15,16.,Willie Mays+ (22),8056,R
16,17.,Paul Molitor+ (21),8040,R
17,18.,Rabbit Maranville+ (23),7940,R
18,19.,Alex Rodriguez (22),7915,R
19,20.,Rafael Palmeiro (20),7858,L
20,21.,Lou Brock+ (19),7823,L
21,22.,Ty Cobb+ (24),7755,L
22,23.,Stan Musial+ (22),7744,L
23,24.,George Brett+ (21),7673,L
24,25.,Reggie Jackson+ (21),7659,L
25,26.,Andre Dawson+ (21),7621,R
26,27.,Al Kaline+ (22),7594,R
27,28.,Frank Robinson+ (21),7529,R
28,29.,Ozzie Smith+ (19),7528,B
29,30.,Rusty Staub (23),7509,L
30,31.,Harold Baines+ (22),7482,L
31,32.,Tony Perez+ (23),7462,R
32,33.,Carlos Beltran (20),7423,B
33,34.,Ken Griffey Jr.+ (22),7398,L
34,35.,Eddie Collins+ (25),7341,L
35,36.,Barry Bonds (22),7313,L
36,37.,Vada Pinson (18),7304,L
37,38.,Johnny Damon (18),7291,L
38,39.,Steve Finley (19),7285,L
39,40.,Honus Wagner+ (21),7266,R
40,41.,Ernie Banks+ (19),7261,R
41,42.,Ivan Rodriguez+ (21),7256,R
42,43.,Jimmy Rollins (17),7175,B
43,44.,Joe Morgan+ (22),7174,L
44,45.,Ichiro Suzuki (19),7152,L
45,46.,Tris Speaker+ (22),7147,L
46,47.,Bill Buckner (22),7146,L
47,48.,Gary Gaetti (20),7108,R
48,49.,Max Carey+ (20),7100,B
49,50.,Graig Nettles (22),7096,L
50,51.,Nellie Fox+ (19),7080,L
51,52.,Darrell Evans (21),7075,L
52,53.,Dave Parker (19),7055,L
53,54.,Willie Davis (18),7051,L
