,Rank,"Player (yrs, age)",Win Probability Added (WPA),Bats
0,1.,Barry Bonds (22),127.66,L
1,2.,Babe Ruth+ (22),108.73,L
2,3.,Willie Mays+ (22),102.39,R
3,4.,Ted Williams+ (19),101.91,L
4,5.,Hank Aaron+ (23),99.23,R
5,6.,Mickey Mantle+ (18),94.17,B
6,7.,Lou Gehrig+ (17),88.11,L
7,8.,Stan Musial+ (22),84.80,L
8,9.,Mel Ott+ (22),80.20,L
9,10.,Jimmie Foxx+ (20),74.75,R
10,11.,Willie McCovey+ (22),73.32,L
11,12.,Frank Robinson+ (21),72.97,R
12,13.,"Albert Pujols (20, 40)",71.40,R
13,14.,Rickey Henderson+ (25),67.21,R
14,15.,Joe Morgan+ (22),66.84,L
15,16.,Rogers Hornsby+ (23),66.10,R
16,17.,Billy Williams+ (18),62.87,L
17,18.,Frank Thomas+ (19),60.60,R
18,19.,Carl Yastrzemski+ (23),60.59,L
19,20.,Chipper Jones+ (19),60.31,B
20,21.,Gary Sheffield (22),59.86,R
21,22.,Johnny Mize+ (15),59.56,L
22,23.,Al Kaline+ (22),59.51,R
23,24.,Harmon Killebrew+ (22),59.45,R
24,25.,Jeff Bagwell+ (15),59.35,R
25,26.,Alex Rodriguez (22),59.25,R
26,27.,"Miguel Cabrera (18, 37)",59.23,R
27,28.,Eddie Mathews+ (17),58.95,L
28,29.,Manny Ramirez (19),56.14,R
29,30.,Tony Gwynn+ (20),55.96,L
30,31.,Joe DiMaggio+ (13),55.54,R
31,32.,Mike Schmidt+ (18),55.45,R
32,33.,Pete Rose (24),54.56,B
33,34.,Willie Stargell+ (21),54.23,L
34,35.,Mark McGwire (16),53.42,R
35,36.,Todd Helton (17),52.69,L
36,37.,Lance Berkman (15),52.64,B
37,38.,George Brett+ (21),52.37,L
38,39.,Eddie Murray+ (21),51.69,B
39,40.,Larry Walker+ (17),51.53,L
40,41.,Jim Thome+ (22),51.32,L
41,42.,Reggie Jackson+ (21),50.61,L
42,43.,David Ortiz (20),50.59,L
43,44.,Duke Snider+ (18),50.27,L
44,45.,Dick Allen (15),50.08,R
45,46.,Paul Waner+ (20),49.98,L
46,47.,"Joey Votto (14, 36)",49.64,L
47,48.,Bobby Abreu (18),48.95,L
48,49.,Roberto Clemente+ (18),48.73,R
49,50.,Al Simmons+ (20),48.60,R
50,51.,Jason Giambi (20),48.29,L
51,52.,Tim Raines+ (23),47.74,B
52,53.,Ken Griffey Jr.+ (22),46.56,L
53,54.,Tris Speaker+ (22),46.24,L
