,Rank,"Player (yrs, age)",Championship WPA (cWPA),Bats
0,1.,Babe Ruth+ (22),245.95,L
1,2.,Mickey Mantle+ (18),232.32,B
2,3.,Willie Mays+ (22),197.31,R
3,4.,Lou Gehrig+ (17),174.06,L
4,5.,Stan Musial+ (22),148.08,L
5,6.,Mel Ott+ (22),145.79,L
6,7.,Duke Snider+ (18),131.91,L
7,8.,Hank Aaron+ (23),131.89,R
8,9.,Ted Williams+ (19),127.85,L
9,10.,Joe DiMaggio+ (13),120.24,R
10,11.,Barry Bonds (22),119.79,L
11,12.,Willie McCovey+ (22),118.31,L
12,13.,Yogi Berra+ (19),104.86,L
13,14.,Eddie Mathews+ (17),103.78,L
14,15.,Johnny Mize+ (15),99.44,L
15,16.,Frank Robinson+ (21),95.97,R
16,17.,Carl Yastrzemski+ (23),93.96,L
17,18.,Harmon Killebrew+ (22),89.12,R
18,19.,Jackie Robinson+ (10),87.13,R
19,20.,Jimmie Foxx+ (20),83.53,R
20,21.,Enos Slaughter+ (19),82.98,L
21,22.,Joe Medwick+ (17),80.27,R
22,23.,Al Simmons+ (20),78.80,R
23,24.,Bill Terry+ (14),75.99,L
24,25.,Tommy Henrich (11),73.88,L
25,26.,Pee Wee Reese+ (16),73.25,R
26,27.,Roberto Clemente+ (18),72.48,R
27,27.,Willie Stargell+ (21),72.48,L
28,29.,Boog Powell (17),69.78,L
29,30.,Minnie Minoso (17),69.34,R
30,31.,Tris Speaker+ (22),68.75,L
31,32.,Larry Doby+ (13),67.92,L
32,33.,Gabby Hartnett+ (20),67.66,R
33,34.,Rogers Hornsby+ (23),67.40,R
34,35.,Zack Wheat+ (19),67.00,L
35,36.,Paul Waner+ (20),65.72,L
36,37.,Gil Hodges (18),64.59,R
37,38.,Al Kaline+ (22),64.52,R
38,39.,Hank Greenberg+ (13),64.27,R
39,40.,Ross Youngs+ (10),61.82,L
40,41.,Hack Wilson+ (12),60.31,R
41,42.,Arky Vaughan+ (14),60.27,L
42,43.,Reggie Jackson+ (21),59.06,L
43,44.,Dolph Camilli (12),58.73,L
44,45.,Kiki Cuyler+ (18),58.58,R
45,46.,Frankie Frisch+ (19),58.07,B
46,47.,Orlando Cepeda+ (17),57.46,R
47,48.,Mike Schmidt+ (18),57.31,R
48,49.,Mickey Cochrane+ (13),57.19,L
49,50.,Billy Herman+ (15),57.08,R
50,51.,Dick Allen (15),56.89,R
51,52.,Dixie Walker (18),55.86,L
52,53.,Joe Morgan+ (22),55.14,L
53,54.,Rickey Henderson+ (25),54.68,R
54,55.,Charlie Keller (13),53.61,L
55,56.,Bill Dickey+ (17),53.04,L
56,57.,Bobby Thomson (15),52.60,R
57,58.,Pete Reiser (10),51.37,L
58,59.,Goose Goslin+ (18),51.30,L
59,60.,Gene Woodling (17),51.09,L
60,61.,Ripper Collins (9),50.48,B
61,62.,Roger Maris (12),49.70,L
62,63.,Pete Rose (24),48.67,B
63,64.,"Albert Pujols (20, 40)",48.61,R
64,65.,Dave Parker (19),47.56,L
65,66.,Tony Oliva (15),47.23,L
66,67.,Jim Bottomley+ (16),47.06,L
67,68.,Manny Ramirez (19),46.95,R
68,69.,George Brett+ (21),46.92,L
69,70.,Tommy Davis (18),45.17,R
70,71.,Billy Williams+ (18),44.25,L
71,72.,Norm Cash (17),44.08,L
72,73.,Rudy York (13),44.02,R
73,74.,Charlie Gehringer+ (19),43.56,L
74,75.,Wally Pipp (15),43.32,L
75,75.,Riggs Stephenson (14),43.32,R
76,77.,Frank Thomas+ (19),43.06,R
77,78.,Will Clark (15),42.31,L
78,79.,"Miguel Cabrera (18, 37)",42.03,R
79,80.,Rocky Colavito (14),41.72,R
80,81.,Jeff Bagwell+ (15),41.60,R
81,82.,Reggie Smith (17),39.50,B
82,83.,Bill Skowron (14),39.07,R
83,84.,Darryl Strawberry (17),38.58,L
84,85.,Lou Brock+ (19),38.55,L
85,86.,Roy Campanella+ (10),38.36,R
86,87.,Ron Fairly (21),38.17,L
87,88.,Bob Meusel (11),37.45,R
88,89.,Al Rosen (10),37.39,R
89,90.,Earle Combs+ (12),37.36,L
90,91.,Jason Giambi (20),37.25,L
91,92.,Tim Raines+ (23),37.23,B
92,93.,Vic Wertz (17),37.01,L
93,94.,Bobby Doerr+ (14),36.24,R
94,95.,Keith Hernandez (17),36.15,L
95,96.,Vada Pinson (18),35.74,L
96,97.,Augie Galan (16),35.73,B
97,98.,Ken Keltner (13),35.66,R
98,99.,Alex Rodriguez (22),35.57,R
