,Rank,"Player (yrs, age)",Earned Run Average,Throws
0,1.,Ed Walsh+ (14),1.816,R
1,2.,Addie Joss+ (9),1.887,R
2,3.,Jim Devlin (5),1.896,R
3,4.,Jack Pfiester (8),2.024,L
4,5.,Smoky Joe Wood (14),2.033,R
5,6.,Mordecai Brown+ (14),2.057,R
6,7.,John Ward+ (17),2.099,R
7,8.,Christy Mathewson+ (17),2.133,R
8,8.,Al Spalding+ (8),2.133,R
9,10.,Tommy Bond (10),2.138,R
10,11.,Rube Waddell+ (13),2.161,L
11,12.,Walter Johnson+ (21),2.167,R
12,13.,Mariano Rivera+ (19),2.209,R
13,14.,Jake Weimer (7),2.231,L
14,15.,Orval Overall (7),2.257,R
15,16.,Will White (10),2.276,R
16,17.,Babe Ruth+ (22),2.277,L
17,18.,Ed Reulbach (13),2.284,R
18,19.,Jim Scott (9),2.298,R
19,20.,Reb Russell (9),2.334,L
20,21.,Andy Coakley (9),2.350,R
21,21.,Eddie Plank+ (17),2.350,L
22,23.,Larry Corcoran (8),2.355,R
23,24.,Eddie Cicotte (14),2.380,R
24,25.,George McQuillan (10),2.381,R
25,26.,Ed Killian (8),2.382,L
26,27.,Doc White (13),2.391,L
27,28.,Harry Coveleski (9),2.394,L
28,29.,Carl Lundgren (8),2.417,R
29,30.,Nap Rucker (10),2.421,L
30,31.,Candy Cummings+ (6),2.424,R
31,32.,Jeff Tesreau (7),2.428,R
32,33.,Joe Benz (9),2.429,R
33,34.,Jim McCormick (10),2.431,R
34,35.,George Bradley (11),2.434,R
35,35.,"Clayton Kershaw (13, 32)",2.434,L
36,37.,Terry Larkin (6),2.435,R
37,38.,Chief Bender+ (16),2.455,R
38,39.,Hooks Wiltse (12),2.471,L
39,40.,Sam Leever (13),2.473,R
40,40.,Lefty Leifield (12),2.473,L
41,42.,Hippo Vaughn (13),2.486,L
42,43.,Bob Ewing (11),2.492,R
43,44.,Cy Morgan (10),2.509,R
44,45.,Ray Collins (7),2.513,L
45,46.,Hoyt Wilhelm+ (21),2.523,R
46,47.,Lew Richie (8),2.536,R
47,48.,Noodles Hahn (8),2.546,L
48,49.,George Zettlein (6),2.547,R
49,50.,Frank Owen (8),2.552,R
50,51.,Pete Alexander+ (20),2.560,R
51,52.,Slim Sallee (14),2.564,L
52,53.,Deacon Phillippe (13),2.586,R
53,54.,Russ Ford (7),2.590,R
54,55.,Frank Smith (11),2.592,R
55,56.,Ed Siever (7),2.598,L
56,57.,"Jacob deGrom (7, 32)",2.608,R
57,58.,Bob Rhoads (8),2.612,R
58,59.,Cherokee Fisher (8),2.613,R
59,60.,Fred Glade (6),2.618,R
60,61.,Tim Keefe+ (14),2.627,R
61,61.,Cy Young+ (22),2.627,R
62,63.,Vic Willis+ (13),2.628,R
63,64.,Red Ames (17),2.629,R
64,65.,Barney Pelty (10),2.632,R
65,66.,Claude Hendrix (10),2.649,R
66,67.,Jack Taylor (10),2.653,R
67,68.,Joe McGinnity+ (10),2.657,R
68,68.,Dick Rudolph (13),2.657,R
69,70.,Pete Schneider (6),2.663,R
70,71.,Nick Altrock (19),2.669,L
71,71.,Carl Weilman (8),2.669,L
72,73.,Charlie Ferguson (4),2.674,R
73,74.,Old Hoss Radbourn+ (12),2.678,R
74,75.,Johnny Lush (7),2.680,L
75,76.,Cy Falkenberg (12),2.682,R
76,77.,Jack Chesbro+ (11),2.684,R
77,78.,Fred Toney (12),2.689,R
78,79.,Bill Donovan (18),2.690,R
79,80.,Larry Cheney (9),2.698,R
80,81.,Vean Gregg (8),2.701,L
81,82.,Dick McBride (6),2.706,R
82,83.,Mickey Welch+ (13),2.712,R
83,84.,Ned Garvin (7),2.718,R
84,85.,Bob Wicker (6),2.726,R
85,86.,Fred Goldsmith (7),2.729,R
86,87.,Nick Cullop (6),2.733,L
87,88.,Harry Howell (13),2.738,R
88,89.,Whitey Ford+ (16),2.745,L
89,90.,Dummy Taylor (9),2.747,R
90,91.,Howie Camnitz (11),2.749,R
91,91.,Roy Patterson (7),2.749,R
92,93.,Babe Adams (19),2.755,R
93,94.,Dutch Leonard (11),2.759,L
94,95.,Dan Quisenberry (12),2.760,R
95,96.,Sandy Koufax+ (12),2.761,L
96,97.,Jeff Pfeffer (13),2.774,R
97,98.,Al Demaree (8),2.775,R
98,98.,Earl Moore (14),2.775,R
99,100.,Jack Coombs (14),2.781,R
100,101.,Ed Karger (6),2.787,L
101,102.,Ron Perranoski (13),2.789,L
102,103.,Frank Corridon (6),2.798,R
103,104.,Jesse Tannehill (15),2.799,L
104,105.,Phil Douglas (9),2.803,R
105,106.,John Clarkson+ (12),2.811,R
106,107.,Charlie Smith (10),2.815,R
107,108.,Ed Morris (7),2.816,L
108,109.,Ray Fisher (10),2.819,R
109,109.,Tully Sparks (12),2.819,R
110,111.,George Mullin (14),2.822,R
111,112.,John Hiller (15),2.833,L
112,112.,Bruce Sutter+ (12),2.833,R
113,114.,Bob Caruthers (10),2.835,R
114,115.,Spud Chandler (11),2.836,R
115,116.,Doc Ayers (9),2.841,R
116,117.,Dave Foutz (13),2.843,R
117,118.,Joe Lake (6),2.847,R
118,119.,Lady Baldwin (6),2.850,L
119,119.,Kent Tekulve (16),2.850,R
120,121.,George Bell (5),2.851,R
121,122.,Pud Galvin+ (15),2.853,R
122,123.,Jim Palmer+ (19),2.856,R
123,124.,Bobby Mathews (15),2.857,R
124,125.,Andy Messersmith (12),2.861,R
125,126.,Tom Seaver+ (20),2.862,R
126,127.,Fred Beebe (7),2.865,R
127,128.,Harry Harper (10),2.866,L
128,129.,Trevor Hoffman+ (18),2.867,R
129,130.,George Winter (8),2.870,R
130,131.,Charlie Sweeney (6),2.873,R
131,132.,Willie Mitchell (11),2.879,L
132,133.,Sparky Lyle (16),2.881,L
133,134.,John Franco (21),2.890,L
134,134.,Juan Marichal+ (16),2.890,R
135,134.,Pol Perritt (10),2.890,R
136,137.,Stan Coveleski+ (14),2.891,R
137,138.,Wilbur Cooper (15),2.894,L
138,139.,Al Mamaux (12),2.896,R
139,140.,Rollie Fingers+ (17),2.904,R
140,140.,Art Fromme (10),2.904,R
141,142.,Bob Gibson+ (17),2.915,R
142,143.,Harry Brecheen (12),2.916,L
143,143.,Carl Mays (15),2.916,R
144,145.,Hugh Daily (6),2.919,R
145,146.,Dean Chance (11),2.921,R
146,146.,Doc Crandall (10),2.921,R
147,148.,Pedro Martinez+ (18),2.925,R
148,149.,Guy Hecker (9),2.927,R
149,150.,Gary Lavelle (13),2.928,L
150,151.,Dave Davenport (6),2.934,R
151,152.,Clay Carroll (15),2.939,R
152,153.,Tex Hughson (8),2.944,R
153,154.,Jumbo McGinnis (6),2.946,
154,154.,Lefty Tyler (12),2.946,L
155,156.,Don Drysdale+ (14),2.948,R
156,157.,Kid Nichols+ (15),2.955,R
157,158.,Erskine Mayer (8),2.958,R
158,159.,Don McMahon (18),2.960,R
159,160.,Charlie Buffinton (11),2.961,R
160,161.,Mort Cooper (11),2.968,R
161,162.,Mel Stottlemyre (11),2.969,R
162,163.,Jim Whitney (10),2.971,R
163,164.,Jack Powell (16),2.973,R
164,165.,Bill Doak (16),2.976,R
165,166.,Otto Hess (10),2.977,L
166,167.,Carl Hubbell+ (16),2.978,L
167,168.,Pat Ragan (11),2.988,R
168,169.,Doc Scanlan (8),2.998,R
169,170.,Max Lanier (14),3.007,L
170,171.,Rich Gossage+ (22),3.009,R
171,172.,Bill Dinneen (12),3.012,R
172,172.,Frank Miller (7),3.012,R
173,172.,Gene Packard (8),3.012,L
174,175.,Jay Hughes (4),3.019,R
175,176.,Dizzy Dean+ (12),3.024,R
176,177.,"Chris Sale (10, 31)",3.026,L
177,178.,Lee Smith+ (18),3.029,R
178,179.,Bill Bernhard (9),3.039,R
179,180.,Jean Dubuc (9),3.041,R
180,181.,Tony Mullane (13),3.053,R
181,182.,Hal Newhouser+ (17),3.055,L
182,183.,Lefty Grove+ (17),3.058,L
183,184.,Henry Boyle (6),3.059,R
184,184.,Lee Richmond (6),3.059,L
185,186.,Tiny Bonham (10),3.064,R
186,187.,Amos Rusie+ (10),3.068,R
187,188.,Jim Brewer (17),3.071,L
188,188.,Jim Shaw (9),3.071,R
189,190.,Bob Veale (13),3.075,L
190,191.,Rube Marquard+ (18),3.076,L
191,192.,Gary Nolan (10),3.079,R
192,193.,Ed Willett (10),3.081,R
193,194.,Rube Benton (15),3.085,L
194,195.,Jimmy Lavender (6),3.086,R
195,195.,Warren Spahn+ (21),3.086,L
196,197.,Bob Shawkey (15),3.089,R
197,198.,Tom Hughes (13),3.094,R
