,Rank,"Player (yrs, age)",Win-Loss %,Throws
0,1.,Al Spalding+ (8),.7950,R
1,2.,Spud Chandler (11),.7171,R
2,3.,"Clayton Kershaw (13, 32)",.6972,L
3,4.,Whitey Ford+ (16),.6901,L
4,4.,Dave Foutz (13),.6901,R
5,6.,Bob Caruthers (10),.6877,R
6,7.,Pedro Martinez+ (18),.6865,R
7,8.,Don Gullett (9),.6855,L
8,9.,Lefty Grove+ (17),.6803,L
9,10.,Jay Hughes (4),.6748,R
10,11.,Smoky Joe Wood (14),.6724,R
11,12.,Babe Ruth+ (22),.6714,L
12,13.,Bill Hoffer (6),.6667,R
13,13.,Vic Raschi (10),.6667,R
14,13.,Chien-Ming Wang (9),.6667,R
15,16.,Larry Corcoran (8),.6654,R
16,17.,Christy Mathewson+ (17),.6649,R
17,18.,Sam Leever (13),.6599,R
18,19.,Roy Halladay+ (16),.6591,R
19,20.,Roger Clemens (24),.6580,R
20,21.,Sal Maglie (10),.6575,R
21,22.,Dick McBride (6),.6564,R
22,23.,"Stephen Strasburg (11, 31)",.6550,R
23,24.,Sandy Koufax+ (12),.6548,L
24,25.,Johnny Allen (13),.6544,R
25,26.,"Max Scherzer (13, 35)",.6530,R
26,27.,"David Price (12, 34)",.6522,L
27,28.,Ron Guidry (14),.6513,L
28,29.,Lefty Gomez+ (14),.6495,L
29,30.,John Clarkson+ (12),.6482,R
30,31.,Mordecai Brown+ (14),.6477,R
31,32.,"Gerrit Cole (8, 29)",.6474,R
32,33.,Randy Johnson+ (22),.6461,L
33,34.,Dizzy Dean+ (12),.6438,R
34,35.,Pete Alexander+ (20),.6420,R
35,36.,Hugh Casey (9),.6410,R
36,37.,Johan Santana (12),.6406,L
37,38.,Lady Baldwin (6),.6404,L
38,39.,Tex Hughson (8),.6400,R
39,40.,Pedro Borbon (12),.6389,R
40,41.,Mike Mussina+ (18),.6383,R
41,42.,Jim Palmer+ (19),.6381,R
42,43.,Jerry Nops (6),.6372,L
43,44.,Johnny Murphy (13),.6370,R
44,45.,"Justin Verlander (16, 37)",.6366,R
45,46.,Kid Nichols+ (15),.6351,R
46,47.,"Jon Lester (15, 36)",.6349,L
47,48.,Deacon Phillippe (13),.6342,R
48,49.,Dwight Gooden (16),.6340,R
49,49.,Joe McGinnity+ (10),.6340,R
50,51.,Mark Mulder (9),.6319,L
51,51.,Ed Reulbach (13),.6319,R
52,53.,Juan Marichal+ (16),.6312,R
53,54.,Lefty Williams (7),.6308,L
54,55.,Mort Cooper (11),.6305,R
55,56.,"Adam Wainwright (15, 38)",.6302,R
56,57.,Allie Reynolds (13),.6298,R
57,58.,"Masahiro Tanaka (7, 31)",.6290,R
58,59.,"Corey Kluber (10, 34)",.6282,R
59,60.,Jesse Tannehill (15),.6274,L
60,61.,Ray Kremer (10),.6272,R
61,62.,Firpo Marberry (14),.6271,R
62,63.,Eddie Plank+ (17),.6269,L
63,64.,Andy Pettitte (18),.6259,L
64,65.,Chief Bender+ (16),.6254,R
65,65.,Tim Hudson (17),.6254,R
