,Rank,"Player (yrs, age)",Walks & Hits per IP,Throws
0,1.,Addie Joss+ (9),0.9678,R
1,2.,Ed Walsh+ (14),0.9996,R
2,3.,Mariano Rivera+ (19),1.0003,R
3,4.,"Clayton Kershaw (13, 32)",1.0034,L
4,5.,"Chris Sale (10, 31)",1.0346,L
5,6.,John Ward+ (17),1.0435,R
6,7.,"Jacob deGrom (7, 32)",1.0473,R
7,8.,Pedro Martinez+ (18),1.0544,R
8,9.,Christy Mathewson+ (17),1.0581,R
9,10.,Trevor Hoffman+ (18),1.0584,R
10,11.,Walter Johnson+ (21),1.0612,R
11,12.,Mordecai Brown+ (14),1.0658,R
12,13.,Charlie Sweeney (6),1.0673,R
13,14.,Reb Russell (9),1.0800,L
14,15.,"Corey Kluber (10, 34)",1.0859,R
15,16.,Jim Devlin (5),1.0868,R
16,17.,Smoky Joe Wood (14),1.0869,R
17,18.,"Stephen Strasburg (11, 31)",1.0882,R
18,19.,Jack Pfiester (8),1.0887,L
19,20.,George Bradley (11),1.0901,R
20,21.,Tommy Bond (10),1.0908,R
21,22.,Babe Adams (19),1.0920,R
22,23.,"Max Scherzer (13, 35)",1.1004,R
23,24.,Juan Marichal+ (16),1.1012,R
24,25.,Dick Hall (19),1.1019,R
25,25.,Rube Waddell+ (13),1.1019,L
26,27.,"Kyle Hendricks (7, 30)",1.1047,R
27,28.,Larry Corcoran (8),1.1048,R
28,29.,Deacon Phillippe (13),1.1051,R
29,30.,Sandy Koufax+ (12),1.1061,L
30,31.,Fred Glade (6),1.1066,R
31,32.,Ed Morris (7),1.1075,L
32,33.,Will White (10),1.1110,R
33,34.,Chief Bender+ (16),1.1127,R
34,35.,Charlie Ferguson (4),1.1171,R
35,36.,Terry Larkin (6),1.1172,R
36,37.,"Madison Bumgarner (12, 30)",1.1178,L
37,38.,Eddie Plank+ (17),1.1189,L
38,39.,"Gerrit Cole (8, 29)",1.1191,R
39,40.,Doc White (13),1.1207,L
40,41.,Tom Seaver+ (20),1.1208,R
41,42.,Pete Alexander+ (20),1.1212,R
42,43.,Tim Keefe+ (14),1.1230,R
43,44.,Hoyt Wilhelm+ (21),1.1245,R
44,45.,"Masahiro Tanaka (7, 31)",1.1296,R
45,45.,Cy Young+ (22),1.1296,R
46,47.,Frank Owen (8),1.1306,R
47,48.,George McQuillan (10),1.1311,R
48,49.,Hooks Wiltse (12),1.1315,L
49,50.,Noodles Hahn (8),1.1319,L
50,51.,Johan Santana (12),1.1320,L
51,52.,Jim McCormick (10),1.1322,R
52,53.,Ray Collins (7),1.1340,L
53,54.,Catfish Hunter+ (15),1.1341,R
54,55.,"Justin Verlander (16, 37)",1.1342,R
55,56.,Lady Baldwin (6),1.1347,L
56,57.,Curt Schilling (20),1.1374,R
57,58.,Bruce Sutter+ (12),1.1401,R
58,59.,Bret Saberhagen (16),1.1406,R
59,60.,Nick Altrock (19),1.1407,L
60,61.,Sam Leever (13),1.1411,R
61,62.,Fergie Jenkins+ (19),1.1418,R
62,63.,Don Sutton+ (23),1.1425,R
63,64.,Greg Maddux+ (23),1.1431,R
64,64.,Ed Reulbach (13),1.1431,R
65,66.,Andy Messersmith (12),1.1433,R
66,67.,Sid Fernandez (15),1.1443,L
67,68.,Jeff Tesreau (7),1.1447,R
68,69.,Gary Nolan (10),1.1453,R
69,70.,Joe Benz (9),1.1466,R
70,70.,Jim Whitney (10),1.1466,R
71,72.,Don Drysdale+ (14),1.1477,R
72,73.,Old Hoss Radbourn+ (12),1.1492,R
73,74.,Barney Pelty (10),1.1504,R
74,75.,Jack Chesbro+ (11),1.1520,R
75,76.,Tiny Bonham (10),1.1528,R
76,77.,"David Price (12, 34)",1.1529,L
77,78.,Fred Goldsmith (7),1.1530,R
78,79.,Russ Ford (7),1.1537,R
79,80.,Eddie Cicotte (14),1.1544,R
80,81.,Rollie Fingers+ (17),1.1556,R
81,82.,Bob Caruthers (10),1.1578,R
82,83.,Dick Rudolph (13),1.1581,R
83,84.,"Zack Greinke (17, 36)",1.1582,R
84,85.,Babe Ruth+ (22),1.1586,L
