,Rank,"Player (yrs, age)",Complete Games,Throws
0,1.,Cy Young+ (22),749,R
1,2.,Pud Galvin+ (15),646,R
2,3.,Tim Keefe+ (14),554,R
3,4.,Kid Nichols+ (15),532,R
4,5.,Walter Johnson+ (21),531,R
5,6.,Bobby Mathews (15),525,R
6,6.,Mickey Welch+ (13),525,R
7,8.,Old Hoss Radbourn+ (12),488,R
8,9.,John Clarkson+ (12),485,R
9,10.,Tony Mullane (13),468,R
10,11.,Jim McCormick (10),466,R
11,12.,Gus Weyhing (14),449,R
12,13.,Pete Alexander+ (20),436,R
13,14.,Christy Mathewson+ (17),435,R
14,15.,Jack Powell (16),422,R
15,16.,Eddie Plank+ (17),410,L
16,17.,Will White (10),394,R
17,18.,Amos Rusie+ (10),393,R
18,19.,Vic Willis+ (13),388,R
19,20.,Tommy Bond (10),386,R
20,21.,Warren Spahn+ (21),382,L
21,22.,Jim Whitney (10),377,R
22,23.,Adonis Terry (14),367,R
23,24.,Ted Lyons+ (21),356,R
24,25.,George Mullin (14),353,R
25,26.,Charlie Buffinton (11),351,R
26,27.,Chick Fraser (14),342,R
27,28.,Clark Griffith+ (21),337,R
28,29.,Red Ruffing+ (22),335,R
29,30.,Silver King (10),328,R
30,31.,Al Orth (15),324,R
31,32.,Bill Hutchison (9),321,R
32,33.,Burleigh Grimes+ (19),314,R
33,33.,Joe McGinnity+ (10),314,R
34,35.,Red Donahue (13),312,R
35,35.,Guy Hecker (9),312,R
36,37.,Bill Dinneen (12),306,R
37,38.,Robin Roberts+ (19),305,R
38,39.,Gaylord Perry+ (22),303,R
39,40.,George Bradley (11),302,R
40,41.,Theodore Breitenstein (11),301,L
41,42.,Bob Caruthers (10),298,R
42,42.,Lefty Grove+ (17),298,L
43,44.,Pink Hawley (10),297,R
44,44.,Ed Morris (7),297,L
45,46.,Mark Baldwin (7),295,R
46,47.,Brickyard Kennedy (12),294,R
47,48.,Eppa Rixey+ (21),290,L
48,49.,Bill Donovan (18),289,R
49,49.,Early Wynn+ (23),289,R
50,51.,Bert Cunningham (12),287,R
51,52.,Wilbur Cooper (15),279,L
52,52.,Bob Feller+ (18),279,R
53,52.,Sadie McMahon (9),279,R
54,52.,Al Spalding+ (8),279,R
55,52.,Jack Taylor (10),279,R
56,57.,Jack Stivetts (11),278,R
57,58.,Pretzels Getzien (9),277,R
58,59.,Red Faber+ (20),273,R
59,60.,Mordecai Brown+ (14),271,R
60,60.,Frank Dwyer (12),271,R
61,62.,Jouett Meekin (10),270,R
62,63.,Fergie Jenkins+ (19),267,R
63,64.,Ice Box Chamberlain (10),264,R
64,64.,Matt Kilroy (10),264,L
65,64.,Jesse Tannehill (15),264,L
66,67.,Doc White (13),262,L
67,68.,Rube Waddell+ (13),261,L
68,69.,Jack Chesbro+ (11),260,R
69,69.,Red Ehret (11),260,R
70,69.,Carl Hubbell+ (16),260,L
71,72.,Larry Corcoran (8),256,R
72,73.,Chief Bender+ (16),255,R
73,73.,Bob Gibson+ (17),255,R
74,75.,Steve Carlton+ (24),254,L
75,76.,Frank Killen (10),253,L
76,76.,Win Mercer (9),253,R
77,78.,Paul Derringer (15),251,R
78,79.,Sad Sam Jones (22),250,R
79,79.,Ed Walsh+ (14),250,R
80,81.,Eddie Cicotte (14),249,R
81,81.,Herb Pennock+ (22),249,L
82,81.,Stump Weidman (9),249,R
83,84.,Bobo Newsom (20),246,R
84,85.,Hooks Dauss (15),245,R
85,85.,Phil Niekro+ (24),245,R
86,85.,John Ward+ (17),245,R
87,88.,Harry Howell (13),244,R
88,88.,Juan Marichal+ (16),244,R
89,90.,Jack Quinn (23),243,R
90,91.,Bert Blyleven+ (22),242,R
91,91.,Deacon Phillippe (13),242,R
92,91.,Bucky Walters (19),242,R
93,94.,Sam Leever (13),241,R
94,95.,Kid Gleason (22),240,R
95,96.,Addie Joss+ (9),234,R
96,97.,Candy Cummings+ (6),233,R
97,98.,Harry Staley (8),232,R
98,98.,George Uhle (17),232,R
99,100.,Carl Mays (15),231,R
100,100.,Tom Seaver+ (20),231,R
101,102.,Earl Moore (14),230,R
102,103.,George Zettlein (6),228,R
103,104.,Wes Ferrell (15),227,R
104,104.,Tom Hughes (13),227,R
105,104.,Dick McBride (6),227,R
106,107.,Waite Hoyt+ (21),226,R
107,107.,Earl Whitehill (17),226,L
108,109.,Bullet Joe Bush (17),225,R
109,109.,Toad Ramsey (6),225,L
110,111.,Nig Cuppy (10),224,R
111,112.,Stan Coveleski+ (14),223,R
112,113.,Nolan Ryan+ (27),222,R
113,114.,Lee Meadows (15),219,R
114,115.,Kid Carsey (10),218,R
115,116.,Dazzy Vance+ (16),217,R
116,117.,Jack Lynch (7),214,R
117,117.,Hippo Vaughn (13),214,L
118,119.,Noodles Hahn (8),212,L
119,119.,Hal Newhouser+ (17),212,L
120,121.,Frank Kitson (10),211,R
121,121.,Jim Palmer+ (19),211,R
122,123.,Red Ames (17),209,R
123,123.,Jesse Haines+ (19),209,R
124,123.,Jack Taylor (9),209,R
125,126.,Egyptian Healy (8),208,R
126,127.,Dolf Luque (20),206,R
127,127.,Casey Patten (8),206,L
128,129.,Babe Adams (19),205,R
129,129.,Bob Ewing (11),205,R
130,131.,Red Lucas (16),204,R
131,132.,Tully Sparks (12),203,R
132,133.,Dave Foutz (13),202,R
133,134.,Henry Porter (6),201,R
134,135.,Tommy Bridges (16),200,R
135,135.,Ed Reulbach (13),200,R
136,135.,Urban Shocker (13),200,R
137,138.,Howard Ehmke (15),199,R
138,138.,Larry French (14),199,L
139,138.,Scott Stratton (8),199,R
140,138.,Willie Sudhoff (10),199,R
141,142.,Hardie Henderson (6),197,R
142,142.,Rube Marquard+ (18),197,L
143,142.,Bob Shawkey (15),197,R
144,145.,Dupee Shaw (6),196,L
145,146.,Mickey Lolich (16),195,L
146,147.,Jeff Pfeffer (13),193,R
147,147.,Billy Pierce (18),193,L
148,149.,Ad Gumbert (9),192,R
149,149.,Dutch Leonard (20),192,R
150,149.,Lon Warneke (15),192,R
151,152.,Jersey Bakley (6),191,R
152,153.,Henry Boyle (6),189,R
153,153.,Slim Sallee (14),189,L
154,155.,Bob Lemon+ (15),188,R
155,155.,Claude Passeau (13),188,R
156,157.,Jack Coombs (14),187,R
157,157.,Togie Pittinger (8),187,R
158,157.,Billy Rhines (9),187,R
159,157.,Luis Tiant (19),187,R
160,161.,Freddie Fitzsimmons (19),186,R
161,161.,Nap Rucker (10),186,L
162,163.,Tom Zachary (19),185,L
163,164.,Ray Caldwell (12),184,R
164,164.,Claude Hendrix (10),184,R
165,164.,Frank Smith (11),184,R
166,167.,Dan Casey (7),182,L
167,167.,Bill Lee (14),182,R
168,169.,Mel Harder (20),181,R
169,169.,Catfish Hunter+ (15),181,R
170,169.,Art Nehf (15),181,L
171,169.,Lefty Tyler (12),181,L
172,173.,Jesse Barnes (13),180,R
173,173.,Cy Falkenberg (12),180,R
174,173.,Jim Kaat (25),180,L
175,176.,Don Sutton+ (23),178,R
176,177.,Jumbo McGinnis (6),177,
177,177.,Hank O'Day+ (7),177,R
178,177.,Charlie Root (17),177,R
179,180.,Bill Bernhard (9),175,R
180,180.,Jack Morris+ (18),175,R
181,180.,Barney Pelty (10),175,R
182,183.,Fred Goldsmith (7),174,R
183,184.,Lefty Gomez+ (14),173,L
184,185.,Mike Cuellar (15),172,L
185,185.,Terry Larkin (6),172,R
186,185.,Dick Rudolph (13),172,R
187,188.,Jimmy Callahan (13),169,R
188,188.,Frank Foreman (11),169,R
189,190.,Don Drysdale+ (14),167,R
190,191.,Charlie Ferguson (4),165,R
191,192.,Eddie Lopat (12),164,L
192,193.,Bob Friend (16),163,R
193,193.,Curt Simmons (20),163,L
194,195.,Bill Doak (16),162,R
195,195.,Bill Hart (8),162,R
196,195.,Tommy John (26),162,L
197,198.,Lee Richmond (6),161,L
198,199.,George Haddock (7),160,R
199,199.,Bill Sherdel (15),160,L
200,199.,Dummy Taylor (9),160,R
201,202.,Bill Duggleby (8),159,R
202,202.,Ed Seward (6),159,R
203,204.,Lew Burdette (18),158,R
204,204.,Danny MacFayden (17),158,R
205,204.,Ed Stein (8),158,R
206,204.,Fred Toney (12),158,R
207,204.,Dizzy Trout (15),158,R
208,209.,Hugh Daily (6),157,R
209,209.,Bob Groom (10),157,R
210,211.,Whitey Ford+ (16),156,L
211,211.,George Hemming (8),156,R
212,211.,Jim Tobin (9),156,R
213,214.,Willis Hudlin (16),155,R
214,214.,Thornton Lee (16),155,L
215,216.,Dizzy Dean+ (12),154,R
216,216.,Bob Rhoads (8),154,R
217,216.,Jimmy Ring (12),154,R
218,216.,Dutch Ruether (11),154,L
219,220.,Ned Garver (14),153,R
220,221.,Duke Esper (9),152,L
221,221.,Mel Stottlemyre (11),152,R
222,221.,Hooks Wiltse (12),152,L
223,224.,Jim Bunning+ (17),151,R
224,224.,Guy Bush (17),151,R
225,224.,Jim Devlin (5),151,R
226,224.,Dutch Leonard (11),151,L
227,228.,Ed Brandt (11),150,L
228,228.,General Crowder (11),150,R
229,230.,Murry Dickson (18),149,R
230,230.,Larry Jackson (14),149,R
231,230.,Ed Killian (8),149,L
232,233.,Ed Crane (9),146,R
233,233.,Lee Viau (5),146,R
234,233.,George Winter (8),146,R
235,236.,Rube Benton (15),145,L
236,236.,Clarence Mitchell (18),145,L
237,236.,Eddie Rommel (13),145,R
238,239.,Al Maul (15),144,R
239,239.,Ben Sanders (5),144,R
240,241.,Vida Blue (17),143,L
241,241.,Bob Harmon (9),143,R
242,241.,Frank Tanana (21),143,L
243,241.,Jake Weimer (7),143,L
244,245.,Sherry Smith (14),142,L
245,245.,Ed Willett (10),142,R
246,247.,Bob Barr (5),141,R
247,247.,Curt Davis (13),141,R
248,247.,Ed Doheny (9),141,L
249,247.,Phil Knell (6),141,L
250,247.,Sam Weaver (6),141,R
251,252.,Earl Hamilton (14),140,L
252,252.,Jerry Koosman (19),140,L
253,252.,Harry McIntire (9),140,R
254,252.,Claude Osteen (18),140,L
255,252.,Johnny Sain (11),140,R
256,257.,Wiley Piatt (6),139,L
257,257.,Rube Walberg (15),139,L
258,259.,Bill Carrick (5),138,R
259,259.,Pete Donohue (12),138,R
260,259.,Lefty Leifield (12),138,L
261,259.,George Mogridge (15),138,L
262,259.,Rick Wise (18),138,R
263,264.,Howie Camnitz (11),137,R
264,264.,Ed Cushman (6),137,L
265,264.,Sandy Koufax+ (12),137,L
266,264.,Al Mays (6),137,R
267,264.,Doc McJames (6),137,R
268,264.,Frank Mountain (7),137,R
269,264.,Allie Reynolds (13),137,R
270,264.,Schoolboy Rowe (15),137,R
271,264.,Hal Schumacher (13),137,R
272,264.,Rip Sewell (13),137,R
273,274.,Ted Lewis (6),136,R
274,274.,Don Newcombe (10),136,R
275,274.,Ed Siever (7),136,L
276,277.,Ned Garvin (7),134,R
277,277.,Bump Hadley (16),134,R
278,277.,Ray Kremer (10),134,R
279,280.,Jim Bagby (9),133,R
280,280.,Orval Overall (7),133,R
281,280.,Ken Raffensberger (15),133,L
282,283.,Larry Cheney (9),132,R
283,283.,Ed Daily (7),132,R
284,283.,Tom Lovett (6),132,R
285,283.,Camilo Pascual (18),132,R
286,287.,John Harkins (5),131,R
287,287.,Johnny Vander Meer (13),131,L
288,289.,Henry Gruber (5),129,R
289,289.,Milt Pappas (17),129,R
290,289.,Steve Rogers (13),129,R
291,292.,Nick Altrock (19),128,L
292,292.,Mort Cooper (11),128,R
293,292.,Milt Gaston (11),128,R
294,292.,Bob Smith (15),128,R
295,292.,Tommy Thomas (12),128,R
296,297.,Otto Hess (10),127,L
297,297.,Ken Holtzman (15),127,L
298,297.,Vern Kennedy (12),127,R
299,297.,Jerry Reuss (22),127,L
300,301.,Elden Auker (10),126,R
301,301.,Cherokee Fisher (8),126,R
302,301.,Russ Ford (7),126,R
303,301.,Frank Lary (12),126,R
304,305.,Harry Brecheen (12),125,L
305,305.,Patsy Flaherty (9),125,L
306,305.,Bill Hoffer (6),125,R
307,305.,Carl Lundgren (8),125,R
308,309.,Virgil Trucks (17),124,R
309,310.,Larry Benton (13),123,R
310,310.,Sid Hudson (12),123,R
311,310.,Van Mungo (14),123,R
312,310.,Jim Scott (9),123,R
313,310.,Phenomenal Smith (8),123,L
314,310.,Jeff Tesreau (7),123,R
315,316.,Dennis Martinez (23),122,R
316,316.,Mike Smith (14),122,L
317,318.,Hal Carlson (14),121,R
318,318.,Hank Gastright (7),121,R
319,318.,Smoky Joe Wood (14),121,R
320,321.,Dave McNally (14),120,L
321,321.,Irv Young (6),120,L
322,323.,Vern Law (16),119,R
323,323.,Frank Owen (8),119,R
324,323.,Roy Patterson (7),119,R
325,323.,Bill Phillips (7),119,R
326,327.,Roger Clemens (24),118,R
327,327.,Bob Rush (13),118,R
328,327.,Kaiser Wilhelm (9),118,R
329,330.,Pete Conway (5),117,R
330,330.,Mike Torrez (18),117,R
331,332.,Howie Pollet (14),116,L
332,333.,George Earnshaw (9),115,R
333,333.,Jack Harper (8),115,R
334,333.,Jack Scott (12),115,R
335,333.,George Suggs (8),115,R
336,337.,Pat Malone (10),114,R
337,337.,Willie McGill (7),114,L
338,337.,Wilbur Wood (17),114,L
339,340.,John Ewing (6),113,R
340,340.,Cinders O'Brien (4),113,R
341,340.,Mel Parnell (10),113,L
342,340.,Charlie Sweeney (6),113,R
343,340.,Fernando Valenzuela (17),113,L
344,345.,Lady Baldwin (6),112,L
345,345.,Joe Dobson (14),112,R
346,345.,Fritz Ostermueller (15),112,L
347,348.,Bob Buhl (15),111,R
348,348.,Mike Garcia (14),111,R
349,348.,Jay Hughes (4),111,R
350,348.,Jock Menefee (9),111,R
351,352.,Tiny Bonham (10),110,R
352,352.,Ray Fisher (10),110,R
353,352.,Larry McKeon (3),110,
354,355.,Johnny Allen (13),109,R
355,355.,Spud Chandler (11),109,R
356,355.,Greg Maddux+ (23),109,R
357,355.,Jim Perry (17),109,R
358,359.,Si Johnson (17),108,R
359,360.,Buster Brown (9),107,R
360,360.,Fred Glade (6),107,R
361,360.,Charlie Hough (25),107,R
362,360.,Larry Jansen (9),107,R
363,360.,Cy Morgan (10),107,R
364,360.,Joe Niekro (22),107,R
365,360.,Babe Ruth+ (22),107,L
366,360.,Lefty Stewart (10),107,L
367,360.,Happy Townsend (6),107,R
368,369.,George Blaeholder (11),106,R
369,369.,Larry Dierker (14),106,R
370,369.,Vic Raschi (10),106,R
371,372.,George Derby (3),105,R
372,372.,Vean Gregg (8),105,L
373,372.,Johnny Lush (7),105,L
374,372.,Denny McLain (10),105,R
375,372.,George McQuillan (10),105,R
376,372.,Cy Seymour (16),105,L
377,372.,Jack Warhop (8),105,R
378,372.,Carl Weilman (8),105,L
379,380.,Ed Beatin (5),104,L
380,380.,Max Butcher (10),104,R
381,380.,Jesse Duryea (5),104,R
382,383.,Jack Dunn (8),103,R
383,383.,Dennis Leonard (12),103,R
384,383.,Sam McDowell (15),103,L
385,383.,Joe Shaute (13),103,L
386,383.,Dave Stieb (16),103,R
387,388.,Vic Aldridge (9),102,R
388,388.,Johnny Antonelli (12),102,L
389,388.,Ray Benge (12),102,R
390,388.,Rick Reuschel (19),102,R
391,388.,Doc Scanlan (8),102,R
