,Rank,"Player (yrs, age)",Hit By Pitch,Throws
0,1.,Gus Weyhing (14),277,R
1,2.,Chick Fraser (14),219,R
2,3.,Pink Hawley (10),210,R
3,4.,Walter Johnson+ (21),205,R
4,5.,Randy Johnson+ (22),190,L
5,5.,Eddie Plank+ (17),190,L
6,7.,Tim Wakefield (19),186,R
7,8.,Tony Mullane (13),185,R
8,9.,Joe McGinnity+ (10),179,R
9,10.,Charlie Hough (25),174,R
10,11.,Clark Griffith+ (21),171,R
11,12.,Cy Young+ (22),161,R
12,13.,Jim Bunning+ (17),160,R
13,14.,Roger Clemens (24),159,R
14,15.,Nolan Ryan+ (27),158,R
15,16.,Vic Willis+ (13),156,R
16,17.,Bert Blyleven+ (22),155,R
17,17.,Jamey Wright (19),155,R
18,19.,Don Drysdale+ (14),154,R
19,20.,Bert Cunningham (12),148,R
20,20.,Adonis Terry (14),148,R
21,22.,Silver King (10),146,R
22,22.,Jamie Moyer (25),146,L
23,24.,Win Mercer (9),144,R
24,25.,A.J. Burnett (17),143,R
25,26.,Frank Foreman (11),142,R
26,27.,Ed Doheny (9),141,L
27,27.,Pedro Martinez+ (18),141,R
28,29.,Kevin Brown (19),139,R
29,29.,Red Ehret (11),139,R
30,31.,Chan Ho Park (17),138,R
31,32.,Howard Ehmke (15),137,R
32,32.,Greg Maddux+ (23),137,R
33,34.,Phil Knell (6),136,L
34,35.,John Lackey (15),133,R
35,36.,Matt Kilroy (10),131,L
36,37.,George Mullin (14),130,R
37,37.,Jesse Tannehill (15),130,L
38,39.,Kid Nichols+ (15),129,R
39,39.,Dave Stieb (16),129,R
40,39.,Frank Tanana (21),129,L
41,42.,Kenny Rogers (20),127,L
42,43.,Jack Taylor (9),126,R
43,44.,Kid Carsey (10),125,R
44,44.,Willie Sudhoff (10),125,R
45,46.,Tim Hudson (17),124,R
46,46.,Jeff Weaver (11),124,R
47,48.,Mark Baldwin (7),123,R
48,48.,Phil Niekro+ (24),123,R
49,48.,CC Sabathia (19),123,L
50,51.,Jim Kaat (25),122,L
51,51.,Dennis Martinez (23),122,R
52,53.,Hooks Dauss (15),121,R
53,53.,"Charlie Morton (13, 36)",121,R
54,55.,Jack Powell (16),120,R
55,55.,Doc White (13),120,L
56,57.,Orel Hershiser (18),117,R
57,57.,Darryl Kile (12),117,R
58,57.,Al Leiter (19),117,L
59,60.,Rube Waddell+ (13),115,L
60,61.,Jack Warhop (8),114,R
61,62.,Ice Box Chamberlain (10),113,R
62,62.,Jack Chesbro+ (11),113,R
63,62.,Red Donahue (13),113,R
64,62.,George Uhle (17),113,R
65,66.,Amos Rusie+ (10),112,R
66,66.,Aaron Sele (15),112,R
67,68.,Pedro Astacio (15),111,R
68,69.,Vicente Padilla (14),109,R
69,70.,Gaylord Perry+ (22),108,R
70,70.,Billy Rhines (9),108,R
71,72.,"Johnny Cueto (13, 34)",107,R
72,72.,Ed Reulbach (13),107,R
73,74.,David Cone (17),106,R
74,74.,Earl Moore (14),106,R
75,76.,Bronson Arroyo (16),105,R
76,76.,"Felix Hernandez (15, 34)",105,R
77,76.,Jim Lonborg (15),105,R
78,76.,Jeff Pfeffer (13),105,R
79,76.,Ed Willett (10),105,R
80,81.,Barney Pelty (10),104,R
81,82.,Scott Erickson (15),103,R
82,82.,Red Faber+ (20),103,R
83,82.,Randy Wolf (16),103,L
84,85.,Chief Bender+ (16),102,R
85,85.,Bob Gibson+ (17),102,R
86,85.,Tom Hughes (13),102,R
87,85.,Ervin Santana (15),102,R
88,85.,Carlos Zambrano (12),102,R
89,90.,Frank Dwyer (12),101,R
90,90.,Burleigh Grimes+ (19),101,R
91,90.,Earl Whitehill (17),101,L
92,93.,Wilbur Cooper (15),100,L
93,93.,"Cole Hamels (15, 36)",100,L
94,95.,Bob Caruthers (10),99,R
95,95.,Jack Stivetts (11),99,R
96,95.,Kerry Wood (14),99,R
97,98.,Jack Billingham (13),98,R
98,98.,Don Cardwell (14),98,R
99,98.,Tommy John (26),98,L
100,98.,Tim Keefe+ (14),98,R
101,98.,"Chris Sale (10, 31)",98,L
102,98.,"Justin Verlander (16, 37)",98,R
103,104.,Harry Howell (13),97,R
104,104.,Frank Lary (12),97,R
105,104.,James Shields (13),97,R
106,104.,Barry Zito (15),97,L
107,108.,Harry McIntire (9),96,R
108,108.,Darren Oliver (20),96,L
109,108.,Togie Pittinger (8),96,R
110,108.,Julian Tavarez (17),96,R
111,112.,Rube Benton (15),95,L
112,112.,Cy Morgan (10),95,R
113,114.,Matt Clement (9),94,R
114,114.,Sadie McMahon (9),94,R
115,114.,Jeff Suppan (17),94,R
116,114.,Jack Taylor (10),94,R
117,118.,Justin Masterson (8),93,R
118,119.,Mickey Lolich (16),92,L
119,120.,Ryan Dempster (16),91,R
120,120.,Jack Quinn (23),91,R
121,122.,John Burkett (15),90,R
122,122.,Jimmy Callahan (13),90,R
123,122.,Joe Coleman (15),90,R
124,122.,R.A. Dickey (15),90,R
125,122.,Bill Donovan (18),90,R
126,122.,Lee Meadows (15),90,R
127,128.,Carl Mays (15),89,R
128,128.,Jouett Meekin (10),89,R
129,130.,Jack Coombs (14),88,R
130,130.,Jeremy Guthrie (13),88,R
131,130.,Sam Leever (13),88,R
132,130.,Jason Marquis (15),88,R
133,130.,Jakie May (14),88,L
134,130.,Rick Reuschel (19),88,R
135,130.,Javier Vazquez (14),88,R
136,137.,Mike Boddicker (14),87,R
137,137.,Theodore Breitenstein (11),87,L
138,137.,"Jon Lester (15, 36)",87,L
139,137.,Kyle Lohse (16),87,R
140,137.,"Oliver Perez (18, 38)",87,L
141,137.,Tully Sparks (12),87,R
142,143.,Bill Hutchison (9),86,R
143,143.,Kid Madden (5),86,L
144,143.,"Max Scherzer (13, 35)",86,R
145,143.,Cy Seymour (16),86,L
146,147.,Tommy Byrne (13),85,L
147,147.,Tom Candiotti (16),85,R
148,147.,Chris Carpenter (15),85,R
149,147.,Frank Killen (10),85,L
150,147.,Lefty Leifield (12),85,L
151,147.,Hippo Vaughn (13),85,L
152,153.,Fergie Jenkins+ (19),84,R
153,153.,Carl Pavano (14),84,R
154,153.,"Rick Porcello (12, 31)",84,R
155,156.,Bill Duggleby (8),83,R
156,156.,Al Orth (15),83,R
157,156.,Todd Stottlemyre (14),83,R
158,156.,David Wells (21),83,L
159,160.,Roberto Hernandez (11),82,R
160,160.,Ad Gumbert (9),82,R
161,160.,Don Sutton+ (23),82,R
162,163.,Rip Collins (11),81,R
163,163.,Danny Darwin (21),81,R
164,163.,Roy Halladay+ (16),81,R
165,163.,Frank Kitson (10),81,R
166,163.,Hank O'Day+ (7),81,R
167,163.,Mike Pelfrey (12),81,R
168,169.,Dave Bush (9),80,R
169,169.,John Clarkson+ (12),80,R
170,169.,Otto Hess (10),80,L
171,169.,Byung-Hyun Kim (9),80,R
172,169.,Omar Olivares (12),80,R
173,169.,Roy Oswalt (13),80,R
174,169.,Jim Perry (17),80,R
175,176.,Kevin Appier (16),79,R
176,176.,Miguel Batista (18),79,R
177,176.,Mark Buehrle (16),79,L
178,176.,Kevin Gross (15),79,R
179,176.,"Ian Kennedy (14, 35)",79,R
180,176.,Charlie Root (17),79,R
181,176.,Bob Welch (17),79,R
182,183.,Kid Gleason (22),78,R
183,183.,Dwight Gooden (16),78,R
184,183.,Bill Hart (8),78,R
185,183.,Liván Hernández (17),78,R
186,183.,Ubaldo Jimenez (12),78,R
187,183.,Derek Lowe (17),78,R
188,183.,Jake Peavy (15),78,R
189,183.,Wiley Piatt (6),78,L
190,191.,Paul Maholm (10),77,L
191,191.,Mike Sullivan (10),77,R
192,191.,Dazzy Vance+ (16),77,R
193,194.,Josh Beckett (14),76,R
194,194.,Bill Dinneen (12),76,R
195,194.,Chuck Finley (17),76,L
196,194.,George Mogridge (15),76,L
197,194.,Eppa Rixey+ (21),76,L
198,194.,Tom Seaver+ (20),76,R
199,194.,"Edinson Volquez (15, 36)",76,R
200,194.,C.J. Wilson (11),76,L
201,202.,Dennis Eckersley+ (24),75,R
202,202.,Mark Leiter (11),75,R
203,202.,Esteban Loaiza (14),75,R
204,202.,Willie Mitchell (11),75,L
205,202.,Cinders O'Brien (4),75,R
206,207.,Kevin Millwood (16),74,R
207,207.,Matt Morris (11),74,R
208,207.,Casey Patten (8),74,L
209,207.,Milt Wilcox (16),74,R
210,211.,Mike Morgan (22),73,R
211,211.,Nap Rucker (10),73,L
212,211.,Mike Smithson (8),73,R
213,211.,Jake Weimer (7),73,L
214,215.,Doug Fister (10),72,R
215,215.,Guy Hecker (9),72,R
216,215.,Dave McNally (14),72,L
217,215.,Milt Pappas (17),72,R
218,215.,Dummy Taylor (9),72,R
219,215.,Woody Williams (15),72,R
220,221.,Ned Garvin (7),71,R
221,221.,Jason Hammel (13),71,R
222,221.,Jerry Koosman (19),71,L
223,221.,Bob Purkey (13),71,R
224,221.,Stan Williams (14),71,R
225,226.,Pete Alexander+ (20),70,R
226,226.,Ray Culp (11),70,R
227,226.,"Zack Greinke (17, 36)",70,R
228,226.,Earl Hamilton (14),70,L
229,226.,Egyptian Healy (8),70,R
230,226.,Ed Killian (8),70,L
231,226.,Johnny Klippstein (18),70,R
