,Rank,"Player (yrs, age)",Batters Faced,Throws
0,1.,Cy Young+ (22),29565,R
1,2.,Pud Galvin+ (15),25415,R
2,3.,Walter Johnson+ (21),23415,R
3,4.,Phil Niekro+ (24),22677,R
4,5.,Nolan Ryan+ (27),22575,R
5,6.,Bobby Mathews (15),21997,R
6,7.,Gaylord Perry+ (22),21953,R
7,8.,Steve Carlton+ (24),21683,L
8,9.,Don Sutton+ (23),21631,R
9,10.,Warren Spahn+ (21),21547,L
10,11.,Kid Nichols+ (15),21099,R
11,12.,Tim Keefe+ (14),20941,R
12,13.,Pete Alexander+ (20),20893,R
13,14.,Bert Blyleven+ (22),20491,R
14,15.,Greg Maddux+ (23),20421,R
15,16.,Mickey Welch+ (13),20308,R
16,17.,Roger Clemens (24),20240,R
17,18.,Tommy John (26),19692,L
18,19.,Early Wynn+ (23),19408,R
19,20.,Tony Mullane (13),19407,R
20,21.,Tom Seaver+ (20),19369,R
21,22.,Gus Weyhing (14),19188,R
22,23.,Robin Roberts+ (19),19174,R
23,24.,John Clarkson+ (12),19146,R
24,25.,Jim Kaat (25),19023,L
25,26.,Christy Mathewson+ (17),18929,R
26,27.,Old Hoss Radbourn+ (12),18918,R
27,28.,Eppa Rixey+ (21),18754,L
28,29.,Tom Glavine+ (22),18604,L
29,30.,Red Ruffing+ (22),18546,R
30,31.,Fergie Jenkins+ (19),18400,R
31,32.,Burleigh Grimes+ (19),17974,R
32,33.,Jack Powell (16),17896,R
33,34.,Eddie Plank+ (17),17814,L
34,35.,Ted Lyons+ (21),17797,R
35,36.,Jim McCormick (10),17702,R
36,37.,Frank Tanana (21),17641,L
37,38.,Jamie Moyer (25),17356,L
38,39.,Red Faber+ (20),17104,R
39,40.,Randy Johnson+ (22),17067,L
40,41.,Dennis Martinez (23),16754,R
41,42.,Sad Sam Jones (22),16662,R
42,43.,Lefty Grove+ (17),16622,L
43,44.,Bobo Newsom (20),16467,R
44,45.,Jack Quinn (23),16356,R
45,46.,Amos Rusie+ (10),16313,R
46,47.,Vic Willis+ (13),16279,R
47,48.,Bob Feller+ (18),16180,R
48,49.,Charlie Hough (25),16170,R
49,50.,Jack Morris+ (18),16120,R
50,51.,Jim Palmer+ (19),16114,R
51,52.,Bob Gibson+ (17),16068,R
52,53.,Waite Hoyt+ (21),16031,R
53,54.,Jerry Koosman (19),15996,L
54,55.,Earl Whitehill (17),15781,L
55,56.,Jim Bunning+ (17),15618,R
56,57.,Jerry Reuss (22),15582,L
57,58.,Adonis Terry (14),15413,R
58,59.,Paul Derringer (15),15391,R
59,60.,Bob Friend (16),15214,R
60,61.,George Mullin (14),15169,R
61,62.,Joe Niekro (22),15166,R
62,63.,Mickey Lolich (16),15140,L
63,64.,Herb Pennock+ (22),15093,L
64,65.,Tommy Bond (10),15082,R
65,66.,CC Sabathia (19),14989,L
66,67.,Will White (10),14951,R
67,68.,Rick Reuschel (19),14888,R
68,69.,Mel Harder (20),14861,R
69,70.,Carl Hubbell+ (16),14805,L
70,71.,Jim Whitney (10),14666,R
71,72.,"Bartolo Colon (21, 47)",14655,R
72,73.,Mike Mussina+ (18),14593,R
73,74.,Chick Fraser (14),14586,R
74,75.,Charlie Buffinton (11),14465,R
75,76.,Claude Osteen (18),14433,L
76,77.,David Wells (21),14413,L
77,78.,Wilbur Cooper (15),14377,L
78,79.,Luis Tiant (19),14365,R
79,80.,Clark Griffith+ (21),14333,R
80,81.,Kenny Rogers (20),14280,L
81,82.,John Smoltz+ (21),14271,R
82,83.,Juan Marichal+ (16),14236,R
83,84.,Hooks Dauss (15),14192,R
84,85.,Doyle Alexander (19),14162,R
85,86.,Curt Simmons (20),14144,L
