,Rank,"Player (yrs, age)",Games Finished,Throws
0,1.,Mariano Rivera+ (19),952,R
1,2.,Trevor Hoffman+ (18),856,R
2,3.,Lee Smith+ (18),802,R
3,4.,John Franco (21),774,L
4,5.,Rollie Fingers+ (17),709,R
5,6.,Billy Wagner (16),703,L
6,7.,Jeff Reardon (16),695,R
7,8.,Rich Gossage+ (22),681,R
8,9.,Francisco Rodriguez (16),677,R
9,10.,Roberto Hernandez (17),667,R
10,11.,Hoyt Wilhelm+ (21),651,R
11,12.,Doug Jones (16),640,R
12,13.,Kent Tekulve (16),638,R
13,14.,Sparky Lyle (16),634,L
14,15.,Jose Mesa (19),633,R
15,16.,Todd Jones (16),619,R
16,17.,Gene Garber (19),609,R
17,18.,Fernando Rodney (17),590,R
18,19.,Joe Nathan (16),587,R
19,20.,Jonathan Papelbon (12),585,R
20,21.,Dennis Eckersley+ (24),577,R
21,21.,Lindy McDaniel (21),577,R
22,23.,Francisco Cordero (14),575,R
23,24.,Roy Face (16),574,R
24,25.,Rick Aguilera (16),557,R
25,26.,Dan Quisenberry (12),553,R
26,27.,Mike Marshall (14),549,R
27,27.,Jeff Montgomery (13),549,R
28,27.,Robb Nen (10),549,R
29,30.,Tom Henke (14),548,R
30,30.,Randy Myers (14),548,L
31,32.,Troy Percival (14),546,R
32,33.,Tug McGraw (19),541,L
33,34.,Armando Benitez (15),527,R
34,35.,Huston Street (13),525,R
35,36.,John Wetteland (12),523,R
36,37.,Jose Valverde (12),520,R
37,38.,Rod Beck (13),519,R
38,39.,Bruce Sutter+ (12),512,R
39,40.,Bob Wickman (15),511,R
40,41.,Don McMahon (18),505,R
41,42.,Jesse Orosco (24),501,L
42,43.,Jason Isringhausen (16),499,R
43,44.,"Craig Kimbrel (11, 32)",477,R
44,45.,Dave Righetti (16),474,L
45,46.,"Kenley Jansen (11, 32)",467,R
46,46.,Mike Timlin (18),467,R
47,48.,Ron Perranoski (13),458,L
48,49.,Todd Worrell (11),456,R
49,50.,Bill Campbell (15),455,R
50,51.,Gregg Olson (14),447,R
51,52.,Steve Bedrosian (14),439,R
52,53.,Mike Henneman (10),432,R
53,53.,Dave Smith (13),432,R
