,Rank,"Player (yrs, age)",Fielding Independent Pitching,Throws
0,1.,Ed Walsh+ (14),2.018,R
1,2.,Rube Waddell+ (13),2.033,L
2,3.,Addie Joss+ (9),2.250,R
3,4.,Smoky Joe Wood (14),2.256,R
4,5.,Christy Mathewson+ (17),2.263,R
5,6.,Chief Bender+ (16),2.294,R
6,7.,Jack Pfiester (8),2.322,L
7,8.,Jim Devlin (5),2.325,R
8,9.,Tommy Bond (10),2.337,R
9,10.,Reb Russell (9),2.357,L
10,11.,Orval Overall (7),2.385,R
11,12.,Mordecai Brown+ (14),2.415,R
12,13.,Walter Johnson+ (21),2.417,R
13,14.,John Ward+ (17),2.427,R
14,15.,Fred Glade (6),2.445,R
15,16.,Eddie Plank+ (17),2.448,L
16,17.,Cy Falkenberg (12),2.492,R
17,18.,Dick Rudolph (13),2.505,R
18,19.,Doc White (13),2.511,L
19,20.,Terry Larkin (6),2.517,R
20,21.,Frank Smith (11),2.524,R
21,22.,Joe Lake (6),2.530,R
22,23.,Irv Young (6),2.536,L
23,24.,Red Ames (17),2.537,R
24,25.,Eddie Cicotte (14),2.538,R
25,26.,Ray Collins (7),2.540,L
26,27.,Bob Ewing (11),2.553,R
27,28.,Nick Altrock (19),2.556,L
28,29.,Charlie Smith (10),2.558,R
29,30.,Hooks Wiltse (12),2.559,L
30,31.,Andy Coakley (9),2.583,R
31,32.,George McQuillan (10),2.584,R
32,33.,George Bradley (11),2.592,R
33,34.,Deacon Phillippe (13),2.595,R
34,35.,Nap Rucker (10),2.597,L
35,36.,Hippo Vaughn (13),2.619,L
36,37.,Jim Scott (9),2.628,R
37,38.,Joe Benz (9),2.634,R
38,39.,Ed Karger (6),2.646,L
39,40.,George Bell (5),2.649,R
40,41.,Noodles Hahn (8),2.654,L
41,42.,Candy Cummings+ (6),2.661,R
42,43.,Doc Ayers (9),2.662,R
43,44.,Jack Chesbro+ (11),2.674,R
44,45.,Frank Corridon (6),2.684,R
45,46.,Sandy Koufax+ (12),2.687,L
46,47.,Dave Davenport (6),2.701,R
47,48.,Harry Coveleski (9),2.702,L
48,48.,Bobby Mathews (15),2.702,R
49,50.,Frank Owen (8),2.704,R
50,50.,Al Spalding+ (8),2.704,R
51,52.,Willie Mitchell (11),2.710,L
52,53.,Bob Wicker (6),2.712,R
53,54.,Babe Adams (19),2.717,R
54,55.,Lee Richmond (6),2.725,L
55,56.,Cherokee Fisher (8),2.729,R
56,57.,Claude Hendrix (10),2.745,R
57,58.,Jim Whitney (10),2.746,R
58,59.,Al Demaree (8),2.749,R
59,60.,"Jacob deGrom (7, 32)",2.751,R
60,61.,Sam Weaver (6),2.752,R
61,62.,"Clayton Kershaw (13, 32)",2.754,L
62,63.,Bob Veale (13),2.759,L
63,64.,Mariano Rivera+ (19),2.764,R
64,65.,Bill Donovan (18),2.766,R
65,66.,Nick Cullop (6),2.770,L
66,67.,Harry Howell (13),2.787,R
67,68.,Johnny Lush (7),2.791,L
68,69.,Jeff Tesreau (7),2.792,R
69,70.,Gene Packard (8),2.794,L
70,71.,Fred Beebe (7),2.801,R
71,71.,Ed Killian (8),2.801,L
72,73.,Babe Ruth+ (22),2.809,L
73,74.,Jake Weimer (7),2.814,L
74,75.,George Winter (8),2.816,R
75,76.,Ed Siever (7),2.819,L
76,77.,Dutch Leonard (11),2.822,L
77,78.,Bob Groom (10),2.826,R
78,79.,Barney Pelty (10),2.828,R
79,80.,Russ Ford (7),2.838,R
80,81.,Sam Leever (13),2.840,R
81,82.,George Zettlein (6),2.842,R
82,83.,Ed Reulbach (13),2.844,R
83,83.,Cy Young+ (22),2.844,R
84,85.,Tom Hughes (13),2.846,R
85,86.,Toad Ramsey (6),2.853,L
86,87.,Carl Weilman (8),2.854,L
87,88.,Pat Ragan (11),2.855,R
88,89.,Howie Camnitz (11),2.857,R
89,89.,J.R. Richard (10),2.857,R
90,91.,Jesse Tannehill (15),2.863,L
91,92.,Slim Sallee (14),2.867,L
92,93.,Jim McCormick (10),2.875,R
93,94.,Ray Fisher (10),2.876,R
94,95.,Bill Bernhard (9),2.877,R
95,95.,Bob Rhoads (8),2.877,R
96,97.,Guy Morton (11),2.878,R
97,98.,Pete Alexander+ (20),2.881,R
98,99.,Frank Miller (7),2.886,R
99,100.,Bob Gibson+ (17),2.894,R
100,101.,Roy Patterson (7),2.895,R
101,102.,Rube Marquard+ (18),2.896,L
102,103.,Doc Crandall (10),2.904,R
103,103.,George Suggs (8),2.904,R
104,105.,"Chris Sale (10, 31)",2.905,L
105,106.,George Mullin (14),2.908,R
106,107.,Lefty Williams (7),2.911,L
107,108.,Ed Morris (7),2.912,L
108,109.,Pedro Martinez+ (18),2.914,R
109,110.,Pol Perritt (10),2.920,R
110,111.,Jack Coombs (14),2.921,R
111,112.,Tim Keefe+ (14),2.922,R
112,113.,Lee Smith+ (18),2.930,R
113,114.,Tully Sparks (12),2.934,R
114,115.,Carl Lundgren (8),2.939,R
115,116.,Bruce Sutter+ (12),2.940,R
116,117.,Erskine Mayer (8),2.949,R
117,117.,Bob Moose (10),2.949,R
118,119.,Lefty Leifield (12),2.952,L
119,120.,Phil Douglas (9),2.954,R
120,121.,Rollie Fingers+ (17),2.957,R
121,122.,Pud Galvin+ (15),2.958,R
122,123.,Vic Willis+ (13),2.960,R
123,124.,Dean Chance (11),2.962,R
124,125.,"Stephen Strasburg (11, 31)",2.969,R
125,126.,Nolan Ryan+ (27),2.971,R
126,127.,Dick McBride (6),2.972,R
127,128.,Charlie Sweeney (6),2.974,R
