,Rank,"Player (yrs, age)",Win Probability Added (WPA),Throws
0,1.,Lefty Grove+ (17),82.99,L
1,2.,Roger Clemens (24),77.75,R
2,3.,Greg Maddux+ (23),59.46,R
3,4.,Warren Spahn+ (21),57.56,L
4,5.,Mariano Rivera+ (19),56.59,R
5,6.,Tom Seaver+ (20),56.43,R
6,7.,Pedro Martinez+ (18),53.75,R
7,8.,Randy Johnson+ (22),53.20,L
8,9.,Carl Hubbell+ (16),46.50,L
9,10.,Jim Palmer+ (19),45.45,R
10,11.,"Clayton Kershaw (13, 32)",44.88,L
11,12.,Bob Feller+ (18),42.81,R
12,13.,Mike Mussina+ (18),40.61,R
13,14.,John Smoltz+ (21),40.51,R
14,15.,Pete Alexander+ (20),40.10,R
15,16.,Bob Gibson+ (17),39.06,R
16,17.,Roy Halladay+ (16),38.03,R
17,18.,Whitey Ford+ (16),37.04,L
18,19.,Gaylord Perry+ (22),35.94,R
19,20.,"Justin Verlander (16, 37)",35.91,R
20,21.,Tom Glavine+ (22),35.52,L
21,22.,Curt Schilling (20),35.27,R
22,23.,"Zack Greinke (17, 36)",34.67,R
23,23.,Dazzy Vance+ (16),34.67,R
24,25.,Ted Lyons+ (21),34.52,R
25,26.,Stan Coveleski+ (14),34.27,R
26,27.,Billy Pierce (18),34.21,L
27,28.,Trevor Hoffman+ (18),34.15,R
28,29.,Nolan Ryan+ (27),34.04,R
29,30.,Juan Marichal+ (16),34.03,R
30,31.,Sandy Koufax+ (12),34.02,L
31,32.,Robin Roberts+ (19),33.86,R
32,33.,Kevin Brown (19),33.55,R
33,34.,Don Sutton+ (23),33.44,R
34,35.,Rich Gossage+ (22),32.51,R
35,36.,Walter Johnson+ (21),32.04,R
36,37.,Wilbur Cooper (15),31.27,L
37,38.,Dennis Eckersley+ (24),30.85,R
38,39.,Joe Nathan (16),30.60,R
39,40.,Hoyt Wilhelm+ (21),30.55,R
40,41.,Bert Blyleven+ (22),30.25,R
41,42.,Tim Hudson (17),29.80,R
42,43.,"Max Scherzer (13, 35)",29.13,R
43,44.,Billy Wagner (16),29.07,L
44,45.,Bret Saberhagen (16),28.63,R
45,46.,Johan Santana (12),28.53,L
46,47.,Red Ruffing+ (22),28.48,R
47,48.,Jonathan Papelbon (12),28.31,R
48,49.,Bob Lemon+ (15),28.30,R
49,50.,Tommy Bridges (16),28.23,R
50,51.,Steve Carlton+ (24),28.13,L
51,52.,Don Drysdale+ (14),28.09,R
52,53.,Dolf Luque (20),27.81,R
53,54.,Fergie Jenkins+ (19),27.73,R
54,55.,Kevin Appier (16),26.61,R
55,56.,Charlie Root (17),26.46,R
56,57.,Harry Brecheen (12),26.43,L
57,58.,Firpo Marberry (14),26.34,R
58,59.,"Chris Sale (10, 31)",26.33,L
59,60.,Dizzy Dean+ (12),26.19,R
60,61.,Lon Warneke (15),26.01,R
61,62.,Mel Harder (20),25.97,R
62,63.,Wes Ferrell (15),25.75,R
63,64.,"Felix Hernandez (15, 34)",25.64,R
64,65.,Lefty Gomez+ (14),25.50,L
65,66.,David Cone (17),25.42,R
66,67.,Luis Tiant (19),25.22,R
67,68.,Urban Shocker (13),24.90,R
68,69.,Tommy John (26),24.70,L
69,70.,Jimmy Key (15),24.66,L
70,71.,Francisco Rodriguez (16),24.40,R
71,72.,"Cole Hamels (15, 36)",24.35,L
72,73.,Waite Hoyt+ (21),24.25,R
73,74.,Andy Pettitte (18),24.18,L
74,75.,Red Faber+ (20),24.09,R
75,75.,Roy Oswalt (13),24.09,R
76,77.,Jim Bunning+ (17),23.64,R
77,78.,Troy Percival (14),23.60,R
78,79.,Ellis Kinder (12),23.58,R
79,80.,Eddie Rommel (13),23.54,R
80,81.,Ron Guidry (14),23.47,L
81,82.,Vida Blue (17),22.95,L
82,83.,CC Sabathia (19),22.76,L
83,84.,"Craig Kimbrel (11, 32)",22.50,R
84,85.,Bob Shawkey (15),22.23,R
85,86.,Dave Stieb (16),22.04,R
86,87.,Herb Pennock+ (22),21.93,L
87,88.,Bucky Walters (19),21.72,R
88,89.,"Kenley Jansen (11, 32)",21.62,R
89,90.,Tug McGraw (19),21.51,L
90,91.,Jerry Koosman (19),21.39,L
91,92.,"Jon Lester (15, 36)",21.36,L
92,93.,Tom Gordon (21),21.33,R
93,93.,Lee Smith+ (18),21.33,R
94,95.,Tom Henke (14),21.31,R
95,96.,Sal Maglie (10),21.27,R
96,97.,"Joakim Soria (13, 36)",21.08,R
97,98.,Dwight Gooden (16),20.96,R
98,99.,"Jacob deGrom (7, 32)",20.75,R
99,100.,David Wells (21),20.73,L
100,101.,Dan Quisenberry (12),20.68,R
101,102.,Eppa Rixey+ (21),20.49,L
102,103.,Keith Foulke (11),20.48,R
103,104.,Hal Newhouser+ (17),20.27,L
104,105.,Stu Miller (16),20.21,R
105,106.,Virgil Trucks (17),20.18,R
106,107.,Spud Chandler (11),20.16,R
107,108.,Andy Messersmith (12),19.59,R
108,109.,Randy Myers (14),19.45,L
109,110.,Huston Street (13),19.32,R
110,111.,John Franco (21),19.15,L
111,112.,Max Lanier (14),19.09,L
112,112.,"Adam Wainwright (15, 38)",19.09,R
113,114.,"Aroldis Chapman (11, 32)",18.97,L
114,115.,Todd Jones (16),18.94,R
115,115.,George Uhle (17),18.94,R
116,117.,John Wetteland (12),18.81,R
117,118.,Chuck Finley (17),18.70,L
118,119.,"David Price (12, 34)",18.64,L
119,120.,Early Wynn+ (23),18.53,R
120,121.,Cliff Lee (13),18.41,L
121,122.,Bruce Sutter+ (12),18.17,R
122,123.,"Mark Melancon (12, 35)",18.07,R
123,124.,Mike Cuellar (15),17.94,L
124,125.,Armando Benitez (15),17.93,R
125,125.,"David Robertson (12, 35)",17.93,R
126,127.,Jesse Haines+ (19),17.88,R
127,128.,Tiny Bonham (10),17.85,R
128,129.,Johnny Allen (13),17.81,R
129,130.,Jered Weaver (12),17.68,R
130,131.,Mike Garcia (14),17.67,R
131,132.,Chris Carpenter (15),17.59,R
132,133.,Sam McDowell (15),17.56,L
133,134.,"Tony Watson (10, 35)",17.55,L
134,135.,John Tudor (12),17.41,L
135,136.,Orel Hershiser (18),17.39,R
136,137.,Steve Rogers (13),17.28,R
137,138.,Frank Viola (15),17.23,L
138,139.,Mark Buehrle (16),17.16,L
139,140.,Allie Reynolds (13),17.14,R
140,141.,Teddy Higuera (9),16.60,L
141,142.,Al Leiter (19),16.52,L
142,143.,Freddie Fitzsimmons (19),16.44,R
143,144.,"Johnny Cueto (13, 34)",16.27,R
144,145.,Rollie Fingers+ (17),16.19,R
145,146.,Rafael Soriano (14),16.13,R
146,147.,Dennis Martinez (23),16.07,R
147,148.,Eric Gagne (10),15.98,R
148,149.,Schoolboy Rowe (15),15.95,R
149,150.,Johnny Antonelli (12),15.88,L
150,150.,Michael Jackson (17),15.88,R
151,152.,Jeff Montgomery (13),15.76,R
152,153.,Robb Nen (10),15.75,R
153,154.,Vic Raschi (10),15.74,R
154,155.,"Corey Kluber (10, 34)",15.64,R
155,156.,Jack McDowell (12),15.62,R
156,156.,Art Nehf (15),15.62,L
157,158.,Larry French (14),15.59,L
158,159.,Jose Valverde (12),15.49,R
159,160.,Carl Mays (15),15.46,R
160,161.,Mort Cooper (11),15.41,R
161,162.,Jon Matlack (13),15.25,L
162,163.,Dutch Leonard (20),15.13,R
163,163.,"Stephen Strasburg (11, 31)",15.13,R
164,165.,John Candelaria (19),15.11,L
165,166.,"Zack Britton (10, 32)",15.03,L
166,167.,Eddie Cicotte (14),14.81,R
167,168.,Rick Reuschel (19),14.78,R
168,169.,Jeff Reardon (16),14.77,R
169,170.,Bob Welch (17),14.71,R
170,171.,Howie Pollet (14),14.61,L
171,171.,Dave Righetti (16),14.61,L
172,173.,John Hiller (15),14.58,L
173,174.,"Madison Bumgarner (12, 30)",14.52,L
174,175.,"Sergio Romo (13, 37)",14.40,R
175,176.,Dave McNally (14),14.39,L
176,177.,"Greg Holland (10, 34)",14.38,R
177,178.,Sparky Lyle (16),14.37,L
178,179.,Jack Morris+ (18),14.36,R
179,180.,Preacher Roe (12),14.34,L
