,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
0,1.,Roger Clemens (24),80.71,R
1,2.,Lefty Grove+ (17),71.81,L
2,3.,Greg Maddux+ (23),60.78,R
3,4.,Tom Seaver+ (20),58.65,R
4,5.,Warren Spahn+ (21),57.02,L
5,6.,Pedro Martinez+ (18),56.53,R
6,7.,Randy Johnson+ (22),55.48,L
7,8.,Jim Palmer+ (19),49.08,R
8,9.,"Clayton Kershaw (13, 32)",48.04,L
9,10.,Carl Hubbell+ (16),46.03,L
10,11.,Whitey Ford+ (16),44.19,L
11,12.,Bob Feller+ (18),43.99,R
12,13.,Bob Gibson+ (17),42.28,R
13,14.,Mike Mussina+ (18),41.92,R
14,15.,Curt Schilling (20),40.44,R
15,16.,"Justin Verlander (16, 37)",39.89,R
16,17.,Bert Blyleven+ (22),39.54,R
17,18.,Tom Glavine+ (22),38.00,L
18,19.,John Smoltz+ (21),37.98,R
19,20.,Pete Alexander+ (20),37.61,R
20,21.,Roy Halladay+ (16),36.68,R
21,22.,Kevin Brown (19),36.25,R
22,23.,Red Ruffing+ (22),35.84,R
23,24.,Gaylord Perry+ (22),35.35,R
24,25.,Mariano Rivera+ (19),34.72,R
25,26.,Don Sutton+ (23),34.25,R
26,27.,Dazzy Vance+ (16),33.44,R
27,28.,Sandy Koufax+ (12),32.85,L
28,29.,Don Drysdale+ (14),32.83,R
29,30.,Robin Roberts+ (19),32.38,R
30,31.,Steve Carlton+ (24),32.16,L
31,32.,"Zack Greinke (17, 36)",32.14,R
32,33.,Lefty Gomez+ (14),31.74,L
33,34.,Nolan Ryan+ (27),31.68,R
34,34.,Johan Santana (12),31.68,L
35,36.,Billy Pierce (18),31.61,L
36,37.,"Max Scherzer (13, 35)",29.82,R
37,38.,Stan Coveleski+ (14),29.62,R
38,39.,Tim Hudson (17),29.50,R
39,40.,Bret Saberhagen (16),29.33,R
40,41.,David Cone (17),29.17,R
41,41.,Juan Marichal+ (16),29.17,R
42,43.,Hoyt Wilhelm+ (21),28.25,R
43,44.,Fergie Jenkins+ (19),27.73,R
44,45.,Dolf Luque (20),27.47,R
45,46.,Dennis Eckersley+ (24),27.30,R
46,47.,Dave Stieb (16),26.98,R
47,48.,Roy Oswalt (13),26.72,R
48,49.,Jimmy Key (15),26.57,L
49,50.,CC Sabathia (19),26.35,L
50,51.,Ron Guidry (14),26.22,L
51,52.,Kevin Appier (16),26.16,R
52,53.,Bob Lemon+ (15),26.15,R
53,54.,Andy Pettitte (18),26.05,L
54,55.,Dizzy Dean+ (12),25.18,R
55,56.,Walter Johnson+ (21),25.11,R
56,57.,Tommy Bridges (16),25.06,R
57,58.,"Cole Hamels (15, 36)",25.04,L
58,59.,Ted Lyons+ (21),24.98,R
59,60.,Luis Tiant (19),24.68,R
60,61.,"Chris Sale (10, 31)",24.64,L
61,62.,Jim Bunning+ (17),24.48,R
62,63.,Red Faber+ (20),23.94,R
63,64.,Lon Warneke (15),23.77,R
64,65.,Wilbur Cooper (15),23.74,L
65,66.,Urban Shocker (13),23.63,R
66,67.,Harry Brecheen (12),23.58,L
67,68.,Charlie Root (17),23.12,R
68,69.,Bob Shawkey (15),23.06,R
69,70.,"Felix Hernandez (15, 34)",22.98,R
70,71.,Spud Chandler (11),22.40,R
71,72.,Early Wynn+ (23),22.16,R
72,73.,Mark Buehrle (16),22.05,L
73,74.,Waite Hoyt+ (21),22.04,R
74,75.,Steve Rogers (13),21.50,R
75,76.,"Jacob deGrom (7, 32)",21.40,R
76,77.,"Adam Wainwright (15, 38)",21.37,R
77,78.,"David Price (12, 34)",20.93,L
78,79.,Bucky Walters (19),20.68,R
79,80.,Tommy John (26),20.47,L
80,81.,Eppa Rixey+ (21),20.42,L
81,82.,Andy Messersmith (12),20.35,R
82,83.,Chuck Finley (17),20.29,L
83,84.,Dwight Gooden (16),20.20,R
84,85.,Herb Pennock+ (22),20.19,L
85,86.,"Jon Lester (15, 36)",20.18,L
86,87.,Billy Wagner (16),20.12,L
87,88.,Phil Niekro+ (24),20.11,R
88,89.,Firpo Marberry (14),20.10,R
89,90.,Eddie Rommel (13),20.09,R
90,91.,Vida Blue (17),20.06,L
91,92.,Carl Mays (15),19.75,R
92,93.,Jerry Koosman (19),19.37,L
93,94.,Mel Harder (20),19.34,R
94,95.,Trevor Hoffman+ (18),19.29,R
95,96.,Mike Garcia (14),19.19,R
96,97.,John Tudor (12),18.50,L
97,98.,Cliff Lee (13),18.48,L
98,99.,Hal Newhouser+ (17),18.18,L
99,100.,Wes Ferrell (15),18.05,R
100,101.,Chris Carpenter (15),17.99,R
101,102.,Tiny Bonham (10),17.94,R
102,103.,David Wells (21),17.86,L
103,104.,Jered Weaver (12),17.82,R
104,105.,Rich Gossage+ (22),17.74,R
105,106.,Catfish Hunter+ (15),17.68,R
106,107.,Mort Cooper (11),17.54,R
107,108.,"Corey Kluber (10, 34)",17.46,R
108,108.,Virgil Trucks (17),17.46,R
109,110.,Rick Reuschel (19),17.30,R
110,111.,Bob Welch (17),17.26,R
111,112.,Orel Hershiser (18),17.20,R
112,113.,Preacher Roe (12),17.09,L
113,114.,Jack Quinn (23),17.05,R
114,115.,Sal Maglie (10),17.02,R
115,116.,Rollie Fingers+ (17),16.97,R
116,117.,Jake Peavy (15),16.92,R
117,118.,Larry French (14),16.80,L
118,119.,Al Leiter (19),16.77,L
119,120.,Joe Nathan (16),16.72,R
120,121.,Jesse Orosco (24),16.67,L
121,122.,Dave McNally (14),16.57,L
122,123.,Eddie Lopat (12),16.51,L
123,124.,John Candelaria (19),16.49,L
124,125.,"Madison Bumgarner (12, 30)",16.31,L
125,126.,"Johnny Cueto (13, 34)",16.27,R
126,127.,Allie Reynolds (13),16.26,R
127,128.,Johnny Allen (13),16.22,R
128,129.,Dennis Martinez (23),16.09,R
129,130.,"Gerrit Cole (8, 29)",16.00,R
130,130.,Frank Viola (15),16.00,L
131,132.,Milt Pappas (17),15.82,R
132,133.,Lee Smith+ (18),15.80,R
133,134.,Freddie Fitzsimmons (19),15.69,R
134,135.,Francisco Rodriguez (16),15.36,R
135,136.,Max Lanier (14),15.35,L
136,137.,Brad Radke (12),15.13,R
137,138.,Jose Rijo (14),14.98,R
138,139.,Tom Henke (14),14.89,R
139,140.,"Stephen Strasburg (11, 31)",14.84,R
140,141.,Jon Matlack (13),14.82,L
141,142.,John Hiller (15),14.77,L
142,143.,Gary Nolan (10),14.76,R
143,144.,Mel Stottlemyre (11),14.71,R
144,145.,Brandon Webb (7),14.69,R
145,146.,Kent Tekulve (16),14.57,R
146,147.,Ellis Kinder (12),14.56,R
147,148.,Hal Schumacher (13),14.49,R
148,149.,Keith Foulke (11),14.39,R
149,150.,Dutch Leonard (20),14.28,R
150,151.,Dizzy Trout (15),14.15,R
151,152.,Don Newcombe (10),14.13,R
152,153.,Sam McDowell (15),14.06,L
153,154.,Howie Pollet (14),14.02,L
154,155.,Frank Tanana (21),14.01,L
155,156.,Jonathan Papelbon (12),13.95,R
156,157.,Sid Fernandez (15),13.87,L
157,158.,"Kyle Hendricks (7, 30)",13.81,R
158,159.,Schoolboy Rowe (15),13.80,R
159,160.,Bobo Newsom (20),13.69,R
160,161.,Stu Miller (16),13.66,R
161,162.,Mike Cuellar (15),13.59,L
162,163.,Freddy Garcia (15),13.55,R
163,164.,Jack Morris+ (18),13.43,R
164,165.,Eddie Cicotte (14),13.40,R
165,166.,"Craig Kimbrel (11, 32)",13.39,R
166,167.,Dean Chance (11),13.33,R
167,168.,Larry Jackson (14),13.27,R
168,169.,Alex Fernandez (10),13.20,R
169,169.,Ray Kremer (10),13.20,R
170,169.,John Lackey (15),13.20,R
171,172.,"Kenley Jansen (11, 32)",13.19,R
172,173.,"Bartolo Colon (21, 47)",13.17,R
173,174.,Matt Cain (13),13.13,R
174,175.,Jack McDowell (12),13.12,R
175,176.,Carlos Zambrano (12),12.96,R
176,177.,Dan Haren (13),12.68,R
177,178.,Vic Raschi (10),12.55,R
178,179.,Burt Hooton (15),12.53,R
179,180.,Tom Gordon (21),12.51,R
180,180.,Bobby Shantz (16),12.51,L
181,182.,Dan Quisenberry (12),12.40,R
182,183.,Red Lucas (16),12.34,R
183,184.,Johnny Antonelli (12),12.24,L
184,185.,Jesse Haines+ (19),12.11,R
185,186.,Josh Beckett (14),12.09,R
186,187.,Thornton Lee (16),12.04,L
187,187.,Troy Percival (14),12.04,R
188,189.,"Darren O'Day (13, 37)",12.02,R
189,190.,Tex Hughson (8),11.97,R
190,190.,Jim Maloney (12),11.97,R
191,192.,"Aroldis Chapman (11, 32)",11.90,L
192,193.,Jarrod Washburn (12),11.84,L
193,194.,Don Gullett (9),11.83,L
194,195.,"Yu Darvish (8, 33)",11.70,R
195,196.,Paul Derringer (15),11.65,R
196,197.,Rafael Soriano (14),11.59,R
197,198.,Armando Benitez (15),11.58,R
