,Rank,"Player (yrs, age)",Putouts,Throws
0,1.,Jake Beckley+ (20),23767,L
1,2.,Cap Anson+ (27),22572,R
2,3.,Ed Konetchy (15),21378,R
3,4.,Eddie Murray+ (21),21265,R
4,5.,Charlie Grimm (20),20722,L
5,6.,Stuffy McInnis (19),20120,R
6,7.,Mickey Vernon (20),19819,L
7,8.,Jake Daubert (15),19634,L
8,9.,Lou Gehrig+ (17),19525,L
9,10.,Joe Kuhel (18),19386,L
10,11.,Joe Judge (20),19265,L
11,12.,Steve Garvey (19),19004,R
12,13.,Fred McGriff (19),18985,L
13,14.,George Sisler+ (15),18914,L
14,15.,Todd Helton (17),18905,L
15,16.,Wally Pipp (15),18779,L
16,17.,Mark Grace (16),18503,L
17,18.,Hal Chase (15),18346,L
18,19.,Jim Bottomley+ (16),18337,L
19,20.,Fred Tenney (17),18278,L
20,21.,Andres Galarraga (19),18244,R
21,22.,Rafael Palmeiro (20),18128,L
22,23.,Roger Connor+ (18),18115,L
23,24.,Keith Hernandez (17),17916,L
24,25.,Jimmie Foxx+ (20),17797,R
25,26.,Chris Chambliss (17),17771,R
26,27.,Willie McCovey+ (22),17567,L
27,28.,Jeff Bagwell+ (15),17546,R
28,29.,"Albert Pujols (20, 40)",17066,R
29,30.,George Burns (16),16970,R
30,31.,Will Clark (15),16695,L
31,32.,Dan Brouthers+ (19),16443,L
32,33.,Tommy Tucker (13),16433,R
33,34.,John Olerud (17),16165,L
34,35.,Wally Joyner (16),16081,L
35,36.,Bill Terry+ (14),15999,L
36,37.,Paul Konerko (18),15965,R
37,38.,Harry Davis (22),15866,R
38,39.,Gil Hodges (18),15722,R
39,40.,Lu Blue (13),15647,L
40,41.,George Scott (14),15601,R
41,42.,Fred Merkle (16),15513,R
42,43.,Carlos Delgado (17),15236,R
43,44.,Norm Cash (17),15173,L
44,45.,Tony Perez+ (23),15127,R
45,46.,Bill Buckner (22),15126,L
46,47.,Tino Martinez (16),15001,R
47,48.,Mark Teixeira (14),14989,R
48,49.,Adrian Gonzalez (15),14983,L
49,50.,Ivan Rodriguez+ (21),14922,R
50,51.,Derrek Lee (15),14910,R
51,52.,Johnny Mize+ (15),14862,R
52,53.,Orlando Cepeda+ (17),14829,R
53,54.,High Pockets Kelly+ (16),14690,R
54,55.,Mark McGwire (16),14464,R
55,56.,Don Mattingly (14),14270,L
56,57.,Ernie Banks+ (19),14206,R
57,58.,Eric Karros (14),14056,R
58,59.,Charlie Comiskey+ (13),13900,R
59,60.,"Yadier Molina (17, 37)",13850,R
60,61.,Frank McCormick (13),13803,R
61,61.,Dan McGann (12),13803,R
62,63.,Kent Hrbek (14),13725,R
63,64.,Dolph Camilli (12),13724,L
64,65.,Joe Adcock (17),13678,R
65,66.,Rod Carew+ (19),13510,R
66,67.,George McQuinn (12),13414,L
67,68.,Cecil Cooper (17),13361,L
68,69.,Elbie Fletcher (12),13237,L
69,70.,John Mayberry (15),13169,L
70,71.,Fred Luderus (12),13126,R
71,72.,Gus Suhr (11),13104,R
72,73.,"Joey Votto (14, 36)",13095,R
