,Rank,"Player (yrs, age)",Assists,Throws
0,1.,Rabbit Maranville+ (23),8967,R
1,2.,Ozzie Smith+ (19),8375,R
2,3.,Cal Ripken Jr.+ (21),8214,R
3,4.,Bill Dahlen (21),8138,R
4,5.,Omar Vizquel (24),8050,R
5,6.,Luis Aparicio+ (18),8016,R
6,7.,Eddie Collins+ (25),7716,R
7,8.,Luke Appling+ (20),7543,R
8,9.,Tommy Corcoran (18),7522,R
9,10.,Bobby Wallace+ (25),7465,R
10,11.,Frankie Frisch+ (19),7170,R
11,12.,Charlie Gehringer+ (19),7091,R
12,13.,Dave Concepcion (19),7024,R
13,14.,Joe Morgan+ (22),6969,R
14,15.,Bid McPhee+ (18),6923,R
15,16.,Larry Bowa (16),6864,R
16,17.,Rogers Hornsby+ (23),6842,R
17,18.,Honus Wagner+ (21),6782,R
18,19.,Bill Mazeroski+ (17),6694,R
19,20.,Nap Lajoie+ (21),6691,R
20,21.,Lou Whitaker (19),6653,R
21,22.,Ryne Sandberg+ (16),6648,R
22,23.,Frank White (18),6629,R
23,24.,Derek Jeter+ (20),6605,R
24,25.,Dave Bancroft+ (16),6604,R
25,26.,Roberto Alomar+ (17),6536,R
26,27.,Don Kessinger (16),6453,R
27,28.,George Davis+ (20),6429,R
28,29.,Nellie Fox+ (19),6385,R
29,30.,Dick Bartell (18),6348,R
30,31.,Willie Randolph (18),6339,R
31,32.,Roger Peckinpaugh (17),6338,R
32,33.,Herman Long (16),6335,R
33,34.,Bert Campaneris (19),6323,R
34,35.,Germany Smith (15),6304,R
35,36.,Donie Bush (16),6286,R
36,37.,Alan Trammell+ (20),6265,R
37,38.,Chris Speier (19),6259,R
38,39.,Roy McMillan (16),6233,R
39,40.,Brooks Robinson+ (23),6220,R
40,41.,Miguel Tejada (16),6193,R
41,42.,Jimmy Rollins (17),6139,R
42,43.,Pee Wee Reese+ (16),6131,R
43,44.,Garry Templeton (16),6078,R
44,45.,Joe Cronin+ (20),6052,R
45,46.,Jack Glasscock (17),5951,R
46,46.,Joe Tinker+ (15),5951,R
47,48.,Jeff Kent (17),5918,R
48,49.,Royce Clayton (17),5904,R
49,50.,Bobby Grich (17),5891,R
50,51.,Dick Groat (14),5864,R
51,51.,Barry Larkin+ (19),5864,R
52,53.,"Robinson Cano (16, 37)",5838,R
53,54.,Mark Belanger (18),5831,R
54,55.,Billy Herman+ (15),5823,R
55,56.,Bill Russell (18),5713,R
56,57.,Bobby Doerr+ (14),5710,R
57,58.,Edgar Renteria (16),5706,R
58,59.,Alex Rodriguez (22),5681,R
59,60.,Craig Biggio+ (20),5671,R
60,61.,Jay Bell (18),5609,R
61,62.,Mickey Doolin (13),5585,R
62,63.,Tony Fernandez (17),5544,R
63,64.,Fred Pfeffer (16),5530,R
64,65.,Maury Wills (14),5512,R
65,66.,Ed Brinkman (15),5500,R
66,67.,Red Schoendienst+ (19),5466,R
67,68.,Billy Jurges (17),5446,R
68,69.,Orlando Cabrera (15),5445,R
69,70.,Leo Cardenas (16),5429,R
70,71.,Monte Cross (15),5378,R
71,72.,Ozzie Guillen (16),5375,R
72,73.,Kid Gleason (22),5324,R
73,74.,George McBride (16),5316,R
74,75.,Alfredo Griffin (18),5309,R
75,76.,Graig Nettles (22),5295,R
76,77.,Art Fletcher (13),5254,R
77,78.,Del Pratt (13),5238,R
78,79.,Joe Sewell+ (14),5230,R
79,80.,Ian Kinsler (14),5219,R
80,81.,Johnny Evers+ (18),5215,R
81,82.,Mike Schmidt+ (18),5193,R
82,83.,Adrian Beltre (21),5187,R
83,84.,Travis Jackson+ (15),5178,R
84,85.,Buddy Myer (17),5152,R
85,86.,Hughie Critz (12),5145,R
