,Rank,"Player (yrs, age)",Errors Committed,Throws
0,1.,Herman Long (16),1096,R
1,2.,Bill Dahlen (21),1080,R
2,3.,Deacon White+ (20),1018,R
3,4.,Germany Smith (15),1009,R
4,5.,Tommy Corcoran (18),996,R
5,6.,Fred Pfeffer (16),980,R
6,7.,Cap Anson+ (27),976,R
7,8.,John Ward+ (17),952,R
8,9.,Jack Glasscock (17),895,R
9,10.,Ed McKean (13),892,R
10,11.,King Kelly+ (16),851,R
11,12.,Arlie Latham (17),844,R
12,13.,Honus Wagner+ (21),828,R
13,14.,Bobby Wallace+ (25),814,R
14,15.,Monte Cross (15),813,R
15,16.,George Davis+ (20),803,R
16,17.,Bob Ferguson (14),798,R
17,18.,Bid McPhee+ (18),796,R
18,19.,Sam Wise (12),795,R
19,20.,Jack Burdock (18),793,R
20,21.,Ezra Sutton (18),782,R
21,22.,Cub Stricker (11),748,R
22,23.,Tom Burns (13),739,R
23,24.,Joe Gerhardt (15),725,R
24,25.,Rabbit Maranville+ (23),711,R
25,26.,Pop Snyder (18),708,R
26,27.,Billy Shindle (13),705,R
27,28.,Donie Bush (16),704,R
28,29.,Jim O'Rourke+ (23),700,R
29,30.,Pop Smith (12),699,R
30,31.,Ned Williamson (13),684,R
31,32.,Luke Appling+ (20),672,R
32,32.,Kid Gleason (22),672,R
33,34.,Billy Nash (15),669,R
34,35.,Dave Bancroft+ (16),666,R
35,36.,Yank Robinson (10),659,R
36,37.,Tom Daly (17),657,R
37,38.,Joe Tinker+ (15),648,R
38,39.,Cupid Childs (13),647,R
39,39.,Arthur Irwin (13),647,R
40,41.,Hick Carpenter (12),625,L
41,42.,Deacon McGuire (26),621,R
42,43.,Shorty Fuller (9),615,R
43,44.,Davy Force (15),613,R
44,44.,Doggie Miller (13),613,R
45,46.,Jerry Denny (13),609,R
46,47.,Bones Ely (14),606,R
47,48.,Joe Quinn (17),605,R
48,49.,Frank Fennelly (7),602,R
49,50.,Roger Connor+ (18),596,L
50,51.,Lave Cross (21),590,R
51,51.,Paul Hines (20),590,R
52,53.,Mickey Doolin (13),589,R
53,54.,Lou Bierbauer (13),585,R
54,55.,Buck Ewing+ (18),572,R
55,56.,Jack Farrell (11),570,R
56,57.,Jack Rowe (12),568,R
57,58.,Duke Farrell (18),562,R
58,59.,Roger Peckinpaugh (17),554,R
59,60.,Hughie Jennings+ (18),552,R
60,60.,Hardy Richardson (14),552,R
61,62.,Jack Doyle (17),546,R
62,63.,Chick Fulmer (11),545,R
63,64.,Bill McClellan (8),542,L
64,65.,Kid Elberfeld (14),538,R
65,66.,Art Fletcher (13),537,R
66,66.,Bill Gleason (8),537,R
67,68.,Bill Hallman (14),534,R
68,68.,Ivy Olson (14),534,R
69,70.,Dan Brouthers+ (19),532,L
70,71.,Paul Radford (12),522,R
71,72.,John Morrill (15),520,R
72,73.,Bill Kuehne (10),519,R
73,73.,Candy Nelson (13),519,R
74,75.,Nap Lajoie+ (21),518,R
75,76.,Denny Lyons (13),514,R
76,77.,Dick Bartell (18),512,R
77,78.,Joe Cronin+ (20),510,R
78,78.,Bill Joyce (8),510,R
