,Rank,"Player (yrs, age)",Total Zone Runs,Throws
0,1.,Brooks Robinson+ (23),293,R
1,2.,Andruw Jones (17),253,R
2,3.,Mark Belanger (18),241,R
3,4.,Ozzie Smith+ (19),239,R
4,5.,Roberto Clemente+ (18),205,R
5,6.,Barry Bonds (22),195,L
6,7.,Carl Yastrzemski+ (23),184,R
7,8.,Cal Ripken Jr.+ (21),181,R
8,9.,Jim Piersall (17),180,R
9,10.,Buddy Bell (18),174,R
10,10.,Paul Blair (17),174,R
11,12.,Willie Mays+ (22),173,R
12,13.,Adrian Beltre (21),168,R
13,13.,Ivan Rodriguez+ (21),168,R
14,15.,Brian Jordan (15),163,R
15,16.,Jesse Barfield (12),161,R
16,16.,Robin Ventura (16),161,R
17,18.,Clete Boyer (16),159,R
18,19.,Al Kaline+ (22),153,R
19,20.,Luis Aparicio+ (18),149,R
20,21.,Darin Erstad (14),147,L
21,21.,"Jason Heyward (11, 30)",147,L
22,21.,Bill Mazeroski+ (17),147,R
23,21.,"Yadier Molina (17, 37)",147,R
24,25.,Graig Nettles (22),140,R
25,25.,Scott Rolen (17),140,R
26,27.,Rey Sanchez (15),139,R
27,28.,Ichiro Suzuki (19),136,R
28,29.,Devon White (17),133,R
29,30.,Gary Gaetti (20),131,R
30,31.,Omar Vizquel (24),129,R
31,32.,Placido Polanco (16),128,R
32,33.,Craig Counsell (16),127,R
33,33.,Mike Schmidt+ (18),127,R
34,35.,Troy Tulowitzki (13),122,R
35,36.,Frank White (18),121,R
36,37.,Keith Hernandez (17),117,L
37,38.,"Alex Gordon (14, 36)",116,R
38,39.,Kenny Lofton (17),115,L
39,40.,Willie Randolph (18),114,R
40,40.,Jim Sundberg (16),114,R
41,42.,"Evan Longoria (13, 34)",113,R
42,43.,Gary Carter+ (19),112,R
43,44.,Juan Uribe (16),111,R
44,45.,"Andrelton Simmons (9, 30)",110,R
45,46.,Willie Wilson (19),108,R
46,47.,Bob Boone (19),105,R
47,47.,Ozzie Guillen (16),105,R
48,47.,Todd Helton (17),105,L
49,47.,Sammy Sosa (18),105,R
50,51.,Wade Boggs+ (18),104,R
51,51.,Willie Davis (18),104,L
52,53.,"Albert Pujols (20, 40)",103,R
53,54.,Scott Fletcher (15),101,R
54,54.,Nellie Fox+ (19),101,R
55,56.,Garry Maddox (15),100,R
56,57.,Curt Flood (15),99,R
57,57.,Terry Pendleton (15),99,R
58,57.,Larry Walker+ (17),99,R
59,60.,Hank Aaron+ (23),98,R
60,61.,Garret Anderson (17),97,L
61,61.,Brad Ausmus (18),97,R
62,61.,Mike Cameron (17),97,R
63,61.,Adrian Gonzalez (15),97,L
64,65.,"Dustin Pedroia (14, 36)",96,R
65,65.,Matt Williams (17),96,R
66,67.,Jeff Cirillo (14),95,R
67,67.,John Olerud (17),95,L
68,69.,Chet Lemon (16),93,R
69,70.,Brandon Inge (13),92,R
70,71.,Roy McMillan (16),89,R
71,72.,Aurelio Rodriguez (17),88,R
72,73.,J.J. Hardy (13),87,R
73,74.,Ron Hansen (15),85,R
74,74.,George Scott (14),85,R
75,76.,Clint Barmes (13),84,R
76,77.,Greg Gagne (15),83,R
77,78.,Carlos Beltran (20),82,R
