,Rank,"Player (yrs, age)",Assists as C,Throws
0,1.,Deacon McGuire (26),1860,R
1,2.,Ray Schalk+ (18),1811,R
2,3.,Steve O'Neill (17),1698,R
3,4.,Red Dooin (15),1590,R
4,5.,Chief Zimmer (19),1580,R
5,6.,Johnny Kling (13),1554,R
6,7.,Ivey Wingo (17),1487,R
7,8.,Wilbert Robinson+ (17),1454,R
8,9.,Bill Bergen (11),1444,R
9,9.,Pop Snyder (18),1444,R
10,11.,Wally Schang (19),1420,R
11,12.,Duke Farrell (18),1418,R
12,13.,George Gibson (14),1386,R
13,14.,Oscar Stanage (14),1381,R
14,15.,Malachi Kittridge (16),1363,R
15,16.,Lou Criger (16),1342,R
16,17.,Frank Snyder (16),1332,R
17,18.,Bill Killefer (13),1319,R
18,19.,Billy Sullivan (16),1314,R
19,20.,Jack Warner (14),1309,R
20,21.,Gabby Hartnett+ (20),1254,R
21,22.,Bill Rariden (12),1231,R
22,23.,Ivan Rodriguez+ (21),1227,R
23,24.,Gary Carter+ (19),1203,R
24,25.,Roger Bresnahan+ (17),1195,R
25,26.,Bob Boone (19),1174,R
26,27.,Muddy Ruel (19),1136,R
27,28.,Rick Ferrell+ (18),1127,R
28,29.,Al Lopez+ (19),1115,R
29,30.,Hank Severeid (15),1112,R
30,31.,Heinie Peitz (16),1095,R
31,32.,Eddie Ainsmith (15),1088,R
32,33.,Luke Sewell (20),1084,R
33,34.,Jack Clements (17),1082,L
34,35.,Frank Bowerman (15),1077,R
35,36.,Silver Flint (13),1071,R
36,37.,Otto Miller (13),1053,R
37,38.,Charlie Bennett (15),1048,R
38,38.,Carlton Fisk+ (24),1048,R
39,40.,Tony Pena (18),1045,R
40,41.,Cy Perkins (17),1037,R
41,42.,Ed McFarland (14),1024,R
42,43.,Buck Ewing+ (18),1017,R
43,44.,Bill Holbert (12),1013,R
44,45.,Jim Sundberg (16),1007,R
45,46.,Doc Bushong (13),1001,R
46,47.,Hank Gowdy (17),1000,R
47,48.,Chief Meyers (9),996,R
48,49.,Pat Moran (14),990,R
49,50.,Jason Kendall (15),989,R
50,51.,"Yadier Molina (17, 37)",988,R
51,52.,Jack O'Connor (21),987,R
52,53.,Bob O'Farrell (21),980,R
53,53.,Lance Parrish (19),980,R
54,55.,Jimmy Archer (12),979,R
55,56.,Ossee Schrecongost (11),969,R
56,57.,Benito Santiago (20),960,R
57,58.,Brad Ausmus (18),956,R
58,59.,Bill Dickey+ (17),954,R
59,60.,Russell Martin (14),941,R
60,61.,Jimmie Wilson (18),931,R
61,62.,Ted Simmons+ (21),915,R
62,63.,Larry McLean (13),905,R
63,64.,Rollie Hemsley (19),897,R
64,65.,Connie Mack+ (11),864,R
65,66.,Joe Sugden (13),861,R
66,67.,Walter Schmidt (10),858,R
67,68.,King Kelly+ (16),857,R
68,69.,Bill Carrigan (10),854,R
69,70.,Ed Sweeney (9),852,R
70,71.,Johnny Bench+ (17),850,R
71,72.,Ernie Lombardi+ (17),845,R
72,73.,Mickey Cochrane+ (13),840,R
73,74.,Mike González (17),838,R
74,75.,John Henry (9),826,R
75,76.,Jocko Milligan (10),825,R
76,77.,A.J. Pierzynski (19),823,R
77,78.,Boileryard Clarke (13),806,R
78,79.,Gus Mancuso (17),803,R
79,80.,Yogi Berra+ (19),798,R
80,81.,Art Wilson (14),796,R
81,82.,Admiral Schlei (8),792,R
82,83.,Sam Agnew (7),773,R
83,84.,Rick Dempsey (24),768,R
84,85.,Pop Schriver (14),764,R
85,86.,Del Crandall (16),759,R
86,87.,Darrell Porter (17),754,R
87,88.,Zack Taylor (16),752,R
88,89.,Les Nunamaker (12),745,R
89,90.,Gabby Street (8),744,R
90,91.,Thurman Munson (11),742,R
91,92.,Mike Scioscia (13),737,R
92,93.,Mike Piazza+ (16),733,R
93,94.,Val Picinich (18),732,R
94,95.,Brian McCann (15),729,R
95,96.,Doc Powers (11),724,R
96,97.,Bill Freehan (15),721,R
97,98.,Johnny Bassler (9),708,R
98,99.,Johnny Edwards (14),703,R
99,100.,John Grim (11),696,R
100,100.,Jorge Posada (17),696,R
101,102.,Jim Hegan (17),695,R
102,103.,Doggie Miller (13),693,R
103,104.,Jack Ryan (13),690,R
104,105.,Sherm Lollar (18),688,R
105,106.,Alan Ashby (17),684,R
106,106.,Spud Davis (16),684,R
107,108.,Jack Boyle (13),683,R
108,109.,John Roseboro (14),675,R
109,110.,Steve Yeager (15),674,R
110,111.,Mickey O'Neil (9),670,R
111,112.,Birdie Tebbetts (14),666,R
112,113.,Frankie Hayes (14),661,R
113,113.,Tom Needham (11),661,R
114,115.,Bengie Molina (13),659,R
115,116.,Ted Easterly (7),650,R
116,117.,Charlie Ganzel (14),646,R
117,118.,Jody Davis (10),640,R
118,119.,Kid Baldwin (7),639,R
119,120.,Jack Lapp (9),636,R
120,121.,Jerry Grote (16),635,R
121,122.,Javy Lopez (15),631,R
122,123.,Farmer Vaughn (13),629,R
123,124.,Red Kleinow (8),626,R
124,125.,Harry Bemis (9),625,R
125,125.,Tommy Clarke (10),625,R
126,127.,Barney Gilligan (10),624,R
127,128.,Terry Kennedy (14),623,R
128,129.,Boss Schmidt (6),617,R
129,130.,Terry Steinbach (14),615,R
130,131.,Ramon Hernandez (15),613,R
131,131.,Mike Matheny (13),613,R
132,133.,Con Daily (12),610,R
133,134.,Joe Girardi (15),605,R
134,135.,Andy Seminick (15),598,R
135,136.,Jim Stephens (6),594,R
136,137.,Walker Cooper (18),589,R
137,137.,Milt May (15),589,R
138,137.,Carlos Ruiz (12),589,R
139,140.,Tim McCarver (21),588,R
140,141.,Butch Wynegar (13),583,R
141,142.,Mickey Owen (13),581,R
142,143.,"Jonathan Lucroy (11, 34)",580,R
143,144.,Bruce Benedict (12),577,R
144,145.,Ira Thomas (10),576,R
145,146.,Mike Tresh (12),575,R
146,147.,Nig Clarke (9),568,R
147,147.,Charles Johnson (12),568,R
148,149.,Clay Dalrymple (12),566,R
149,150.,Walter Blair (7),561,R
150,151.,Miguel Montero (13),560,R
151,152.,"Kurt Suzuki (14, 36)",553,R
152,153.,Roy Campanella+ (10),550,R
153,153.,"Jeff Mathis (16, 37)",550,R
154,155.,"Chris Iannetta (14, 37)",548,R
155,155.,Morgan Murphy (11),548,R
156,157.,Ed Phelps (11),547,R
157,158.,Jim Keenan (11),545,R
158,159.,Jason Varitek (15),541,R
159,160.,Manny Sanguillen (13),540,R
160,161.,John Clapp (11),537,R
161,161.,Mike Heath (14),537,R
162,161.,Del Rice (17),537,R
163,164.,Rick Cerone (18),536,R
164,165.,Fred Jacklitsch (13),534,R
165,166.,Bo Diaz (13),525,R
166,166.,Roxy Walters (11),525,R
167,168.,Mike Grady (11),516,R
168,169.,Dick Buckley (8),515,R
169,170.,Johnny Gooch (11),511,R
170,170.,Buddy Rosar (13),511,R
171,172.,Damian Miller (11),510,R
172,173.,"Buster Posey (11, 33)",509,R
173,174.,Tom Haller (12),508,R
174,175.,Fatty Briody (8),506,R
175,175.,Sammy White (11),506,R
176,177.,"Salvador Perez (9, 30)",505,R
177,178.,Pat Borders (17),503,R
178,178.,Ray Mueller (14),503,R
179,180.,Earl Smith (12),502,R
180,180.,Deacon White+ (20),502,R
181,182.,Earl Battey (13),501,R
182,182.,Miguel Olivo (13),501,R
183,184.,Lew Ritter (7),497,R
184,184.,Ernie Whitt (15),497,R
185,186.,Phil Masi (14),495,R
186,187.,Butch Henline (11),494,R
187,188.,Bubbles Hargrave (12),493,R
188,188.,Shanty Hogan (13),493,R
189,188.,Randy Hundley (14),493,R
190,191.,John Bateman (10),491,R
191,191.,Paul Lo Duca (11),491,R
192,193.,Mike Lieberthal (14),490,R
193,194.,Kirt Manwaring (13),489,R
194,195.,Charlie Reipschlager (5),484,R
195,196.,Elston Howard (14),479,R
196,197.,Mike Simon (7),478,R
197,198.,Clyde McCullough (15),477,R
198,198.,Don Slaught (16),477,R
199,198.,Bob Swift (14),477,R
200,201.,Henry Blanco (16),475,R
201,202.,Fritz Buelow (9),474,R
202,203.,Todd Hundley (14),472,R
203,203.,Buck Rodgers (9),472,R
204,205.,Fred Carroll (8),470,R
