,Rank,"Player (yrs, age)",Errors Committed as C,Throws
0,1.,Pop Snyder (18),685,R
1,2.,Deacon McGuire (26),577,R
2,3.,Silver Flint (13),456,R
3,4.,Doc Bushong (13),412,R
4,4.,Wilbert Robinson+ (17),412,R
5,6.,Deacon White+ (20),399,R
6,7.,Jack Clements (17),394,L
7,8.,Bill Holbert (12),393,R
8,9.,Charlie Bennett (15),379,R
9,10.,King Kelly+ (16),368,R
10,11.,Duke Farrell (18),366,R
11,12.,John Clapp (11),364,R
12,13.,Nat Hicks (6),352,R
13,14.,Chief Zimmer (19),328,R
14,15.,Buck Ewing+ (18),322,R
15,16.,Red Dooin (15),320,R
16,17.,Jocko Milligan (10),304,R
17,18.,Kid Baldwin (7),302,R
18,19.,Barney Gilligan (10),299,R
19,20.,Doggie Miller (13),285,R
20,21.,Con Daily (12),283,R
21,22.,Connie Mack+ (11),281,R
22,23.,Malachi Kittridge (16),264,R
23,24.,Lew Brown (7),245,R
24,25.,Emil Gross (5),242,R
25,26.,Jack Boyle (13),237,R
26,27.,Pop Schriver (14),235,R
27,28.,Ivey Wingo (17),234,R
28,29.,Fred Carroll (8),231,R
29,30.,Charlie Ganzel (14),229,R
30,30.,Oscar Stanage (14),229,R
31,32.,Doug Allison (10),225,R
32,33.,Bob Clark (7),223,R
33,33.,Wally Schang (19),223,R
34,35.,Steve O'Neill (17),217,R
35,36.,Sam Trott (8),211,L
36,36.,Farmer Vaughn (13),211,R
37,38.,Johnny Kling (13),210,R
38,39.,Jack Warner (14),205,R
39,40.,Fatty Briody (8),204,R
40,41.,Dick Buckley (8),198,R
41,42.,Jimmy Peoples (6),197,R
42,43.,George Myers (6),195,R
43,43.,Charlie Reipschlager (5),195,R
44,45.,Eddie Ainsmith (15),193,R
45,46.,Boileryard Clarke (13),190,R
46,47.,Jim Keenan (11),187,R
47,47.,Heinie Peitz (16),187,R
48,49.,Pat Deasley (8),186,R
49,50.,Frank Bowerman (15),185,R
50,51.,Jack O'Brien (8),183,R
51,52.,Scott Hastings (7),182,R
52,53.,Bob Boone (19),178,R
53,54.,Jack O'Connor (21),177,R
54,55.,Morgan Murphy (11),175,R
55,55.,Ray Schalk+ (18),175,R
56,57.,Lou Criger (16),170,R
57,58.,Rudy Kemmler (8),169,R
58,59.,Fergy Malone (7),168,L
59,60.,Roger Bresnahan+ (17),167,R
