,Rank,"Player (yrs, age)",Passed Balls,Throws
0,1.,Pop Snyder (18),763,R
1,2.,Silver Flint (13),639,R
2,3.,Doc Bushong (13),553,R
3,4.,Deacon White+ (20),505,R
4,5.,Deacon McGuire (26),500,R
5,6.,Wilbert Robinson+ (17),491,R
6,7.,King Kelly+ (16),420,R
7,8.,Jack Clements (17),417,L
8,9.,Jocko Milligan (10),406,R
9,10.,Bill Holbert (12),403,R
10,11.,John Clapp (11),393,R
11,12.,Barney Gilligan (10),377,R
12,13.,Fred Carroll (8),369,R
13,14.,Buck Ewing+ (18),360,R
14,15.,Chief Zimmer (19),355,R
15,16.,Charlie Bennett (15),352,R
16,17.,Doggie Miller (13),346,R
17,18.,Kid Baldwin (7),331,R
18,19.,Connie Mack+ (11),310,R
19,20.,Jack Boyle (13),303,R
20,21.,Jack O'Connor (21),288,R
21,22.,Duke Farrell (18),286,R
22,23.,Jack O'Brien (8),279,R
23,24.,Jim Keenan (11),278,R
24,25.,Pat Deasley (8),274,R
25,26.,Rudy Kemmler (8),273,R
26,27.,Paul Cook (7),257,R
27,27.,Emil Gross (5),257,R
28,27.,Bill Traffley (5),257,R
29,30.,George Myers (6),256,R
30,31.,Con Daily (12),254,R
31,32.,Sam Trott (8),249,L
32,33.,Charlie Reipschlager (5),245,R
33,34.,Chris Fulmer (5),244,R
34,35.,Fatty Briody (8),243,R
35,36.,Jack Rowe (12),240,R
36,37.,Lew Brown (7),236,R
37,37.,Mert Hackett (5),236,R
38,37.,Ed Whiting (3),236,L
39,40.,Dan Sullivan (5),225,R
40,41.,Scott Hastings (7),224,R
41,42.,Jackie Hayes (7),218,R
42,43.,Farmer Vaughn (13),207,R
43,44.,Jim O'Rourke+ (23),203,R
44,45.,Malachi Kittridge (16),202,R
45,46.,John Kelly (4),198,R
46,47.,Pop Schriver (14),194,R
47,48.,Lance Parrish (19),192,R
48,49.,Tom Dolan (7),190,R
49,50.,Bob Clark (7),183,R
50,51.,Jack Ryan (13),182,R
51,51.,Ted Simmons+ (21),182,R
52,53.,Charlie Ganzel (14),180,R
53,53.,John Kerins (7),180,R
54,55.,Ed McFarland (14),176,R
55,56.,Jim Donahue (5),173,R
56,57.,Nat Hicks (6),169,R
57,58.,Jimmy Peoples (6),168,R
58,59.,Doug Allison (10),166,R
59,59.,Frank Bowerman (15),166,R
60,61.,Heinie Peitz (16),163,R
61,62.,Lave Cross (21),157,R
62,62.,Mike Hines (4),157,L
63,62.,Benito Santiago (20),157,R
64,65.,Tom Daly (17),155,R
65,66.,Dick Higham (8),152,R
66,66.,Ernie Lombardi+ (17),152,R
67,66.,Sleeper Sullivan (4),152,R
68,69.,John Grim (11),151,R
69,70.,Jack Warner (14),147,R
70,71.,Steve O'Neill (17),145,R
71,72.,Bill Harbridge (9),144,L
72,73.,Rick Ferrell+ (18),142,R
73,73.,Jorge Posada (17),142,R
74,73.,Sy Sutcliffe (7),142,L
75,76.,Billy Sullivan (16),140,R
76,77.,Dick Buckley (8),139,R
77,77.,Red Dooin (15),139,R
78,77.,Frankie Hayes (14),139,R
79,80.,Gus Triandos (13),138,R
80,81.,Frank Ringo (4),136,
81,82.,Phil Powers (7),135,R
82,83.,Tom Gunning (6),133,R
83,84.,Tim McCarver (21),132,R
84,84.,Darrell Porter (17),132,R
85,86.,Tom Kinslow (10),131,R
86,86.,Wally Schang (19),131,R
87,88.,Jim Sundberg (16),130,R
88,89.,Roger Bresnahan+ (17),129,R
89,89.,Carlton Fisk+ (24),129,R
90,91.,Boileryard Clarke (13),128,R
91,91.,Pop Tate (6),128,R
92,93.,Johnny Kling (13),127,R
93,93.,Ivan Rodriguez+ (21),127,R
94,95.,Gabby Hartnett+ (20),126,R
95,96.,Ed Herrmann (11),125,R
96,96.,Fergy Malone (7),125,L
97,98.,Joe Crotty (4),123,R
98,99.,Tom Haller (12),121,R
99,99.,J.C. Martin (14),121,R
100,101.,Lou Criger (16),120,R
101,102.,William Brown (7),119,R
102,102.,Cal McVey (9),119,R
103,104.,Charlie Reilley (5),118,R
104,105.,Joe Azcue (11),117,R
105,106.,Eddie Fusselback (4),114,
106,107.,Alan Ashby (17),113,R
107,108.,Doc Kennedy (5),111,R
108,108.,John Roseboro (14),111,R
109,110.,Eddie Ainsmith (15),110,R
110,110.,Mike Grady (11),110,R
111,112.,Amos Cross (3),109,
112,113.,Bill Freehan (15),108,R
113,113.,Morgan Murphy (11),108,R
114,115.,Joe Gunson (4),107,R
115,116.,Bill Merritt (8),106,R
116,117.,Tony Pena (18),105,R
117,117.,Jason Varitek (15),105,R
118,119.,John Bateman (10),104,R
119,119.,Dell Darling (6),104,R
120,119.,Jason Kendall (15),104,R
121,122.,Johnny Edwards (14),102,R
122,122.,Mike Piazza+ (16),102,R
123,122.,A.J. Pierzynski (19),102,R
124,122.,George Townsend (4),102,R
125,126.,George Gibson (14),101,R
126,126.,Oscar Stanage (14),101,R
127,128.,Jack Doyle (17),100,R
128,128.,Mike Macfarlane (13),100,R
129,128.,Miguel Olivo (13),100,R
130,128.,Ed Rowen (3),100,
131,128.,Joe Sugden (13),100,R
132,133.,Rick Cerone (18),99,R
133,134.,Cap Anson+ (27),98,R
134,134.,Billy Barnie (4),98,R
135,134.,Jody Davis (10),98,R
136,137.,Bob Boone (19),97,R
137,137.,Javy Lopez (15),97,R
138,137.,Pat Moran (14),97,R
139,137.,Ray Schalk+ (18),97,R
140,141.,Earl Battey (13),96,R
141,141.,John Humphries (2),96,L
142,143.,Andy Cusick (4),95,R
143,143.,Geno Petralli (12),95,R
144,143.,Ivey Wingo (17),95,R
145,146.,George Baker (4),94,
146,146.,Johnny Bench+ (17),94,R
147,146.,Marty Bergen (4),94,R
148,146.,Rooney Sweeney (3),94,
149,150.,John Henry (9),93,R
150,150.,Thurman Munson (11),93,R
151,152.,Don Slaught (16),92,R
152,153.,Clay Dalrymple (12),91,R
153,153.,Hank Severeid (15),91,R
154,153.,Luke Sewell (20),91,R
155,156.,Otto Miller (13),90,R
156,156.,Mike Stanley (15),90,R
157,158.,"Yadier Molina (17, 37)",89,R
158,158.,Manny Sanguillen (13),89,R
159,158.,Andy Seminick (15),89,R
160,161.,Mickey Cochrane+ (13),88,R
161,161.,Mike McGeary (11),88,R
162,161.,Jimmie Wilson (18),88,R
163,164.,Tug Arundel (4),87,R
164,164.,Joe Torre+ (18),87,R
165,166.,Dick Dietz (8),86,R
166,166.,Chief Meyers (9),86,R
167,168.,Mike Kahoe (11),85,R
168,168.,Russell Martin (14),85,R
169,168.,Val Picinich (18),85,R
170,168.,Parke Wilson (7),85,R
171,172.,Bill Bergen (11),84,R
172,172.,Jack Brennan (5),84,
173,172.,Gary Carter+ (19),84,R
174,172.,Harry Decker (4),84,R
175,172.,Joe Ferguson (14),84,R
176,172.,Rich Gedman (13),84,R
177,172.,Brian McCann (15),84,R
178,172.,Ossee Schrecongost (11),84,R
179,180.,Terry Steinbach (14),83,R
180,181.,Joe Girardi (15),82,R
181,181.,Mike Scioscia (13),82,R
182,181.,Billy Taylor (7),82,R
183,184.,Nig Clarke (9),81,R
184,184.,Frank Graves (1),81,R
185,184.,Mike Tresh (12),81,R
186,187.,Jerry Harrington (4),80,R
187,187.,Ramon Hernandez (15),80,R
188,187.,Sandy Nava (5),80,
189,187.,Josh Thole (8),80,R
190,191.,Walker Cooper (18),79,R
191,191.,Jake Knodell (3),79,
192,191.,Cy Perkins (17),79,R
193,194.,Bengie Molina (13),78,R
194,194.,Steve Yeager (15),78,R
195,196.,"Tyler Flowers (12, 34)",77,R
196,196.,Bill Krieg (4),77,R
197,196.,Charlie Mills (2),77,
198,196.,Joe Oliver (13),77,R
199,196.,John Romano (10),77,R
200,201.,Yogi Berra+ (19),76,R
201,201.,Bill Dickey+ (17),76,R
202,201.,Jake Early (9),76,R
203,201.,"Yasmani Grandal (9, 31)",76,R
204,205.,Ned Bligh (4),75,R
205,205.,Bob Brenly (9),75,R
206,205.,Tom Gillen (2),75,
207,205.,Jerry Grote (16),75,R
208,205.,Jim Hegan (17),75,R
209,205.,Rollie Hemsley (19),75,R
210,205.,Elston Howard (14),75,R
211,205.,Todd Hundley (14),75,R
212,205.,Jason LaRue (12),75,R
213,214.,Michael Barrett (12),74,R
214,214.,Bill Carrigan (10),74,R
215,214.,Mike Lieberthal (14),74,R
216,214.,Doug Mirabelli (12),74,R
217,214.,Hal Smith (10),74,R
218,219.,Pat Borders (17),73,R
219,219.,Smoky Burgess (18),73,R
220,219.,Chad Kreuter (16),73,R
221,219.,Gus Mancuso (17),73,R
222,219.,Mickey Owen (13),73,R
223,219.,Gene Tenace (15),73,R
224,225.,Ed Crane (9),72,R
225,225.,Pat Dealy (5),72,R
226,225.,Dave Duncan (11),72,R
227,225.,Mike González (17),72,R
228,225.,Ed Phelps (11),72,R
229,225.,Earl Smith (12),72,R
230,225.,Zack Taylor (16),72,R
231,225.,Fleet Walker (1),72,R
232,233.,Sandy Alomar (20),71,R
233,233.,Bo Diaz (13),71,R
234,233.,Tim Donahue (8),71,R
235,233.,Ernie Whitt (15),71,R
236,233.,Earl Williams (8),71,R
237,238.,Jimmy Archer (12),70,R
238,238.,Tom Barlow (4),70,
239,238.,Law Daniels (2),70,R
240,238.,Ray Fosse (12),70,R
241,238.,Tim McGinley (2),70,
242,238.,Tom O'Rourke (3),70,R
243,238.,Doc Powers (11),70,R
244,245.,"Jason Castro (10, 33)",69,R
245,246.,Harry Bemis (9),68,R
246,246.,"Chris Iannetta (14, 37)",68,R
247,246.,Terry Kennedy (14),68,R
248,246.,Art Wilson (14),68,R
249,246.,Bill Wilson (3),68,R
250,251.,Ron Hassey (14),67,R
251,251.,Charlie Moore (15),67,R
252,251.,John Munyan (3),67,
253,254.,John Crowley (1),66,
254,254.,Klondike Douglass (9),66,R
255,254.,Al Lopez+ (19),66,R
256,254.,Russ Nixon (12),66,R
257,254.,Buck Rodgers (9),66,R
258,254.,Frank Snyder (16),66,R
259,260.,Paul Casanova (10),65,R
260,260.,Mike Heath (14),65,R
261,260.,Larry McLean (13),65,R
262,260.,Damian Miller (11),65,R
263,260.,Del Rice (17),65,R
264,260.,Admiral Schlei (8),65,R
265,260.,Gabby Street (8),65,R
266,267.,Harry Chiti (10),64,R
267,267.,Darren Daulton (14),64,R
268,267.,Charlie Householder (2),64,L
269,267.,Tom Needham (11),64,R
270,267.,Tom Quinn (3),64,R
271,267.,Bill Rariden (12),64,R
272,267.,Birdie Tebbetts (14),64,R
273,267.,Mickey Tettleton (14),64,R
274,275.,Dick Bertell (7),63,R
275,275.,Joe Ginsberg (13),63,R
276,275.,Jose Molina (15),63,R
277,275.,Luis Pujols (9),63,R
278,275.,Andy Sommers (4),63,R
279,275.,"Kurt Suzuki (14, 36)",63,R
280,275.,Bob Swift (14),63,R
281,282.,Sam Agnew (7),62,R
282,282.,Jack Corcoran (1),62,
283,282.,Jerry Dorgan (4),62,R
284,282.,Milt May (15),62,R
285,282.,Les Nunamaker (12),62,R
286,282.,Ed Taubensee (11),62,R
287,288.,Brad Ausmus (18),61,R
288,288.,Rick Dempsey (24),61,R
289,288.,Scott Hatteberg (14),61,R
290,288.,Ed Sweeney (9),61,R
291,288.,Wes Westrum (11),61,R
292,288.,Butch Wynegar (13),61,R
293,294.,Ed Caskin (7),60,R
294,294.,Del Crandall (16),60,R
295,294.,Mike Matheny (13),60,R
296,297.,Vic Correll (8),59,R
297,297.,Ellie Rodriguez (9),59,R
298,297.,Duke Sims (11),59,R
299,300.,Paul Bako (12),58,R
300,300.,Billy Colgan (1),58,
301,300.,Ted Easterly (7),58,R
302,300.,Elrod Hendricks (12),58,R
303,300.,Charlie Hoover (2),58,R
304,300.,Bill Killefer (13),58,R
305,300.,Red Kleinow (8),58,R
306,300.,George Mitterwald (11),58,R
307,300.,Chicken Wolf (11),58,R
308,309.,Clint Courtney (11),57,R
309,309.,Al Evans (12),57,R
310,309.,Phil Roof (15),57,R
311,309.,Aleck Smith (9),57,R
312,309.,Dave Valle (13),57,R
313,314.,"Alex Avila (12, 33)",56,R
314,314.,Roy Campanella+ (10),56,R
315,314.,Jocko Fields (6),56,R
316,314.,Nick Hundley (12),56,R
317,314.,Kirt Manwaring (13),56,R
318,314.,Muddy Ruel (19),56,R
319,314.,Jarrod Saltalamacchia (12),56,R
320,314.,B.J. Surhoff (19),56,R
321,322.,Bruce Benedict (12),55,R
322,322.,Henry Blanco (16),55,R
323,322.,"Welington Castillo (10, 33)",55,R
324,322.,Brian Harper (16),55,R
325,322.,Gerald Laird (13),55,R
326,322.,"Wilson Ramos (11, 32)",55,R
327,328.,Rod Barajas (14),54,R
328,328.,Cal Broughton (4),54,R
329,328.,Fritz Buelow (9),54,R
330,328.,Spud Davis (16),54,R
331,328.,Ed FitzGerald (12),54,R
332,328.,Randy Hundley (14),54,R
333,328.,Fred Jacklitsch (13),54,R
334,328.,"Jeff Mathis (16, 37)",54,R
335,328.,Jerry Moore (2),54,
336,328.,Bob O'Farrell (21),54,R
337,328.,Gene Oliver (10),54,R
338,328.,Jim Pagliaroni (11),54,R
339,328.,Jeff Reed (17),54,R
340,341.,Dick Brown (9),53,R
341,341.,John Hanna (1),53,
342,341.,Sherm Lollar (18),53,R
343,341.,Biff Pocoroba (10),53,R
344,341.,Scott Servais (11),53,R
345,346.,Mike Difelice (13),52,R
346,346.,Charles Johnson (12),52,R
347,346.,Miguel Montero (13),52,R
348,346.,"Gary Sanchez (6, 27)",52,R
349,346.,Bob Tillman (9),52,R
350,346.,"Christian Vazquez (6, 29)",52,R
351,346.,Sammy White (11),52,R
352,353.,Artie Clarke (2),51,R
353,353.,Bill Craver (7),51,R
354,353.,Bob Didier (6),51,R
355,353.,Paul Lo Duca (11),51,R
356,353.,Brent Mayne (15),51,R
357,353.,Jim McCauley (3),51,R
358,353.,Pat Murphy (4),51,R
359,353.,David Ross (15),51,R
360,353.,Gregg Zaun (16),51,R
361,362.,Chris Cannizzaro (13),50,R
362,362.,Bart Cantz (3),50,R
363,362.,Tom Egan (10),50,R
364,362.,Ron Karkovice (12),50,R
365,362.,"Jonathan Lucroy (11, 34)",50,R
366,362.,Dioner Navarro (13),50,R
