,Rank,"Player (yrs, age)",Caught Stealing as C,Throws
0,1.,Deacon McGuire (26),1459,R
1,2.,Chief Zimmer (19),1208,R
2,3.,Malachi Kittridge (16),1159,R
3,4.,Duke Farrell (18),1156,R
4,5.,Johnny Kling (13),1154,R
5,6.,Red Dooin (15),1120,R
6,7.,Jack Warner (14),1056,R
7,8.,Bill Bergen (11),1034,R
8,9.,Ray Schalk+ (18),1009,R
9,10.,George Gibson (14),962,R
10,11.,Billy Sullivan (16),952,R
11,12.,Lou Criger (16),938,R
12,13.,Steve O'Neill (17),937,R
13,14.,Oscar Stanage (14),931,R
14,15.,Heinie Peitz (16),929,R
15,16.,Ivey Wingo (17),918,R
16,17.,Wilbert Robinson+ (17),881,R
17,18.,Bill Killefer (13),870,R
18,19.,Roger Bresnahan+ (17),860,R
19,20.,Ed McFarland (14),851,R
20,21.,Frank Bowerman (15),816,R
21,22.,Wally Schang (19),814,R
22,23.,Gary Carter+ (19),810,R
23,24.,Bill Rariden (12),763,R
24,25.,Joe Sugden (13),734,R
25,26.,Jack O'Connor (21),732,R
26,27.,Bob Boone (19),731,R
27,28.,Frank Snyder (16),730,R
28,29.,Pat Moran (14),711,R
29,30.,Jim Sundberg (16),708,R
30,31.,Boileryard Clarke (13),706,R
31,32.,Chief Meyers (9),681,R
32,32.,Ossee Schrecongost (11),681,R
33,34.,Hank Severeid (15),678,R
34,35.,John Grim (11),676,R
35,36.,Otto Miller (13),666,R
36,37.,Carlton Fisk+ (24),665,R
37,38.,Eddie Ainsmith (15),663,R
38,39.,Ivan Rodriguez+ (21),661,R
39,40.,Tony Pena (18),656,R
40,41.,Lance Parrish (19),655,R
41,42.,Jimmy Archer (12),645,R
42,43.,Larry McLean (13),642,R
43,44.,Jack Clements (17),611,L
44,44.,Ted Simmons+ (21),611,R
45,46.,Ed Sweeney (9),603,R
46,47.,Bill Carrigan (10),598,R
47,48.,Cy Perkins (17),586,R
48,49.,Jack Ryan (13),582,R
49,50.,Hank Gowdy (17),581,R
50,51.,Pop Schriver (14),575,R
51,52.,Gabby Hartnett+ (20),574,R
52,53.,Muddy Ruel (19),567,R
53,53.,Admiral Schlei (8),567,R
54,55.,Darrell Porter (17),553,R
55,56.,John Henry (9),535,R
56,57.,Benito Santiago (20),530,R
57,58.,Luke Sewell (20),526,R
58,59.,Rick Ferrell+ (18),524,R
59,60.,Doc Powers (11),520,R
60,61.,Bob O'Farrell (21),519,R
61,62.,Rick Dempsey (24),507,R
62,63.,Morgan Murphy (11),504,R
63,64.,Al Lopez+ (19),500,R
64,64.,Mike Scioscia (13),500,R
65,66.,Jason Kendall (15),495,R
66,67.,Sam Agnew (7),489,R
67,67.,Art Wilson (14),489,R
68,69.,Gabby Street (8),488,R
69,70.,Brad Ausmus (18),480,R
70,70.,Tom Needham (11),480,R
71,72.,Terry Kennedy (14),478,R
72,72.,Butch Wynegar (13),478,R
73,74.,Johnny Bench+ (17),469,R
74,75.,Bill Dickey+ (17),465,R
75,75.,Les Nunamaker (12),465,R
76,77.,Mike González (17),463,R
