,Rank,"Player (yrs, age)",Caught Stealing %,Throws
0,1.,Roy Campanella+ (10),57.40,R
1,2.,Gabby Hartnett+ (20),56.11,R
2,3.,Buddy Rosar (13),54.81,R
3,4.,Al Lopez+ (19),54.05,R
4,5.,Mickey O'Neil (9),53.09,R
5,6.,Hank Gowdy (17),52.53,R
6,7.,Ray Mueller (14),51.91,R
7,8.,Jimmy Archer (12),51.85,R
8,9.,Sam Agnew (7),51.69,R
9,10.,Ray Schalk+ (18),51.59,R
10,11.,Patsy Gharrity (10),50.99,R
11,12.,Gus Mancuso (17),50.69,R
12,13.,Paul Richards (8),50.35,R
13,14.,Clyde Kluttz (9),50.31,R
14,15.,Mickey Owen (13),50.29,R
15,16.,Ira Thomas (10),50.00,R
16,17.,Walter Schmidt (10),49.83,R
17,18.,Jim Hegan (17),49.77,R
18,19.,Paddy Livingston (7),49.75,R
19,20.,Roy Spencer (12),49.69,R
20,21.,Zack Taylor (16),49.63,R
21,22.,Joe Astroth (10),49.37,R
22,23.,Wes Westrum (11),49.29,R
23,24.,Ben Egan (4),49.21,R
24,25.,Fred Carisch (8),49.15,R
25,26.,Ray Berres (11),49.03,R
26,26.,Boss Schmidt (6),49.03,R
27,28.,Fred Abbott (3),48.97,R
28,29.,Bill Killefer (13),48.90,R
29,30.,Clay Dalrymple (12),48.80,R
30,31.,Jake Early (9),48.79,R
31,32.,Billy Sullivan (16),48.72,R
32,33.,Yogi Berra+ (19),48.61,R
33,34.,Lou Criger (16),48.60,R
34,34.,Bert Whaling (3),48.60,R
35,36.,Buck Crouse (8),48.58,R
36,37.,Claude Berry (5),48.49,R
37,38.,Chief Meyers (9),48.47,R
38,39.,Cy Perkins (17),48.35,R
39,40.,Larry McLean (13),48.27,R
40,41.,Walt Alexander (5),48.24,R
41,42.,Johnny Kling (13),48.04,R
42,43.,Bill Bergen (11),48.03,R
43,44.,Frank Bowerman (15),47.89,R
44,45.,Jimmie Wilson (18),47.86,R
45,46.,Walt Kuhn (3),47.78,R
46,47.,Dick Bertell (7),47.74,R
47,48.,Harry Smith (10),47.72,R
48,49.,Bob O'Farrell (21),47.70,R
49,50.,Ernie Lombardi+ (17),47.65,R
50,51.,Gabby Street (8),47.56,R
51,52.,George Gibson (14),47.51,R
52,53.,Admiral Schlei (8),47.41,R
53,54.,Frank House (10),47.39,R
54,55.,Charlie Berry (11),47.29,R
55,56.,Harry Sage (1),47.22,R
56,57.,Sammy White (11),47.15,R
57,58.,Frank Snyder (16),47.10,R
58,59.,Shanty Hogan (13),47.06,R
59,60.,Harry Danning (10),46.90,R
60,60.,Steve O'Neill (17),46.90,R
61,62.,Mike Heydon (7),46.85,R
62,62.,Sherm Lollar (18),46.85,R
63,64.,Benny Bengough (10),46.73,R
64,65.,Aaron Robinson (8),46.69,R
65,66.,Roger Bresnahan+ (17),46.66,R
66,67.,Bill Dickey+ (17),46.59,R
67,68.,Truck Hannah (3),46.55,R
68,69.,Gus Triandos (13),46.54,R
69,70.,Mike González (17),46.44,R
70,71.,Art Wilson (14),46.40,R
71,72.,Birdie Tebbetts (14),46.37,R
72,73.,Jack O'Neill (5),46.28,R
73,74.,George Yeager (6),46.26,R
74,75.,Johnny Bassler (9),46.24,R
75,76.,Luke Sewell (20),46.22,R
76,77.,Bill Carrigan (10),46.21,R
77,78.,Ivey Wingo (17),46.08,R
78,79.,Jim Stephens (6),46.04,R
79,80.,Del Crandall (16),45.85,R
80,81.,Wally Schang (19),45.76,R
81,82.,Roxy Walters (11),45.74,R
82,83.,Pat Moran (14),45.72,R
83,84.,Red Dooin (15),45.70,R
84,85.,Ivan Rodriguez+ (21),45.68,R
85,86.,Frank Chance+ (17),45.62,R
86,87.,King Kelly+ (16),45.58,R
87,88.,Eddie Ainsmith (15),45.47,R
88,89.,Al Evans (12),45.46,R
89,90.,Muddy Ruel (19),45.40,R
90,91.,John Henry (9),45.30,R
91,92.,Charlie Armbruster (3),45.28,R
92,92.,Charlie Hargreaves (8),45.28,R
93,94.,Jack Warner (14),45.24,R
94,95.,Nig Clarke (9),45.20,R
95,96.,Joe Azcue (11),45.17,R
96,97.,Ken O'Dea (12),45.16,R
97,98.,Matt Batts (10),45.13,R
98,99.,Steve Lake (11),45.10,R
99,100.,Red Kleinow (8),45.07,R
100,101.,Red Wilson (10),45.06,R
101,102.,Doc Marshall (5),45.01,R
102,103.,Walker Cooper (18),44.98,R
103,103.,Mike Tresh (12),44.98,R
104,105.,Johnny Gooch (11),44.94,R
105,106.,Mike Simon (7),44.91,R
106,107.,Fritz Buelow (9),44.84,R
107,108.,Yip Owens (4),44.76,R
108,109.,Otto Miller (13),44.61,R
109,110.,Doc Powers (11),44.60,R
110,111.,Johnnie Heving (8),44.49,R
111,112.,Rick Ferrell+ (18),44.48,R
112,112.,Thurman Munson (11),44.48,R
113,112.,Ossee Schrecongost (11),44.48,R
114,115.,Nick Allen (6),44.44,R
115,116.,Clyde McCullough (15),44.42,R
116,117.,Marty Bergen (4),44.40,R
117,117.,Bob Swift (14),44.40,R
118,119.,Tom Needham (11),44.36,R
119,120.,Al Shaw (4),44.33,R
120,121.,Verne Clemons (7),44.17,R
121,121.,Mike Kahoe (11),44.17,R
122,123.,Duke Farrell (18),44.12,R
123,124.,Bob Wood (7),44.07,R
124,125.,Bruno Block (5),44.02,R
125,126.,Les Nunamaker (12),43.99,R
126,127.,Clyde Manion (13),43.97,R
127,128.,Bill Rariden (12),43.93,R
128,129.,Sam Brown (2),43.92,R
129,130.,Elston Howard (14),43.90,R
130,131.,Ed McFarland (14),43.89,R
131,132.,Fred Jacklitsch (13),43.78,R
132,133.,Earl Battey (13),43.67,R
133,133.,Walter Blair (7),43.67,R
134,135.,Ray Hayworth (15),43.61,R
135,135.,Mike Ryan (11),43.61,R
136,135.,Chief Zimmer (19),43.61,R
137,138.,Walt Tragesser (7),43.60,R
138,139.,Jake Gibbs (10),43.55,R
139,140.,Johnny Bench+ (17),43.47,R
140,141.,Rollie Hemsley (19),43.45,R
141,142.,Ted Easterly (7),43.44,R
142,143.,Heinie Peitz (16),43.25,R
143,144.,Frankie Pytlak (12),43.23,R
144,145.,Buck Rodgers (9),43.17,R
145,146.,Moe Berg (15),43.03,R
146,147.,Jack Ryan (13),43.02,R
147,148.,Pickles Dillhoefer (5),42.96,R
148,149.,Clint Courtney (11),42.92,R
149,149.,Fred Payne (6),42.92,R
150,149.,Clyde Sukeforth (10),42.92,R
151,152.,Oscar Stanage (14),42.88,R
152,153.,Harry Bemis (9),42.84,R
153,154.,Henry Blanco (16),42.77,R
154,155.,Hick Cady (7),42.73,R
155,156.,Jerry May (10),42.72,R
156,157.,Hank Severeid (15),42.70,R
157,158.,Jack O'Connor (21),42.63,R
158,159.,Del Rice (17),42.48,R
159,160.,Hank Foiles (11),42.41,R
160,161.,Al Todd (11),42.40,R
161,162.,Randy Hundley (14),42.34,R
162,163.,John Roseboro (14),42.25,R
163,164.,Boileryard Clarke (13),42.23,R
164,165.,Grover Land (7),42.19,R
165,166.,Wickey McAvoy (6),42.14,R
166,167.,Bruce Edwards (10),42.04,R
167,168.,Dave McKeough (2),42.00,
168,169.,Tommy Clarke (10),41.89,R
169,170.,Rip Williams (7),41.83,R
170,171.,Andy Seminick (15),41.82,R
171,172.,Spud Davis (16),41.80,R
172,173.,Hal Smith (7),41.79,R
173,173.,Ed Sweeney (9),41.79,R
174,175.,Syd Smith (5),41.67,R
175,176.,Billy Maloney (6),41.63,R
176,177.,Ray Lamanno (5),41.56,R
177,178.,Al Spohrer (8),41.54,R
178,179.,Mickey Livingston (10),41.52,R
179,180.,Bob Kearney (8),41.51,R
180,181.,Pinch Thomas (10),41.50,R
181,182.,Merv Shea (11),41.46,R
182,183.,Harry Chapman (5),41.45,R
183,184.,"Roberto Perez (7, 31)",41.36,R
184,185.,Pete Noonan (3),41.31,R
185,186.,Ellie Rodriguez (9),41.30,R
186,187.,William Fischer (5),41.27,R
187,188.,Tubby Spencer (9),41.23,R
188,189.,Bennie Tate (10),41.21,R
189,190.,Ron Karkovice (12),41.20,R
190,191.,Jim Sundberg (16),41.16,R
191,192.,Artie Clarke (2),41.13,R
192,193.,Alberto Castillo (12),41.09,R
193,194.,Earl Smith (12),41.06,R
194,194.,Bennie Warren (6),41.06,R
195,196.,Rube Walker (11),40.95,R
196,197.,Bob Barton (10),40.85,R
197,197.,John Grim (11),40.85,R
198,199.,Ed Burns (7),40.83,R
199,200.,Les Moss (13),40.78,R
200,201.,Mack Wheat (7),40.69,R
201,202.,Paul Cook (7),40.64,R
202,203.,Charlie Ganzel (14),40.62,R
203,204.,Joe Torre+ (18),40.60,R
204,205.,John Boccabella (12),40.57,R
205,206.,Dick Brown (9),40.56,R
206,207.,Jim Essian (12),40.53,R
207,208.,Chris Cannizzaro (13),40.51,R
208,209.,Hobie Landrith (14),40.41,R
209,210.,Frank Gibson (8),40.40,R
210,211.,Peaches Graham (7),40.38,R
211,212.,Tex Erwin (6),40.33,R
212,213.,Butch Wynegar (13),40.30,R
213,214.,"Yadier Molina (17, 37)",40.28,R
214,215.,Ed FitzGerald (12),40.26,R
215,216.,Bubbles Hargrave (12),40.15,R
216,217.,Paul Casanova (10),40.08,R
217,218.,Gene Desautels (13),40.00,R
