,Rank,"Player (yrs, age)",Def. Games as 1B,Throws
0,1.,Eddie Murray+ (21),2413,R
1,2.,Jake Beckley+ (20),2383,L
2,3.,Fred McGriff (19),2239,L
3,4.,Mickey Vernon (20),2237,L
4,5.,Todd Helton (17),2178,L
5,6.,Mark Grace (16),2162,L
6,7.,Cap Anson+ (27),2152,R
7,8.,Rafael Palmeiro (20),2139,L
8,9.,Lou Gehrig+ (17),2137,L
9,10.,Charlie Grimm (20),2131,L
10,11.,Jeff Bagwell+ (15),2111,R
11,12.,Andres Galarraga (19),2106,R
12,13.,Joe Judge (20),2084,L
13,14.,Ed Konetchy (15),2073,R
14,15.,Steve Garvey (19),2059,R
15,16.,Joe Kuhel (18),2057,L
16,17.,John Olerud (17),2053,L
17,18.,Willie McCovey+ (22),2045,L
18,19.,Keith Hernandez (17),2014,L
19,20.,Jake Daubert (15),2002,L
20,21.,Stuffy McInnis (19),1995,R
21,22.,George Sisler+ (15),1971,L
22,23.,Chris Chambliss (17),1962,R
23,24.,Norm Cash (17),1943,L
24,25.,"Albert Pujols (20, 40)",1928,R
25,26.,Jimmie Foxx+ (20),1919,R
26,27.,Wally Joyner (16),1913,L
27,28.,Gil Hodges (18),1908,R
28,29.,Paul Konerko (18),1904,R
29,30.,Derrek Lee (15),1901,R
30,31.,Will Clark (15),1889,L
31,32.,Jim Bottomley+ (16),1885,L
32,33.,Tino Martinez (16),1869,R
33,34.,Adrian Gonzalez (15),1836,L
34,35.,Wally Pipp (15),1819,L
35,36.,Hal Chase (15),1815,L
36,37.,Fred Tenney (17),1810,L
37,38.,Tony Perez+ (23),1778,R
38,39.,George Scott (14),1773,R
39,40.,Mark Teixeira (14),1769,R
40,41.,Carlos Delgado (17),1767,R
41,42.,Mark McGwire (16),1763,R
42,43.,Roger Connor+ (18),1759,L
43,44.,"Joey Votto (14, 36)",1724,R
44,45.,Eric Karros (14),1698,R
45,46.,Orlando Cepeda+ (17),1683,R
46,47.,George Burns (16),1671,R
47,48.,Tommy Tucker (13),1670,R
48,49.,Johnny Mize+ (15),1667,R
49,50.,J.T. Snow (16),1656,L
