,Rank,"Player (yrs, age)",Putouts as 1B,Throws
0,1.,Jake Beckley+ (20),23755,L
1,2.,Cap Anson+ (27),21699,R
2,3.,Ed Konetchy (15),21361,R
3,4.,Eddie Murray+ (21),21255,R
4,5.,Charlie Grimm (20),20711,L
5,6.,Stuffy McInnis (19),19962,R
6,7.,Mickey Vernon (20),19808,L
7,8.,Jake Daubert (15),19634,L
8,9.,Lou Gehrig+ (17),19510,L
9,10.,Joe Kuhel (18),19386,L
10,11.,Joe Judge (20),19264,L
11,12.,Fred McGriff (19),18985,L
12,13.,Todd Helton (17),18889,L
13,14.,Steve Garvey (19),18844,R
14,15.,George Sisler+ (15),18837,L
15,16.,Wally Pipp (15),18779,L
16,17.,Mark Grace (16),18503,L
17,18.,Jim Bottomley+ (16),18337,L
18,19.,Andres Galarraga (19),18244,R
19,20.,Hal Chase (15),18185,L
20,21.,Keith Hernandez (17),17909,L
21,22.,Fred Tenney (17),17903,L
22,23.,Chris Chambliss (17),17771,R
23,24.,Rafael Palmeiro (20),17738,L
24,25.,Roger Connor+ (18),17612,L
25,26.,Jeff Bagwell+ (15),17545,R
26,27.,Jimmie Foxx+ (20),17207,R
27,28.,Willie McCovey+ (22),17170,L
28,29.,George Burns (16),16892,R
29,30.,Will Clark (15),16695,L
30,31.,"Albert Pujols (20, 40)",16498,R
31,32.,Tommy Tucker (13),16401,R
32,33.,Dan Brouthers+ (19),16386,L
33,34.,John Olerud (17),16165,L
34,35.,Wally Joyner (16),16081,L
35,36.,Bill Terry+ (14),15972,L
36,37.,Paul Konerko (18),15936,R
37,38.,Harry Davis (22),15666,R
38,39.,Lu Blue (13),15644,L
39,40.,Fred Merkle (16),15419,R
40,41.,George Scott (14),15405,R
41,42.,Gil Hodges (18),15344,R
42,43.,Norm Cash (17),15157,L
43,44.,Carlos Delgado (17),15144,R
44,45.,Tino Martinez (16),15001,R
45,46.,Adrian Gonzalez (15),14962,L
46,47.,Mark Teixeira (14),14942,R
47,48.,Derrek Lee (15),14910,R
48,49.,Johnny Mize+ (15),14850,R
49,50.,Tony Perez+ (23),14481,R
50,51.,Orlando Cepeda+ (17),14459,R
51,52.,Mark McGwire (16),14451,R
52,53.,High Pockets Kelly+ (16),14232,R
53,54.,Don Mattingly (14),14148,L
54,55.,Eric Karros (14),14056,R
55,56.,Bill Buckner (22),13901,L
56,57.,Charlie Comiskey+ (13),13832,R
57,58.,Frank McCormick (13),13798,R
58,59.,Kent Hrbek (14),13725,R
59,60.,Dolph Camilli (12),13724,L
60,61.,Dan McGann (12),13694,R
61,62.,George McQuinn (12),13414,L
62,63.,Cecil Cooper (17),13361,L
63,64.,Elbie Fletcher (12),13237,L
64,65.,John Mayberry (15),13169,L
65,66.,Fred Luderus (12),13126,R
66,67.,Gus Suhr (11),13103,R
67,68.,"Joey Votto (14, 36)",13081,R
68,69.,Joe Adcock (17),13006,R
69,70.,Lee May (18),12885,R
70,71.,J.T. Snow (16),12855,L
71,72.,Kitty Bransfield (12),12797,R
72,73.,Bill White (13),12735,L
73,74.,George Stovall (12),12709,R
74,75.,Ted Kluszewski (15),12652,L
75,76.,Dick Hoblitzell (11),12584,R
76,77.,Jack Fournier (15),12375,R
77,78.,Ryan Howard (13),12351,L
78,79.,Candy LaChance (12),12330,R
79,80.,Walter Holke (11),12158,L
80,81.,Boog Powell (17),12130,R
81,82.,Hal Trosky (11),12124,R
82,83.,Adam LaRoche (12),12072,L
83,84.,Earl Sheely (9),12067,R
84,85.,Bill Skowron (14),12043,R
85,86.,Ernie Banks+ (19),12005,R
86,87.,Jason Thompson (11),11818,L
87,88.,Lyle Overbay (14),11755,L
88,89.,Earl Torgeson (15),11680,L
89,90.,Pete O'Brien (12),11651,L
90,91.,Phil Cavarretta (22),11375,L
91,92.,Rudy York (13),11359,R
92,93.,Mike Hargrove (12),11274,L
93,94.,Justin Morneau (14),11239,R
94,95.,Joe Start (16),11197,L
95,96.,"Freddie Freeman (11, 30)",11165,R
96,97.,Chick Gandil (9),11118,R
97,98.,"Paul Goldschmidt (10, 32)",10985,R
98,99.,Mo Vaughn (12),10947,R
99,100.,Rod Carew+ (19),10930,R
100,101.,Donn Clendenon (12),10913,R
101,102.,Carlos Pena (14),10900,L
102,103.,Sean Casey (12),10875,R
103,103.,John Reilly (10),10875,R
104,105.,Tom Jones (8),10872,R
105,106.,Dan Driessen (15),10863,R
106,107.,"Eric Hosmer (10, 30)",10837,L
107,108.,Jason Giambi (20),10761,R
108,109.,Prince Fielder (12),10722,R
109,110.,James Loney (11),10607,L
110,111.,Hank Greenberg+ (13),10564,R
111,112.,Bill Phillips (10),10540,R
112,113.,Ed Kranepool (18),10492,L
113,114.,Jack Doyle (17),10205,R
114,115.,Vic Power (12),10141,R
115,116.,Willie Montanez (14),10006,L
116,117.,"Anthony Rizzo (10, 30)",9983,L
117,118.,Jim Spencer (15),9898,L
118,119.,Frank Chance+ (17),9885,R
119,120.,Eddie Robinson (13),9832,R
120,121.,Doc Johnston (11),9739,L
121,122.,Richie Sexson (12),9689,R
122,123.,Wes Parker (9),9640,L
123,124.,Babe Dahlgren (12),9619,R
124,125.,Sid Farrar (8),9550,R
125,126.,Ferris Fain (9),9530,L
126,127.,Tony Clark (15),9350,R
127,128.,Ron Fairly (21),9294,L
128,129.,"Chris Davis (13, 34)",9204,R
129,130.,Don Mincher (13),9181,R
