,Rank,"Player (yrs, age)",Errors Committed as 2B,Throws
0,1.,Fred Pfeffer (16),857,R
1,2.,Bid McPhee+ (18),792,R
2,3.,Cub Stricker (11),701,R
3,4.,Jack Burdock (18),664,R
4,5.,Cupid Childs (13),646,R
5,6.,Lou Bierbauer (13),574,R
6,7.,Kid Gleason (22),571,R
7,8.,Joe Gerhardt (15),558,R
8,9.,Fred Dunlap (12),498,R
9,10.,Jack Farrell (11),477,R
10,11.,Yank Robinson (10),475,R
11,12.,Pop Smith (12),469,R
12,13.,Nap Lajoie+ (21),451,R
13,14.,Larry Doyle (14),443,R
14,15.,Eddie Collins+ (25),435,R
15,16.,Al Myers (8),430,R
16,17.,Johnny Evers+ (18),423,R
17,18.,Tom Daly (17),418,R
18,19.,Joe Quinn (17),410,R
19,20.,Bobby Lowe (18),389,R
20,21.,Bill Hallman (14),385,R
21,22.,Del Pratt (13),381,R
22,23.,Miller Huggins+ (13),376,R
23,24.,Joe Quest (10),370,R
24,25.,Claude Ritchey (13),355,R
25,26.,Billy Herman+ (15),354,R
26,27.,Hardy Richardson (14),349,R
27,28.,Reddy Mack (6),330,
28,29.,George Creamer (7),324,R
29,30.,Ross Barnes (9),310,R
30,31.,Charlie Gehringer+ (19),309,R
31,32.,Rogers Hornsby+ (23),307,R
32,33.,Bill McClellan (8),302,L
33,34.,George Cutshaw (12),299,R
34,35.,Bill Wambsganss (13),292,R
35,35.,Jimmy Williams (11),292,R
36,37.,Otto Knabe (11),287,R
37,38.,Sam Wise (12),282,R
38,39.,Frankie Frisch+ (19),280,R
39,40.,Bill Greenwood (6),273,L
40,41.,Hobe Ferris (9),270,R
41,42.,Bob Ferguson (14),267,R
42,43.,Sam Crane (7),264,R
43,44.,Bucky Harris+ (12),263,R
44,44.,Tony Lazzeri+ (14),263,R
45,44.,John Ward+ (17),263,R
46,47.,Joe Gordon+ (11),260,R
47,48.,George Grantham (13),250,R
48,49.,Danny Richardson (11),245,R
49,50.,Joe Morgan+ (22),244,R
50,51.,Billy Gilbert (8),237,R
51,52.,Sam Barkley (6),235,R
52,53.,Willie Randolph (18),234,R
53,54.,Charley Bassett (9),232,R
54,55.,Hughie Critz (12),231,R
55,56.,Ralph Young (9),228,R
56,57.,Dick Padden (9),224,R
57,58.,Julian Javier (13),219,R
58,59.,Ski Melillo (12),215,R
59,60.,Bobby Doerr+ (14),214,R
60,61.,Nellie Fox+ (19),209,R
61,62.,Jack Crooks (8),204,R
62,62.,Bill Mazeroski+ (17),204,R
63,64.,Buddy Myer (17),200,R
64,65.,Danny Murphy (16),199,R
65,66.,Dasher Troy (5),195,R
66,67.,Jeff Kent (17),194,R
67,67.,Marty McManus (15),194,R
68,69.,Tony Cuccinello (15),190,R
69,69.,Jerry Priddy (11),190,R
70,71.,John Farrell (5),189,R
71,71.,Lou Whitaker (19),189,R
72,73.,John O'Brien (6),188,R
73,74.,Steve Sax (14),187,R
74,75.,Bill Craver (7),186,R
75,75.,Tommy Dowd (10),186,R
76,77.,Jimmy Dykes (22),183,R
77,78.,Tito Fuentes (13),182,R
78,79.,Roberto Alomar+ (17),181,R
79,79.,Ray Durham (14),181,R
80,81.,Frank LaPorte (11),180,R
81,81.,Heinie Reitz (7),180,R
82,83.,Glenn Beckert (11),179,R
83,83.,Frank White (18),179,R
84,85.,Charlie Sweasy (7),178,R
85,85.,Tony Taylor (19),178,R
86,87.,Johnny Temple (13),172,R
87,88.,Red Schoendienst+ (19),170,R
88,89.,Bill Sweeney (8),169,R
89,90.,Ian Kinsler (14),168,R
90,90.,Dots Miller (12),168,R
91,92.,Hub Collins (7),164,R
92,92.,Mike McGeary (11),164,R
93,92.,Connie Ryan (12),164,R
94,92.,Juan Samuel (16),164,R
95,96.,Max Bishop (12),163,R
96,97.,Davey Lopes (16),162,R
97,97.,Eddie Stanky (11),162,R
98,99.,Dick Egan (9),160,R
99,100.,Manny Trillo (17),157,R
100,101.,Craig Biggio+ (20),156,R
101,101.,Jim Delahanty (13),156,R
102,101.,Bobby Grich (17),156,R
103,101.,Ron Hunt (12),156,R
104,105.,Rod Carew+ (19),154,R
105,106.,Delino DeShields (13),153,R
106,107.,Gene DeMontreville (11),152,R
107,107.,Ray Morgan (8),152,R
108,109.,Felix Millan (12),151,R
109,109.,Eric Young Sr. (15),151,R
110,111.,Lonny Frey (14),149,R
111,112.,Germany Schaefer (15),147,R
112,112.,Chase Utley (16),147,R
113,114.,Ed Somerville (2),146,R
114,115.,Fresco Thompson (9),145,R
115,116.,Don Blasingame (12),144,R
116,116.,Ray Mack (9),144,R
117,118.,Bobby Richardson (12),143,R
118,118.,Ted Sizemore (12),143,R
119,120.,Harold Reynolds (12),141,R
120,120.,Rickie Weeks (14),141,R
121,122.,Joe Battin (10),139,R
122,123.,Tom O'Brien (6),138,R
123,123.,Bill Regan (6),138,R
124,125.,Frank Bolling (12),136,R
125,125.,Frankie Gustine (12),136,R
126,127.,Aaron Ward (12),134,R
127,128.,George Strief (5),131,R
128,129.,Bobby Avila (11),130,R
129,129.,Carlos Baerga (14),130,R
130,129.,Pete Coscarart (9),130,R
131,132.,Phil Garner (16),129,R
132,132.,Rennie Stennett (11),129,R
133,134.,Sandy Alomar (15),128,R
134,134.,Alex Kampouris (9),128,R
135,134.,Bert Niehoff (6),128,R
136,137.,Glenn Hubbard (12),127,R
137,137.,Don Kolloway (12),127,R
138,137.,Dan Uggla (10),127,R
139,140.,Jackie Hayes (14),126,R
140,141.,"Robinson Cano (16, 37)",124,R
141,141.,Luis Castillo (15),124,R
142,141.,Bill Cissell (9),124,R
143,141.,Odell Hale (10),124,R
144,141.,Cass Michaels (12),124,R
145,146.,Whitey Alpermann (4),123,R
146,146.,Jimmy Bloodworth (11),123,R
147,146.,Joey Cora (11),123,R
148,146.,Davey Johnson (13),123,R
149,146.,Johnny Rawlings (12),123,R
150,146.,Dave Shean (9),123,R
151,146.,Emil Verban (7),123,R
152,153.,Luis Alicea (13),121,R
153,154.,Dan Shannon (3),120,
154,155.,Chuck Knoblauch (12),119,R
155,155.,Bobby Knoop (9),119,R
156,157.,Johnny Ray (10),118,R
157,157.,Burgess Whitehead (9),118,R
158,159.,Bret Boone (14),117,R
159,159.,Dave Cash (12),117,R
160,161.,Buck Herzog (13),116,R
161,161.,Ron Oester (13),116,R
162,163.,Jim Gantner (17),115,R
163,163.,Cookie Rojas (16),115,R
164,165.,Tony Bernazard (10),114,R
165,166.,Tom Carey (9),113,R
166,166.,Don Gutteridge (12),113,R
167,166.,Candy Nelson (13),113,R
168,169.,Ed Abbaticchio (9),112,R
169,169.,Mark McLemore (19),112,R
170,169.,Heinie Smith (6),112,R
171,172.,Jim Canavan (5),111,R
172,172.,Pep Young (10),111,R
173,174.,Jerry Remy (10),110,R
174,174.,Robby Thompson (11),110,R
175,174.,Steve Yerkes (7),110,R
176,177.,Ronnie Belliard (13),109,R
177,177.,Ryne Sandberg+ (16),109,R
178,179.,Bill Doran (12),108,R
179,179.,Adam Kennedy (14),108,R
180,181.,Mike Andrews (8),107,R
181,181.,Jim Gilliam (14),107,R
182,181.,Brandon Phillips (17),107,R
183,184.,Alfonso Soriano (16),106,R
184,185.,Chick Fewster (11),105,R
185,185.,John Hummel (12),105,R
186,187.,Horace Clarke (10),104,R
187,187.,Dick McAuliffe (16),104,R
188,187.,Tim Shinnick (2),104,R
189,190.,Julio Cruz (10),103,R
190,190.,Freddie Maguire (6),103,R
191,192.,Bob Addy (6),101,L
192,192.,Denny Doyle (8),101,R
193,192.,Tommy Helms (14),101,R
194,195.,Jim Viox (5),100,R
195,196.,Wes Fisler (6),99,R
196,196.,Frank Isbell (10),99,R
197,198.,Damaso Garcia (11),98,R
198,198.,Lee Magee (9),98,R
199,198.,Gary Sutherland (13),98,R
200,198.,Heinie Zimmerman (13),98,R
201,202.,Tom Evers (2),97,L
202,203.,Davy Force (15),96,R
203,203.,Dick Green (12),96,R
204,203.,Barry McCormick (10),96,R
205,203.,Rollie Zeider (9),96,R
206,207.,Tom Forster (4),95,R
207,207.,"Rougned Odor (7, 26)",95,R
208,207.,Rabbit Warstler (11),95,R
209,210.,Don Johnson (6),94,R
210,210.,Tim Manning (4),94,R
211,210.,Bump Wills (6),94,R
212,213.,Jim Connor (4),93,R
213,213.,Billy Goodman (16),93,R
214,213.,Tony Piet (8),93,R
215,213.,Jimmy Wood (3),93,R
216,217.,Joe Gedeon (7),92,R
217,217.,Johnny Hodapp (9),92,R
218,219.,Lou Chiozza (6),91,R
219,219.,Damion Easley (17),91,R
220,219.,Billy Gardner (10),91,R
221,219.,Amby McConnell (4),91,R
222,223.,Omar Infante (15),90,R
223,223.,Lip Pike (10),90,L
224,223.,Derrel Thomas (15),90,R
225,226.,Hod Ford (15),88,R
226,226.,Orlando Hudson (11),88,R
227,226.,Jerry Lumpe (12),88,R
228,229.,Bernie Allen (12),86,R
229,229.,Ed Andrews (8),86,R
230,229.,Don Heffner (11),86,R
231,229.,Eddie Moore (10),86,R
232,229.,Danny Murtaugh (9),86,R
233,229.,Sammy Strang (10),86,R
234,229.,Fernando Vina (12),86,R
235,236.,Sparky Adams (13),85,R
236,236.,Ed Delahanty+ (16),85,R
237,236.,Bernie Friberg (14),85,R
238,236.,Pedro Garcia (5),85,R
239,236.,Jorge Orta (16),85,R
240,236.,Morrie Rath (6),85,R
241,242.,Gene Baker (8),84,R
242,242.,Granny Hamner (17),84,R
243,242.,Chuck Hiller (8),84,R
244,242.,Paul Hines (20),84,R
245,242.,Tom McLaughlin (5),84,R
246,242.,John Pickett (3),84,R
247,242.,Snuffy Stirnweiss (10),84,R
248,242.,Wayne Terwilliger (9),84,R
249,250.,Cotton Tierney (6),83,R
250,250.,Todd Walker (12),83,R
251,252.,Charlie Bastian (8),82,R
252,252.,Stu Martin (8),82,R
253,252.,John Morrill (15),82,R
254,252.,Dick Phelan (2),82,
255,256.,Tim Flood (3),81,R
256,256.,Heinie Groh (16),81,R
257,256.,Jerry Kindall (9),81,R
258,256.,Brian Roberts (14),81,R
259,260.,Johnny Berardino (11),80,R
260,260.,Howie Kendrick (15),80,R
261,260.,Duke Kenworthy (4),80,R
262,260.,Rabbit Maranville+ (23),80,R
263,260.,Gracie Pierce (3),80,R
264,265.,Mike Tyson (10),79,R
265,266.,"Daniel Murphy (12, 35)",78,R
266,266.,General Stafford (8),78,R
267,266.,Lou Stringer (6),78,R
268,266.,Mickey Witek (7),78,R
269,270.,Thorny Hawkes (2),77,R
270,270.,Tom Herr (13),77,R
271,270.,Frank Truesdale (4),77,R
272,273.,"Jose Altuve (10, 30)",76,R
273,273.,Dick Higham (8),76,R
274,273.,Kelly Johnson (11),76,R
275,273.,Duane Kuiper (12),76,R
276,277.,John Hatfield (6),75,
277,277.,Pete Rose (24),75,R
278,277.,Pete Suder (13),75,R
279,280.,Billy Martin (11),74,R
280,280.,Levi Meyerle (8),74,R
281,280.,Eddie Miksis (14),74,R
282,280.,Danny O'Connell (10),74,R
283,280.,Bama Rowell (6),74,R
284,285.,Sam Bohne (7),73,R
285,285.,Red Downs (3),73,R
286,285.,Earle Gardner (5),73,R
287,285.,Jimmy Johnston (13),73,R
288,289.,Frank Bonner (6),72,R
289,289.,Mariano Duncan (12),72,R
290,289.,Lew Fonseca (12),72,R
291,289.,Mark Grudzielanek (15),72,R
292,289.,"Jason Kipnis (10, 33)",72,R
293,289.,Ivy Olson (14),72,R
294,289.,John Peters (11),72,R
295,289.,Lenny Randle (12),72,R
296,289.,Jose Vidro (12),72,R
297,289.,Rob Wilfong (11),72,R
298,289.,Jake Wood (7),72,R
299,300.,Marlon Anderson (12),71,R
300,300.,Roger Connor+ (18),71,L
301,300.,Chick Fulmer (11),71,R
302,300.,Hal Janvrin (10),71,R
303,304.,Mark Lemke (11),70,R
304,304.,Benny McCoy (4),70,R
305,304.,Bobby Young (8),70,R
306,307.,Wally Backman (14),69,R
307,307.,Erve Beck (3),69,R
308,307.,Julio Franco (23),69,R
309,307.,Andy Leonard (9),69,R
310,307.,Harry Steinfeldt (14),69,R
311,312.,Jimmy Brown (8),68,R
312,312.,Marcus Giles (7),68,R
313,312.,Charlie Neal (8),68,R
314,312.,Jackie Robinson+ (10),68,R
315,312.,"Jonathan Schoop (8, 28)",68,R
316,312.,Tim Teufel (11),68,R
317,318.,Jerry Coleman (9),67,R
318,318.,Bill Keister (7),67,R
319,318.,Cookie Lavagetto (10),67,R
320,318.,Tony Phillips (18),67,R
321,318.,Pete Runnels (14),67,R
322,318.,"Kolten Wong (8, 29)",67,R
323,324.,Pug Bennett (2),66,R
324,324.,Baldy Louden (6),66,R
325,326.,Jack Brohamer (9),65,R
326,326.,Bill Geiss (2),65,
327,326.,Pete Kilduff (5),65,R
328,326.,Eddie Mayo (9),65,R
329,326.,Harry Niles (5),65,R
330,326.,Jody Reed (11),65,R
331,332.,Charlie Hickman (12),64,R
332,332.,Aaron Hill (13),64,R
333,332.,Jim Lefebvre (8),64,R
334,332.,Mickey Morandini (11),64,R
335,336.,Marty Barrett (10),63,R
336,336.,Jose Offerman (15),63,R
337,338.,Bobby Adams (14),62,R
338,338.,Marty Kavanagh (5),62,R
339,338.,Jose Lind (9),62,R
340,338.,Les Mallon (4),62,R
341,338.,Charlie Pick (6),62,R
342,338.,Fred Raymer (3),62,R
343,344.,Jerry Browne (10),61,R
344,344.,Jack Doyle (17),61,R
345,344.,Doug Flynn (11),61,R
346,344.,Pat Kelly (9),61,R
347,344.,Jeff Treadway (9),61,R
348,349.,Chappy Charles (3),60,R
349,349.,"Brian Dozier (9, 33)",60,R
350,349.,Mark Ellis (12),60,R
351,349.,Eddie Foster (13),60,R
352,349.,John Kerr (8),60,R
353,349.,Parson Nicholson (3),60,
354,349.,Jay Partridge (2),60,R
355,349.,Elias Peak (1),60,
356,357.,Joe Ardner (2),59,R
357,357.,Eddie Burke (8),59,R
358,357.,Pete Childs (2),59,R
359,357.,Jack Farrell (2),59,R
360,357.,"Cesar Hernandez (8, 30)",59,R
361,357.,Mike Lansing (9),59,R
362,357.,Freddy Spurgeon (4),59,R
363,357.,Randy Velarde (16),59,R
364,357.,Tony Womack (13),59,R
365,366.,Jerry Adair (13),58,R
366,366.,Chuck Cottier (9),58,R
367,366.,"Dee Strange-Gordon (10, 32)",58,R
368,366.,Nelson Liriano (11),58,R
369,366.,Jerry Royster (16),58,R
370,366.,George Shoch (11),58,R
371,372.,Rob Andrews (5),57,R
372,372.,Rich Dauer (10),57,R
373,372.,Doug Griffin (8),57,R
374,372.,Jerry Hairston (16),57,R
375,372.,George Hausmann (3),57,R
376,372.,Ted Lepcio (10),57,R
377,372.,Carl Lind (4),57,R
378,372.,Jose Lopez (9),57,R
379,372.,George Magoon (5),57,R
380,372.,"Dustin Pedroia (14, 36)",57,R
381,372.,Bill Smiley (2),57,
382,372.,Zeb Terry (7),57,R
383,384.,Jack Barry (11),56,R
384,384.,Andy High (13),56,R
385,384.,Pete Mackanin (9),56,R
386,384.,Billy Moran (7),56,R
387,384.,George Pinkney (10),56,R
388,384.,"Neil Walker (12, 34)",56,R
389,390.,Joey Amalfitano (10),55,R
390,390.,Neal Ball (7),55,R
391,390.,Tommy Beals (6),55,
392,390.,Quilvio Veras (7),55,R
393,390.,Alan Wiggins (7),55,R
394,395.,Tom Burns (13),54,R
395,395.,Miguel Cairo (17),54,R
396,395.,Scooter Gennett (7),54,R
397,395.,Jack Glasscock (17),54,R
398,395.,Sam Mertes (10),54,R
399,395.,George Wright+ (12),54,R
