,Rank,"Player (yrs, age)",Double Plays Turned as 3B,Throws
0,1.,Brooks Robinson+ (23),618,R
1,2.,Adrian Beltre (21),523,R
2,3.,Graig Nettles (22),470,R
3,4.,Gary Gaetti (20),460,R
4,5.,Mike Schmidt+ (18),450,R
5,6.,Buddy Bell (18),430,R
6,7.,Wade Boggs+ (18),423,R
7,8.,Aurelio Rodriguez (17),408,R
8,9.,Ron Santo+ (15),395,R
9,10.,Eddie Mathews+ (17),369,R
10,11.,"Evan Longoria (13, 34)",364,R
11,12.,Robin Ventura (16),359,R
12,13.,Ken Boyer (15),355,R
13,13.,Scott Rolen (17),355,R
14,15.,Sal Bando (16),345,R
15,15.,Eddie Yost (18),345,R
16,17.,Vinny Castilla (16),331,R
17,17.,Doug DeCinces (15),331,R
18,19.,Tim Wallach (17),319,R
19,20.,Clete Boyer (16),315,R
20,20.,Ron Cey (17),315,R
21,20.,Matt Williams (17),315,R
22,23.,Terry Pendleton (15),312,R
23,24.,Harlond Clift (12),309,R
24,25.,"Kyle Seager (10, 32)",308,R
25,26.,George Brett+ (21),307,R
26,27.,George Kell+ (15),306,R
27,27.,Ken Keltner (13),306,R
28,29.,Pie Traynor+ (17),303,R
29,30.,Mike Lowell (13),302,R
30,31.,Willie Kamm (13),299,R
31,32.,Frank Malzone (12),289,R
32,33.,Pinky Higgins (14),288,R
33,34.,Aramis Ramirez (18),287,R
34,35.,"Nolan Arenado (8, 29)",284,R
35,36.,Ken Caminiti (15),280,R
36,37.,Heinie Groh (16),277,R
37,38.,Jeff Cirillo (14),276,R
38,38.,Chipper Jones+ (19),276,R
39,40.,Willie Jones (15),273,R
40,41.,Darrell Evans (21),270,R
41,42.,Ossie Bluege (18),266,R
42,42.,Billy Nash (15),266,R
43,44.,Eric Chavez (17),262,R
44,45.,Larry Gardner (17),261,R
45,46.,Home Run Baker+ (13),260,R
46,47.,Ken McMullen (16),258,R
47,48.,Carney Lansford (15),256,R
48,48.,Doug Rader (11),256,R
49,50.,Stan Hack (16),255,R
50,51.,Arlie Latham (17),253,R
51,52.,Bob Elliott (15),252,R
52,53.,Troy Glaus (13),243,R
53,54.,Todd Zeile (16),238,R
54,55.,David Wright (14),237,R
55,56.,Charlie Hayes (14),231,R
56,57.,Travis Fryman (13),230,R
57,58.,"Ryan Zimmerman (15, 35)",229,R
58,59.,Jimmy Austin (18),228,R
59,60.,Don Hoak (11),227,R
60,61.,Jimmy Collins+ (14),225,R
61,62.,Richie Hebner (18),224,R
62,62.,Brandon Inge (13),224,R
63,62.,Don Money (16),224,R
64,65.,Eddie Foster (13),220,R
65,66.,Ken Reitz (11),219,R
66,66.,Pinky Whitney (12),219,R
67,68.,Joe Randa (12),218,R
68,69.,Billy Shindle (13),215,R
69,70.,Billy Werber (11),214,R
70,71.,Lave Cross (21),212,R
71,72.,Alex Rodriguez (22),205,R
72,73.,Bob Bailey (17),203,R
73,74.,"Josh Donaldson (10, 34)",200,R
74,74.,Bill Madlock (15),200,R
75,76.,Milt Stock (14),199,R
76,77.,"Todd Frazier (10, 34)",198,R
77,78.,Andy Carey (11),194,R
78,78.,"Manny Machado (9, 27)",194,R
79,78.,Mike Pagliarulo (11),194,R
80,81.,Hank Majeski (13),192,R
81,82.,Bill Mueller (11),190,R
82,83.,Kevin Seitzer (12),189,R
83,84.,Joe Crede (10),188,R
84,84.,Jimmy Dykes (22),188,R
85,86.,Paul Molitor+ (21),185,R
86,87.,Steve Buechele (11),184,R
87,87.,Bill Melton (10),184,R
88,87.,Red Rolfe (10),184,R
89,90.,David Freese (11),183,R
90,91.,Bill Bradley (14),182,R
91,92.,"Mike Moustakas (10, 31)",180,R
92,92.,Ken Oberkfell (16),180,R
93,94.,Jim Tabor (9),178,R
94,95.,Pedro Feliz (11),177,R
95,95.,Toby Harrah (17),177,R
96,97.,Tony Batista (11),174,R
97,97.,Harry Steinfeldt (14),174,R
98,99.,Chase Headley (12),173,R
99,99.,Don Wert (9),173,R
100,101.,Mike Mowrey (13),172,R
101,102.,Tom Brookens (12),171,R
102,103.,Scott Brosius (11),170,R
103,104.,Aaron Boone (12),169,R
104,104.,Grady Hatton (12),169,R
105,106.,Brook Jacoby (11),168,R
106,106.,Marv Owen (9),168,R
107,108.,Ed Charles (8),165,R
108,108.,Denny Lyons (13),165,R
109,110.,Casey Blake (13),163,R
110,110.,Billy Johnson (9),163,R
111,112.,Bobby Bonilla (16),162,R
112,113.,Les Bell (9),161,R
113,114.,Roy Howell (11),160,R
114,114.,Larry Parrish (15),160,R
115,116.,Al Rosen (10),159,R
116,117.,Joe Dugan (14),158,R
117,118.,Randy Jackson (10),157,R
118,119.,Dean Palmer (14),156,R
119,119.,Martin Prado (14),156,R
120,121.,Jim Davenport (13),155,R
121,122.,Billy Cox (11),154,R
122,123.,Jim Presley (8),152,R
123,123.,"Anthony Rendon (8, 30)",152,R
124,123.,Paul Schaal (11),152,R
125,123.,Red Smith (9),152,R
126,127.,Rico Petrocelli (13),150,R
127,128.,Wayne Gross (11),149,R
128,128.,Joe Stripp (11),149,R
129,130.,Wayne Garrett (10),148,R
130,131.,David Bell (12),147,R
131,131.,Jerry Denny (13),147,R
132,133.,Mark Reynolds (13),146,R
133,134.,Sammy Hale (10),145,R
134,134.,Ossie Vitt (10),145,R
135,136.,Max Alvis (9),144,R
136,136.,Ray Knight (13),144,R
137,136.,Ed Sprague (11),144,R
138,139.,George Pinkney (10),143,R
139,140.,Hick Carpenter (12),142,L
140,140.,Hank Thompson (9),142,R
141,142.,Buddy Lewis (11),141,R
142,142.,Tony Perez+ (23),141,R
143,142.,"Pablo Sandoval (13, 33)",141,R
144,145.,Howard Johnson (14),138,R
145,145.,Melvin Mora (13),138,R
146,145.,Placido Polanco (16),138,R
147,148.,Whitey Kurowski (9),137,R
148,149.,Phil Garner (16),135,R
149,149.,Freddie Lindstrom+ (13),135,R
150,151.,"Miguel Cabrera (18, 37)",134,R
151,151.,Charlie Irwin (10),134,R
152,153.,Edgardo Alfonzo (12),133,R
153,153.,Bobby Byrne (11),133,R
154,153.,Bubba Phillips (10),133,R
155,153.,Rich Rollins (10),133,R
156,157.,Art Devlin (10),132,R
157,158.,Joe Mulvey (12),131,R
158,159.,Hank Blalock (9),130,R
159,159.,Corey Koskie (9),130,R
160,161.,Charlie Deal (10),129,R
161,161.,Joe Foy (6),129,R
162,161.,Gene Freese (12),129,R
163,164.,Garrett Atkins (8),128,R
164,165.,Bill Kuehne (10),127,R
165,165.,Gil McDougald (10),127,R
166,165.,Marty McManus (15),127,R
167,168.,Bobby Adams (14),125,R
