,Rank,"Player (yrs, age)",Def. Games as SS,Throws
0,1.,Omar Vizquel (24),2709,R
1,2.,Derek Jeter+ (20),2674,R
2,3.,Luis Aparicio+ (18),2581,R
3,4.,Ozzie Smith+ (19),2511,R
4,5.,Cal Ripken Jr.+ (21),2302,R
5,6.,Jimmy Rollins (17),2227,R
6,7.,Larry Bowa (16),2222,R
7,8.,Luke Appling+ (20),2218,R
8,9.,Dave Concepcion (19),2178,R
9,10.,Rabbit Maranville+ (23),2153,R
10,11.,Alan Trammell+ (20),2139,R
11,12.,Bill Dahlen (21),2133,R
12,13.,Edgar Renteria (16),2114,R
13,14.,Bert Campaneris (19),2097,R
14,15.,Barry Larkin+ (19),2085,R
15,16.,Tommy Corcoran (18),2078,R
16,17.,Royce Clayton (17),2053,R
17,18.,Roy McMillan (16),2028,R
18,19.,Pee Wee Reese+ (16),2014,R
19,20.,Roger Peckinpaugh (17),1982,R
20,21.,Garry Templeton (16),1964,R
21,22.,Don Kessinger (16),1955,R
22,23.,Miguel Tejada (16),1946,R
23,24.,Mark Belanger (18),1942,R
24,25.,Chris Speier (19),1900,R
25,26.,Ozzie Guillen (16),1896,R
26,27.,Honus Wagner+ (21),1887,R
27,28.,Dick Groat (14),1877,R
28,29.,Dave Bancroft+ (16),1873,R
29,30.,Donie Bush (16),1866,R
30,31.,Alfredo Griffin (18),1861,R
31,32.,Orlando Cabrera (15),1843,R
32,32.,Leo Cardenas (16),1843,R
33,32.,Joe Cronin+ (20),1843,R
34,35.,Bobby Wallace+ (25),1826,R
35,36.,Ed Brinkman (15),1795,R
36,36.,Herman Long (16),1795,R
37,38.,Greg Gagne (15),1765,R
38,39.,Bill Russell (18),1746,R
39,40.,Joe Tinker+ (15),1745,R
40,41.,Dick Bartell (18),1679,R
41,42.,Monte Cross (15),1678,R
42,43.,Germany Smith (15),1667,R
43,44.,Phil Rizzuto+ (13),1647,R
44,45.,Everett Scott (13),1643,R
45,46.,Jack Glasscock (17),1629,R
46,47.,"Elvis Andrus (12, 31)",1628,R
47,48.,George McBride (16),1627,R
48,48.,Jose Reyes (16),1627,R
49,50.,Mickey Doolin (13),1625,R
50,51.,Freddie Patek (14),1588,R
51,52.,Mike Bordick (14),1577,R
52,53.,Tony Fernandez (17),1573,R
53,54.,Ed McKean (13),1565,R
54,55.,Maury Wills (14),1555,R
55,56.,Rafael Furcal (14),1554,R
56,57.,Alex Gonzalez (16),1548,R
57,58.,Marty Marion (13),1547,R
58,59.,J.J. Hardy (13),1544,R
59,60.,Billy Jurges (17),1540,R
60,61.,Lou Boudreau+ (15),1539,R
61,62.,Tim Foli (16),1524,R
62,63.,Frankie Crosetti (17),1516,R
63,64.,Jay Bell (18),1515,R
64,65.,Leo Durocher+ (17),1509,R
65,66.,Arky Vaughan+ (14),1485,R
66,67.,Robin Yount+ (20),1479,R
67,68.,Walt Weiss (14),1462,R
68,69.,Jhonny Peralta (15),1459,R
69,70.,Art Fletcher (13),1448,R
70,71.,Wally Gerber (15),1447,R
71,72.,Al Dark (14),1404,R
72,73.,Bud Harrelson (16),1400,R
73,74.,Jim Fregosi (18),1396,R
74,75.,Eddie Miller (14),1395,R
75,76.,Alcides Escobar (11),1386,R
76,76.,Rafael Ramirez (13),1386,R
77,78.,Bucky Dent (12),1382,R
78,79.,Johnny Logan (13),1380,R
79,80.,George Davis+ (20),1374,R
80,81.,Spike Owen (13),1373,R
81,82.,Shawon Dunston (18),1363,R
82,83.,Dick Schofield (14),1348,R
83,84.,"Erick Aybar (12, 36)",1337,R
84,85.,Vern Stephens (15),1330,R
85,86.,Travis Jackson+ (15),1326,R
86,87.,Ivan de Jesus (15),1303,R
87,88.,Eddie Joost (17),1299,R
88,89.,Cristian Guzman (11),1295,R
89,90.,"Brandon Crawford (10, 33)",1274,R
90,90.,Jack Wilson (12),1274,R
91,92.,Alex Rodriguez (22),1272,R
92,93.,Troy Tulowitzki (13),1268,R
93,94.,Zoilo Versalles (12),1265,R
94,95.,Alex Gonzalez (13),1262,R
95,96.,Chico Carrasquel (10),1241,R
96,97.,Craig Reynolds (15),1240,R
97,98.,Bones Ely (14),1238,R
98,99.,Billy Rogell (14),1235,R
99,100.,Alexei Ramírez (9),1228,R
100,101.,Joe Sewell+ (14),1216,R
101,101.,Jose Valentin (16),1216,R
102,103.,Dal Maxvill (14),1207,R
103,104.,Rick Burleson (13),1192,R
104,105.,Roger Metzger (11),1173,R
105,106.,Cesar Izturis (13),1149,R
106,107.,Ron Hansen (15),1143,R
107,107.,Dickie Thon (15),1143,R
108,109.,Lyn Lary (12),1138,R
109,110.,Freddy Parent (12),1129,R
110,111.,Doc Lavan (12),1126,R
111,112.,Ernie Banks+ (19),1125,R
112,113.,Deivi Cruz (9),1124,R
113,114.,Neifi Perez (12),1115,R
114,115.,Frank Taveras (11),1113,R
115,116.,Julio Lugo (12),1109,R
116,117.,Jeff Blauser (13),1100,R
117,118.,Rich Aurilia (15),1095,R
118,119.,Al Bridwell (11),1094,R
119,120.,"Asdrubal Cabrera (14, 34)",1078,R
120,121.,Hanley Ramirez (15),1077,R
121,122.,Gary Disarcina (12),1069,R
122,122.,Roy Smalley (13),1069,R
123,124.,Bobby Wine (12),1067,R
124,125.,Chris Gomez (16),1061,R
125,126.,"Andrelton Simmons (9, 30)",1057,R
126,127.,Nomar Garciaparra (14),1055,R
127,128.,Ivy Olson (14),1054,R
128,129.,Glenn Wright (11),1051,R
129,130.,Buddy Kerr (9),1038,R
130,131.,Joe DeMaestri (11),1029,R
131,132.,Yunel Escobar (11),1016,R
132,133.,Jose Uribe (10),1015,R
133,134.,Stephen Drew (12),1007,R
134,135.,Eddie Bressoud (12),1002,R
135,136.,Chick Galloway (10),993,R
136,137.,Johnnie LeMaster (12),992,R
137,138.,Rey Sanchez (15),984,R
138,139.,Gene Alley (11),977,R
139,140.,David Eckstein (10),974,R
140,141.,Rey Ordóñez (9),963,R
141,142.,Ray Chapman (9),957,R
142,143.,Yuniesky Betancourt (9),952,R
143,144.,Jose Vizcaino (18),948,R
144,145.,Arthur Irwin (13),947,R
145,146.,Kid Elberfeld (14),944,R
146,147.,Granny Hamner (17),934,R
147,148.,Tom Veryzer (12),927,R
148,149.,Shorty Fuller (9),925,R
149,150.,"Ian Desmond (11, 34)",917,R
150,150.,Juan Uribe (16),917,R
151,152.,"Jean Segura (9, 30)",909,R
152,153.,"Xander Bogaerts (8, 27)",908,R
153,154.,Skeeter Newsome (12),902,R
154,155.,Hughie Jennings+ (18),897,R
155,156.,Rafael Belliard (17),896,R
156,157.,Kevin Elster (13),895,R
157,158.,"Didi Gregorius (9, 30)",887,R
158,159.,Pat Meares (9),884,R
159,160.,Tony Kubek (9),882,R
160,161.,Ricky Gutierrez (12),878,R
161,162.,Jack Barry (11),877,R
162,163.,Jason Bartlett (10),865,R
163,164.,Carlos Guillen (14),856,R
164,165.,"Starlin Castro (11, 30)",850,R
165,166.,Tommy Thevenow (15),848,R
166,167.,Hod Ford (15),846,R
167,168.,Gene Michael (10),844,R
168,169.,Denis Menke (13),841,R
169,170.,Frank Duffy (10),839,R
170,170.,Scott Fletcher (15),839,R
171,172.,Kevin Stocker (8),838,R
172,173.,"Jordy Mercer (9, 33)",837,R
173,174.,Jose Hernandez (15),836,R
174,175.,Red Kress (14),835,R
175,176.,Adam Everett (11),827,R
176,177.,Woody English (12),826,R
177,177.,John Ward+ (17),826,R
178,179.,Heinie Wagner (12),822,R
179,179.,Buck Weaver (9),822,R
180,181.,Roy Smalley (11),820,R
181,182.,Clint Barmes (13),819,R
182,183.,Felix Fermin (10),815,R
