,Rank,"Player (yrs, age)",Double Plays Turned as SS,Throws
0,1.,Omar Vizquel (24),1734,R
1,2.,Ozzie Smith+ (19),1590,R
2,3.,Cal Ripken Jr.+ (21),1565,R
3,4.,Luis Aparicio+ (18),1553,R
4,5.,Luke Appling+ (20),1424,R
5,6.,Derek Jeter+ (20),1408,R
6,7.,Alan Trammell+ (20),1307,R
7,8.,Roy McMillan (16),1304,R
8,9.,Dave Concepcion (19),1290,R
9,10.,Miguel Tejada (16),1274,R
10,11.,Larry Bowa (16),1265,R
11,12.,Jimmy Rollins (17),1249,R
12,13.,Pee Wee Reese+ (16),1246,R
13,14.,Dick Groat (14),1237,R
14,15.,Royce Clayton (17),1224,R
15,16.,Edgar Renteria (16),1218,R
16,17.,Phil Rizzuto+ (13),1217,R
17,18.,Rabbit Maranville+ (23),1188,R
18,19.,Bert Campaneris (19),1186,R
19,20.,Lou Boudreau+ (15),1180,R
20,21.,Don Kessinger (16),1170,R
21,22.,Joe Cronin+ (20),1165,R
22,23.,Garry Templeton (16),1164,R
23,24.,Orlando Cabrera (15),1123,R
24,25.,Ozzie Guillen (16),1094,R
25,26.,Barry Larkin+ (19),1092,R
26,27.,Dick Bartell (18),1072,R
27,28.,"Elvis Andrus (12, 31)",1064,R
28,29.,Mike Bordick (14),1055,R
29,30.,Mark Belanger (18),1054,R
30,31.,Alfredo Griffin (18),1053,R
31,32.,Chris Speier (19),1043,R
32,33.,Leo Cardenas (16),1036,R
33,34.,Tim Foli (16),1028,R
34,35.,Alex Gonzalez (16),1025,R
35,36.,Dave Bancroft+ (16),1021,R
36,37.,Rafael Furcal (14),1020,R
37,38.,Ed Brinkman (15),1005,R
38,39.,Freddie Patek (14),1004,R
39,40.,Marty Marion (13),978,R
40,41.,Greg Gagne (15),967,R
41,42.,Roger Peckinpaugh (17),966,R
42,43.,J.J. Hardy (13),953,R
43,44.,Eddie Miller (14),946,R
44,45.,Frankie Crosetti (17),944,R
45,46.,Tony Fernandez (17),943,R
46,47.,Robin Yount+ (20),941,R
47,48.,Al Dark (14),933,R
48,49.,Billy Jurges (17),929,R
49,50.,Eddie Joost (17),928,R
50,51.,Jhonny Peralta (15),920,R
51,52.,Jack Wilson (12),913,R
52,53.,Jose Reyes (16),911,R
53,54.,Bill Russell (18),909,R
54,55.,Dick Schofield (14),900,R
55,56.,Leo Durocher+ (17),895,R
56,57.,Johnny Logan (13),894,R
57,58.,Bill Dahlen (21),881,R
58,59.,Jay Bell (18),877,R
59,60.,Troy Tulowitzki (13),871,R
60,61.,Maury Wills (14),859,R
61,62.,Walt Weiss (14),854,R
62,63.,Alex Rodriguez (22),853,R
63,63.,Vern Stephens (15),853,R
64,65.,Tommy Corcoran (18),851,R
65,66.,Arky Vaughan+ (14),850,R
66,67.,Rafael Ramirez (13),842,R
67,68.,Bucky Dent (12),839,R
68,69.,Jim Fregosi (18),836,R
69,70.,Jose Valentin (16),830,R
70,71.,Alex Gonzalez (13),829,R
71,72.,Rick Burleson (13),827,R
72,73.,Travis Jackson+ (15),826,R
73,74.,Alexei Ramírez (9),807,R
74,75.,Billy Rogell (14),805,R
75,76.,Neifi Perez (12),796,R
76,77.,Alcides Escobar (11),787,R
77,78.,Chico Carrasquel (10),770,R
78,79.,Honus Wagner+ (21),766,R
79,80.,Herman Long (16),765,R
80,81.,Wally Gerber (15),764,R
81,82.,Cristian Guzman (11),762,R
82,83.,"Erick Aybar (12, 36)",758,R
83,84.,Bud Harrelson (16),751,R
84,85.,Deivi Cruz (9),738,R
85,86.,"Brandon Crawford (10, 33)",737,R
86,87.,Zoilo Versalles (12),727,R
87,88.,Everett Scott (13),726,R
88,89.,Ernie Banks+ (19),724,R
89,90.,Spike Owen (13),723,R
90,91.,Ron Hansen (15),722,R
91,92.,"Andrelton Simmons (9, 30)",711,R
92,93.,Gene Alley (11),709,R
93,94.,Rich Aurilia (15),708,R
94,94.,Shawon Dunston (18),708,R
95,96.,Roy Smalley (13),702,R
96,97.,Ivan de Jesus (15),700,R
97,98.,Bobby Wine (12),698,R
98,99.,Glenn Wright (11),695,R
99,100.,Joe Sewell+ (14),673,R
100,101.,Gary Disarcina (12),671,R
101,101.,Roger Metzger (11),671,R
102,101.,Joe Tinker+ (15),671,R
103,104.,Craig Reynolds (15),658,R
104,105.,"Asdrubal Cabrera (14, 34)",651,R
105,105.,Rey Sanchez (15),651,R
106,107.,Cesar Izturis (13),650,R
107,108.,Dal Maxvill (14),649,R
108,109.,Bobby Wallace+ (25),640,R
109,110.,Mickey Doolin (13),637,R
110,111.,Lyn Lary (12),632,R
111,112.,Chris Gomez (16),623,R
112,113.,Hanley Ramirez (15),622,R
113,114.,Art Fletcher (13),620,R
114,114.,Jack Glasscock (17),620,R
115,116.,Joe DeMaestri (11),612,R
116,117.,George McBride (16),609,R
117,118.,Yunel Escobar (11),604,R
118,119.,Stephen Drew (12),601,R
119,119.,David Eckstein (10),601,R
120,121.,Donie Bush (16),599,R
121,122.,Juan Uribe (16),596,R
122,123.,Dickie Thon (15),594,R
123,124.,George Davis+ (20),590,R
124,125.,Julio Lugo (12),588,R
125,125.,Germany Smith (15),588,R
126,127.,Yuniesky Betancourt (9),585,R
127,128.,Nomar Garciaparra (14),581,R
128,129.,Granny Hamner (17),571,R
129,130.,Tony Kubek (9),569,R
130,131.,Pat Meares (9),568,R
131,132.,Doc Lavan (12),567,R
132,132.,Rey Ordóñez (9),567,R
133,134.,Hod Ford (15),565,R
134,134.,Jose Uribe (10),565,R
135,136.,Red Kress (14),558,R
136,137.,Frank Taveras (11),555,R
137,138.,Buddy Kerr (9),548,R
138,138.,Skeeter Newsome (12),548,R
139,140.,Monte Cross (15),534,R
140,141.,Michael Young (14),530,R
141,142.,Kevin Stocker (8),525,R
142,143.,"Ian Desmond (11, 34)",523,R
143,143.,"Jean Segura (9, 30)",523,R
144,143.,Tommy Thevenow (15),523,R
145,146.,Eddie Bressoud (12),515,R
146,146.,Carlos Guillen (14),515,R
147,148.,Adam Everett (11),512,R
148,148.,Cecil Travis (12),512,R
149,150.,Frank Duffy (10),497,R
150,150.,Ed McKean (13),497,R
151,152.,Heinie Sand (6),495,R
152,153.,Jose Hernandez (15),493,R
153,154.,Woody English (12),492,R
154,155.,Gene Michael (10),489,R
155,156.,Jeff Blauser (13),488,R
156,156.,Chick Galloway (10),488,R
157,156.,Jose Vizcaino (18),488,R
158,159.,Scott Fletcher (15),486,R
159,160.,Johnny Lipon (9),481,R
160,161.,Angel Berroa (9),476,R
161,162.,Billy Myers (7),475,R
162,163.,Bones Ely (14),474,R
163,163.,"Jordy Mercer (9, 33)",474,R
164,165.,Clint Barmes (13),470,R
165,165.,Jason Bartlett (10),470,R
166,167.,Brendan Ryan (10),465,R
167,167.,Roy Smalley (11),465,R
168,169.,Don Buddin (6),464,R
169,169.,"Starlin Castro (11, 30)",464,R
170,171.,Felix Fermin (10),463,R
171,171.,Tom Veryzer (12),463,R
172,173.,Johnnie LeMaster (12),461,R
173,174.,"Xander Bogaerts (8, 27)",459,R
174,175.,Toby Harrah (17),458,R
175,176.,George Strickland (10),456,R
176,177.,"Freddy Galvis (9, 30)",454,R
177,178.,"Adeiny Hechavarria (9, 31)",453,R
178,179.,"José Iglesias (9, 30)",450,R
179,180.,Julio Franco (23),439,R
180,181.,"Marcus Semien (8, 29)",435,R
181,182.,"Francisco Lindor (6, 26)",434,R
182,183.,Kevin Elster (13),433,R
183,183.,Rico Petrocelli (13),433,R
184,185.,Harvey Kuenn (15),431,R
185,186.,Ivy Olson (14),429,R
186,186.,Rabbit Warstler (11),429,R
187,188.,Ricky Gutierrez (12),426,R
188,189.,"Didi Gregorius (9, 30)",423,R
189,190.,Charlie Gelbert (9),420,R
190,191.,Denis Menke (13),419,R
191,192.,Mark Koenig (12),416,R
192,193.,Alvaro Espinoza (12),415,R
193,194.,Luis Rivera (11),413,R
194,194.,U L Washington (11),413,R
195,196.,Willy Miranda (9),412,R
196,197.,Hughie Jennings+ (18),411,R
197,198.,"Zack Cozart (9, 34)",404,R
198,199.,Bobby Crosby (8),399,R
199,199.,Eric McNair (14),399,R
200,201.,Khalil Greene (7),397,R
201,201.,John Valentin (11),397,R
202,203.,"Trevor Story (5, 27)",396,R
203,204.,"Nick Ahmed (7, 30)",395,R
204,204.,Bill Knickerbocker (10),395,R
205,204.,Eddie Lake (11),395,R
206,207.,Chico Fernandez (8),394,R
207,208.,Al Bridwell (11),391,R
208,209.,Ruben Amaro (11),387,R
209,209.,Johnny Pesky (10),387,R
210,211.,Dick Schofield (19),385,R
211,212.,Jackie Tavener (6),384,R
212,213.,Billy Urbanski (7),382,R
213,214.,Enzo Hernandez (8),381,R
214,215.,Marco Scutaro (13),378,R
215,216.,Larry Brown (12),374,R
216,216.,Andre Rodgers (11),374,R
217,218.,Freddy Parent (12),372,R
218,219.,Charlie Hollocher (7),369,R
219,220.,Cliff Pennington (11),365,R
220,221.,Hal Lanier (10),364,R
221,221.,Rafael Santana (7),364,R
222,223.,Ray Chapman (9),358,R
223,224.,Buck Weaver (9),356,R
224,225.,Mark Grudzielanek (15),351,R
225,226.,Daryl Spencer (10),349,R
226,227.,Alex Cora (14),347,R
227,227.,Kurt Stillwell (9),347,R
228,229.,Glenn Hoffman (9),346,R
229,230.,Sam Dente (9),345,R
230,231.,Kid Elberfeld (14),343,R
231,232.,Jack Barry (11),340,R
232,233.,John McDonald (16),339,R
233,234.,Alex Grammas (10),338,R
234,235.,Woodie Held (14),337,R
235,236.,Shorty Fuller (9),334,R
236,237.,Andres Thomas (6),331,R
237,238.,Andujar Cedeno (7),328,R
238,238.,Lennie Merullo (7),328,R
239,240.,Ronny Cedeno (10),327,R
240,240.,Jose Offerman (15),327,R
241,242.,Billy Hunter (6),325,R
242,243.,John Sullivan (6),324,R
243,244.,Bill Almon (15),320,R
244,245.,Rafael Belliard (17),319,R
245,246.,Virgil Stallcup (7),315,R
246,247.,Felipe Lopez (11),313,R
247,247.,Dick McAuliffe (16),313,R
248,249.,Ray Boone (13),311,R
249,250.,"Tim Anderson (5, 27)",305,R
250,250.,Topper Rigney (6),305,R
251,252.,Eddie Kasko (10),303,R
252,253.,Pete Runnels (14),297,R
253,254.,"Orlando Arcia (5, 25)",296,R
254,254.,Dale Berra (11),296,R
255,254.,"Carlos Correa (6, 25)",296,R
256,257.,John Ward+ (17),294,R
257,258.,Darrel Chaney (11),293,R
258,258.,Arthur Irwin (13),293,R
259,258.,Jose Pagan (15),293,R
260,261.,Ike Caveney (4),292,R
261,262.,Mario Guerrero (8),288,R
262,262.,Terry Turner (17),288,R
263,264.,Bill Spiers (13),285,R
264,265.,Solly Hemus (11),284,R
265,265.,Dick Howser (8),284,R
266,265.,"Dansby Swanson (5, 26)",284,R
267,268.,Ernie Johnson (10),283,R
268,268.,Ryan Theriot (8),283,R
269,270.,Sonny Jackson (12),282,R
270,271.,Steve Jeltz (8),279,R
271,272.,Bob Allen (7),278,R
272,272.,Jim Mason (9),278,R
273,272.,Ruben Tejada (9),278,R
274,275.,Juan Castro (17),277,R
275,276.,Benji Gil (8),276,R
276,277.,Mario Mendoza (9),275,R
277,278.,Jimmy Cooney (7),274,R
278,279.,Stan Rojek (8),273,R
279,280.,Ramon Santiago (13),272,R
280,281.,Hal Rhyne (7),269,R
281,282.,Craig Counsell (16),266,R
282,283.,Larry Kopf (10),264,R
283,283.,Marty Perez (10),264,R
284,285.,"Paul DeJong (4, 26)",263,R
285,286.,Rey Quinones (4),260,R
286,286.,Heinie Wagner (12),260,R
287,288.,Frank Fennelly (7),259,R
288,289.,"Jed Lowrie (12, 36)",257,R
289,289.,Tony Womack (13),257,R
290,291.,Dale Sveum (12),256,R
291,292.,Desi Relaford (11),255,R
292,293.,Jim Levey (4),254,R
293,293.,"Miguel Rojas (7, 31)",254,R
294,295.,Bill Cissell (9),252,R
295,296.,Woody Woodward (9),251,R
296,297.,Fred Stanley (14),247,R
297,298.,Mike Aviles (10),246,R
298,299.,Joe Boley (6),245,R
299,299.,Everth Cabrera (7),245,R
300,299.,Mike Gallego (13),245,R
301,302.,Rocky Bridges (11),244,R
302,302.,Manuel Lee (11),244,R
303,304.,Tim Bogar (9),243,R
304,305.,Mariano Duncan (12),242,R
305,305.,"Corey Seager (6, 26)",242,R
306,307.,Luis Gomez (8),240,R
307,308.,Jackie Hernandez (9),239,R
308,308.,Bob Lillis (10),239,R
309,310.,Mark Christman (9),235,R
310,310.,Joe Koppe (8),235,R
311,312.,Bobby Bragan (7),234,R
312,312.,David Howard (9),234,R
313,312.,Danny Thompson (7),234,R
314,315.,"Jonathan Villar (8, 29)",233,R
315,316.,Dave Anderson (10),231,R
316,316.,Kiko Garcia (10),231,R
317,318.,Travis Fryman (13),229,R
318,319.,"Javier Baez (7, 27)",228,R
319,319.,Lonny Frey (14),228,R
320,319.,Bob Meacham (6),228,R
321,322.,Rob Picciolo (9),225,R
322,323.,Roberto Pena (6),223,R
323,324.,Joe Hoover (3),221,R
324,324.,"Trea Turner (6, 27)",221,R
325,324.,Mike Tyson (10),221,R
326,327.,Wayne Causey (11),220,R
327,327.,Gil McDougald (10),220,R
328,329.,Buck Herzog (13),219,R
329,329.,Jose Valdivielso (5),219,R
330,331.,"Jorge Polanco (7, 26)",217,R
331,332.,Mark Loretta (15),214,R
332,333.,Addison Russell (5),212,R
333,334.,Todd Cruz (6),211,R
334,335.,Skeeter Webb (12),210,R
335,336.,George Scharein (4),208,R
336,337.,Wayne Tolleson (10),204,R
337,337.,Chris Woodward (12),204,R
338,339.,Billy Klaus (11),203,R
339,339.,Jack Rowe (12),203,R
340,341.,Paul Janish (9),202,R
341,342.,Tom Foley (13),201,R
342,342.,Whitey Wietelmann (9),201,R
343,344.,Charley O'Leary (11),200,R
