,Rank,"Player (yrs, age)",Def. Games as LF (s.1901),Throws
0,1.,Barry Bonds (22),2715,L
1,2.,Rickey Henderson+ (25),2421,L
2,3.,Luis Gonzalez (19),2418,R
3,4.,Zack Wheat+ (19),2328,R
4,5.,Lou Brock+ (19),2161,L
5,6.,Ted Williams+ (19),1982,R
6,7.,Tim Raines+ (23),1961,R
7,8.,Goose Goslin+ (18),1946,R
8,9.,Carl Yastrzemski+ (23),1912,R
9,10.,Joe Medwick+ (17),1790,R
10,11.,Carlos Lee (14),1770,R
11,12.,Billy Williams+ (18),1738,R
12,13.,Matt Holliday (15),1711,R
13,14.,Bobby Veach (14),1677,R
14,15.,Sherry Magee (16),1603,R
15,16.,Carl Crawford (15),1595,L
16,17.,Bob Johnson (13),1586,R
17,18.,George Foster (18),1549,R
18,19.,Roy White (15),1521,R
19,20.,Minnie Minoso (17),1509,R
20,21.,Jim Rice+ (16),1503,R
21,22.,Raul Ibanez (19),1467,R
22,23.,Gary Matthews (16),1446,R
23,24.,Duffy Lewis (11),1414,R
24,25.,Jose Cruz (19),1407,L
25,26.,Charlie Jamieson (18),1393,L
26,27.,Garret Anderson (17),1387,L
27,28.,Heinie Manush+ (17),1381,L
28,29.,Al Simmons+ (20),1372,R
29,30.,"Alex Gordon (14, 36)",1361,R
30,31.,Pat Burrell (12),1327,R
31,32.,Ralph Kiner+ (10),1307,R
32,33.,Del Ennis (14),1290,R
33,34.,Jimmy Sheckard (17),1288,R
34,35.,Joe Vosmik (13),1278,R
35,36.,Greg Vaughn (15),1262,R
36,37.,Lonnie Smith (17),1258,R
37,38.,Jo-Jo Moore (12),1248,R
38,39.,Moises Alou (17),1242,R
39,39.,"Ryan Braun (14, 36)",1242,R
40,41.,Willie Stargell+ (21),1229,L
41,42.,Greg Luzinski (15),1221,R
42,43.,George Burns (15),1215,R
43,44.,Jason Bay (11),1208,R
44,44.,Gene Woodling (17),1208,R
45,46.,Ron Gant (16),1184,R
46,47.,Jack Graney (14),1172,L
47,48.,Joe Rudi (16),1158,R
48,49.,Vince Coleman (13),1153,R
49,49.,Shannon Stewart (14),1153,R
50,51.,Ken Williams (14),1133,R
51,52.,Jeff Heath (14),1127,R
52,52.,Lou Piniella (18),1127,R
53,54.,Mike Greenwell (12),1124,R
54,55.,George Bell (12),1123,R
55,56.,Willie Horton (18),1112,R
56,57.,Bibb Falk (12),1110,L
57,58.,Tommy Davis (18),1103,R
58,59.,Ben Oglivie (16),1100,L
59,60.,Dusty Baker (19),1091,R
60,61.,Cliff Floyd (17),1084,R
61,62.,Kevin McReynolds (12),1069,R
62,63.,Alfonso Soriano (16),1056,R
63,64.,Bob Bescher (11),1054,L
64,65.,Babe Ruth+ (22),1047,L
65,66.,Manny Ramirez (19),1037,R
66,67.,Hank Sauer (15),1029,R
67,68.,Leon Wagner (12),1027,R
68,69.,Melky Cabrera (15),1023,L
69,69.,Adam Dunn (14),1023,R
70,71.,Albert Belle (12),1017,R
71,72.,Irish Meusel (11),1016,R
72,73.,"Brett Gardner (13, 36)",1009,L
73,74.,Gus Zernial (11),1005,R
74,75.,Augie Galan (16),1000,R
75,76.,Bernard Gilkey (12),996,R
76,77.,Fred Clarke+ (21),985,R
77,78.,Patsy Dougherty (10),939,R
78,79.,Al Martin (11),938,L
79,80.,"Justin Upton (14, 32)",936,R
80,81.,Alex Johnson (13),935,R
81,82.,Stan Musial+ (22),929,L
82,83.,Luis Polonia (12),927,L
83,84.,Steve Kemp (11),925,L
84,85.,Frank Howard (16),923,R
85,86.,Geoff Jenkins (11),910,R
86,87.,Josh Willingham (11),906,R
87,88.,B.J. Surhoff (19),904,R
88,89.,Jeffrey Leonard (14),896,R
89,90.,Bob Skinner (12),893,R
90,91.,Carson Bigbee (11),890,R
91,92.,Riggs Stephenson (14),885,R
92,93.,Dale Mitchell (11),880,L
93,94.,Charlie Keller (13),874,R
94,95.,Ralph Garr (13),863,R
95,96.,Phil Bradley (8),856,R
96,96.,Steve Henderson (12),856,R
97,98.,Ryan Klesko (16),854,L
98,99.,Gary Ward (12),848,R
99,100.,Larry Herndon (14),847,R
100,101.,Topsy Hartsel (14),840,L
101,102.,Frank Robinson+ (21),834,R
102,103.,Jeff Conine (17),826,R
103,104.,Pete Incaviglia (12),825,R
104,105.,Rusty Greer (9),824,L
105,106.,George Stone (7),814,L
106,107.,"Michael Brantley (12, 33)",811,L
107,108.,Sid Gordon (13),809,R
108,109.,Cleon Jones (13),808,L
109,110.,Dan Gladden (11),798,R
110,111.,Rico Carty (15),793,R
111,112.,Chick Hafey+ (13),788,R
112,113.,Charlie Maxwell (14),781,L
113,114.,Matty McIntyre (10),779,L
114,115.,Rondell White (15),778,R
115,116.,Joe Carter (16),774,R
116,117.,Wes Covington (11),759,R
117,118.,Kevin Mitchell (13),756,R
118,119.,Rip Radcliff (10),745,L
119,120.,Lefty O'Doul (11),742,L
120,121.,Gee Walker (15),740,R
121,122.,Brian Downing (20),735,R
122,123.,Rube Bressler (19),732,L
123,123.,Troy O'Leary (11),732,L
124,125.,Tillie Walker (13),731,R
125,126.,Les Mann (16),726,R
126,126.,Manny Mota (20),726,R
127,128.,Mel Hall (13),717,L
128,129.,Dave Collins (16),715,L
129,130.,Rick Reichardt (11),712,R
130,130.,Frank Thomas (16),712,R
131,132.,Bob Nieman (12),699,R
132,132.,Gary Roenicke (12),699,R
133,134.,Danny Litwhiler (11),698,R
134,135.,John Briggs (12),697,L
135,136.,Bob Meusel (11),695,R
136,137.,John Lowenstein (16),691,R
137,138.,Brady Anderson (15),688,L
138,138.,Pat Duncan (7),688,R
139,138.,Tommy Harper (15),688,R
140,141.,Moose Solters (9),687,R
141,142.,Gerardo Parra (11),686,L
142,143.,Johnny Damon (18),684,L
143,144.,Marty Cordova (9),681,R
144,145.,Henry Rodriguez (11),680,L
145,146.,Hal Lee (7),679,R
146,147.,Roy Sievers (17),678,R
147,148.,Willie Wilson (19),676,R
148,149.,Pete Rose (24),673,R
149,150.,Max Carey+ (20),660,R
150,150.,Gil Coan (11),660,R
151,152.,Bobby Higginson (11),655,R
152,153.,Carlos May (10),653,R
153,153.,Juan Pierre (14),653,L
154,155.,David Murphy (10),651,L
155,156.,Dante Bichette (14),648,R
156,157.,Brian Giles (15),646,L
157,158.,Todd Hollandsworth (12),644,L
158,159.,Kal Daniels (7),635,R
159,160.,Gene Richards (8),628,L
160,161.,Don Baylor (19),625,R
161,162.,Greg Gross (17),624,L
162,163.,Hideki Matsui (10),616,R
163,164.,Jim Wohlford (15),604,R
164,165.,Wally Moon (12),602,R
165,165.,Burt Shotton (14),602,R
166,167.,Howie Shanks (14),601,R
167,168.,Bob Fothergill (12),600,R
168,169.,"Yoenis Céspedes (8, 34)",598,R
169,170.,Reed Johnson (13),596,R
170,171.,"Corey Dickerson (8, 31)",593,R
171,171.,"Starling Marte (9, 31)",593,R
172,173.,Carmelo Martinez (9),588,R
173,174.,Billy Hatcher (12),585,R
174,175.,John Stone (11),583,R
175,176.,"Eddie Rosario (6, 28)",581,R
176,177.,Whitey Lockman (15),579,R
177,178.,Scott Podsednik (11),576,L
178,179.,Adam Comorosky (10),573,R
179,179.,Delmon Young (10),573,R
180,181.,Gary Redus (13),572,R
181,182.,Mike Menosky (9),571,R
182,183.,Peanuts Lowrey (13),569,R
183,183.,Bob Watson (19),569,R
184,185.,Jonny Gomes (13),568,R
185,185.,Jim Russell (10),568,R
186,187.,Gene Stephens (12),567,R
187,187.,"Christian Yelich (8, 28)",567,R
188,189.,Eric Byrnes (11),565,R
189,189.,Shoeless Joe Jackson (13),565,R
190,189.,Tony Phillips (18),565,R
191,192.,Lee Maye (13),558,R
192,193.,Lance Berkman (15),549,L
193,194.,Freddy Leach (10),548,R
194,195.,Frank Schulte (15),544,R
195,196.,Tito Francona (15),543,L
196,196.,Roy Johnson (10),543,R
197,198.,Woody Jensen (9),542,L
198,199.,Davy Jones (15),541,R
199,200.,Dick Wakefield (9),540,R
200,201.,Derrick May (10),537,R
201,202.,George Case (11),534,R
202,203.,Ken Griffey (19),532,L
203,203.,Spike Shannon (5),532,R
204,205.,Jay Payton (12),531,R
205,205.,Billy Sample (9),531,R
206,207.,Chuck Hinton (11),529,R
207,208.,Bob Allison (13),528,R
208,209.,Rocky Colavito (14),525,R
209,210.,Morrie Arnovich (7),524,R
210,210.,Al Woods (7),524,L
211,212.,Tom Tresh (9),521,R
212,213.,Frank Catalanotto (14),516,R
213,214.,Hoot Evers (12),514,R
214,215.,Don Buford (10),513,R
215,216.,Seth Smith (11),511,L
216,217.,Enos Slaughter+ (19),509,R
217,217.,Bobby Thomson (15),509,R
218,219.,Dave Kingman (16),507,R
219,219.,Jerry Lynch (13),507,R
220,221.,Ray Blades (10),505,R
221,222.,Rajai Davis (14),502,R
222,223.,"Khris Davis (8, 32)",500,R
223,224.,Bob Cerv (12),497,R
224,225.,Rube Ellis (4),495,L
225,226.,Rip Repulski (9),494,R
226,227.,Candy Maldonado (15),492,R
227,228.,Juan Rivera (12),491,R
228,229.,Monte Irvin+ (8),490,R
229,229.,Jacque Jones (10),490,L
230,229.,Bill Robinson (16),490,R
231,232.,Chris Coghlan (9),489,R
232,232.,Barney McCosky (11),489,R
233,234.,Warren Cromartie (10),488,L
234,235.,Gary Sheffield (22),487,R
235,236.,Al Oliver (18),486,L
236,236.,"David Peralta (7, 32)",486,L
237,238.,Bill Buckner (22),485,L
238,239.,Tom Paciorek (18),483,R
239,240.,"Adam Duvall (7, 31)",480,R
240,240.,Mike Easler (14),480,R
241,242.,Kirk Gibson (17),477,L
242,243.,"Carlos Gonzalez (12, 34)",476,L
243,244.,Rube Oldring (13),472,R
244,245.,Harmon Killebrew+ (22),471,R
245,245.,Hector Lopez (12),471,R
246,247.,Larry Hisle (14),470,R
247,248.,"Marcell Ozuna (8, 29)",469,R
248,249.,Stan Javier (17),468,R
249,250.,Steve Braun (15),466,R
250,251.,Dave Winfield+ (22),465,R
251,252.,Tony Gonzalez (12),464,R
252,253.,Randy Winn (13),462,R
253,254.,"Kyle Schwarber (6, 27)",461,R
254,255.,Jayson Werth (15),459,R
255,256.,Ryan Ludwick (12),457,L
256,257.,Ray Lankford (14),452,L
257,257.,Jim Lemon (12),452,R
258,259.,Joe Orsulak (14),451,L
259,259.,Russ Snyder (12),451,R
260,261.,Brad Wilkerson (8),447,L
261,262.,Gerald Williams (14),446,R
262,263.,Jeff Burroughs (16),445,R
263,264.,Craig Monroe (9),443,R
264,265.,"Matthew Joyce (13, 35)",442,R
265,266.,Jesus Alou (15),441,R
266,267.,Possum Whitted (11),440,R
267,268.,Austin McHenry (5),438,R
268,268.,Al Spangler (13),438,L
269,270.,David Dellucci (13),436,L
270,271.,Felipe Alou (17),435,R
271,271.,Eric Tipton (7),435,R
272,273.,John Milner (12),433,L
273,274.,Jose Cardenal (18),432,R
274,274.,Ken Henderson (16),432,R
275,276.,Boog Powell (17),430,R
276,277.,"Andrew Benintendi (5, 25)",425,L
277,278.,Gregor Blanco (10),422,L
278,279.,Bill Lamar (9),421,R
279,280.,Gates Brown (13),420,R
280,281.,Lou Johnson (8),419,R
281,282.,Lee Lacy (16),418,R
282,283.,Bo Jackson (8),415,R
283,283.,Richie Zisk (13),415,R
284,285.,"Robbie Grossman (8, 30)",414,L
285,285.,Jason Michaels (11),414,R
286,287.,Bob Bailey (17),408,R
287,287.,Mike Felder (10),408,R
288,289.,Terry Whitfield (10),407,R
289,290.,Matt Diaz (11),404,R
290,290.,Jason Kubel (10),404,R
291,290.,Sam Mertes (10),404,R
292,293.,Ben Chapman (15),403,R
293,293.,Dmitri Young (13),403,R
294,295.,Norm Siebern (12),402,R
295,295.,Al Smith (12),402,R
296,295.,Maurice Van Robays (6),402,R
297,298.,Wil Cordero (14),400,R
298,299.,Barry Bonnell (10),399,R
299,300.,David DeJesus (13),398,L
300,301.,Milt Thompson (13),397,R
301,302.,Shane Mack (9),394,R
302,302.,Cesar Tovar (12),394,R
303,304.,Carlos Quentin (9),393,R
304,305.,Al Bumbry (14),392,R
305,305.,Josh Hamilton (9),392,L
306,307.,Johnny Grubb (16),391,R
307,307.,Kevin Mench (8),391,R
308,309.,Chad Curtis (10),385,R
309,309.,Matt Lawton (12),385,R
310,309.,Ryan Raburn (12),385,R
311,309.,Reggie Sanders (17),385,R
312,313.,Birdie Cree (8),384,R
313,314.,Bing Miller (16),383,R
314,314.,Phil Plantier (8),383,R
315,314.,Bip Roberts (12),383,R
316,317.,Miguel Dilone (12),381,R
317,318.,Ivan Calderon (10),377,R
318,319.,Bruce Bochte (12),372,L
319,320.,Mike Lum (15),371,L
320,321.,Gregg Jefferies (14),369,R
321,322.,Scott Hairston (11),368,R
322,323.,Chris Heisey (8),367,R
323,324.,Juan Gonzalez (17),366,R
324,325.,Dom Dallessandro (8),363,L
325,325.,Jim Eisenreich (15),363,L
326,327.,Andy Pafko (17),362,R
327,328.,Jimmy Callahan (13),361,R
328,328.,Hal McRae (19),361,R
329,330.,Fred Lewis (7),358,R
330,331.,Otis Nixon (17),357,R
331,332.,Jose Canseco (17),356,R
332,332.,Chipper Jones+ (19),356,R
333,334.,Harvey Kuenn (15),353,R
334,335.,Jackie Brandt (11),352,R
335,335.,Eric Davis (17),352,R
336,335.,Darin Erstad (14),352,L
337,338.,Harry Anderson (5),351,R
338,338.,Orlando Palmeiro (13),351,L
339,340.,Elmer Valo (20),349,R
340,341.,Johnny Mokan (7),348,R
341,342.,Wally Berger (11),347,R
342,342.,Gus Felix (5),347,R
343,342.,Ron Kittle (10),347,R
344,345.,Mickey Hatcher (12),346,R
345,345.,Ernie Koy (5),346,R
346,347.,George Selkirk (9),345,R
347,348.,Coco Crisp (15),340,R
348,349.,Max West (7),339,R
349,350.,Alejandro De Aza (10),336,L
350,350.,Glenallen Hill (13),336,R
351,352.,Clyde Barnhart (9),335,R
352,352.,Joe Connolly (4),335,R
353,354.,Lenny Green (12),334,L
354,354.,Mack Jones (10),334,R
355,354.,"J.D. Martinez (10, 32)",334,R
356,357.,Ben Grieve (9),333,R
357,358.,Bill Hinchman (10),332,R
358,359.,Kiki Cuyler+ (18),331,R
359,360.,Chet Laabs (11),330,R
360,360.,Johnny Rizzo (5),330,R
361,362.,Glenn Braggs (7),328,R
362,362.,Dave Nicholson (7),328,R
363,362.,Claudell Washington (17),328,L
364,365.,Chris James (10),325,R
365,366.,Curt Blefary (8),323,R
366,366.,Willie Crawford (14),323,L
367,366.,Dan Pasqua (10),323,L
368,369.,Henry Cotto (10),322,R
369,369.,Dion James (11),322,L
370,369.,Daniel Nava (7),322,L
371,372.,Sandy Amoros (7),321,L
372,372.,Jim Northrup (12),321,R
373,374.,Ryan Langerhans (11),319,L
374,374.,Jerry Mumphrey (15),319,R
375,376.,Red Murray (11),317,R
376,377.,Leron Lee (8),316,R
377,377.,Bris Lord (8),316,R
378,379.,Hank Aaron+ (23),315,R
379,379.,Ricky Ledee (10),315,L
380,381.,Josh Devore (7),314,R
381,381.,Dan Meyer (12),314,R
382,381.,"Tommy Pham (7, 32)",314,R
383,384.,Joe Adcock (17),313,R
384,384.,Walton Cruise (10),313,R
385,384.,Terry Harper (8),313,R
386,384.,David Justice (14),313,L
387,384.,Coaker Triplett (6),313,R
388,389.,Nolan Reimold (8),312,R
389,389.,Chet Ross (6),312,R
390,389.,Danny Taylor (9),312,R
391,392.,Jim Greengrass (5),311,R
392,392.,Ward Miller (8),311,R
393,392.,Walt Moryn (8),311,R
394,395.,Jerald Clark (7),310,R
395,396.,Eddie Brown (7),308,R
396,396.,Willie Harris (12),308,R
397,398.,Thomas Howard (11),307,R
398,398.,Hack Miller (6),307,R
399,400.,Emil Brown (10),306,R
