,Rank,"Player (yrs, age)",Double Plays Turned as LF (s.1901),Throws
0,1.,Zack Wheat+ (19),50,R
1,2.,Bobby Veach (14),42,R
2,3.,Jimmy Sheckard (17),40,R
3,4.,Bibb Falk (12),36,L
4,5.,Jack Graney (14),35,L
5,5.,Duffy Lewis (11),35,R
6,5.,Ken Williams (14),35,R
7,8.,Goose Goslin+ (18),34,R
8,9.,Sherry Magee (16),33,R
9,10.,George Burns (15),30,R
10,10.,Max Carey+ (20),30,R
11,10.,Alfonso Soriano (16),30,R
12,13.,Charlie Jamieson (18),28,L
13,13.,Bob Johnson (13),28,R
14,15.,Ted Williams+ (19),27,R
15,15.,Carl Yastrzemski+ (23),27,R
16,17.,Carson Bigbee (11),26,R
17,18.,Joe Medwick+ (17),24,R
18,18.,Al Simmons+ (20),24,R
19,20.,Rube Ellis (4),23,L
20,20.,Matty McIntyre (10),23,L
21,20.,George Stone (7),23,L
22,20.,Joe Vosmik (13),23,R
23,24.,Bob Bescher (11),22,L
24,24.,Barry Bonds (22),22,L
25,24.,Fred Clarke+ (21),22,R
26,24.,Babe Ruth+ (22),22,L
27,24.,Howie Shanks (14),22,R
28,29.,Minnie Minoso (17),21,R
29,29.,Tim Raines+ (23),21,R
30,31.,Del Ennis (14),20,R
31,31.,George Foster (18),20,R
32,31.,Bernard Gilkey (12),20,R
33,31.,Heinie Manush+ (17),20,L
34,35.,Rickey Henderson+ (25),19,L
35,35.,Burt Shotton (14),19,R
36,37.,Lou Brock+ (19),18,L
37,37.,Jeff Heath (14),18,R
38,37.,Geoff Jenkins (11),18,R
39,37.,Billy Williams+ (18),18,R
40,41.,Jose Cruz (19),17,L
41,41.,Patsy Dougherty (10),17,R
42,41.,Dan Gladden (11),17,R
43,41.,Luis Gonzalez (19),17,R
44,41.,Jim Rice+ (16),17,R
45,41.,Hank Sauer (15),17,R
46,41.,Riggs Stephenson (14),17,R
47,41.,Tillie Walker (13),17,R
48,49.,Augie Galan (16),16,R
49,49.,Gary Ward (12),16,R
50,51.,Mike Greenwell (12),15,R
51,51.,Topsy Hartsel (14),15,L
52,51.,Shoeless Joe Jackson (13),15,R
53,51.,Les Mann (16),15,R
54,51.,Jo-Jo Moore (12),15,R
55,51.,Rick Reichardt (11),15,R
56,51.,Lonnie Smith (17),15,R
57,51.,Moose Solters (9),15,R
58,59.,Vince Coleman (13),14,R
59,59.,"Alex Gordon (14, 36)",14,R
60,59.,Bobby Higginson (11),14,R
61,59.,Raul Ibanez (19),14,R
62,59.,Gary Matthews (16),14,R
63,59.,Irish Meusel (11),14,R
64,59.,Lou Piniella (18),14,R
65,59.,John Stone (11),14,R
66,59.,Gus Zernial (11),14,R
67,68.,Dusty Baker (19),13,R
68,68.,Albert Belle (12),13,R
69,68.,Tommy Davis (18),13,R
70,68.,Chick Hafey+ (13),13,R
71,68.,Steve Henderson (12),13,R
72,68.,Matt Holliday (15),13,R
73,68.,Ralph Kiner+ (10),13,R
74,68.,Carlos Lee (14),13,R
75,68.,Kevin McReynolds (12),13,R
76,68.,Rube Oldring (13),13,R
77,68.,Luis Polonia (12),13,L
