,Rank,"Player (yrs, age)",Def. Games as CF (s.1901),Throws
0,1.,Willie Mays+ (22),2829,R
1,2.,Tris Speaker+ (22),2691,L
2,3.,Steve Finley (19),2314,L
3,4.,Willie Davis (18),2239,L
4,5.,Ty Cobb+ (24),2194,R
5,6.,Ken Griffey Jr.+ (22),2145,L
6,7.,Doc Cramer (20),2027,R
7,8.,Brett Butler (17),1987,L
8,9.,Kenny Lofton (17),1984,L
9,10.,Richie Ashburn+ (15),1980,R
10,11.,Marquis Grissom (17),1967,R
11,12.,Bernie Williams (16),1856,R
12,13.,Amos Otis (17),1825,R
13,14.,Paul Blair (17),1802,R
14,15.,Mike Cameron (17),1787,R
15,16.,Jim Edmonds (17),1768,L
16,17.,Edd Roush+ (18),1755,L
17,18.,Mickey Mantle+ (18),1742,R
18,19.,Andruw Jones (17),1724,R
19,20.,Devon White (17),1722,R
20,21.,Curt Flood (15),1692,R
21,22.,Vada Pinson (18),1680,L
22,23.,Lloyd Waner+ (18),1660,R
23,24.,Garry Maddox (15),1658,R
24,25.,Joe DiMaggio+ (13),1634,R
25,26.,Clyde Milan (16),1631,R
26,27.,Max Carey+ (20),1624,R
27,28.,Adam Jones (14),1590,R
28,29.,Duke Snider+ (18),1589,R
29,30.,Fred Lynn (17),1584,L
30,31.,Carlos Beltran (20),1572,R
31,32.,Bill Bruton (12),1548,R
32,33.,Torii Hunter (19),1523,R
33,34.,Bill Virdon (12),1506,R
34,35.,Rick Monday (19),1489,L
35,36.,Earl Averill+ (13),1476,R
36,37.,Chet Lemon (16),1470,R
37,38.,Dode Paskert (15),1458,R
38,39.,Cesar Cedeno (17),1457,R
39,40.,Sam West (16),1446,L
40,41.,Kirby Puckett+ (12),1432,R
41,42.,Cy Williams (19),1373,L
42,43.,Vernon Wells (15),1369,R
43,44.,Willie Wilson (19),1357,R
44,45.,Willie McGee (18),1351,R
45,46.,Dom DiMaggio (11),1337,R
46,47.,Larry Doby+ (13),1330,R
47,48.,"Andrew McCutchen (12, 33)",1329,R
48,49.,Lance Johnson (14),1327,L
49,50.,Lloyd Moseby (12),1325,R
50,51.,Rick Manning (13),1317,R
51,52.,Brian McRae (10),1307,R
52,53.,Johnny Damon (18),1298,L
53,54.,Jim Busby (13),1265,R
54,55.,Curtis Granderson (16),1254,R
55,56.,Omar Moreno (12),1221,L
56,57.,Jim Piersall (17),1212,R
57,58.,Lenny Dykstra (12),1211,L
58,59.,Juan Pierre (14),1193,L
59,60.,Carlos Gomez (13),1191,R
60,61.,Terry Moore (11),1185,R
61,62.,Jim Wynn (15),1182,R
62,63.,Dwayne Murphy (12),1179,R
63,64.,Mickey Stanley (15),1175,R
64,65.,"Dexter Fowler (13, 34)",1170,R
65,66.,Michael Bourn (11),1159,R
