,Rank,"Player (yrs, age)",Def. Games as RF (s.1901),Throws
0,1.,Roberto Clemente+ (18),2305,R
1,2.,Paul Waner+ (20),2250,L
2,3.,Harry Hooper+ (17),2183,R
3,4.,Hank Aaron+ (23),2174,R
4,5.,Mel Ott+ (22),2161,R
5,6.,Tony Gwynn+ (20),2144,L
6,7.,Dwight Evans (20),2092,R
7,8.,"Nick Markakis (15, 36)",2074,L
8,9.,Al Kaline+ (22),2031,R
9,10.,Sammy Sosa (18),2015,R
10,11.,Bobby Abreu (18),1990,R
11,12.,Ichiro Suzuki (19),1970,R
12,13.,Reggie Jackson+ (21),1942,L
13,14.,Dave Winfield+ (22),1883,R
14,15.,Paul O'Neill (17),1848,L
15,16.,Dave Parker (19),1792,R
16,17.,Larry Walker+ (17),1718,R
17,18.,Magglio Ordonez (15),1713,R
18,19.,Jermaine Dye (14),1671,R
19,20.,Sam Rice+ (20),1649,R
20,21.,Shawn Green (15),1630,L
21,22.,Vladimir Guerrero+ (16),1605,R
22,22.,Rusty Staub (23),1605,R
23,24.,Wally Moses (17),1587,L
24,25.,Johnny Callison (16),1577,R
25,26.,Tom Brunansky (14),1569,R
26,27.,Enos Slaughter+ (19),1540,R
27,28.,Harry Heilmann+ (17),1525,R
28,29.,Bobby Bonds (14),1474,R
29,30.,Bill Nicholson (16),1442,R
30,31.,"Jay Bruce (13, 33)",1437,L
31,32.,Ruben Sierra (20),1425,R
32,33.,Hunter Pence (14),1420,R
33,34.,Carl Furillo (15),1409,R
34,35.,Jeromy Burnitz (14),1365,R
35,36.,Jay Buhner (15),1357,R
36,37.,Jesse Barfield (12),1339,R
37,38.,Raul Mondesi (13),1325,R
38,39.,Sam Crawford+ (19),1323,L
39,40.,Tommy Griffith (13),1319,R
40,40.,"Jason Heyward (11, 30)",1319,L
41,42.,Ken Singleton (15),1311,R
42,43.,Darryl Strawberry (17),1308,L
43,44.,Chuck Klein+ (17),1307,R
44,45.,Al Cowens (13),1292,R
45,46.,Jeff Francoeur (12),1290,R
46,47.,Hank Bauer (14),1289,R
47,48.,Rocky Colavito (14),1282,R
48,49.,Andre Dawson+ (21),1281,R
49,50.,Frank Robinson+ (21),1270,R
50,51.,J.D. Drew (14),1268,R
51,52.,Tim Salmon (14),1263,R
52,53.,Alex Rios (12),1250,R
