,Rank,"Player (yrs, age)",Assists as RF (s.1901),Throws
0,1.,Harry Hooper+ (17),335,R
1,2.,Roberto Clemente+ (18),255,R
2,3.,Mel Ott+ (22),237,R
3,4.,Paul Waner+ (20),236,L
4,5.,Sam Rice+ (20),194,R
5,6.,Ross Youngs+ (10),185,R
6,7.,Tommy Griffith (13),182,R
7,8.,Hank Aaron+ (23),179,R
8,9.,Harry Heilmann+ (17),175,R
9,10.,Chuck Klein+ (17),174,R
10,11.,John Titus (11),173,L
11,12.,Johnny Callison (16),159,R
12,12.,Rusty Staub (23),159,R
13,14.,Gavvy Cravath (11),158,R
14,15.,Dwight Evans (20),155,R
15,16.,Jesse Barfield (12),154,R
16,16.,Max Flack (12),154,L
17,18.,Jack Tobin (13),152,L
18,19.,Larry Walker+ (17),150,R
19,20.,Tony Gwynn+ (20),148,L
20,21.,Al Kaline+ (22),146,R
21,22.,Mike Mitchell (8),145,R
22,23.,Chief Wilson (9),141,R
23,24.,Sam Crawford+ (19),140,L
24,25.,Dave Parker (19),136,R
25,25.,Frank Schulte (15),136,R
26,27.,Wally Moses (17),134,L
27,28.,Bobby Abreu (18),130,R
28,29.,Jeff Francoeur (12),128,R
29,29.,Dave Winfield+ (22),128,R
30,31.,Reggie Jackson+ (21),127,L
31,31.,Sammy Sosa (18),127,R
32,33.,Vladimir Guerrero+ (16),126,R
33,34.,Shano Collins (16),121,R
34,35.,Red Murray (11),120,R
35,35.,Curt Walker (12),120,R
36,37.,"Nick Markakis (15, 36)",119,L
37,38.,Enos Slaughter+ (19),118,R
38,38.,Casey Stengel+ (14),118,L
39,40.,Carl Furillo (15),115,R
40,41.,Babe Ruth+ (22),113,L
41,42.,Bill Nicholson (16),112,R
42,43.,Steve Evans (8),111,L
43,43.,Dixie Walker (18),111,R
44,45.,Bobby Bonds (14),108,R
45,45.,Magglio Ordonez (15),108,R
46,47.,Cliff Heathcote (15),106,L
47,48.,Paul O'Neill (17),105,L
48,49.,Bruce Campbell (13),104,R
49,49.,Kiki Cuyler+ (18),104,R
50,51.,Jackie Jensen (11),103,R
51,51.,Raul Mondesi (13),103,R
52,53.,Al Cowens (13),102,R
53,54.,Willard Marshall (11),100,R
54,54.,Tim Salmon (14),100,R
55,54.,Ichiro Suzuki (19),100,R
56,57.,Tom Brunansky (14),99,R
57,58.,Harry Lumley (7),98,L
58,58.,Ruben Sierra (20),98,R
59,60.,Ty Cobb+ (24),97,R
60,61.,Jermaine Dye (14),96,R
61,61.,Gene Moore (14),96,L
62,63.,Jay Buhner (15),95,R
63,63.,Jose Guillen (14),95,R
64,63.,Shoeless Joe Jackson (13),95,R
65,63.,Billy Southworth+ (13),95,R
66,63.,Glenn Wilson (10),95,R
67,68.,"Jay Bruce (13, 33)",94,L
68,69.,Sixto Lezcano (12),93,R
69,70.,Jack Clark (18),91,R
70,71.,Babe Herman (13),90,L
71,71.,Hunter Pence (14),90,R
72,73.,Jose Bautista (15),88,R
