,Rank,"Player (yrs, age)",Errors Committed as RF (s.1901),Throws
0,1.,Harry Hooper+ (17),143,R
1,2.,Dave Parker (19),134,R
2,3.,Roberto Clemente+ (18),131,R
3,3.,Paul Waner+ (20),131,L
4,5.,Reggie Jackson+ (21),126,L
5,6.,Vladimir Guerrero+ (16),125,R
6,7.,Ross Youngs+ (10),116,R
7,8.,Sammy Sosa (18),111,R
8,9.,Harry Heilmann+ (17),109,R
9,10.,Chuck Klein+ (17),107,R
10,11.,Bruce Campbell (13),104,R
11,11.,Tommy Griffith (13),104,R
12,13.,Sam Rice+ (20),101,R
13,13.,Curt Walker (12),101,R
14,15.,Wally Moses (17),99,L
15,16.,Rusty Staub (23),95,R
16,16.,Jack Tobin (13),95,L
17,18.,Gavvy Cravath (11),93,R
18,19.,Hank Aaron+ (23),88,R
19,19.,Mel Ott+ (22),88,R
20,21.,Ruben Sierra (20),86,R
21,22.,Babe Herman (13),85,L
22,22.,John Titus (11),85,L
23,24.,Babe Ruth+ (22),84,L
24,25.,George Browne (12),76,R
25,26.,Bobby Abreu (18),71,R
26,26.,Bobby Bonds (14),71,R
27,26.,Dixie Walker (18),71,R
28,29.,Steve Evans (8),68,L
29,30.,Jose Guillen (14),67,R
30,30.,Mike Mitchell (8),67,R
31,32.,Harry Lumley (7),66,L
32,33.,Roy Johnson (10),65,R
33,33.,Raul Mondesi (13),65,R
34,33.,Tim Salmon (14),65,R
35,33.,Chief Wilson (9),65,R
36,37.,Bill Nicholson (16),63,R
37,37.,Frank Schulte (15),63,R
38,37.,Casey Stengel+ (14),63,L
39,37.,Claudell Washington (17),63,L
40,41.,Dave Winfield+ (22),62,R
41,42.,Jeromy Burnitz (14),61,R
42,42.,Shano Collins (16),61,R
43,42.,Jermaine Dye (14),61,R
44,42.,Al Kaline+ (22),61,R
45,46.,Dwight Evans (20),60,R
46,46.,Max Flack (12),60,L
47,48.,Carl Furillo (15),59,R
48,48.,Jackie Jensen (11),59,R
49,48.,Bing Miller (16),59,R
50,48.,Danny Moeller (7),59,R
51,48.,Tony Oliva (15),59,R
52,53.,Billy Southworth+ (13),58,R
53,53.,Darryl Strawberry (17),58,L
54,55.,Jesse Barfield (12),57,R
55,55.,Ty Cobb+ (24),57,R
56,55.,Bob Meusel (11),57,R
57,55.,Red Murray (11),57,R
58,59.,Pete Fox (13),56,R
59,59.,Tony Gwynn+ (20),56,L
60,59.,Enos Slaughter+ (19),56,R
61,59.,Homer Summa (10),56,R
62,63.,Rocky Colavito (14),55,R
63,64.,Elmer Valo (20),54,R
64,65.,Elmer Smith (10),53,R
65,66.,Tom Brunansky (14),52,R
66,66.,Mike Davis (10),52,L
67,68.,Wally Post (15),51,R
68,69.,Sam Crawford+ (19),50,L
69,69.,Rob Deer (11),50,R
70,69.,Ival Goodman (10),50,R
71,69.,Ken Singleton (15),50,R
72,69.,"Justin Upton (14, 32)",50,R
73,74.,Eddie Murphy (11),49,R
74,74.,Mark Whiten (11),49,R
75,76.,"Jay Bruce (13, 33)",48,L
76,76.,Johnny Callison (16),48,R
77,76.,Shoeless Joe Jackson (13),48,R
78,76.,Dave Robertson (9),48,L
79,76.,Braggo Roth (8),48,R
80,81.,Wilbur Good (11),47,L
81,81.,Gene Moore (14),47,L
82,81.,Reggie Smith (17),47,R
83,81.,Larry Walker+ (17),47,R
84,85.,Harold Baines+ (22),46,L
85,85.,Jack Clark (18),46,R
86,85.,Shawn Green (15),46,L
87,85.,George Watkins (7),46,R
88,89.,Kiki Cuyler+ (18),45,R
89,89.,Dan Ford (11),45,R
90,89.,Jeff Francoeur (12),45,R
91,89.,Lance Richbourg (8),45,R
92,89.,Earl Webb (7),45,R
93,89.,Glenn Wilson (10),45,R
94,95.,Al Cowens (13),44,R
95,95.,Ron Northey (12),44,R
96,95.,Paul O'Neill (17),44,L
97,95.,Magglio Ordonez (15),44,R
98,95.,"Giancarlo Stanton (11, 30)",44,R
99,95.,Danny Tartabull (14),44,R
100,95.,Gee Walker (15),44,R
101,102.,Hank Bauer (14),43,R
102,102.,Dante Bichette (14),43,R
103,102.,Andre Dawson+ (21),43,R
104,102.,Lou Finney (15),43,R
105,102.,Hunter Pence (14),43,R
106,107.,Doc Gessler (8),42,L
107,107.,David Justice (14),42,L
108,107.,Willie Keeler+ (19),42,L
109,107.,Ellis Valentine (10),42,R
110,111.,Del Ennis (14),41,R
111,111.,Johnny Wyrostek (11),41,R
112,113.,Jose Canseco (17),40,R
113,113.,Cozy Dolan (9),40,L
114,113.,Elmer Flick+ (13),40,R
115,113.,Buddy Lewis (11),40,R
116,113.,"Josh Reddick (12, 33)",40,R
117,113.,Reggie Sanders (17),40,R
118,113.,Gary Sheffield (22),40,R
119,120.,Bob Allison (13),39,R
120,120.,Jesus Alou (15),39,R
121,120.,Chili Davis (19),39,R
122,120.,Ken Griffey (19),39,L
123,120.,Carl Reynolds (13),39,R
124,120.,Vic Wertz (17),39,R
125,126.,Willie Kirkland (9),38,R
126,126.,Sixto Lezcano (12),38,R
127,126.,Manny Ramirez (19),38,R
128,129.,Roy Cullenbine (10),37,R
129,129.,Tommy Henrich (11),37,L
130,129.,Glenallen Hill (13),37,R
131,129.,Taffy Wright (9),37,R
132,133.,Jose Bautista (15),36,R
133,133.,Derek Bell (11),36,R
134,133.,Ollie Brown (13),36,R
135,133.,"Shin-Soo Choo (16, 37)",36,L
136,133.,J.D. Drew (14),36,R
137,133.,George Harper (11),36,R
138,133.,Cliff Heathcote (15),36,L
139,140.,Roger Maris (12),35,R
140,140.,Herbie Moran (7),35,R
141,140.,Bobby Murcer (17),35,R
142,140.,John Stone (11),35,R
143,140.,Ichiro Suzuki (19),35,R
144,145.,Hubie Brooks (15),34,R
145,145.,George Burns (15),34,R
146,145.,Nemo Leibold (13),34,R
147,145.,Willard Marshall (11),34,R
148,149.,Jeff Burroughs (16),33,R
149,149.,Jose Cardenal (18),33,R
150,149.,Ben Chapman (15),33,R
151,149.,Brian Giles (15),33,L
152,149.,Alex Rios (12),33,R
153,149.,Al Smith (12),33,R
154,149.,Jack Smith (15),33,L
155,156.,"Nelson Cruz (16, 39)",32,R
156,156.,Pat Kelly (15),32,L
157,156.,Tom Long (5),32,R
158,156.,Frank Robinson+ (21),32,R
159,156.,Leroy Stanton (9),32,R
160,156.,Harry Wolter (7),32,R
161,162.,Bobby Bonilla (16),31,R
162,162.,"Kole Calhoun (9, 32)",31,L
163,162.,George Case (11),31,R
164,162.,Don Mueller (12),31,R
165,162.,Jim Northrup (12),31,R
166,162.,Socks Seybold (9),31,R
167,162.,Al Zarilla (10),31,R
168,169.,Kevin Bass (14),30,R
169,169.,Beau Bell (7),30,R
170,169.,Jay Buhner (15),30,R
171,169.,Ray Demmitt (7),30,R
172,169.,Bobby Higginson (11),30,R
173,169.,Candy Maldonado (15),30,R
174,169.,Doc Miller (5),30,L
175,169.,Trot Nixon (12),30,L
176,169.,Dick Porter (6),30,R
177,169.,Cory Snyder (9),30,R
178,179.,Carmelo Castillo (10),29,R
179,179.,Juan Encarnacion (11),29,R
180,179.,Brad Hawpe (9),29,L
181,179.,George Hendrick (18),29,R
182,179.,"Jason Heyward (11, 30)",29,L
183,179.,Jim Lemon (12),29,R
184,179.,Harry Rice (10),29,R
185,186.,Beals Becker (8),28,L
186,186.,Jose Cruz (19),28,L
187,186.,Matt Lawton (12),28,R
188,186.,Danny Murphy (16),28,R
189,186.,Frank Welch (9),28,R
190,186.,Jayson Werth (15),28,R
191,192.,Gus Williams (5),27,L
192,193.,Bill Barrett (9),26,R
193,193.,Tony Conigliaro (8),26,R
194,193.,Junior Felix (6),26,R
195,193.,Kirk Gibson (17),26,L
196,193.,Roy Hartzell (11),26,R
197,193.,"Nick Markakis (15, 36)",26,L
198,193.,Gary Matthews (16),26,R
199,193.,Dale Murphy (18),26,R
200,193.,Greasy Neale (8),26,R
