,Rank,"Player (yrs, age)",Def. Games as OF,Throws
0,1.,Ty Cobb+ (24),2934,R
1,2.,Barry Bonds (22),2874,L
2,3.,Willie Mays+ (22),2842,R
3,4.,Rickey Henderson+ (25),2826,L
4,5.,Hank Aaron+ (23),2760,R
5,6.,Tris Speaker+ (22),2698,L
6,7.,Lou Brock+ (19),2507,L
7,8.,Al Kaline+ (22),2488,R
8,9.,Steve Finley (19),2487,L
9,10.,Dave Winfield+ (22),2469,R
10,11.,Luis Gonzalez (19),2441,R
11,12.,Max Carey+ (20),2421,R
12,13.,Vada Pinson (18),2403,L
13,14.,Ken Griffey Jr.+ (22),2382,L
14,15.,Roberto Clemente+ (18),2370,R
15,16.,Ichiro Suzuki (19),2365,R
16,17.,Zack Wheat+ (19),2337,R
17,18.,Tony Gwynn+ (20),2326,L
18,19.,Willie Davis (18),2323,L
19,19.,Andre Dawson+ (21),2323,R
20,21.,Mel Ott+ (22),2313,R
21,22.,Sam Crawford+ (19),2299,L
22,23.,Paul Waner+ (20),2288,L
23,24.,Harry Hooper+ (17),2284,R
24,25.,Sam Rice+ (20),2270,R
25,26.,Torii Hunter (19),2256,R
26,27.,Babe Ruth+ (22),2241,L
27,28.,Carlos Beltran (20),2210,R
28,29.,Sammy Sosa (18),2203,R
29,30.,Fred Clarke+ (21),2193,R
30,31.,Goose Goslin+ (18),2187,R
31,32.,Brett Butler (17),2159,L
32,33.,Jose Cruz (19),2156,L
33,34.,Ted Williams+ (19),2151,R
34,35.,Dwight Evans (20),2146,R
35,36.,Doc Cramer (20),2142,R
36,36.,Al Simmons+ (20),2142,R
37,38.,Bobby Abreu (18),2138,R
38,39.,Frank Robinson+ (21),2132,R
39,40.,Tim Raines+ (23),2123,R
40,41.,"Nick Markakis (15, 36)",2107,L
41,42.,Richie Ashburn+ (15),2104,R
42,43.,Reggie Jackson+ (21),2102,L
43,44.,Marquis Grissom (17),2088,R
44,44.,Billy Williams+ (18),2088,R
45,46.,Carl Yastrzemski+ (23),2076,R
46,47.,Jimmy Sheckard (17),2071,R
47,48.,Johnny Damon (18),2067,L
48,49.,Enos Slaughter+ (19),2064,R
49,50.,Jesse Burkett+ (16),2054,L
50,51.,Andruw Jones (17),2043,R
51,52.,Kenny Lofton (17),2041,L
52,53.,Willie Keeler+ (19),2039,L
53,54.,Willie Wilson (19),2031,R
54,55.,Mickey Mantle+ (18),2019,R
55,56.,Willie McGee (18),1979,R
56,57.,Jimmy Ryan (18),1945,L
57,58.,Manny Ramirez (19),1939,R
58,59.,Paul O'Neill (17),1932,L
59,60.,Amos Otis (17),1928,R
60,61.,Chet Lemon (16),1925,R
61,62.,Bernie Williams (16),1924,R
62,63.,Mike Cameron (17),1921,R
63,64.,Duke Snider+ (18),1918,R
64,65.,Garret Anderson (17),1913,L
65,66.,Clyde Milan (16),1903,R
66,67.,Curtis Granderson (16),1897,R
67,68.,Stan Musial+ (22),1890,L
68,69.,George Foster (18),1880,R
69,70.,Paul Blair (17),1878,R
70,71.,Gary Matthews (16),1876,R
71,72.,Jim Edmonds (17),1867,L
72,72.,Dave Parker (19),1867,R
73,72.,Devon White (17),1867,R
74,75.,Moises Alou (17),1864,R
75,76.,Sherry Magee (16),1861,R
76,77.,Dale Murphy (18),1853,R
77,78.,Joe Medwick+ (17),1851,R
78,79.,Edd Roush+ (18),1848,L
79,80.,Heinie Manush+ (17),1845,L
80,81.,George Burns (15),1844,R
81,82.,Dusty Baker (19),1842,R
82,83.,Del Ennis (14),1840,R
83,84.,George Van Haltren (17),1833,L
84,85.,Juan Pierre (14),1831,L
85,86.,Fred Lynn (17),1825,L
86,87.,Lloyd Waner+ (18),1818,R
87,87.,Cy Williams (19),1818,L
88,89.,Patsy Donovan (17),1816,L
89,90.,George Hendrick (18),1813,R
90,91.,Jim Wynn (15),1810,R
91,92.,Kiki Cuyler+ (18),1807,R
92,93.,Larry Walker+ (17),1804,R
93,94.,Dummy Hoy (14),1796,R
94,95.,Wally Moses (17),1792,L
95,96.,Tom Brown (17),1788,R
96,97.,Melky Cabrera (15),1784,L
97,98.,Adam Jones (14),1783,R
98,99.,Jose Cardenal (18),1778,R
99,100.,Johnny Callison (16),1777,R
100,101.,Rocky Colavito (14),1774,R
101,102.,Fielder Jones (15),1770,R
102,102.,Carlos Lee (14),1770,R
103,104.,Bob Johnson (13),1769,R
104,105.,Brian Giles (15),1766,L
105,106.,Bobby Veach (14),1740,R
106,107.,Carl Furillo (15),1739,R
107,108.,Frank Schulte (15),1737,R
108,109.,Bobby Bonds (14),1736,R
109,109.,Dixie Walker (18),1736,R
110,111.,Shawn Green (15),1733,L
111,112.,Joe Carter (16),1730,R
112,113.,Magglio Ordonez (15),1725,R
113,114.,Joe DiMaggio+ (13),1721,R
114,115.,Cesar Cedeno (17),1718,R
115,116.,Matt Holliday (15),1711,R
116,117.,Ken Griffey (19),1703,L
117,118.,Curt Flood (15),1697,R
118,119.,Kirby Puckett+ (12),1696,R
119,120.,Jermaine Dye (14),1694,R
120,120.,"Justin Upton (14, 32)",1694,R
121,122.,Brady Anderson (15),1691,L
122,123.,Rick Monday (19),1688,L
123,124.,Garry Maddox (15),1687,R
124,125.,Claudell Washington (17),1685,L
125,126.,Hugh Duffy+ (17),1682,R
126,127.,Tom Brunansky (14),1679,R
127,128.,Reggie Sanders (17),1677,R
128,129.,Rusty Staub (23),1675,R
129,130.,Reggie Smith (17),1668,R
130,131.,Minnie Minoso (17),1665,R
131,132.,Vernon Wells (15),1659,R
132,133.,Alex Rios (12),1656,R
133,134.,Bobby Murcer (17),1644,R
134,135.,Gus Bell (15),1642,R
135,136.,Gary Sheffield (22),1641,R
136,137.,Charlie Jamieson (18),1638,L
137,138.,Carl Crawford (15),1634,L
138,139.,Dode Paskert (15),1633,R
139,140.,Roy White (15),1625,R
140,141.,"Matt Kemp (15, 35)",1622,R
141,141.,Ruben Sierra (20),1622,R
142,143.,Raul Ibanez (19),1621,R
143,144.,Jim Piersall (17),1614,R
144,145.,Gee Walker (15),1613,R
145,146.,Ellis Burks (18),1612,R
146,147.,Vladimir Guerrero+ (16),1608,R
147,148.,Randy Winn (13),1605,R
148,149.,Bing Miller (16),1601,R
149,150.,Chuck Klein+ (17),1600,R
150,151.,Harry Heilmann+ (17),1594,R
151,152.,Earl Averill+ (13),1590,R
152,153.,Billy Hamilton+ (14),1587,R
153,154.,Ray Lankford (14),1586,L
154,155.,Dave Martinez (16),1580,L
155,156.,Jeromy Burnitz (14),1579,R
156,157.,Hunter Pence (14),1577,R
157,158.,"Andrew McCutchen (12, 33)",1575,R
158,159.,Sam West (16),1573,L
159,160.,Andy Pafko (17),1570,R
160,160.,Kip Selbach (13),1570,R
161,162.,Gene Woodling (17),1566,R
162,163.,Bill Bruton (12),1561,R
163,164.,Dante Bichette (14),1552,R
164,165.,Jim Rice+ (16),1543,R
165,166.,Bill Virdon (12),1542,R
166,167.,Ken Singleton (15),1538,R
167,168.,Felipe Alou (17),1531,R
168,169.,Lloyd Moseby (12),1529,R
169,170.,"Ryan Braun (14, 36)",1528,R
170,171.,Otis Nixon (17),1527,R
171,172.,Mark Kotsay (17),1516,L
172,173.,Stan Javier (17),1513,R
173,174.,"Jay Bruce (13, 33)",1510,L
174,174.,Marlon Byrd (15),1510,R
175,176.,Rick Manning (13),1508,R
176,177.,Bobby Thomson (15),1506,R
177,178.,Jayson Werth (15),1505,R
178,179.,Raul Mondesi (13),1502,R
179,180.,Andy Van Slyke (13),1499,R
180,181.,"Brett Gardner (13, 36)",1497,L
181,182.,Ben Chapman (15),1495,R
182,183.,Jack Tobin (13),1491,L
183,184.,Coco Crisp (15),1483,R
184,185.,Mike Griffin (12),1480,R
185,186.,Al Cowens (13),1477,R
186,187.,Mike Tiernan (13),1476,L
187,188.,Bill Nicholson (16),1471,R
188,189.,Kevin McReynolds (12),1469,R
189,190.,J.D. Drew (14),1468,R
190,191.,Joe Kelley+ (17),1465,R
191,192.,Ron Gant (16),1464,R
192,193.,Elmer Flick+ (13),1456,R
193,194.,Dave Philley (18),1454,R
194,195.,Hank Bauer (14),1449,R
195,196.,Tony Gonzalez (12),1447,R
196,197.,Jim O'Rourke+ (23),1443,R
