,Rank,"Player (yrs, age)",Assists as OF,Throws
0,1.,Tris Speaker+ (22),449,L
1,2.,Ty Cobb+ (24),392,R
2,3.,Jimmy Ryan (18),375,L
3,4.,Tom Brown (17),349,R
4,4.,George Van Haltren (17),349,L
5,6.,Harry Hooper+ (17),344,R
6,7.,Max Carey+ (20),339,R
7,8.,Jimmy Sheckard (17),307,R
8,9.,Clyde Milan (16),294,R
9,10.,Orator Shafer (13),290,R
10,11.,King Kelly+ (16),285,R
11,12.,Sam Thompson+ (15),283,R
12,13.,Sam Rice+ (20),278,R
13,14.,Dummy Hoy (14),274,R
14,15.,Jesse Burkett+ (16),270,L
15,16.,Sam Crawford+ (19),268,L
16,17.,Roberto Clemente+ (18),266,R
17,17.,Tommy McCarthy+ (13),266,R
18,19.,Patsy Donovan (17),265,L
19,20.,Willie Keeler+ (19),258,L
20,21.,Mel Ott+ (22),256,R
21,22.,Fred Clarke+ (21),254,R
22,23.,George Gore (14),243,R
23,23.,Mike Griffin (12),243,R
24,25.,Hugh Duffy+ (17),241,R
25,25.,Paul Waner+ (20),241,L
26,27.,Ed Delahanty+ (16),238,R
27,28.,Paul Hines (20),237,R
28,29.,Zack Wheat+ (19),232,R
29,30.,Jim O'Rourke+ (23),228,R
30,30.,Chicken Wolf (11),228,R
31,32.,Hugh Nicol (10),226,R
32,32.,Cy Williams (19),226,L
33,34.,Fielder Jones (15),225,R
34,35.,Pop Corkhill (10),224,R
35,36.,Dode Paskert (15),223,R
36,37.,Edd Roush+ (18),222,L
37,38.,Goose Goslin+ (18),221,R
38,38.,Tillie Walker (13),221,R
39,40.,Paul Radford (12),217,R
40,41.,Joe Kelley+ (17),212,R
41,42.,Duffy Lewis (11),210,R
42,43.,Steve Brodie (12),209,R
43,43.,Ned Hanlon+ (13),209,R
44,45.,Bob Johnson (13),208,R
45,46.,Bobby Veach (14),207,R
46,46.,Curt Welch (10),207,R
47,48.,Babe Ruth+ (22),204,L
48,49.,George Wood (13),203,R
49,50.,Jack Tobin (13),202,L
50,51.,Hank Aaron+ (23),201,R
51,51.,John Titus (11),201,L
52,53.,George Burns (15),197,R
53,53.,Elmer Flick+ (13),197,R
54,53.,Kip Selbach (13),197,R
55,56.,Charlie Jamieson (18),196,L
56,57.,Willie Mays+ (22),195,R
57,57.,Carl Yastrzemski+ (23),195,R
58,59.,Chuck Klein+ (17),194,R
59,59.,Frank Schulte (15),194,R
60,61.,Kiki Cuyler+ (18),191,R
61,61.,Ross Youngs+ (10),191,R
62,63.,Tommy Griffith (13),189,R
63,64.,Cy Seymour (16),188,L
64,64.,Roy Thomas (13),188,L
65,66.,Harry Heilmann+ (17),183,R
66,66.,Shoeless Joe Jackson (13),183,R
67,68.,Billy Hamilton+ (14),182,R
68,69.,Max Flack (12),181,L
69,70.,Mike Mitchell (8),180,R
70,71.,Richie Ashburn+ (15),178,R
71,72.,Shano Collins (16),177,R
72,72.,Chief Wilson (9),177,R
73,74.,Gavvy Cravath (11),176,R
74,74.,Joe Hornung (12),176,R
75,74.,Nemo Leibold (13),176,R
76,74.,Sherry Magee (16),176,R
77,74.,Red Murray (11),176,R
78,79.,Johnny Callison (16),175,R
79,80.,Emmett Seery (9),174,R
80,81.,Barry Bonds (22),173,L
81,81.,Les Mann (16),173,R
82,81.,Burt Shotton (14),173,R
83,84.,Doc Cramer (20),172,R
84,84.,Dick Johnston (8),172,R
85,84.,Vada Pinson (18),172,L
86,87.,Jim Fogarty (7),171,R
87,88.,Al Kaline+ (22),170,R
88,89.,Al Simmons+ (20),169,R
89,90.,Jimmy Slagle (10),168,R
90,91.,Ginger Beaumont (12),167,R
91,91.,Ken Williams (14),167,R
92,93.,Dave Winfield+ (22),166,R
93,94.,Rusty Staub (23),165,R
94,94.,Harry Stovey (14),165,R
95,96.,Pete Hotaling (9),163,R
96,96.,Charley Jones (12),163,R
97,98.,Jesse Barfield (12),162,R
98,98.,Johnny Bates (9),162,L
99,98.,Chick Stahl (10),162,L
100,101.,Tony Gwynn+ (20),160,L
101,102.,Ira Flagstead (13),159,R
102,102.,Amos Strunk (17),159,L
103,102.,Mike Tiernan (13),159,L
104,105.,Andre Dawson+ (21),157,R
105,105.,Dwight Evans (20),157,R
106,105.,Cliff Heathcote (15),157,L
107,105.,Bob Meusel (11),157,R
108,109.,Cliff Carroll (11),156,R
109,109.,Ben Chapman (15),156,R
110,111.,Jake Evans (7),154,R
111,111.,Ken Griffey Jr.+ (22),154,L
112,111.,Dixie Walker (18),154,R
113,111.,Larry Walker+ (17),154,R
114,115.,Joe DiMaggio+ (13),153,R
115,116.,Enos Slaughter+ (19),152,R
116,117.,Carl Furillo (15),151,R
117,117.,Jack Graney (14),151,L
118,117.,Jimmy McAleer (13),151,R
119,117.,Jim McTamany (7),151,R
120,117.,Hi Myers (14),151,R
121,117.,Lloyd Waner+ (18),151,R
122,117.,Sam West (16),151,L
123,124.,Del Ennis (14),150,R
124,125.,John Cassidy (11),148,L
