,Rank,"Player (yrs, age)",Double Plays Turned as OF,Throws
0,1.,Tris Speaker+ (22),143,L
1,2.,Ty Cobb+ (24),105,R
2,3.,Max Carey+ (20),87,R
3,4.,Tom Brown (17),85,R
4,5.,Harry Hooper+ (17),83,R
5,6.,Jimmy Sheckard (17),80,R
6,7.,Mike Griffin (12),75,R
7,8.,Dummy Hoy (14),72,R
8,9.,Jimmy Ryan (18),71,L
9,10.,Fielder Jones (15),70,R
10,11.,Patsy Donovan (17),69,L
11,11.,Sam Rice+ (20),69,R
12,13.,George Van Haltren (17),64,L
13,14.,Jesse Burkett+ (16),62,L
14,14.,Clyde Milan (16),62,R
15,16.,Sam Thompson+ (15),61,R
16,17.,Willie Keeler+ (19),60,L
17,17.,Willie Mays+ (22),60,R
18,17.,Tommy McCarthy+ (13),60,R
19,17.,Mel Ott+ (22),60,R
20,21.,Sam Crawford+ (19),59,L
21,22.,Jimmy Slagle (10),57,R
22,23.,Paul Hines (20),56,R
23,24.,Billy Hamilton+ (14),55,R
24,25.,Zack Wheat+ (19),54,R
25,26.,Steve Brodie (12),53,R
26,26.,Paul Waner+ (20),53,L
27,28.,Ginger Beaumont (12),52,R
28,28.,Cy Seymour (16),52,L
29,30.,Burt Shotton (14),51,R
30,31.,Elmer Flick+ (13),50,R
31,31.,Dode Paskert (15),50,R
32,33.,Curt Welch (10),49,R
33,34.,Jesse Barfield (12),48,R
34,34.,Kip Selbach (13),48,R
35,34.,Roy Thomas (13),48,L
36,34.,Curt Walker (12),48,R
37,34.,Chief Wilson (9),48,R
38,39.,Pop Corkhill (10),47,R
39,39.,Hugh Duffy+ (17),47,R
40,39.,George Gore (14),47,R
41,39.,Goose Goslin+ (18),47,R
42,39.,Ned Hanlon+ (13),47,R
43,39.,Ross Youngs+ (10),47,R
44,45.,Danny Green (8),46,R
45,45.,George Wood (13),46,R
46,47.,Ed Delahanty+ (16),45,R
47,47.,Babe Ruth+ (22),45,L
48,49.,Kiki Cuyler+ (18),44,R
49,49.,Joe Kelley+ (17),44,R
50,49.,Paul Radford (12),44,R
51,49.,Tillie Walker (13),44,R
52,53.,Richie Ashburn+ (15),43,R
53,53.,Shano Collins (16),43,R
54,53.,Ken Griffey Jr.+ (22),43,L
55,53.,Edd Roush+ (18),43,L
56,53.,Ken Williams (14),43,R
57,58.,George Burns (15),42,R
58,58.,Fred Clarke+ (21),42,R
59,58.,Roberto Clemente+ (18),42,R
60,58.,Dwight Evans (20),42,R
61,58.,Jack Tobin (13),42,L
62,58.,Bobby Veach (14),42,R
63,58.,Sam West (16),42,L
64,58.,Chicken Wolf (11),42,R
65,66.,Hank Aaron+ (23),41,R
66,66.,Cliff Heathcote (15),41,L
67,66.,Frank Schulte (15),41,R
68,66.,Jack Smith (15),41,L
69,70.,Bobby Bonds (14),40,R
70,70.,Nemo Leibold (13),40,R
71,70.,Sherry Magee (16),40,R
72,70.,Mike Mitchell (8),40,R
73,70.,John Titus (11),40,L
74,70.,Cy Williams (19),40,L
75,70.,Jim Wynn (15),40,R
76,77.,Bibb Falk (12),39,L
77,77.,Happy Felsch (6),39,R
78,77.,Ira Flagstead (13),39,R
79,77.,Harry Heilmann+ (17),39,R
80,77.,Charlie Jamieson (18),39,L
81,77.,Chuck Klein+ (17),39,R
82,77.,Bill Lange (7),39,R
83,77.,Jim McTamany (7),39,R
84,77.,Larry Walker+ (17),39,R
85,86.,Jimmy Barrett (10),38,R
86,86.,Dante Bichette (14),38,R
87,86.,Joe Birmingham (9),38,R
88,86.,Steve Finley (19),38,L
89,86.,Jim Fogarty (7),38,R
90,86.,Pete Hotaling (9),38,R
91,86.,Baby Doll Jacobson (11),38,R
92,86.,Duffy Lewis (11),38,R
93,86.,Chick Stahl (10),38,L
94,86.,Amos Strunk (17),38,L
95,96.,Johnny Bates (9),37,L
96,96.,Carlos Beltran (20),37,R
97,96.,Cliff Carroll (11),37,R
98,96.,Doc Cramer (20),37,R
99,96.,Tommy Holmes (11),37,L
100,96.,Shoeless Joe Jackson (13),37,R
101,96.,Tommy Leach (19),37,R
102,96.,Bob Meusel (11),37,R
103,96.,Kirby Puckett+ (12),37,R
104,96.,Al Simmons+ (20),37,R
105,106.,Pete Browning (13),36,R
106,106.,Tommy Griffith (13),36,R
107,106.,Jimmy McAleer (13),36,R
108,109.,Ping Bodie (9),35,R
109,109.,Vince DiMaggio (10),35,R
110,109.,Bob Johnson (13),35,R
111,109.,Kenny Lofton (17),35,L
