,Rank,"Player (yrs, age)",Putouts as P,Throws
0,1.,Greg Maddux+ (23),546,R
1,2.,Kevin Brown (19),388,R
2,3.,Jack Morris+ (18),387,R
3,4.,Phil Niekro+ (24),386,R
4,5.,Fergie Jenkins+ (19),363,R
5,6.,Gaylord Perry+ (22),349,R
6,7.,Don Sutton+ (23),334,R
7,8.,Orel Hershiser (18),332,R
8,9.,Rick Reuschel (19),328,R
9,9.,Tom Seaver+ (20),328,R
10,11.,Tony Mullane (13),326,R
11,12.,Pud Galvin+ (15),325,R
12,13.,Roger Clemens (24),320,R
13,13.,John Smoltz+ (21),320,R
14,15.,Dennis Martinez (23),319,R
15,16.,Chick Fraser (14),317,R
16,17.,Robin Roberts+ (19),316,R
17,18.,Kid Nichols+ (15),313,R
18,19.,"Zack Greinke (17, 36)",292,R
19,19.,Jim Palmer+ (19),292,R
20,21.,Bob Gibson+ (17),291,R
21,21.,Juan Marichal+ (16),291,R
22,23.,Bert Blyleven+ (22),287,R
23,24.,Christy Mathewson+ (17),281,R
24,25.,Jamie Moyer (25),279,L
25,26.,Mike Moore (14),278,R
26,27.,Walter Johnson+ (21),276,R
27,28.,Dave Stieb (16),272,R
28,29.,Vic Willis+ (13),271,R
29,30.,Doug Drabek (13),266,R
30,31.,Doyle Alexander (19),264,R
31,32.,Bob Lemon+ (15),263,R
32,32.,Jim McCormick (10),263,R
33,34.,Tom Glavine+ (22),262,L
34,34.,Jim Kaat (25),262,L
35,36.,Tim Keefe+ (14),260,R
36,37.,Tim Hudson (17),258,R
37,37.,Kenny Rogers (20),258,L
38,39.,Larry Jackson (14),257,R
39,40.,Dan Petry (13),255,R
40,41.,Joe Niekro (22),253,R
41,42.,Mike Boddicker (14),245,R
42,42.,Theodore Breitenstein (11),245,L
43,42.,Lew Burdette (18),245,R
44,42.,Milt Pappas (17),245,R
45,46.,Adonis Terry (14),244,R
46,47.,Bob Welch (17),243,R
47,48.,Mel Stottlemyre (11),242,R
48,49.,Freddie Fitzsimmons (19),237,R
49,49.,Mark Gubicza (14),237,R
50,49.,Tommy John (26),237,L
51,49.,Steve Rogers (13),237,R
52,53.,Murry Dickson (18),236,R
53,53.,Bobby Mathews (15),236,R
54,53.,Doc White (13),236,L
55,56.,Charlie Hough (25),235,R
56,57.,Bob Forsch (16),234,R
57,58.,Ed Walsh+ (14),233,R
58,59.,Mike Mussina+ (18),231,R
59,60.,Tom Candiotti (16),230,R
60,60.,Old Hoss Radbourn+ (12),230,R
61,62.,George Mullin (14),229,R
62,62.,Eddie Plank+ (17),229,L
63,62.,Cy Young+ (22),229,R
64,65.,Bob Friend (16),228,R
65,65.,Roy Halladay+ (16),228,R
66,67.,Tim Wakefield (19),227,R
67,68.,Frank Tanana (21),226,L
68,69.,Burleigh Grimes+ (19),225,R
69,69.,Catfish Hunter+ (15),225,R
70,71.,Dwight Gooden (16),224,R
71,72.,Scott Erickson (15),223,R
72,72.,Mike Torrez (18),223,R
73,74.,John Lackey (15),222,R
74,74.,Warren Spahn+ (21),222,L
75,76.,Bronson Arroyo (16),221,R
76,76.,John Clarkson+ (12),221,R
77,76.,Derek Lowe (17),221,R
78,76.,Luis Tiant (19),221,R
79,80.,David Cone (17),220,R
80,80.,Nolan Ryan+ (27),220,R
81,82.,Ted Lyons+ (21),219,R
82,83.,Tommy Bond (10),218,R
83,84.,Mickey Welch+ (13),217,R
84,85.,George Bradley (11),216,R
85,85.,Guy Hecker (9),216,R
86,87.,Mike Morgan (22),215,R
87,88.,"Mike Leake (10, 32)",213,R
88,88.,Brad Radke (12),213,R
89,90.,Tim Belcher (14),212,R
90,90.,Vern Law (16),212,R
91,92.,Bob Buhl (15),211,R
92,92.,Liván Hernández (17),211,R
93,92.,Al Spalding+ (8),211,R
94,92.,Rick Sutcliffe (18),211,R
95,96.,Camilo Pascual (18),210,R
96,97.,Mel Harder (20),209,R
97,97.,Harry Howell (13),209,R
98,99.,Bullet Joe Bush (17),208,R
99,99.,Dennis Eckersley+ (24),208,R
100,101.,Jim Bunning+ (17),206,R
101,101.,Rick Wise (18),206,R
102,103.,Kyle Lohse (16),205,R
103,104.,Frank Dwyer (12),204,R
104,105.,Ned Garver (14),203,R
105,105.,Bret Saberhagen (16),203,R
106,107.,Kevin Appier (16),202,R
107,107.,Joe McGinnity+ (10),202,R
108,109.,Gus Weyhing (14),201,R
109,110.,Fernando Valenzuela (17),200,L
110,111.,Bert Cunningham (12),197,R
111,111.,Dave Stewart (16),197,R
112,113.,Sad Sam Jones (22),196,R
113,113.,Steve Trachsel (16),196,R
114,115.,Dave Foutz (13),195,R
115,116.,Walt Terrell (11),194,R
116,117.,Dizzy Trout (15),193,R
117,117.,Jake Westbrook (13),193,R
118,117.,Early Wynn+ (23),193,R
119,120.,Bob Caruthers (10),192,R
120,121.,Jim Perry (17),191,R
121,121.,"Adam Wainwright (15, 38)",191,R
122,123.,Ervin Santana (15),190,R
123,124.,Pete Alexander+ (20),189,R
124,124.,Pedro Astacio (15),189,R
125,124.,Jim Lonborg (15),189,R
126,127.,"Bartolo Colon (21, 47)",188,R
127,127.,Don Drysdale+ (14),188,R
128,127.,"Felix Hernandez (15, 34)",188,R
129,127.,Dolf Luque (20),188,R
130,131.,James Shields (13),187,R
131,132.,Chris Carpenter (15),185,R
132,132.,Jim Clancy (15),185,R
133,132.,Tom Gordon (21),185,R
134,132.,Bill Gullickson (14),185,R
135,132.,Charles Nagy (14),185,R
136,132.,Jamey Wright (19),185,R
137,138.,Danny Darwin (21),184,R
138,138.,Bob Purkey (13),184,R
139,140.,Ken Hill (14),183,R
140,140.,Jake Peavy (15),183,R
141,140.,Curt Schilling (20),183,R
142,140.,Earl Wilson (11),183,R
143,144.,Mark Buehrle (16),182,L
144,144.,Carl Morton (8),182,R
145,146.,Kevin Gross (15),181,R
146,147.,Jim Slaton (16),180,R
147,148.,Joe Coleman (15),179,R
148,148.,John Denny (13),179,R
149,148.,Clark Griffith+ (21),179,R
150,151.,John Burkett (15),177,R
151,151.,Larry Corcoran (8),177,R
152,151.,Ron Darling (13),177,R
153,151.,Jeff Suppan (17),177,R
154,155.,Amos Rusie+ (10),176,R
155,156.,Mark Baldwin (7),175,R
156,156.,Jon Garland (13),175,R
157,156.,George Uhle (17),175,R
158,159.,Stan Coveleski+ (14),174,R
159,159.,Frank Lary (12),174,R
160,159.,Dutch Leonard (20),174,R
161,159.,Carl Mays (15),174,R
162,159.,Bobby Shantz (16),174,L
163,164.,Chief Bender+ (16),173,R
164,164.,Bill Donovan (18),173,R
165,164.,Dock Ellis (12),173,R
166,164.,Whitey Ford+ (16),173,L
167,164.,Rick Rhoden (16),173,R
168,164.,"Anibal Sanchez (15, 36)",173,R
169,164.,"Justin Verlander (16, 37)",173,R
170,171.,Charlie Buffinton (11),172,R
171,171.,Jimmy Key (15),172,L
172,171.,Al Orth (15),172,R
173,174.,Mordecai Brown+ (14),171,R
174,174.,Freddy Garcia (15),171,R
175,174.,Ramon Martinez (14),171,R
176,174.,Bob Rush (13),171,R
177,178.,Ron Reed (19),170,R
178,178.,Jerry Reuss (22),170,L
179,178.,Rube Waddell+ (13),170,L
180,181.,A.J. Burnett (17),169,R
181,181.,Ryan Dempster (16),169,R
182,181.,Jon Lieber (14),169,R
183,181.,John Ward+ (17),169,R
184,185.,Roy Oswalt (13),168,R
185,185.,Carlos Zambrano (12),168,R
186,187.,Nick Altrock (19),167,L
187,187.,Win Mercer (9),167,R
188,187.,Frank Smith (11),167,R
189,190.,Jack Stivetts (11),166,R
190,190.,Todd Stottlemyre (14),166,R
191,190.,Bill Wegman (11),166,R
192,190.,Earl Whitehill (17),166,L
193,194.,Burt Hooton (15),165,R
194,195.,Don Cardwell (14),164,R
195,196.,Kid Gleason (22),163,R
196,196.,Bill Lee (14),163,R
197,196.,Joel Pineiro (12),163,R
198,196.,Mark Portugal (15),163,R
199,200.,Mudcat Grant (14),162,R
200,200.,Jason Marquis (15),162,R
201,200.,Javier Vazquez (14),162,R
202,203.,Steve Renko (15),161,R
203,204.,Rick Mahler (13),160,R
204,205.,Gene Garber (19),159,R
205,205.,Joe Horlen (12),159,R
206,205.,Don Newcombe (10),159,R
207,205.,Claude Osteen (18),159,L
208,205.,Eddie Rommel (13),159,R
209,205.,Sonny Siebert (12),159,R
210,205.,Woody Williams (15),159,R
211,212.,"Johnny Cueto (13, 34)",158,R
212,213.,Ray Burris (15),157,R
213,213.,Jack Fisher (11),157,R
214,213.,Brett Myers (12),157,R
215,213.,Kevin Tapani (13),157,R
216,217.,Andy Benes (14),156,R
217,217.,Dan Haren (13),156,R
218,217.,Matt Kilroy (10),156,L
219,217.,Mike Scott (13),156,R
220,217.,Virgil Trucks (17),156,R
221,222.,Carl Hubbell+ (16),155,L
222,222.,Pedro Martinez+ (18),155,R
223,222.,Bill Monbouquette (11),155,R
224,222.,Urban Shocker (13),155,R
225,226.,Stan Bahnsen (16),154,R
226,226.,Denny McLain (10),154,R
227,226.,Hal Schumacher (13),154,R
228,226.,Bob Walk (14),154,R
229,230.,Paul Derringer (15),153,R
230,230.,Waite Hoyt+ (21),153,R
231,230.,Red Ruffing+ (22),153,R
232,230.,Scott Sanderson (19),153,R
233,230.,Bucky Walters (19),153,R
234,235.,Larry Dierker (14),152,R
235,235.,Dave Goltz (12),152,R
236,235.,Stu Miller (16),152,R
237,238.,Jack Coombs (14),151,R
238,238.,Sid Hudson (12),151,R
239,238.,Charlie Leibrandt (14),151,L
240,238.,Lary Sorensen (11),151,R
241,238.,Bill Swift (13),151,R
242,243.,Willis Hudlin (16),150,R
243,243.,Kirk McCaskill (12),150,R
244,243.,Ralph Terry (12),150,R
245,246.,Dick Ruthven (14),149,R
246,246.,David Wells (21),149,L
247,248.,Jim Barr (12),148,R
248,248.,Esteban Loaiza (14),148,R
249,248.,Bobby Witt (16),148,R
250,251.,Chris Bosio (11),147,R
251,251.,Ron Kline (17),147,R
252,251.,Mike Witt (12),147,R
253,254.,Curt Davis (13),146,R
254,254.,Bob Feller+ (18),146,R
255,254.,Silver King (10),146,R
256,254.,Mike Krukow (14),146,R
257,254.,Casey Patten (8),146,L
258,254.,Pedro Ramos (15),146,R
259,254.,Bob Shawkey (15),146,R
260,254.,Gerry Staley (15),146,R
261,262.,Rick Langford (11),145,R
262,262.,Kevin Millwood (16),145,R
263,264.,Tommy Bridges (16),144,R
264,264.,Dick Donovan (15),144,R
265,264.,Mike Hampton (16),144,L
266,264.,"Edwin Jackson (17, 36)",144,R
267,264.,Addie Joss+ (9),144,R
268,264.,Jose Rijo (14),144,R
269,270.,Howard Ehmke (15),143,R
270,270.,Moose Haas (12),143,R
271,270.,Chan Ho Park (17),143,R
272,273.,Joaquin Andujar (13),142,R
273,273.,Pat Dobson (11),142,R
274,273.,Art Nehf (15),142,L
275,273.,Rip Sewell (13),142,R
276,273.,Stump Weidman (9),142,R
277,278.,Gary Bell (12),141,R
278,278.,George Blaeholder (11),141,R
279,278.,Clay Buchholz (13),141,R
280,278.,Blue Moon Odom (13),141,R
281,278.,Sidney Ponson (12),141,R
282,283.,Bump Hadley (16),140,R
283,283.,Bill Hands (11),140,R
284,283.,Bill Hutchison (9),140,R
285,283.,Bruce Kison (15),140,R
286,283.,"Rick Porcello (12, 31)",140,R
287,288.,Aaron Cook (11),139,R
288,288.,Jack McDowell (12),139,R
289,288.,Jack Quinn (23),139,R
290,291.,Jesse Barnes (13),138,R
291,291.,Guy Bush (17),138,R
292,291.,Larry Jansen (9),138,R
293,291.,"Jon Lester (15, 36)",138,L
294,291.,Bob Tewksbury (13),138,R
295,296.,Steve Blass (10),137,R
296,296.,Dave Burba (15),137,R
297,298.,Erik Hanson (11),136,R
298,298.,Darryl Kile (12),136,R
299,298.,Andy Messersmith (12),136,R
300,298.,Ed Reulbach (13),136,R
301,302.,Ray Culp (11),135,R
302,302.,Pretzels Getzien (9),135,R
303,302.,Dennis Leonard (12),135,R
304,302.,Hal Newhouser+ (17),135,L
305,302.,Kirk Rueter (13),135,L
306,307.,Ken Forsch (16),134,R
307,307.,Mike Garcia (14),134,R
308,307.,Dave Giusti (15),134,R
309,310.,"Jake Arrieta (11, 34)",133,R
310,310.,Jack Billingham (13),133,R
311,310.,John Buzhardt (11),133,R
312,310.,Bill Dinneen (12),133,R
313,314.,Josh Beckett (14),132,R
314,314.,"Sonny Gray (8, 30)",132,R
315,314.,Brian Moehler (14),132,R
316,314.,Brad Penny (14),132,R
317,314.,Jack Russell (15),132,R
318,314.,Bryn Smith (13),132,R
319,320.,Andy Ashby (14),131,R
320,320.,Nelson Briles (14),131,R
321,320.,Matt Cain (13),131,R
322,320.,Pat Hentgen (14),131,R
323,320.,Cal McLish (15),131,R
324,320.,Eppa Rixey+ (21),131,L
325,326.,Kevin Correia (13),130,R
326,326.,Red Faber+ (20),130,R
327,326.,Steve Hargan (12),130,R
328,326.,Tim Leary (13),130,R
329,326.,Claude Passeau (13),130,R
330,326.,Barney Pelty (10),130,R
331,326.,Andy Pettitte (18),130,L
332,333.,Harry Gumbert (15),129,R
333,333.,Pink Hawley (10),129,R
334,333.,Jack Taylor (10),129,R
335,336.,Oil Can Boyd (10),128,R
336,336.,Eddie Cicotte (14),128,R
337,336.,Dennis Lamp (16),128,R
338,336.,Diego Segui (15),128,R
339,340.,Vida Blue (17),127,L
340,340.,Jimmy Callahan (13),127,R
341,340.,Red Donahue (13),127,R
342,340.,Cherokee Fisher (8),127,R
343,340.,Ruben Gomez (10),127,R
344,340.,Jeremy Guthrie (13),127,R
345,340.,Mark Langston (16),127,L
346,340.,Lindy McDaniel (21),127,R
347,340.,George Mogridge (15),127,L
348,340.,Jack Powell (16),127,R
349,340.,Johnny Sain (11),127,R
350,340.,"Max Scherzer (13, 35)",127,R
351,340.,Curt Simmons (20),127,L
352,340.,Ismael Valdez (12),127,R
353,354.,"Homer Bailey (14, 34)",126,R
354,354.,Joe Dobson (14),126,R
355,354.,Steve Gromek (17),126,R
356,354.,Ray Herbert (14),126,R
357,354.,Mike LaCoss (14),126,R
358,354.,Omar Olivares (12),126,R
359,354.,Dazzy Vance+ (16),126,R
360,354.,Lon Warneke (15),126,R
361,362.,Tom Brewer (8),125,R
362,362.,Matt Clement (9),125,R
363,362.,Alex Fernandez (10),125,R
364,362.,Dick McBride (6),125,R
365,362.,Paul Splittorff (15),125,L
366,362.,Steve Stone (11),125,R
367,368.,Tom Burgmeier (17),124,L
368,368.,Doug Fister (10),124,R
369,368.,Larry French (14),124,L
370,368.,Earl Hamilton (14),124,L
371,372.,Danny Cox (11),123,R
372,372.,Brickyard Kennedy (12),123,R
373,372.,Marty Pattin (13),123,R
374,372.,Billy Pierce (18),123,L
375,372.,Jim Whitney (10),123,R
376,372.,Ed Whitson (15),123,R
377,372.,Hooks Wiltse (12),123,L
378,372.,Smoky Joe Wood (14),123,R
379,380.,Jim Bagby (10),122,R
380,380.,Wes Ferrell (15),122,R
381,380.,Chuck Finley (17),122,L
382,380.,Jaime Navarro (12),122,R
383,380.,Jack Sanford (12),122,R
384,380.,Bob Stanley (13),122,R
385,380.,Jake Weimer (7),122,L
386,380.,Milt Wilcox (16),122,R
387,388.,Reggie Cleveland (13),121,R
388,388.,Storm Davis (13),121,R
389,388.,Ricky Nolasco (12),121,R
390,388.,Shane Reynolds (13),121,R
391,388.,Frank Sullivan (11),121,R
392,393.,Elden Auker (10),120,R
393,393.,Roger Craig (12),120,R
394,393.,Dick Ellsworth (13),120,L
395,393.,Scott Stratton (8),120,R
396,397.,Dick Bosman (11),119,R
397,397.,Bill Campbell (15),119,R
398,397.,R.A. Dickey (15),119,R
399,397.,Yovani Gallardo (12),119,R
