,Rank,"Player (yrs, age)",Total Zone Runs as C (s.1953),Throws
0,1.,Ivan Rodriguez+ (21),169,R
1,2.,"Yadier Molina (17, 37)",149,R
2,3.,Jim Sundberg (16),114,R
3,4.,Bob Boone (19),107,R
4,5.,Gary Carter+ (19),106,R
5,6.,Brad Ausmus (18),97,R
6,6.,Johnny Bench+ (17),97,R
7,8.,Del Crandall (16),72,R
8,9.,Charles Johnson (12),71,R
9,10.,Rick Dempsey (24),70,R
10,10.,Steve Yeager (15),70,R
11,12.,"Buster Posey (11, 33)",66,R
12,13.,Clay Dalrymple (12),62,R
13,13.,Ron Karkovice (12),62,R
14,15.,Henry Blanco (16),59,R
15,15.,"Salvador Perez (9, 30)",59,R
16,17.,Charlie O'Brien (15),58,R
17,18.,Mike Matheny (13),55,R
18,19.,Butch Wynegar (13),54,R
19,20.,Tom Pagnozzi (12),53,R
20,21.,Brian Schneider (13),51,R
21,22.,"Matt Wieters (12, 34)",50,R
22,23.,Dan Wilson (14),49,R
23,24.,Kirt Manwaring (13),47,R
24,25.,Mike LaValliere (12),46,R
25,25.,Tony Pena (18),46,R
26,27.,Lance Parrish (19),43,R
27,28.,Randy Hundley (14),42,R
28,29.,Rick Wilkins (11),41,R
29,30.,Elston Howard (14),39,R
30,31.,Jody Davis (10),38,R
31,31.,Joe Mauer (15),38,R
32,31.,Mike Scioscia (13),38,R
33,34.,Ryan Hanigan (11),37,R
34,35.,John Stearns (11),36,R
35,36.,Sherm Lollar (18),35,R
36,36.,"Roberto Perez (7, 31)",35,R
37,38.,"Yan Gomes (9, 32)",34,R
38,38.,Thurman Munson (11),34,R
39,38.,"J.T. Realmuto (7, 29)",34,R
40,41.,Damian Miller (11),33,R
41,41.,Carlos Ruiz (12),33,R
42,41.,Manny Sanguillen (13),33,R
43,44.,Bruce Benedict (12),32,R
44,44.,Mike Ryan (11),32,R
45,46.,Kenji Johjima (4),31,R
46,47.,Ed Bailey (14),30,R
47,47.,Carlton Fisk+ (24),30,R
48,47.,Gerald Laird (13),30,R
49,47.,Steve Lake (11),30,R
50,47.,"Martin Maldonado (10, 33)",30,R
51,52.,Jake Gibbs (10),29,R
52,52.,"James McCann (7, 30)",29,R
53,54.,Yogi Berra+ (19),28,R
54,54.,Mike Redmond (13),28,R
55,56.,"Tucker Barnhart (7, 29)",27,R
56,56.,Alberto Castillo (12),27,R
57,56.,David Ross (15),27,R
58,56.,Terry Steinbach (14),27,R
59,60.,Bill Freehan (15),26,R
60,60.,Jose Molina (15),26,R
61,60.,Humberto Quintero (12),26,R
62,60.,Yorvit Torrealba (13),26,R
63,64.,"Manny Pina (7, 33)",23,R
64,65.,A.J. Ellis (11),22,R
65,65.,Jim Essian (12),22,R
66,65.,Marc Hill (14),22,R
67,68.,"Robinson Chirinos (9, 36)",21,R
68,68.,Jerry Grote (16),21,R
69,68.,Terry Kennedy (14),21,R
70,68.,Benito Santiago (20),21,R
71,72.,Dick Bertell (7),20,R
72,72.,Ramon Hernandez (15),20,R
73,72.,Bob Kearney (8),20,R
74,72.,Buck Rodgers (9),20,R
75,76.,Dann Bilardello (8),19,R
76,76.,Paul Casanova (10),19,R
77,76.,Ernie Whitt (15),19,R
78,79.,Vance Wilson (8),18,R
79,80.,Raul Chavez (11),17,R
80,80.,Bob Melvin (10),17,R
81,80.,George Mitterwald (11),17,R
82,83.,Joe Azcue (11),16,R
83,83.,Lou Berberet (7),16,R
84,83.,Buck Martinez (17),16,R
85,83.,Milt May (15),16,R
86,87.,Ramon Castro (13),15,R
87,87.,Bo Diaz (13),15,R
88,87.,Andy Etchebarren (15),15,R
89,87.,Jason LaRue (12),15,R
90,87.,Johnny Oates (11),15,R
91,92.,Bob Barton (10),14,R
92,92.,Glenn Borgmann (9),14,R
93,92.,Chris Cannizzaro (13),14,R
94,92.,Barry Foote (10),14,R
95,92.,Tom Lampkin (13),14,R
96,92.,"Sandy Leon (9, 31)",14,R
97,92.,Eli Marrero (10),14,R
98,99.,"Willson Contreras (5, 28)",13,R
99,99.,Brandon Inge (13),13,R
100,99.,Paul Lo Duca (11),13,R
101,99.,Russell Martin (14),13,R
102,99.,Carlos Perez (4),13,R
103,99.,Ken Rudolph (9),13,R
104,99.,Dave Valle (13),13,R
105,99.,Jerry Zimmerman (8),13,R
106,107.,"Alex Avila (12, 33)",12,R
107,107.,Rod Barajas (14),12,R
108,107.,Earl Battey (13),12,R
109,107.,Einar Diaz (11),12,R
110,107.,Jorge Fabregas (9),12,R
111,107.,Jim French (7),12,R
112,107.,Erik Kratz (11),12,R
113,107.,"Jeff Mathis (16, 37)",12,R
114,107.,Jerry May (10),12,R
115,107.,Ellie Rodriguez (9),12,R
116,117.,Smoky Burgess (18),11,R
117,117.,Duffy Dyer (14),11,R
118,117.,"Austin Hedges (6, 27)",11,R
119,117.,"Caleb Joseph (7, 34)",11,R
120,117.,Hobie Landrith (14),11,R
121,117.,Mike O'Berry (7),11,R
122,117.,"Wilson Ramos (11, 32)",11,R
123,117.,Phil Roof (15),11,R
124,117.,"Christian Vazquez (6, 29)",11,R
125,126.,Roy Campanella+ (10),10,R
126,126.,Lou Marson (6),10,R
127,126.,Gil Reyes (7),10,R
128,126.,Valmy Thomas (5),10,R
129,130.,Frank Fernandez (6),9,R
130,130.,Jerry McNertney (9),9,R
131,130.,Darrell Porter (17),9,R
132,130.,Landon Powell (3),9,R
133,130.,Hal Smith (7),9,R
134,130.,Jesus Sucre (7),9,R
135,130.,Alex Trevino (13),9,R
136,137.,Eddie Perez (11),8,R
137,137.,Joel Skinner (9),8,R
138,137.,Ken Suarez (7),8,R
139,137.,Jeff Torborg (10),8,R
140,141.,Sandy Alomar (20),7,R
141,141.,Chris Hoiles (10),7,R
142,141.,"Bryan Holaday (9, 32)",7,R
143,141.,Mark Johnson (8),7,R
144,141.,Ray Katt (8),7,R
145,141.,Mark Parent (13),7,R
146,141.,Tom Prince (17),7,R
147,141.,Andy Seminick (15),7,R
148,141.,Joe Torre+ (18),7,R
149,141.,Bobby Wilson (10),7,R
150,151.,Dick Brown (9),6,R
151,151.,Mike Difelice (13),6,R
152,151.,Johnny Edwards (14),6,R
153,151.,Rich Gedman (13),6,R
154,151.,Tuffy Gosewisch (5),6,R
155,151.,"Yasmani Grandal (9, 31)",6,R
156,151.,Elrod Hendricks (12),6,R
157,151.,"Carson Kelly (5, 25)",6,R
158,151.,Fernando Lunar (3),6,R
159,151.,Robert Machado (9),6,R
160,151.,"Luke Maile (5, 29)",6,R
161,151.,Corky Miller (11),6,R
162,151.,Jeff Newman (9),6,R
163,151.,Ed Ott (8),6,R
164,151.,"Jacob Stallings (5, 30)",6,R
165,166.,Jett Bandy (4),5,R
166,166.,"Welington Castillo (10, 33)",5,R
167,166.,Brian Dorsett (8),5,R
168,166.,Chris Herrmann (8),5,R
169,166.,Bengie Molina (13),5,R
170,166.,Angel Pena (3),5,R
171,166.,"Rene Rivera (12, 36)",5,R
172,166.,Jack Shepard (4),5,R
173,166.,Rube Walker (11),5,R
174,175.,"Austin Barnes (6, 30)",4,R
175,175.,"Anthony Bemboom (2, 30)",4,R
176,175.,Chris Coste (4),4,R
177,175.,Joe Girardi (15),4,R
178,175.,Juan Graterol (4),4,R
179,175.,Fran Healy (9),4,R
180,175.,Scott Hemond (7),4,R
181,175.,Terry Humphrey (9),4,R
182,175.,Marcus Jensen (7),4,R
183,175.,Joe Kmak (2),4,R
184,175.,Carl Nichols (6),4,R
185,175.,John Orton (5),4,R
186,175.,Hardy Peterson (4),4,R
187,175.,Mike Roarke (4),4,R
188,175.,Ed Sadowski (5),4,R
189,175.,Matt Sinatro (10),4,R
190,175.,Marc Sullivan (5),4,R
191,175.,Steve Swisher (9),4,R
192,175.,El Tappe (6),4,R
193,175.,Moe Thacker (5),4,R
194,175.,Wes Westrum (11),4,R
195,196.,Gary Allenson (7),3,R
196,196.,Danny Ardoin (5),3,R
197,196.,Joe Astroth (10),3,R
198,196.,John Boccabella (12),3,R
199,196.,"Victor Caratini (4, 26)",3,R
200,196.,Ben Davis (7),3,R
201,196.,Bill Fahey (11),3,R
202,196.,"Dustin Garneau (6, 32)",3,R
203,196.,Bob Geren (5),3,R
204,196.,Frank House (10),3,R
205,196.,Chris Howard (3),3,R
206,196.,Larry Owen (6),3,R
207,196.,"Michael Perez (3, 27)",3,R
208,196.,Bill Sarni (5),3,R
209,196.,Billy Shantz (3),3,R
210,196.,Kelly Shoppach (9),3,R
211,196.,Ray Smith (3),3,R
212,196.,John Sullivan (5),3,R
213,214.,"Drew Butera (11, 36)",2,R
214,214.,Javier Cardona (3),2,R
215,214.,Steve Decker (7),2,R
216,214.,Jeff DeWillis (1),2,R
217,214.,Jack Fimple (4),2,R
218,214.,Wiki Gonzalez (7),2,R
219,214.,Bill Heath (4),2,R
220,214.,"Jonah Heim (1, 25)",2,R
221,214.,Eric Helfand (3),2,R
222,214.,Bob Henley (1),2,R
223,214.,Ken Huckaby (6),2,R
224,214.,Spencer Kieboom (2),2,R
225,214.,"Andrew Knizner (2, 25)",2,R
226,214.,Chris Krug (3),2,R
227,214.,Bill Lindsey (1),2,R
228,214.,Cody McKay (2),2,R
229,214.,Devin Mesoraco (8),2,R
230,214.,Greg Myers (18),2,R
231,214.,Dioner Navarro (13),2,R
232,214.,Dave Roberts (10),2,R
233,214.,Vic Roznovsky (5),2,R
234,214.,Cameron Rupp (5),2,R
235,214.,Nelson Santovenia (7),2,R
236,214.,Jimmie Schaffer (8),2,R
237,214.,Tim Spehr (8),2,R
238,214.,Jeff Tackett (4),2,R
239,214.,Jim Tatum (5),2,R
240,214.,Ron Tingley (9),2,R
241,214.,J.R. Towles (5),2,R
242,214.,"Jose Trevino (3, 27)",2,R
243,214.,"Chad Wallach (4, 28)",2,R
244,214.,Neal Watlington (1),2,R
245,214.,"Tony Wolters (5, 28)",2,R
246,247.,"Christian Bethancourt (5, 28)",1,R
247,247.,Randy Bobb (2),1,R
248,247.,Steve Christmas (3),1,R
249,247.,Cody Clark (1),1,R
250,247.,Craig Colbert (2),1,R
251,247.,Tony Cruz (7),1,R
252,247.,Jeff Datz (1),1,R
253,247.,Jim Deidel (1),1,R
254,247.,"Nick Dini (1, 26)",1,R
255,247.,Ed Easley (1),1,R
256,247.,Luis Exposito (1),1,R
257,247.,Jim Fanning (4),1,R
258,247.,John Flaherty (14),1,R
259,247.,Les Fusselman (2),1,R
260,247.,"Cam Gallagher (4, 27)",1,R
261,247.,Guillermo Garcia (2),1,R
262,247.,John Gibbons (2),1,R
263,247.,Toby Hall (9),1,R
264,247.,Bill Hayes (2),1,R
265,247.,"Tyler Heineman (2, 29)",1,R
266,247.,Bret Hemphill (1),1,R
267,247.,Ron Henry (2),1,R
268,247.,"Alex Jackson (2, 24)",1,R
269,247.,Jason Jaramillo (3),1,R
270,247.,Darrell Johnson (6),1,R
271,247.,Ed Kirkpatrick (16),1,R
272,247.,Jesse Levis (9),1,R
273,247.,Steve Lomasney (1),1,R
274,247.,Jerry Lynch (13),1,R
275,247.,Mike Mahoney (3),1,R
276,247.,Jim Mangan (3),1,R
277,247.,Mike Marjama (2),1,R
278,247.,Don McCormack (2),1,R
279,247.,Clyde McCullough (15),1,R
280,247.,Adam Melhuse (8),1,R
281,247.,Willie Morales (1),1,R
282,247.,"Sean Murphy (2, 25)",1,R
283,247.,Cal Neeman (7),1,R
284,247.,Hector Ortiz (4),1,R
285,247.,Ronny Paulino (8),1,R
286,247.,Les Peden (1),1,R
287,247.,"Kevin Plawecki (6, 29)",1,R
288,247.,Bobby Ramos (6),1,R
289,247.,Ken Retzer (4),1,R
290,247.,John Roseboro (14),1,R
291,247.,Mike Sandlock (5),1,R
292,247.,Joe Siddall (4),1,R
293,247.,Charlie Silvera (10),1,R
294,247.,Ron Slocum (3),1,R
295,247.,B.J. Surhoff (19),1,R
296,247.,"Beau Taylor (3, 30)",1,R
297,247.,Curtis Thigpen (2),1,R
298,247.,Tom Tischinski (3),1,R
299,247.,"Chadwick Tromp (1, 25)",1,R
300,247.,Sammy White (11),1,R
301,302.,Eliezer Alfonzo (6),0,R
302,302.,Dick Aylward (1),0,R
303,302.,Frank Baldwin (1),0,R
304,302.,Brandon Bantz (1),0,R
305,302.,Cuno Barragan (3),0,R
306,302.,Jorge Brito (2),0,R
307,302.,Arlo Brunsberg (1),0,R
308,302.,Nelson Burbrink (1),0,R
309,302.,Mack Burk (2),0,R
310,302.,Jim Busby (13),0,R
311,302.,Dan Butler (2),0,R
312,302.,Sam Calderone (3),0,R
313,302.,Bert Campaneris (19),0,R
314,302.,Tony Castillo (1),0,R
315,302.,Wilkin Castillo (3),0,R
316,302.,Joey Cora (11),0,R
317,302.,Bob Davis (8),0,R
318,302.,Brad Davis (1),0,R
319,302.,Carlos Delgado (17),0,R
320,302.,Joe Depastino (1),0,R
321,302.,"Josh Donaldson (10, 34)",0,R
322,302.,Jake Elmore (6),0,R
323,302.,"Eduardo Escobar (10, 31)",0,R
324,302.,Brian Esposito (2),0,R
325,302.,"Kyle Farmer (4, 29)",0,R
326,302.,Jack Feller (1),0,R
327,302.,Roger Freed (8),0,R
328,302.,"Aramis Garcia (2, 27)",0,R
329,302.,Chuck Goggin (3),0,R
330,302.,Mickey Grasso (7),0,R
331,302.,"Deivy Grullon (2, 24)",0,R
