,Rank,"Player (yrs, age)",Total Zone Runs as 1B (s.1953),Throws
0,1.,Keith Hernandez (17),120,L
1,2.,Todd Helton (17),106,L
2,3.,Adrian Gonzalez (15),99,L
3,4.,John Olerud (17),95,L
4,4.,"Albert Pujols (20, 40)",95,R
5,6.,George Scott (14),90,R
6,7.,Mark Grace (16),77,L
7,8.,Pete O'Brien (12),74,L
8,9.,Vic Power (12),62,R
9,10.,Eddie Murray+ (21),61,R
10,11.,"Anthony Rizzo (10, 30)",60,L
11,12.,Tino Martinez (16),58,R
12,13.,Lyle Overbay (14),55,L
13,13.,Bill White (13),55,L
14,15.,Wally Joyner (16),52,L
15,15.,Rafael Palmeiro (20),52,L
16,17.,"Paul Goldschmidt (10, 32)",50,R
17,18.,Carl Yastrzemski+ (23),48,R
18,19.,"Brandon Belt (10, 32)",47,L
19,19.,Jeff King (11),47,R
20,21.,Bill Skowron (14),46,R
21,22.,Sid Bream (12),43,L
22,22.,Gil Hodges (18),43,R
23,22.,Mark Teixeira (14),43,R
24,25.,Tommy McCraw (13),40,L
25,26.,Norm Cash (17),39,L
26,27.,Darrell Evans (21),37,R
27,28.,Willie Upshaw (10),35,L
28,28.,Kevin Young (12),35,R
29,30.,Don Mattingly (14),33,L
30,31.,Casey Kotchman (10),32,L
31,31.,Mike Napoli (12),32,R
32,33.,Jeff Bagwell+ (15),31,R
33,33.,Chris Chambliss (17),31,R
34,35.,Sean Casey (12),29,R
35,35.,Don Mincher (13),29,R
36,35.,Wes Parker (9),29,L
37,38.,"Carlos Santana (11, 34)",28,R
38,38.,Kevin Youkilis (10),28,R
39,40.,"Mitch Moreland (11, 34)",26,L
40,41.,Danny Cater (12),25,R
41,42.,Scott Spiezio (12),24,R
42,43.,Joe Cunningham (12),23,L
43,44.,Travis Lee (9),22,L
44,44.,Joe Pepitone (12),22,L
45,46.,Greg Brock (10),21,R
46,47.,Darin Erstad (14),20,L
47,47.,Mike Hegan (12),20,L
48,47.,Dave Magadan (16),20,R
49,50.,Daric Barton (8),19,R
50,50.,Rod Carew+ (19),19,R
51,50.,Jeff Conine (17),19,R
52,53.,Larry Biittner (14),18,L
53,53.,Rick Leach (10),18,L
54,53.,Jose Offerman (15),18,R
55,53.,"Matt Olson (5, 26)",18,R
56,53.,Carlos Quintana (5),18,R
57,58.,Julio Franco (23),17,R
58,58.,"Yuli Gurriel (5, 36)",17,R
59,58.,Justin Morneau (14),17,R
60,58.,Tony Solaita (7),17,L
