,Rank,"Player (yrs, age)",Range Factor/Game as 2B,Throws
0,1.,Joe Gerhardt (15),6.464,R
1,2.,Hardy Richardson (14),6.397,R
2,3.,Fred Pfeffer (16),6.390,R
3,4.,Bid McPhee+ (18),6.327,R
4,5.,Fred Dunlap (12),6.311,R
5,6.,Joe Quest (10),6.294,R
6,7.,Pop Smith (12),6.142,R
7,8.,Lou Bierbauer (13),6.068,R
8,9.,Sam Barkley (6),6.060,R
9,10.,Ski Melillo (12),5.992,R
10,11.,Cub Stricker (11),5.969,R
11,12.,Danny Richardson (11),5.958,R
12,13.,Freddie Maguire (6),5.920,R
13,14.,Hughie Critz (12),5.908,R
14,15.,Fresco Thompson (9),5.899,R
15,16.,Jack Burdock (18),5.890,R
16,17.,Frankie Frisch+ (19),5.888,R
17,18.,Cupid Childs (13),5.872,R
18,19.,Jimmy Dykes (22),5.830,R
19,20.,Sparky Adams (13),5.824,R
20,21.,Bucky Harris+ (12),5.789,R
21,22.,Nap Lajoie+ (21),5.780,R
22,23.,Burgess Whitehead (9),5.772,R
23,24.,Billy Herman+ (15),5.770,R
24,25.,Jerry Priddy (11),5.762,R
25,26.,Jack Farrell (11),5.754,R
26,27.,Bobby Doerr+ (14),5.744,R
27,28.,Jackie Hayes (14),5.721,R
28,29.,Reddy Mack (6),5.720,
29,30.,Bobby Lowe (18),5.704,R
30,31.,Marty McManus (15),5.699,R
31,32.,Bill Regan (6),5.692,R
32,33.,Jack Crooks (8),5.687,R
33,34.,Hod Ford (15),5.683,R
34,35.,Al Myers (8),5.677,R
35,36.,Charley Bassett (9),5.674,R
36,37.,Charlie Gehringer+ (19),5.638,R
37,37.,Buddy Myer (17),5.638,R
38,39.,Tony Cuccinello (15),5.622,R
39,40.,Pep Young (10),5.617,R
40,41.,Rabbit Maranville+ (23),5.606,R
41,42.,Odell Hale (10),5.604,R
42,43.,Bill Sweeney (8),5.592,R
43,44.,Hobe Ferris (9),5.591,R
44,45.,Lonny Frey (14),5.581,R
45,45.,Heinie Reitz (7),5.581,R
46,47.,Bill Mazeroski+ (17),5.568,R
47,48.,Don Kolloway (12),5.546,R
48,49.,George Cutshaw (12),5.542,R
49,50.,George Grantham (13),5.541,R
50,51.,Bill Wambsganss (13),5.523,R
51,52.,Cass Michaels (12),5.520,R
52,53.,Bill Greenwood (6),5.519,L
53,54.,Bump Wills (6),5.496,R
54,55.,Jimmy Bloodworth (11),5.484,R
55,56.,Joe Quinn (17),5.470,R
56,57.,Joe Gordon+ (11),5.468,R
57,58.,Kid Gleason (22),5.466,R
58,59.,Dave Shean (9),5.444,R
59,60.,Bobby Grich (17),5.438,R
60,61.,Glenn Hubbard (12),5.435,R
