,Rank,"Player (yrs, age)",Fielding % as 2B,Throws
0,1.,Placido Polanco (16),.9927,R
1,2.,Jose Oquendo (12),.9919,R
2,3.,"Dustin Pedroia (14, 36)",.9914,R
3,4.,Craig Counsell (16),.9913,R
4,5.,Mark Ellis (12),.9910,R
5,6.,"DJ LeMahieu (10, 31)",.9906,R
6,7.,Jamey Carroll (12),.9899,R
7,8.,Scott Fletcher (15),.9898,R
8,9.,Freddy Sanchez (10),.9897,R
9,10.,Ryne Sandberg+ (16),.9894,R
10,11.,Tom Herr (13),.9890,R
11,11.,Mark Loretta (15),.9890,R
12,13.,Aaron Hill (13),.9889,R
13,14.,Mickey Morandini (11),.9887,R
14,15.,Danny Espinosa (8),.9886,R
15,16.,Darwin Barney (8),.9885,R
16,17.,Jose Lind (9),.9884,R
17,18.,"Neil Walker (12, 34)",.9882,R
18,19.,Jody Reed (11),.9879,R
19,20.,"Robinson Cano (16, 37)",.9876,R
20,21.,Brandon Phillips (17),.9875,R
21,22.,Rich Dauer (10),.9874,R
22,22.,"Joe Panik (7, 29)",.9874,R
23,24.,"Brian Dozier (9, 33)",.9870,R
24,25.,Ben Zobrist (14),.9869,R
25,26.,Marco Scutaro (13),.9866,R
26,27.,Orlando Hudson (11),.9865,R
27,27.,Billy Ripken (12),.9865,R
28,27.,Brian Roberts (14),.9865,R
29,30.,Edgardo Alfonzo (12),.9863,R
30,30.,Mark Grudzielanek (15),.9863,R
31,32.,Marty Barrett (10),.9861,R
32,32.,Doug Flynn (11),.9861,R
33,32.,Mike Lansing (9),.9861,R
34,35.,Bret Boone (14),.9856,R
35,35.,Mike Gallego (13),.9856,R
36,37.,Chuck Schilling (5),.9853,R
37,38.,Jerry Adair (13),.9852,R
38,38.,"Jose Altuve (10, 30)",.9852,R
39,40.,"Gordon Beckham (11, 33)",.9851,R
40,41.,Quilvio Veras (7),.9850,R
41,42.,Jim Gantner (17),.9849,R
42,43.,Howie Kendrick (15),.9848,R
43,43.,Luis Rivas (8),.9848,R
44,45.,Pokey Reese (8),.9847,R
45,46.,Jose Vidro (12),.9845,R
46,47.,Luis Castillo (15),.9843,R
47,48.,Miguel Cairo (17),.9841,R
48,48.,Gil McDougald (10),.9841,R
49,48.,Aaron Miles (9),.9841,R
50,51.,Jeff Frye (8),.9840,R
51,51.,Bobby Grich (17),.9840,R
52,51.,Mark Lemke (11),.9840,R
53,51.,Frank White (18),.9840,R
54,55.,"Jason Kipnis (10, 33)",.9839,R
55,56.,Roberto Alomar+ (17),.9838,R
56,57.,Craig Biggio+ (20),.9837,R
57,57.,Damion Easley (17),.9837,R
58,57.,Jerry Lumpe (12),.9837,R
59,57.,Cookie Rojas (16),.9837,R
60,57.,Lou Whitaker (19),.9837,R
61,62.,Dave Cash (12),.9836,R
62,63.,Nellie Fox+ (19),.9835,R
63,63.,Fernando Vina (12),.9835,R
64,65.,Alex Cora (14),.9834,R
65,66.,Duane Kuiper (12),.9833,R
66,67.,Tommy Helms (14),.9832,R
67,68.,Bill Doran (12),.9831,R
68,68.,Dick Green (12),.9831,R
69,70.,Jackie Robinson+ (10),.9830,R
70,70.,Red Schoendienst+ (19),.9830,R
71,72.,Robby Thompson (11),.9829,R
72,73.,Glenn Hubbard (12),.9828,R
73,73.,Bill Mazeroski+ (17),.9828,R
74,75.,Horace Clarke (10),.9826,R
75,75.,Julio Cruz (10),.9826,R
76,77.,Adam Kennedy (14),.9824,R
77,78.,Tim Flannery (11),.9823,R
78,78.,Pete Suder (13),.9823,R
79,80.,Johnny Ray (10),.9822,R
80,81.,Frank Bolling (12),.9821,R
81,81.,"Dee Strange-Gordon (10, 32)",.9821,R
82,83.,Chase Utley (16),.9819,R
83,84.,Rob Wilfong (11),.9818,R
84,85.,Marcus Giles (7),.9817,R
85,85.,Jose Lopez (9),.9817,R
86,87.,Scooter Gennett (7),.9816,R
87,87.,Chuck Knoblauch (12),.9816,R
88,89.,Carlos Garcia (10),.9815,R
89,90.,"Logan Forsythe (10, 33)",.9814,R
90,91.,Jerry Hairston (16),.9813,R
91,91.,Keith Lockhart (10),.9813,R
92,91.,Todd Walker (12),.9813,R
93,94.,Tony Graffanino (13),.9812,R
94,94.,"Cesar Hernandez (8, 30)",.9812,R
95,94.,Joe Morgan+ (22),.9812,R
96,94.,"Jonathan Schoop (8, 28)",.9812,R
97,98.,Doug Griffin (8),.9810,R
98,98.,Manny Trillo (17),.9810,R
99,100.,Ronnie Belliard (13),.9809,R
100,100.,Kelly Johnson (11),.9809,R
101,100.,Ian Kinsler (14),.9809,R
102,100.,Mark McLemore (19),.9809,R
103,100.,"Kolten Wong (8, 29)",.9809,R
104,105.,Omar Infante (15),.9808,R
105,106.,Tony Phillips (18),.9807,R
106,107.,Jerry Remy (10),.9805,R
107,108.,Danny O'Connell (10),.9804,R
108,108.,Ron Oester (13),.9804,R
109,108.,Snuffy Stirnweiss (10),.9804,R
110,108.,Randy Velarde (16),.9804,R
111,112.,Bobby Doerr+ (14),.9803,R
112,113.,Jeff Kent (17),.9802,R
113,113.,Tim Teufel (11),.9802,R
114,115.,Wally Backman (14),.9799,R
115,115.,Davey Johnson (13),.9799,R
116,117.,Bobby Knoop (9),.9798,R
117,117.,Felix Millan (12),.9798,R
118,117.,Pete Runnels (14),.9798,R
119,120.,Billy Martin (11),.9797,R
120,121.,Damaso Garcia (11),.9796,R
121,121.,Bobby Young (8),.9796,R
122,123.,Bernie Allen (12),.9795,R
123,123.,Willie Randolph (18),.9795,R
124,125.,Jack Brohamer (9),.9794,R
125,126.,Harold Reynolds (12),.9793,R
126,127.,Jim Gilliam (14),.9791,R
127,127.,Ted Sizemore (12),.9791,R
128,127.,Bump Wills (6),.9791,R
129,130.,Ray Durham (14),.9790,R
130,131.,Dan Uggla (10),.9789,R
131,132.,Don Blasingame (12),.9787,R
132,132.,Ken Boswell (11),.9787,R
133,132.,Bobby Richardson (12),.9787,R
134,135.,Bobby Avila (11),.9786,R
135,136.,Julio Franco (23),.9785,R
136,136.,Jim Lefebvre (8),.9785,R
137,136.,Charlie Neal (8),.9785,R
138,139.,Billy Gardner (10),.9783,R
139,140.,Steve Sax (14),.9782,R
140,141.,Eddie Mayo (9),.9781,R
141,142.,Tony Bernazard (10),.9777,R
142,142.,Rennie Stennett (11),.9777,R
143,144.,"Daniel Murphy (12, 35)",.9776,R
144,145.,Sandy Alomar (15),.9775,R
145,145.,Jerry Browne (10),.9775,R
146,147.,Davey Lopes (16),.9773,R
147,148.,Dick McAuliffe (16),.9772,R
148,149.,Denny Doyle (8),.9771,R
149,149.,Bip Roberts (12),.9771,R
150,149.,Tony Womack (13),.9771,R
151,152.,"Starlin Castro (11, 30)",.9769,R
152,152.,Pat Kelly (9),.9769,R
153,154.,Delino DeShields (13),.9767,R
154,154.,Jose Offerman (15),.9767,R
155,156.,Marlon Anderson (12),.9764,R
156,156.,Nelson Liriano (11),.9764,R
157,158.,Jerry Coleman (9),.9763,R
158,158.,Eric Young Sr. (15),.9763,R
159,160.,Jackie Hayes (14),.9762,R
160,161.,Carlos Baerga (14),.9760,R
161,162.,Max Bishop (12),.9759,R
162,163.,Charlie Gehringer+ (19),.9758,R
163,164.,Ron Hunt (12),.9756,R
164,165.,Tony Taylor (19),.9755,R
165,166.,Pete Rose (24),.9754,R
166,167.,Jeff Treadway (9),.9752,R
167,168.,"Rougned Odor (7, 26)",.9751,R
168,169.,Jimmy Bloodworth (11),.9748,R
169,169.,Danny Murtaugh (9),.9748,R
170,171.,Eddie Stanky (11),.9747,R
171,172.,Luis Alicea (13),.9746,R
172,173.,Hod Ford (15),.9744,R
173,173.,Jorge Orta (16),.9744,R
174,173.,Wayne Terwilliger (9),.9744,R
175,176.,Phil Garner (16),.9743,R
176,177.,Sparky Adams (13),.9742,R
177,177.,Buddy Myer (17),.9742,R
178,177.,Johnny Temple (13),.9742,R
179,180.,Hughie Critz (12),.9738,R
180,181.,Frankie Frisch+ (19),.9737,R
181,182.,Tito Fuentes (13),.9736,R
182,183.,Ski Melillo (12),.9735,R
183,184.,Mike Tyson (10),.9734,R
184,185.,Don Heffner (11),.9730,R
185,186.,Glenn Beckert (11),.9729,R
186,186.,Rabbit Maranville+ (23),.9729,R
187,188.,Rod Carew+ (19),.9728,R
188,188.,Lonny Frey (14),.9728,R
189,188.,Jerry Priddy (11),.9728,R
190,191.,Tony Cuccinello (15),.9727,R
191,191.,Cass Michaels (12),.9727,R
192,193.,Mike Andrews (8),.9725,R
193,193.,Juan Samuel (16),.9725,R
194,195.,Mariano Duncan (12),.9724,R
195,196.,Burgess Whitehead (9),.9723,R
196,197.,Billy Goodman (16),.9717,R
197,198.,Julian Javier (13),.9716,R
198,199.,Emil Verban (7),.9714,R
199,200.,Pedro Garcia (5),.9713,R
200,200.,Freddie Maguire (6),.9713,R
201,200.,Alfonso Soriano (16),.9713,R
202,203.,Joey Cora (11),.9709,R
203,204.,Gary Sutherland (13),.9708,R
204,205.,Aaron Ward (12),.9704,R
205,206.,Eddie Collins+ (25),.9702,R
206,206.,Derrel Thomas (15),.9702,R
207,208.,Morrie Rath (6),.9698,R
208,208.,Connie Ryan (12),.9698,R
209,208.,Rickie Weeks (14),.9698,R
210,211.,Joe Gordon+ (11),.9696,R
211,212.,Granny Hamner (17),.9693,R
212,213.,Joe Gedeon (7),.9691,R
213,214.,Johnny Rawlings (12),.9683,R
214,215.,Tony Lazzeri+ (14),.9674,R
215,216.,Billy Herman+ (15),.9673,R
216,217.,Jerry Kindall (9),.9672,R
217,218.,Chuck Hiller (8),.9669,R
218,219.,Ray Mack (9),.9663,R
219,220.,George Cutshaw (12),.9650,R
220,220.,Bucky Harris+ (12),.9650,R
221,222.,Rogers Hornsby+ (23),.9646,R
222,222.,Marty McManus (15),.9646,R
223,224.,Alex Kampouris (9),.9642,R
224,224.,Don Kolloway (12),.9642,R
225,224.,Pep Young (10),.9642,R
226,227.,Don Gutteridge (12),.9640,R
227,228.,Pete Coscarart (9),.9634,R
228,229.,John Hummel (12),.9633,R
229,230.,Nap Lajoie+ (21),.9631,R
230,231.,Fresco Thompson (9),.9620,R
231,232.,Bill Regan (6),.9618,R
232,233.,Dave Shean (9),.9608,R
233,234.,Del Pratt (13),.9600,R
234,235.,Odell Hale (10),.9590,R
235,236.,Ralph Young (9),.9588,R
236,237.,Jimmy Dykes (22),.9583,R
237,238.,Bill Wambsganss (13),.9580,R
238,239.,Claude Ritchey (13),.9571,R
239,240.,Otto Knabe (11),.9566,R
240,241.,Dick Egan (9),.9561,R
241,242.,Miller Huggins+ (13),.9558,R
242,243.,Steve Yerkes (7),.9557,R
243,244.,Jimmy Williams (11),.9555,R
244,245.,Frankie Gustine (12),.9554,R
245,246.,Heinie Reitz (7),.9552,R
246,247.,Johnny Evers+ (18),.9545,R
247,248.,Hobe Ferris (9),.9544,R
248,249.,Germany Schaefer (15),.9539,R
249,250.,Ray Morgan (8),.9534,R
250,251.,Danny Murphy (16),.9527,R
251,252.,Dots Miller (12),.9526,R
252,253.,Frank LaPorte (11),.9517,R
253,254.,Bobby Lowe (18),.9507,R
254,255.,Dick Padden (9),.9497,R
255,256.,George Grantham (13),.9495,R
256,257.,Larry Doyle (14),.9493,R
257,257.,Bill Sweeney (8),.9493,R
258,259.,Gene DeMontreville (11),.9477,R
259,260.,Jim Delahanty (13),.9464,R
260,261.,Jack Crooks (8),.9459,R
261,262.,Joe Quinn (17),.9458,R
262,263.,Bid McPhee+ (18),.9445,R
263,264.,Billy Gilbert (8),.9420,R
264,265.,Bill Hallman (14),.9406,R
265,266.,Danny Richardson (11),.9400,R
266,267.,Kid Gleason (22),.9382,R
267,268.,Lou Bierbauer (13),.9352,R
268,269.,Charley Bassett (9),.9318,R
269,270.,Tom Daly (17),.9314,R
270,271.,Cupid Childs (13),.9297,R
271,272.,Sam Barkley (6),.9285,R
272,273.,Fred Dunlap (12),.9243,R
273,274.,Fred Pfeffer (16),.9198,R
274,275.,Bill Greenwood (6),.9158,L
275,276.,Hardy Richardson (14),.9147,R
276,277.,Al Myers (8),.9141,R
277,278.,Joe Gerhardt (15),.9118,R
278,279.,Cub Stricker (11),.9070,R
279,280.,Jack Burdock (18),.9060,R
280,281.,Reddy Mack (6),.9049,
281,282.,Pop Smith (12),.9033,R
282,283.,Joe Quest (10),.9002,R
283,284.,Jack Farrell (11),.8993,R
284,285.,Yank Robinson (10),.8865,R
