,Rank,"Player (yrs, age)",Range Factor/9Inn as 3B,Throws
0,1.,Brooks Robinson+ (23),3.241,R
1,2.,Darrell Evans (21),3.236,R
2,3.,Eric Soderholm (9),3.191,R
3,4.,Aurelio Rodriguez (17),3.189,R
4,5.,Buddy Bell (18),3.187,R
5,6.,Jerry Royster (16),3.179,R
6,7.,Mike Schmidt+ (18),3.152,R
7,8.,George Brett+ (21),3.114,R
8,9.,Doug Rader (11),3.093,R
9,10.,Terry Pendleton (15),3.085,R
10,11.,"Nolan Arenado (8, 29)",3.077,R
11,12.,Graig Nettles (22),3.075,R
12,13.,Doug DeCinces (15),3.067,R
13,14.,Wayne Garrett (10),3.057,R
14,15.,Lenny Randle (12),3.028,R
15,16.,Brandon Inge (13),3.025,R
16,17.,Kelly Gruber (10),3.012,R
17,18.,Don Money (16),3.001,R
18,19.,Paul Molitor+ (21),2.976,R
19,20.,Bill Stein (14),2.965,R
20,21.,Phil Garner (16),2.949,R
21,22.,Roy Howell (11),2.940,R
22,23.,Sal Bando (16),2.937,R
23,24.,Jeff King (11),2.918,R
24,25.,Gary Gaetti (20),2.916,R
25,26.,Steve Ontiveros (8),2.911,R
26,27.,Tom Brookens (12),2.908,R
27,28.,Luis Salazar (13),2.907,R
28,29.,Ron Cey (17),2.899,R
29,30.,Shane Andrews (7),2.898,R
30,31.,Ken Oberkfell (16),2.889,R
31,32.,Tim Wallach (17),2.864,R
32,33.,Scott Rolen (17),2.862,R
33,34.,Pedro Alvarez (9),2.853,R
34,35.,Matt Williams (17),2.846,R
35,36.,Eric Chavez (17),2.844,R
36,37.,"Manny Machado (9, 27)",2.838,R
37,37.,Robin Ventura (16),2.838,R
38,39.,Melvin Mora (13),2.820,R
39,40.,Placido Polanco (16),2.815,R
40,41.,Wayne Gross (11),2.810,R
41,42.,Jack Howell (11),2.807,R
42,43.,Steve Buechele (11),2.802,R
43,44.,Larry Parrish (15),2.800,R
44,45.,Garth Iorg (9),2.798,R
45,46.,Ken Reitz (11),2.796,R
46,47.,Butch Hobson (8),2.794,R
47,48.,Aaron Boone (12),2.792,R
48,49.,"Kyle Seager (10, 32)",2.791,R
49,50.,Jeff Cirillo (14),2.789,R
50,50.,Juan Uribe (16),2.789,R
51,52.,Pedro Feliz (11),2.786,R
52,53.,Adrian Beltre (21),2.785,R
53,54.,Vinny Castilla (16),2.779,R
54,55.,David Bell (12),2.767,R
55,56.,Ken Caminiti (15),2.765,R
56,56.,"Josh Donaldson (10, 34)",2.765,R
57,58.,Jim Morrison (12),2.763,R
58,59.,Enos Cabell (15),2.759,R
59,59.,Joe Crede (10),2.759,R
60,59.,Richie Hebner (18),2.759,R
61,59.,Joe Randa (12),2.759,R
62,63.,Wade Boggs+ (18),2.757,R
63,64.,Charlie Hayes (14),2.754,R
64,65.,"Ryan Zimmerman (15, 35)",2.751,R
65,66.,Bobby Bonilla (16),2.738,R
66,66.,Scott Brosius (11),2.738,R
67,68.,Morgan Ensberg (8),2.727,R
68,69.,Mike Lowell (13),2.725,R
69,69.,Mike Pagliarulo (11),2.725,R
70,71.,Edgardo Alfonzo (12),2.710,R
71,72.,Corey Koskie (9),2.704,R
72,73.,Jim Presley (8),2.701,R
73,74.,Tony Batista (11),2.700,R
74,75.,Sean Berry (11),2.697,R
75,76.,Kevin Seitzer (12),2.692,R
76,77.,Bob Horner (10),2.689,R
77,78.,Troy Glaus (13),2.684,R
78,79.,"Mike Moustakas (10, 31)",2.678,R
79,80.,Hubie Brooks (15),2.674,R
80,81.,Casey Blake (13),2.670,R
81,82.,Cal Ripken Jr.+ (21),2.669,R
82,83.,Geoff Blum (14),2.666,R
83,84.,Trevor Plouffe (9),2.663,R
84,85.,Edgar Martinez+ (18),2.662,R
85,86.,Toby Harrah (17),2.655,R
86,87.,Vance Law (11),2.647,R
87,88.,Bill Mueller (11),2.643,R
88,89.,Pete Rose (24),2.633,R
89,90.,"Evan Longoria (13, 34)",2.628,R
90,91.,Ray Knight (13),2.625,R
91,92.,Brook Jacoby (11),2.619,R
92,93.,Travis Fryman (13),2.617,R
93,94.,Leo Gomez (7),2.607,R
94,94.,David Wright (14),2.607,R
95,96.,Chase Headley (12),2.596,R
96,97.,Bill Madlock (15),2.590,R
97,98.,Todd Zeile (16),2.589,R
98,99.,Danny Valencia (9),2.583,R
99,100.,Alberto Callaspo (10),2.576,R
100,101.,Hank Blalock (9),2.572,R
101,102.,Carney Lansford (15),2.570,R
102,103.,Ty Wigginton (12),2.565,R
103,104.,Chone Figgins (12),2.560,R
104,104.,Dave Magadan (16),2.560,R
105,106.,Rance Mulliniks (16),2.559,R
