,Rank,"Player (yrs, age)",Range Factor/9Inn as LF (s.1948),Throws
0,1.,Willie Wilson (19),2.766,R
1,2.,Gary Ward (12),2.429,R
2,3.,Rickey Henderson+ (25),2.411,L
3,4.,Dan Gladden (11),2.379,R
4,5.,Ben Oglivie (16),2.366,L
5,6.,Tony Phillips (18),2.358,R
6,7.,Dave Collins (16),2.340,L
7,7.,Marty Cordova (9),2.340,R
8,9.,Bobby Higginson (11),2.333,R
9,10.,Al Woods (7),2.311,L
10,11.,Billy Sample (9),2.305,R
11,12.,Jim Wohlford (15),2.299,R
12,13.,Mel Hall (13),2.286,L
13,14.,Jay Payton (12),2.282,R
14,15.,Roy White (15),2.265,R
15,16.,Larry Herndon (14),2.262,R
16,17.,Carmelo Martinez (9),2.224,R
17,18.,Gary Roenicke (12),2.219,R
18,19.,Albert Belle (12),2.214,R
19,20.,Brady Anderson (15),2.207,L
20,20.,Joe Carter (16),2.207,R
21,22.,Greg Vaughn (15),2.201,R
22,23.,Carl Crawford (15),2.192,L
23,24.,Joe Rudi (16),2.183,R
24,25.,Steve Henderson (12),2.178,R
25,26.,Brian Downing (20),2.176,R
26,26.,John Lowenstein (16),2.176,R
27,28.,Luis Polonia (12),2.169,L
28,29.,Billy Hatcher (12),2.167,R
29,30.,Jim Rice+ (16),2.161,R
30,31.,Rusty Greer (9),2.157,L
31,32.,Jose Cruz (19),2.152,L
32,33.,Gary Redus (13),2.147,R
33,34.,Johnny Damon (18),2.142,L
34,35.,George Foster (18),2.140,R
35,36.,Scott Podsednik (11),2.135,L
36,37.,"Alex Gordon (14, 36)",2.130,R
37,38.,Barry Bonds (22),2.115,L
38,39.,Garret Anderson (17),2.104,L
39,39.,Bernard Gilkey (12),2.104,R
40,41.,Ralph Garr (13),2.100,R
41,41.,Lonnie Smith (17),2.100,R
42,43.,"Yoenis Céspedes (8, 34)",2.099,R
43,44.,Kevin Mitchell (13),2.097,R
44,45.,Steve Kemp (11),2.091,L
45,46.,Tim Raines+ (23),2.088,R
46,47.,Phil Bradley (8),2.084,R
47,48.,Geoff Jenkins (11),2.082,R
48,49.,Rondell White (15),2.077,R
49,50.,Eric Byrnes (11),2.075,R
50,51.,Don Baylor (19),2.068,R
51,51.,Lou Piniella (18),2.068,R
52,53.,Gerardo Parra (11),2.067,L
53,54.,Shannon Stewart (14),2.060,R
54,55.,Kevin McReynolds (12),2.056,R
55,56.,Gene Richards (8),2.053,L
56,57.,Brian Giles (15),2.040,L
57,58.,Hideki Matsui (10),2.038,R
58,59.,B.J. Surhoff (19),2.030,R
59,60.,George Bell (12),2.021,R
60,61.,Ken Griffey (19),2.015,L
61,62.,Kal Daniels (7),2.012,R
62,62.,Derrick May (10),2.012,R
63,64.,Vince Coleman (13),2.006,R
64,65.,Pete Incaviglia (12),2.005,R
65,66.,Ron Gant (16),2.004,R
66,66.,Troy O'Leary (11),2.004,L
67,68.,Mike Greenwell (12),2.000,R
68,68.,Reed Johnson (13),2.000,R
69,70.,"Corey Dickerson (8, 31)",1.997,R
70,70.,Luis Gonzalez (19),1.997,R
71,72.,Alfonso Soriano (16),1.995,R
72,73.,Jason Bay (11),1.985,R
73,74.,Lou Brock+ (19),1.973,L
74,75.,Seth Smith (11),1.972,L
75,76.,"Justin Upton (14, 32)",1.964,R
76,77.,Adam Dunn (14),1.961,R
77,78.,"Brett Gardner (13, 36)",1.954,L
78,79.,Juan Pierre (14),1.942,L
79,80.,Todd Hollandsworth (12),1.939,L
80,81.,Jeff Conine (17),1.938,R
81,82.,Frank Catalanotto (14),1.937,R
82,82.,Rajai Davis (14),1.937,R
83,84.,Cliff Floyd (17),1.936,R
84,85.,Jeffrey Leonard (14),1.934,R
85,86.,Raul Ibanez (19),1.925,R
86,86.,David Murphy (10),1.925,L
87,88.,Delmon Young (10),1.913,R
88,89.,Dusty Baker (19),1.904,R
89,89.,Carlos Lee (14),1.904,R
90,91.,Henry Rodriguez (11),1.902,L
91,92.,Gary Matthews (16),1.898,R
92,93.,"Eddie Rosario (6, 28)",1.892,R
93,94.,"Ryan Braun (14, 36)",1.891,R
94,95.,Josh Willingham (11),1.882,R
95,96.,"Khris Davis (8, 32)",1.870,R
96,97.,Dante Bichette (14),1.855,R
97,98.,Greg Gross (17),1.829,L
98,99.,"Christian Yelich (8, 28)",1.816,R
99,100.,Melky Cabrera (15),1.807,L
100,101.,Matt Holliday (15),1.797,R
101,102.,"Michael Brantley (12, 33)",1.792,L
102,103.,Jonny Gomes (13),1.778,R
103,104.,Pat Burrell (12),1.759,R
104,105.,Moises Alou (17),1.756,R
105,106.,Al Martin (11),1.753,L
106,107.,Manny Ramirez (19),1.745,R
107,108.,Lance Berkman (15),1.738,L
108,109.,Greg Luzinski (15),1.677,R
109,110.,"Starling Marte (9, 31)",1.616,R
110,111.,Ryan Klesko (16),1.601,L
