,Rank,"Player (yrs, age)",Fielding % as LF (s.1901),Throws
0,1.,Brian Downing (20),.9952,R
1,2.,"Alex Gordon (14, 36)",.9940,R
2,3.,"Michael Brantley (12, 33)",.9934,L
3,4.,Frank Catalanotto (14),.9927,R
4,5.,"Christian Yelich (8, 28)",.9925,R
5,6.,Gary Roenicke (12),.9918,R
6,7.,Joe Rudi (16),.9917,R
7,8.,"Brett Gardner (13, 36)",.9915,L
8,9.,Seth Smith (11),.9914,L
9,10.,Reed Johnson (13),.9908,R
10,11.,Pete Rose (24),.9907,R
11,12.,B.J. Surhoff (19),.9906,R
12,13.,Jay Payton (12),.9898,R
13,14.,Juan Pierre (14),.9897,L
14,15.,Jason Bay (11),.9894,R
15,16.,Carl Crawford (15),.9893,L
16,16.,David Murphy (10),.9893,L
17,18.,Gene Woodling (17),.9892,R
18,19.,Phil Bradley (8),.9891,R
19,20.,"Ryan Braun (14, 36)",.9889,R
20,21.,"Corey Dickerson (8, 31)",.9887,R
21,21.,Billy Sample (9),.9887,R
22,23.,Charlie Maxwell (14),.9884,L
23,24.,Garret Anderson (17),.9882,L
24,24.,Don Buford (10),.9882,R
25,24.,John Lowenstein (16),.9882,R
26,27.,Melky Cabrera (15),.9881,L
27,28.,Brady Anderson (15),.9880,L
28,29.,Dave Collins (16),.9878,L
29,29.,Tim Raines+ (23),.9878,R
30,31.,Roy White (15),.9875,R
31,32.,Tito Francona (15),.9869,L
32,32.,Troy O'Leary (11),.9869,L
33,34.,Billy Hatcher (12),.9864,R
34,35.,Raul Ibanez (19),.9863,R
35,36.,Jeff Conine (17),.9862,R
36,37.,Luis Gonzalez (19),.9861,R
37,37.,Tommy Harper (15),.9861,R
38,39.,Rocky Colavito (14),.9859,R
39,40.,Josh Willingham (11),.9857,R
40,41.,Dale Mitchell (11),.9856,L
41,42.,Geoff Jenkins (11),.9855,R
42,42.,Greg Vaughn (15),.9855,R
43,44.,Rondell White (15),.9852,R
44,45.,Roy Sievers (17),.9851,R
45,45.,Shannon Stewart (14),.9851,R
46,47.,Marty Cordova (9),.9848,R
47,47.,Kevin McReynolds (12),.9848,R
48,49.,Dusty Baker (19),.9847,R
49,49.,Hoot Evers (12),.9847,R
50,51.,Carlos Lee (14),.9844,R
51,52.,Sid Gordon (13),.9842,R
52,53.,Peanuts Lowrey (13),.9840,R
53,53.,Al Simmons+ (20),.9840,R
54,55.,George Foster (18),.9839,R
55,55.,Carlos May (10),.9839,R
56,57.,Barry Bonds (22),.9837,L
57,58.,Mel Hall (13),.9833,L
58,58.,Willie Wilson (19),.9833,R
59,60.,Eric Byrnes (11),.9831,R
60,60.,"Khris Davis (8, 32)",.9831,R
61,60.,Matt Holliday (15),.9831,R
62,63.,Scott Podsednik (11),.9830,L
63,64.,Jonny Gomes (13),.9827,R
64,64.,Gerardo Parra (11),.9827,L
65,66.,Luis Polonia (12),.9826,L
66,67.,Johnny Damon (18),.9824,L
67,67.,Bernard Gilkey (12),.9824,R
68,67.,Gary Ward (12),.9824,R
69,70.,Dan Gladden (11),.9823,R
70,70.,Mike Greenwell (12),.9823,R
71,72.,Jim Wohlford (15),.9822,R
72,73.,Tom Tresh (9),.9820,R
73,74.,Steve Kemp (11),.9819,L
74,74.,Rick Reichardt (11),.9819,R
75,74.,Carl Yastrzemski+ (23),.9819,R
76,77.,Hideki Matsui (10),.9809,R
77,77.,Lou Piniella (18),.9809,R
78,79.,Jim Rice+ (16),.9808,R
79,80.,Lance Berkman (15),.9806,L
80,80.,Charlie Keller (13),.9806,R
81,82.,Heinie Manush+ (17),.9804,L
82,83.,Kal Daniels (7),.9803,R
83,83.,Greg Gross (17),.9803,L
84,85.,Rusty Greer (9),.9799,L
85,85.,Jim Russell (10),.9799,R
86,87.,Morrie Arnovich (7),.9798,R
87,87.,Ken Griffey (19),.9798,L
88,87.,Ben Oglivie (16),.9798,L
89,90.,Carmelo Martinez (9),.9796,R
90,90.,Henry Rodriguez (11),.9796,L
91,92.,Stan Musial+ (22),.9794,L
92,93.,Rickey Henderson+ (25),.9793,L
93,93.,Danny Litwhiler (11),.9793,R
94,95.,"Starling Marte (9, 31)",.9791,R
95,95.,"Justin Upton (14, 32)",.9791,R
96,97.,Frank Robinson+ (21),.9790,R
97,98.,Manny Mota (20),.9787,R
98,99.,Cleon Jones (13),.9782,L
99,99.,Manny Ramirez (19),.9782,R
100,101.,Moises Alou (17),.9779,R
101,101.,Don Baylor (19),.9779,R
102,103.,Todd Hollandsworth (12),.9778,L
103,104.,Enos Slaughter+ (19),.9777,R
104,105.,Brian Giles (15),.9776,L
105,106.,Bob Allison (13),.9775,R
106,106.,Jeffrey Leonard (14),.9775,R
107,106.,Gene Stephens (12),.9775,R
108,109.,Riggs Stephenson (14),.9774,R
109,110.,Augie Galan (16),.9773,R
110,110.,Tony Phillips (18),.9773,R
111,112.,Frank Howard (16),.9772,R
112,112.,Joe Vosmik (13),.9772,R
113,114.,Fred Clarke+ (21),.9771,R
114,115.,"Yoenis Céspedes (8, 34)",.9767,R
115,116.,Joe Medwick+ (17),.9765,R
116,117.,Ron Gant (16),.9764,R
117,117.,Bobby Higginson (11),.9764,R
118,117.,Wally Moon (12),.9764,R
119,120.,Spike Shannon (5),.9763,R
120,121.,"Eddie Rosario (6, 28)",.9761,R
121,122.,Chuck Hinton (11),.9760,R
122,122.,Freddy Leach (10),.9760,R
123,124.,Pat Burrell (12),.9755,R
124,125.,Whitey Lockman (15),.9754,R
125,125.,Ted Williams+ (19),.9754,R
126,127.,Delmon Young (10),.9751,R
127,128.,Derrick May (10),.9750,R
128,128.,Hank Sauer (15),.9750,R
129,130.,Rajai Davis (14),.9749,R
130,131.,Cliff Floyd (17),.9747,R
