,Rank,"Player (yrs, age)",Total Zone Runs as CF (s.1953),Throws
0,1.,Andruw Jones (17),230,R
1,2.,Willie Mays+ (22),176,R
2,3.,Paul Blair (17),171,R
3,4.,Jim Piersall (17),128,R
4,5.,Kenny Lofton (17),117,L
5,6.,Devon White (17),112,R
6,7.,Carlos Beltran (20),104,R
7,8.,Willie Davis (18),103,L
8,9.,Curt Flood (15),99,R
9,10.,Garry Maddox (15),98,R
10,11.,Chet Lemon (16),96,R
11,12.,Mike Cameron (17),92,R
12,13.,Darin Erstad (14),84,L
13,14.,Gary Pettis (11),80,R
14,15.,Andre Dawson+ (21),77,R
15,15.,Lance Johnson (14),77,L
16,17.,Jim Edmonds (17),75,L
17,18.,Melvin Upton Jr. (12),61,R
18,19.,Cesar Geronimo (15),60,L
19,19.,"Billy Hamilton (8, 29)",60,R
20,21.,Tommie Agee (12),58,R
21,22.,Jim Busby (13),57,R
22,22.,Darrin Jackson (12),57,R
23,24.,Reggie Smith (17),55,R
24,25.,"Kevin Kiermaier (8, 30)",53,R
25,26.,Ken Berry (14),52,R
26,26.,Leonys Martín (9),52,R
27,26.,Dwayne Murphy (12),52,R
28,29.,Aaron Rowand (11),49,R
29,30.,Dave Henderson (14),46,R
30,30.,Bill Virdon (12),46,R
31,32.,Franklin Gutierrez (12),45,R
32,32.,"Mike Trout (10, 28)",45,R
33,34.,Lenny Dykstra (12),44,L
34,34.,Doug Glanville (9),44,R
35,36.,Jim Landis (11),43,R
36,37.,"Odubel Herrera (5, 28)",42,R
37,38.,"Lorenzo Cain (11, 34)",41,R
38,38.,"Juan Lagares (8, 31)",41,R
39,38.,Willy Taveras (7),41,R
40,41.,Michael Bourn (11),40,R
41,41.,"Byron Buxton (6, 26)",40,R
42,43.,Richie Ashburn+ (15),39,R
43,43.,"Manuel Margot (5, 25)",39,R
44,43.,Rondell White (15),39,R
45,46.,Drew Stubbs (9),38,R
46,47.,Peter Bourjos (10),37,R
47,47.,Bill Bruton (12),37,R
48,47.,Bill North (11),37,R
49,47.,"George Springer (7, 30)",37,R
50,51.,Tony Scott (11),36,R
51,51.,Grady Sizemore (10),36,L
52,53.,David DeJesus (13),32,L
53,53.,Darren Lewis (13),32,R
54,53.,Jay Payton (12),32,R
55,56.,Coco Crisp (15),31,R
56,56.,Eddie Milner (9),31,L
57,56.,Derrel Thomas (15),31,R
58,59.,"Kevin Pillar (8, 31)",30,R
59,59.,Scott Podsednik (11),30,L
60,61.,Endy Chavez (13),29,L
61,61.,Willie Wilson (19),29,R
62,63.,"AJ Pollock (9, 32)",28,R
63,63.,Chris Singleton (6),28,L
64,65.,Chuck Carr (8),26,R
65,65.,Elliott Maddox (11),26,R
66,65.,Corey Patterson (12),26,R
67,68.,Stan Javier (17),25,R
68,68.,Omar Moreno (12),25,L
69,70.,"Ender Inciarte (7, 29)",24,L
70,70.,Mickey Stanley (15),24,R
71,72.,Eric Byrnes (11),23,R
72,72.,Mike Devereaux (12),23,R
73,72.,"Jake Marisnick (8, 29)",23,R
74,72.,Andres Torres (9),23,R
75,76.,Craig Gentry (10),22,R
76,76.,Del Unser (15),22,L
77,78.,Ty Cline (12),21,L
78,78.,Vic Davalillo (16),21,L
79,78.,Richard Hidalgo (9),21,R
80,78.,Milt Thompson (13),21,R
81,82.,Rick Bosetti (7),20,R
82,82.,Darren Bragg (11),20,R
83,82.,Milt Cuyler (8),20,R
84,82.,Brian Hunter (10),20,R
85,82.,"Starling Marte (9, 31)",20,R
