,Rank,"Player (yrs, age)",Range Factor/9Inn as CF (s.1948),Throws
0,1.,Dwayne Murphy (12),3.155,R
1,2.,Gary Pettis (11),3.072,R
2,3.,Bill North (11),3.055,R
3,4.,Eddie Milner (9),3.052,L
4,5.,Darin Erstad (14),3.048,L
5,6.,Paul Blair (17),3.026,R
6,7.,Ruppert Jones (12),3.024,L
7,8.,Chet Lemon (16),3.018,R
8,9.,Cesar Geronimo (15),3.002,L
9,10.,Al Bumbry (14),2.969,R
10,11.,Stan Javier (17),2.962,R
11,11.,Rick Miller (15),2.962,L
12,13.,Garry Maddox (15),2.954,R
13,14.,Willie Wilson (19),2.937,R
14,15.,Omar Moreno (12),2.921,L
15,16.,Rick Manning (13),2.919,R
16,17.,Kirby Puckett+ (12),2.913,R
17,18.,Gorman Thomas (13),2.898,R
18,19.,Tony Armas (14),2.897,R
19,20.,Andre Dawson+ (21),2.894,R
20,21.,Lenny Dykstra (12),2.879,L
21,22.,Juan Beniquez (17),2.876,R
22,23.,Dave Henderson (14),2.870,R
23,24.,Milt Thompson (13),2.867,R
24,25.,Mickey Rivers (15),2.861,L
25,26.,Randy Winn (13),2.851,R
26,27.,Leonys Martín (9),2.850,R
27,28.,Mookie Wilson (12),2.846,R
28,29.,Jerry Mumphrey (15),2.836,R
29,30.,Mike Cameron (17),2.833,R
30,31.,Tony Scott (11),2.832,R
31,32.,Darrin Jackson (12),2.824,R
32,33.,Mike Devereaux (12),2.821,R
33,34.,Robin Yount+ (20),2.818,R
34,35.,Amos Otis (17),2.815,R
35,36.,Darren Lewis (13),2.811,R
36,37.,Lance Johnson (14),2.807,L
37,38.,Bob Dernier (10),2.801,R
38,38.,Torii Hunter (19),2.801,R
39,40.,Chad Curtis (10),2.793,R
40,41.,Otis Nixon (17),2.792,R
41,42.,Fred Lynn (17),2.791,L
42,43.,Carlos Beltran (20),2.790,R
43,44.,"Lorenzo Cain (11, 34)",2.788,R
44,45.,Del Unser (15),2.785,L
45,46.,Devon White (17),2.782,R
46,47.,Lee Mazzilli (14),2.779,R
47,48.,"Jarrod Dyson (11, 35)",2.764,R
48,49.,Andruw Jones (17),2.761,R
49,50.,"Kevin Kiermaier (8, 30)",2.758,R
50,51.,Chris Singleton (6),2.753,L
51,52.,David DeJesus (13),2.738,L
52,52.,Jim Edmonds (17),2.738,L
53,54.,Gerald Young (8),2.733,R
54,55.,Ron LeFlore (9),2.728,R
55,56.,Eric Davis (17),2.724,R
56,57.,Carlos Gomez (13),2.723,R
57,58.,"Ender Inciarte (7, 29)",2.719,L
58,59.,Lloyd Moseby (12),2.715,R
59,59.,Jay Payton (12),2.715,R
60,61.,Chili Davis (19),2.712,R
61,61.,Al Oliver (18),2.712,L
62,63.,Cesar Cedeno (17),2.705,R
63,64.,Brett Butler (17),2.702,L
64,65.,Willie McGee (18),2.685,R
65,66.,Willy Taveras (7),2.682,R
66,67.,Andy Van Slyke (13),2.681,R
67,68.,Peter Bourjos (10),2.671,R
68,69.,Oddibe McDowell (7),2.670,L
69,69.,Aaron Rowand (11),2.670,R
70,71.,Roberto Kelly (14),2.664,R
71,72.,"Juan Lagares (8, 31)",2.661,R
72,72.,Ray Lankford (14),2.661,L
73,74.,George Hendrick (18),2.656,R
74,75.,Chris Young (13),2.655,R
75,76.,Tom Goodwin (14),2.652,R
76,76.,John Shelby (11),2.652,R
77,78.,Doug Glanville (9),2.651,R
78,78.,Brian Hunter (10),2.651,R
79,78.,Adam Jones (14),2.651,R
80,81.,Gary Matthews (12),2.648,R
81,82.,Johnny Damon (18),2.644,L
82,82.,Denard Span (11),2.644,L
83,84.,Damon Buford (9),2.636,R
84,85.,Kenny Lofton (17),2.632,L
85,86.,"Cameron Maybin (14, 33)",2.630,R
86,87.,Mark Kotsay (17),2.629,L
87,88.,Curtis Granderson (16),2.623,R
88,89.,Rowland Office (11),2.620,L
89,90.,Rajai Davis (14),2.617,R
90,91.,Dave Martinez (16),2.608,L
91,92.,Ken Griffey Jr.+ (22),2.603,L
92,93.,"Odubel Herrera (5, 28)",2.602,R
93,93.,"Mike Trout (10, 28)",2.602,R
94,95.,Grady Sizemore (10),2.594,L
95,96.,Austin Jackson (9),2.589,R
96,97.,Bernie Williams (16),2.588,R
97,98.,Melvin Upton Jr. (12),2.579,R
98,99.,Melky Cabrera (15),2.578,L
99,99.,Coco Crisp (15),2.578,R
100,101.,Marvell Wynne (8),2.576,L
101,102.,Marquis Grissom (17),2.569,R
102,103.,"Billy Hamilton (8, 29)",2.562,R
103,104.,Endy Chavez (13),2.558,L
104,104.,Angel Pagan (11),2.558,R
105,106.,Darryl Hamilton (13),2.557,R
106,107.,Brady Anderson (15),2.555,L
