,Rank,"Player (yrs, age)",Total Zone Runs as OF (s.1953),Throws
0,1.,Andruw Jones (17),254,R
1,2.,Roberto Clemente+ (18),205,R
2,3.,Barry Bonds (22),195,L
3,4.,Jim Piersall (17),181,R
4,5.,Willie Mays+ (22),178,R
5,6.,Paul Blair (17),176,R
6,7.,Brian Jordan (15),163,R
7,8.,Jesse Barfield (12),161,R
8,9.,Al Kaline+ (22),158,R
9,10.,"Jason Heyward (11, 30)",147,L
10,11.,Carl Yastrzemski+ (23),139,R
11,12.,Ichiro Suzuki (19),136,R
12,13.,Devon White (17),133,R
13,14.,Darin Erstad (14),127,L
14,15.,"Alex Gordon (14, 36)",119,R
15,16.,Kenny Lofton (17),115,L
16,17.,Willie Wilson (19),108,R
17,18.,Sammy Sosa (18),105,R
18,19.,Hank Aaron+ (23),104,R
19,19.,Willie Davis (18),104,L
20,21.,Larry Walker+ (17),101,R
21,22.,Garry Maddox (15),100,R
22,23.,Curt Flood (15),99,R
23,24.,Garret Anderson (17),97,L
24,24.,Mike Cameron (17),97,R
25,26.,Chet Lemon (16),96,R
26,27.,Jim Edmonds (17),83,L
27,28.,Carlos Beltran (20),82,R
28,28.,Dwight Evans (20),82,R
29,30.,Lance Johnson (14),80,L
30,30.,Gary Pettis (11),80,R
31,30.,Reggie Sanders (17),80,R
32,33.,Jose Cruz (19),78,L
33,33.,Reggie Smith (17),78,R
34,35.,Carl Crawford (15),77,L
35,35.,Darrin Jackson (12),77,R
36,37.,Austin Kearns (12),72,R
37,38.,Ken Berry (14),71,R
38,38.,Glenn Wilson (10),71,R
39,40.,Warren Cromartie (10),70,L
40,40.,Andre Dawson+ (21),70,R
41,40.,Luis Gonzalez (19),70,R
42,43.,J.D. Drew (14),69,R
43,43.,Vladimir Guerrero+ (16),69,R
44,45.,"Mookie Betts (7, 27)",68,R
45,45.,David DeJesus (13),68,L
46,45.,Bernard Gilkey (12),68,R
47,48.,Eric Byrnes (11),66,R
48,48.,Melvin Upton Jr. (12),66,R
49,50.,Rickey Henderson+ (25),65,L
