,Rank,"Player (yrs, age)",Range Factor/Game as OF,Throws
0,1.,Taylor Douthit (11),3.069,R
1,2.,Richie Ashburn+ (15),2.979,R
2,3.,Johnny Mostil (10),2.935,R
3,4.,Dom DiMaggio (11),2.918,R
4,5.,Tom Oliver (4),2.917,R
5,6.,Jigger Statz (8),2.908,R
6,7.,Mike Kreevich (12),2.886,R
7,8.,Dwayne Murphy (12),2.877,R
8,9.,Thurman Tucker (9),2.858,R
9,10.,Sam West (16),2.830,L
10,11.,Sam Chapman (11),2.822,R
11,12.,Max Carey+ (20),2.768,R
12,12.,Fred Schulte (11),2.768,R
13,14.,Wally Judnich (7),2.763,L
14,15.,Lloyd Waner+ (18),2.756,R
15,16.,Happy Felsch (6),2.749,R
16,17.,Vince DiMaggio (10),2.743,R
17,18.,Joe DiMaggio+ (13),2.713,R
18,19.,Terry Moore (11),2.707,R
19,20.,Bill North (11),2.705,R
20,20.,Stan Spence (9),2.705,L
21,22.,Jimmy Welsh (6),2.702,R
22,23.,Garry Maddox (15),2.693,R
23,24.,Tris Speaker+ (22),2.682,L
24,25.,Kirby Puckett+ (12),2.673,R
25,25.,Robin Yount+ (20),2.673,R
26,27.,Gary Pettis (11),2.669,R
27,28.,Chet Lemon (16),2.654,R
28,29.,Omar Moreno (12),2.644,L
29,30.,Wally Berger (11),2.632,R
30,31.,Amos Otis (17),2.626,R
31,32.,Jim Busby (13),2.619,R
32,33.,Mike Cameron (17),2.618,R
33,34.,Bill Lange (7),2.614,R
34,35.,Harry Craft (6),2.609,R
35,36.,Buster Adams (6),2.607,R
36,36.,Doc Cramer (20),2.607,R
37,38.,Eddie Brown (7),2.606,R
38,39.,Baby Doll Jacobson (11),2.605,R
39,40.,Ray Powell (9),2.596,R
40,41.,Ruppert Jones (12),2.594,L
41,42.,Lenny Dykstra (12),2.593,L
42,43.,Mickey Rivers (15),2.590,L
43,43.,Devon White (17),2.590,R
44,45.,Rick Manning (13),2.588,R
45,46.,Hi Myers (14),2.580,R
46,47.,Lance Johnson (14),2.579,L
47,48.,Jimmy McAleer (13),2.575,R
48,48.,Edd Roush+ (18),2.575,L
49,50.,Larry Doby+ (13),2.572,R
50,51.,"Lorenzo Cain (11, 34)",2.570,R
51,52.,Bill Bruton (12),2.569,R
52,53.,Earl Averill+ (13),2.568,R
53,54.,Willie Mays+ (22),2.565,R
54,55.,Fred Lynn (17),2.559,L
55,55.,Hersh Martin (6),2.559,R
56,57.,Mike Griffin (12),2.558,R
57,58.,Johnny Frederick (6),2.555,L
58,59.,Gorman Thomas (13),2.552,R
59,60.,Ira Flagstead (13),2.549,R
60,61.,Leonys Martín (9),2.539,R
61,62.,Ethan Allen (13),2.537,R
62,63.,Earle Combs+ (12),2.536,R
63,64.,Mel Almada (7),2.532,L
64,65.,Willie Wilson (19),2.529,R
65,66.,Bill Virdon (12),2.514,R
66,67.,Darin Erstad (14),2.513,L
67,68.,Brett Butler (17),2.510,L
68,68.,Ron LeFlore (9),2.510,R
69,68.,Lloyd Moseby (12),2.510,R
70,71.,Jim Edmonds (17),2.500,L
71,72.,Mule Haas (12),2.499,R
72,73.,Jim Fogarty (7),2.498,R
73,74.,Harry Rice (10),2.496,R
74,75.,Andruw Jones (17),2.486,R
75,76.,Tommy Leach (19),2.485,R
76,77.,Bernie Williams (16),2.482,R
77,78.,Johnny Lindell (12),2.479,R
78,79.,"Mike Trout (10, 28)",2.476,R
79,80.,Dave Henderson (14),2.473,R
80,81.,"Kevin Kiermaier (8, 30)",2.468,R
81,81.,Freddie Lindstrom+ (13),2.468,R
82,83.,Jim Russell (10),2.465,R
83,83.,Mookie Wilson (12),2.465,R
84,85.,Cesar Cedeno (17),2.464,R
85,86.,George Wright (5),2.456,R
86,87.,Adam Jones (14),2.453,R
87,88.,Lyman Bostock (4),2.452,R
88,88.,Al Bumbry (14),2.452,R
89,90.,"Ender Inciarte (7, 29)",2.451,L
90,91.,Barney McCosky (11),2.450,R
91,91.,Denard Span (11),2.450,L
92,93.,Kenny Lofton (17),2.449,L
93,94.,Jim Piersall (17),2.445,R
94,95.,Gus Felix (5),2.440,R
95,95.,Bobby Thomson (15),2.440,R
96,97.,George Case (11),2.437,R
97,97.,Curt Flood (15),2.437,R
98,99.,Jo-Jo White (9),2.431,R
99,100.,Ben Chapman (15),2.429,R
100,101.,Tony Armas (14),2.427,R
101,101.,George Metkovich (10),2.427,L
102,103.,Roy Thomas (13),2.426,L
103,104.,Cy Williams (19),2.424,L
104,105.,Dode Paskert (15),2.423,R
105,106.,Johnny Rucker (6),2.419,R
106,107.,Ken Griffey Jr.+ (22),2.418,L
107,107.,Hal Lee (7),2.418,R
108,107.,Alex Metzler (6),2.418,R
109,110.,Dick Johnston (8),2.413,R
110,111.,Morrie Arnovich (7),2.412,R
111,111.,Eddie Milner (9),2.412,L
112,113.,Al Simmons+ (20),2.408,R
113,114.,Willie Davis (18),2.407,L
114,115.,Harry Walker (11),2.402,R
115,116.,Cliff Heathcote (15),2.400,L
116,116.,Ken Williams (14),2.400,R
117,118.,Carlos Beltran (20),2.397,R
118,119.,Oris Hockett (7),2.396,R
119,120.,Gil Coan (11),2.395,R
120,121.,Roy Weatherly (10),2.394,R
121,121.,Curt Welch (10),2.394,R
122,123.,Chris Singleton (6),2.392,L
123,124.,Torii Hunter (19),2.391,R
124,125.,Hoot Evers (12),2.389,R
125,126.,Carson Bigbee (11),2.387,R
126,126.,Tommy Holmes (11),2.387,L
127,126.,Brian McRae (10),2.387,R
128,129.,Marquis Grissom (17),2.384,R
129,129.,Willy Taveras (7),2.384,R
130,131.,Heinie Mueller (11),2.382,L
131,132.,Bob Johnson (13),2.380,R
132,133.,Grady Sizemore (10),2.378,L
133,134.,Lance Richbourg (8),2.377,R
134,135.,"Odubel Herrera (5, 28)",2.376,R
135,136.,Ed Delahanty+ (16),2.373,R
136,137.,Paul Blair (17),2.372,R
137,138.,Jim Landis (11),2.371,R
138,139.,Adam Comorosky (10),2.365,R
139,139.,Benny Kauff (8),2.365,L
140,141.,Melvin Upton Jr. (12),2.363,R
141,142.,Carl Reynolds (13),2.362,R
142,143.,Jim Delsing (10),2.360,R
143,143.,Mike Devereaux (12),2.360,R
144,143.,Dummy Hoy (14),2.360,R
145,143.,Austin Jackson (9),2.360,R
146,147.,Steve Brodie (12),2.358,R
147,148.,Johnny Hopp (14),2.354,L
148,149.,Moose Solters (9),2.352,R
149,150.,Bill Tuttle (11),2.347,R
150,151.,Jacoby Ellsbury (11),2.346,L
151,152.,Randy Winn (13),2.345,R
152,153.,Rebel Oakes (7),2.343,R
153,154.,Nyjer Morgan (7),2.341,L
154,155.,Gee Walker (15),2.339,R
155,156.,"Mookie Betts (7, 27)",2.338,R
156,156.,Kiki Cuyler+ (18),2.338,R
157,158.,Bernie Neis (8),2.337,R
158,158.,Burt Shotton (14),2.337,R
159,160.,"Kevin Pillar (8, 31)",2.336,R
160,161.,Rickey Henderson+ (25),2.335,L
161,162.,Carlos Gomez (13),2.333,R
162,163.,Steve Finley (19),2.331,L
163,164.,Coco Crisp (15),2.328,R
164,165.,Johnny Cooney (20),2.326,L
165,165.,Al Oliver (18),2.326,L
166,167.,Lee Magee (9),2.324,R
167,167.,Dave Philley (18),2.324,R
168,169.,Franklin Gutierrez (12),2.323,R
169,170.,Jake Powell (11),2.321,R
170,171.,Johnny Damon (18),2.320,L
171,172.,Tillie Walker (13),2.318,R
172,173.,Oddibe McDowell (7),2.315,L
173,173.,Irv Noren (11),2.315,L
174,175.,Wally Moses (17),2.314,L
175,176.,Hack Wilson+ (12),2.313,R
